ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,dpres,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,ATTEND,FTVOTEP,TIMEPRI,issue,qual,IRAQAPP,BUSHANGR,BEATBUSH,jobworry,novedwr,novkerry,TERRWORR,TRADE,AGE,AGE60,AGE65,ATTEND2,COLLEDUC,ftever,FTPRIM,INC50K,iraq2,jobworr2,MILHH,MILVOTE,novedw2,novker2,OVER65,PARTY,PHIL3,SEXRACE,TERWORR2,TIMEPRI2,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
796874.0,Virginia,57.0,Call 1,Backside complete,1.4800773859024,John Kerry,Female,White,No,45-49,Independent,Moderate,High school graduate,"$15,000-$29,999",Better today,No one does,No one has,Once a week,I have voted in a presidential primary before,In the last month,National security/Terrorism,He stands up for what he believes,Somewhat disapprove,"Dissatisfied, but not angry",He agrees with you on the major issues,Not too worried,Somewhat likely,Not too likely,Somewhat worried,Takes more jobs from your state,45-64,45-59,40-49,Weekly,No college degree,Have voted before,Have voted in a primary before,"Under $50,000",Somewhat/Strongly disapprove,Not too/Not at all worried,No,No,Very/Somewhat likely,Not too/Not at all likely,18-64,Independent,Moderate,White female,Very/somewhat worried,Last month/Before that,No,No,White,East/Richmond,Rural,Small cities and Rural,7.0,23117.0
796875.0,Virginia,9.0,Call 1,Backside complete,0.554738938808441,John Kerry,Female,Asian,No,50-59,Democrat,Moderate,College graduate,"$75,000-$99,999",About the same,No one does,No one has,A few times a year,I have voted in a presidential primary before,Before that,Economy/Jobs,He can defeat George W. Bush,Strongly disapprove,Angry,He can defeat George W. Bush in November,Very worried,Not at all likely,Very likely,Very worried,Has no effect on jobs in your state,45-64,45-59,50-64,Occasionally,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Very/somewhat worried,No,No,Not too/Not at all likely,Very/Somewhat likely,18-64,Democrat,Moderate,Non-white female,Very/somewhat worried,Last month/Before that,No,No,Asian,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796876.0,Virginia,9.0,Call 1,Backside complete,0.4673210978508,Wesley Clark,Male,White,No,50-59,Independent,Moderate,Postgraduate study,"$75,000-$99,999",Worse today,No one does,"Yes, I have",A few times a year,I have voted in a presidential primary before,Before that,Economy/Jobs,He can defeat George W. Bush,Strongly disapprove,Angry,He can defeat George W. Bush in November,Very worried,Somewhat likely,Somewhat likely,Not too worried,Takes more jobs from your state,45-64,45-59,50-64,Occasionally,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Very/somewhat worried,"Yes, I have or someone in household has","Yes, I have",Very/Somewhat likely,Very/Somewhat likely,18-64,Independent,Moderate,White male,Not too/Not at all worried,Last month/Before that,No,No,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796877.0,Virginia,9.0,Call 1,Backside not complete,0.555732071399689,John Edwards,Female,White,No,50-59,,,,,,,,,,Today,Economy/Jobs,Omit,,"Satisfied, but not enthusiastic",,,Somewhat likely,Somewhat likely,,,45-64,45-59,50-64,,,,,,,,,,Very/Somewhat likely,Very/Somewhat likely,18-64,,,White female,,Today/Last 3 days/Last week,,,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796878.0,Virginia,99.0,Call 1,Backside complete,1.03760957717896,Howard Dean,Male,Black,,65-74,Democrat,Moderate,High school graduate,"$15,000-$29,999",Better today,No one does,No one has,Once a week,"I have voted before, but not in a presidential primary",In the last three days,Health care/Medicare,He cares about people like me,Somewhat disapprove,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Not at all worried,Very likely,Somewhat likely,Very worried,Takes more jobs from your state,65 or over,60 or over,65 or over,Weekly,No college degree,Have voted before,First time voted in a primary,"Under $50,000",Somewhat/Strongly disapprove,Not too/Not at all worried,No,No,Very/Somewhat likely,Very/Somewhat likely,65 or over,Democrat,Moderate,Non-white male,Very/somewhat worried,Today/Last 3 days/Last week,No,No,Black,Southeast,"City: 50,000 to 500,000","City over 50,000",3.0,23701.0
796879.0,Virginia,57.0,Call 1,Backside complete,1.43975079059601,John Kerry,Female,White,No,60-64,Democrat,Somewhat conservative,Some college or associate degree,"$75,000-$99,999",About the same,No one does,"Yes, someone else has",A few times a month,I have voted in a presidential primary before,In the last month,Taxes,He stands up for what he believes,Somewhat disapprove,"Dissatisfied, but not angry",He agrees with you on the major issues,Very worried,Not too likely,Not too likely,Somewhat worried,Has no effect on jobs in your state,45-64,60 or over,50-64,Occasionally,No college degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Very/somewhat worried,"Yes, I have or someone in household has",No,Not too/Not at all likely,Not too/Not at all likely,18-64,Democrat,Conservative,White female,Very/somewhat worried,Last month/Before that,No,No,White,East/Richmond,Rural,Small cities and Rural,7.0,23117.0
796880.0,Virginia,63.0,Call 1,Backside complete,1.74365222454071,John Edwards,Male,White,,75 or over,,,,,Omit,"Yes, I do and someone else does","Yes, I have",Omit,,Before that,Health care/Medicare,He stands up for what he believes,Somewhat disapprove,Enthusaistic,Omit,Omit,Somewhat likely,Not at all likely,Omit,Omit,65 or over,60 or over,65 or over,Omit,,,,,Somewhat/Strongly disapprove,Omit,"Yes, I have or someone in household has","Yes, I have",Very/Somewhat likely,Not too/Not at all likely,65 or over,,,White male,Omit,Last month/Before that,"Yes, I am or someone in household is",Yes I am,White,North,Suburbs,Suburbs,11.0,22191.0
796881.0,Virginia,13.0,Call 1,Backside complete,1.71024942398071,John Kerry,Male,Black,No,50-59,Democrat,Somewhat liberal,College graduate,"$50,000-$74,999",Better today,"Yes, I do",No one has,Once a week,I have voted in a presidential primary before,In the last month,Economy/Jobs,He cares about people like me,Somewhat disapprove,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Somewhat worried,Not at all likely,Very likely,Not too worried,Takes more jobs from your state,45-64,45-59,50-64,Weekly,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Very/somewhat worried,No,No,Not too/Not at all likely,Very/Somewhat likely,18-64,Democrat,Liberal,Non-white male,Not too/Not at all worried,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Black,East/Richmond,"City: 10,000 to 49,999",Small cities and Rural,4.0,23831.0
796882.0,Virginia,57.0,Call 1,Backside complete,1.7334920167923,John Kerry,Female,Black,,50-59,Democrat,Somewhat conservative,Postgraduate study,"$15,000-$29,999",Worse today,No one does,No one has,A few times a month,I have voted in a presidential primary before,In the last month,Health care/Medicare,He has the right experience,Strongly disapprove,"Dissatisfied, but not angry",He agrees with you on the major issues,Somewhat worried,Not at all likely,Very likely,Somewhat worried,Creates more jobs in your state,45-64,45-59,50-64,Occasionally,College degree,Have voted before,Have voted in a primary before,"Under $50,000",Somewhat/Strongly disapprove,Very/somewhat worried,No,No,Not too/Not at all likely,Very/Somewhat likely,18-64,Democrat,Conservative,Non-white female,Very/somewhat worried,Last month/Before that,No,No,Black,East/Richmond,Rural,Small cities and Rural,7.0,23117.0
796883.0,Virginia,13.0,Call 1,Backside not complete,1.3164678812027,,Male,White,No,60-64,,,,,,,,,,Before that,Economy/Jobs,He can defeat George W. Bush,,Angry,,,Very likely,Very likely,,,45-64,60 or over,50-64,,,,,,,,,,Very/Somewhat likely,Very/Somewhat likely,18-64,,,White male,,Last month/Before that,,,White,East/Richmond,"City: 10,000 to 49,999",Small cities and Rural,4.0,23831.0
796884.0,Virginia,99.0,Call 1,Backside complete,1.52876806259155,John Kerry,,Black,,60-64,Democrat,Very conservative,High school graduate,,Worse today,No one does,No one has,A few times a month,"I have voted before, but not in a presidential primary",In the last month,Taxes,He cares about people like me,Strongly disapprove,Angry,He can defeat George W. Bush in November,Very worried,Very likely,Very likely,Very worried,Takes more jobs from your state,45-64,60 or over,50-64,Occasionally,No college degree,Have voted before,First time voted in a primary,,Somewhat/Strongly disapprove,Very/somewhat worried,No,No,Very/Somewhat likely,Very/Somewhat likely,18-64,Democrat,Conservative,,Very/somewhat worried,Last month/Before that,No,No,Black,Southeast,"City: 50,000 to 500,000","City over 50,000",3.0,23701.0
796885.0,Virginia,9.0,Call 1,Backside complete,0.445807337760925,John Kerry,Male,Asian,No,65-74,Democrat,Moderate,Postgraduate study,"$75,000-$99,999",Worse today,No one does,No one has,A few times a year,I have voted in a presidential primary before,In the last month,Omit,Omit,Strongly disapprove,Angry,He can defeat George W. Bush in November,Somewhat worried,Not too likely,Very likely,Somewhat worried,Has no effect on jobs in your state,65 or over,60 or over,65 or over,Occasionally,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Very/somewhat worried,No,No,Not too/Not at all likely,Very/Somewhat likely,65 or over,Democrat,Moderate,Non-white male,Very/somewhat worried,Last month/Before that,No,No,Asian,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796886.0,Virginia,63.0,Call 1,Backside complete,1.20091497898102,Howard Dean,Male,White,No,60-64,Democrat,Very liberal,Postgraduate study,"$100,000 or more",About the same,No one does,"Yes, I have",A few times a year,I have voted in a presidential primary before,Before that,Economy/Jobs,He can defeat George W. Bush,Strongly disapprove,Angry,He can defeat George W. Bush in November,Not too worried,Not too likely,Somewhat likely,Somewhat worried,Takes more jobs from your state,45-64,60 or over,50-64,Occasionally,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Not too/Not at all worried,"Yes, I have or someone in household has","Yes, I have",Not too/Not at all likely,Very/Somewhat likely,18-64,Democrat,Liberal,White male,Very/somewhat worried,Last month/Before that,No,No,White,North,Suburbs,Suburbs,11.0,22191.0
796887.0,Virginia,13.0,Call 1,Backside complete,0.959426045417786,John Kerry,Male,White,,75 or over,Democrat,Very liberal,Postgraduate study,,About the same,No one does,"Yes, I have",A few times a month,I have voted in a presidential primary before,In the last month,Omit,He can defeat George W. Bush,Somewhat disapprove,Omit,He can defeat George W. Bush in November,Not too worried,Omit,Omit,Not too worried,Takes more jobs from your state,65 or over,60 or over,65 or over,Occasionally,College degree,Have voted before,Have voted in a primary before,,Somewhat/Strongly disapprove,Not too/Not at all worried,"Yes, I have or someone in household has","Yes, I have",Omit,Omit,65 or over,Democrat,Liberal,White male,Not too/Not at all worried,Last month/Before that,No,No,White,East/Richmond,"City: 10,000 to 49,999",Small cities and Rural,4.0,23831.0
796888.0,Virginia,99.0,Call 1,Backside not complete,1.52876806259155,John Kerry,,Black,No,75 or over,,,,,,,,,,Before that,Health care/Medicare,He can defeat George W. Bush,,Angry,,,Somewhat likely,Very likely,,,65 or over,60 or over,65 or over,,,,,,,,,,Very/Somewhat likely,Very/Somewhat likely,65 or over,,,,,Last month/Before that,,,Black,Southeast,"City: 50,000 to 500,000","City over 50,000",3.0,23701.0
796889.0,Virginia,9.0,Call 1,Backside complete,0.554738938808441,John Kerry,Female,White,No,45-49,Democrat,Moderate,Some college or associate degree,"$100,000 or more",Worse today,No one does,No one has,Once a week,I have voted in a presidential primary before,In the last month,Education,He has the right experience,Somewhat approve,Angry,He can defeat George W. Bush in November,Somewhat worried,Not too likely,Very likely,Very worried,Takes more jobs from your state,45-64,45-59,40-49,Weekly,No college degree,Have voted before,Have voted in a primary before,"$50,000 or more",Strongly/Somewhat approve,Very/somewhat worried,No,No,Not too/Not at all likely,Very/Somewhat likely,18-64,Democrat,Moderate,White female,Very/somewhat worried,Last month/Before that,No,No,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796890.0,Virginia,57.0,Call 1,Backside complete,1.70487654209137,John Kerry,Male,Black,No,60-64,Independent,Moderate,Postgraduate study,,Worse today,No one does,"Yes, I have and someone else has",More than once a week,I have voted in a presidential primary before,In the last month,Economy/Jobs,He has a positive message,Strongly disapprove,"Dissatisfied, but not angry",He agrees with you on the major issues,Not too worried,Not too likely,Very likely,Not too worried,Has no effect on jobs in your state,45-64,60 or over,50-64,Weekly,College degree,Have voted before,Have voted in a primary before,,Somewhat/Strongly disapprove,Not too/Not at all worried,"Yes, I have or someone in household has","Yes, I have",Not too/Not at all likely,Very/Somewhat likely,18-64,Independent,Moderate,Non-white male,Not too/Not at all worried,Last month/Before that,No,No,Black,East/Richmond,Rural,Small cities and Rural,7.0,23117.0
796891.0,Virginia,13.0,Call 1,Backside complete,1.45849084854126,Dennis Kucinich,Male,White,No,40-44,Democrat,Very liberal,College graduate,"$30,000-$49,999",Worse today,No one does,No one has,Once a week,I have voted in a presidential primary before,In the last week,Economy/Jobs,He stands up for what he believes,Strongly disapprove,Angry,He agrees with you on the major issues,Very worried,Somewhat likely,Very likely,Somewhat worried,Has no effect on jobs in your state,30-44,30-44,40-49,Weekly,College degree,Have voted before,Have voted in a primary before,"Under $50,000",Somewhat/Strongly disapprove,Very/somewhat worried,No,No,Very/Somewhat likely,Very/Somewhat likely,18-64,Democrat,Liberal,White male,Very/somewhat worried,Today/Last 3 days/Last week,No,No,White,East/Richmond,"City: 10,000 to 49,999",Small cities and Rural,4.0,23831.0
796892.0,Virginia,9.0,Call 1,Backside complete,0.462916851043701,John Kerry,Male,White,No,30-39,Democrat,Moderate,College graduate,"$50,000-$74,999",Worse today,No one does,"Yes, I have",Once a week,"I have voted before, but not in a presidential primary",In the last month,Economy/Jobs,He can defeat George W. Bush,Somewhat disapprove,Angry,He can defeat George W. Bush in November,Somewhat worried,Not too likely,Very likely,Very worried,Takes more jobs from your state,30-44,30-44,30-39,Weekly,College degree,Have voted before,First time voted in a primary,"$50,000 or more",Somewhat/Strongly disapprove,Very/somewhat worried,"Yes, I have or someone in household has","Yes, I have",Not too/Not at all likely,Very/Somewhat likely,18-64,Democrat,Moderate,White male,Very/somewhat worried,Last month/Before that,No,No,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796893.0,Virginia,99.0,Call 1,Backside complete,1.58321273326874,John Kerry,Male,Black,,50-59,Independent,Very liberal,Some college or associate degree,"$30,000-$49,999",Better today,,,A few times a month,I have voted in a presidential primary before,In the last month,Health care/Medicare,He has a positive message,Strongly approve,"Satisfied, but not enthusiastic",Omit,Omit,Very likely,Very likely,Omit,Omit,45-64,45-59,50-64,Occasionally,No college degree,Have voted before,Have voted in a primary before,"Under $50,000",Strongly/Somewhat approve,Omit,,,Very/Somewhat likely,Very/Somewhat likely,18-64,Independent,Liberal,Non-white male,Omit,Last month/Before that,,,Black,Southeast,"City: 50,000 to 500,000","City over 50,000",3.0,23701.0
796894.0,Virginia,63.0,Call 1,Backside complete,1.74365222454071,John Edwards,Female,White,No,50-59,Democrat,Very liberal,Some college or associate degree,"$75,000-$99,999",About the same,No one does,No one has,A few times a year,I have voted in a presidential primary before,In the last week,Omit,Omit,Strongly disapprove,Angry,He can defeat George W. Bush in November,Not at all worried,Very likely,Very likely,Somewhat worried,Takes more jobs from your state,45-64,45-59,50-64,Occasionally,No college degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Not too/Not at all worried,No,No,Very/Somewhat likely,Very/Somewhat likely,18-64,Democrat,Liberal,White female,Very/somewhat worried,Today/Last 3 days/Last week,No,No,White,North,Suburbs,Suburbs,11.0,22191.0
796895.0,Virginia,99.0,Call 1,Backside complete,0.928186893463135,John Kerry,Female,White,No,30-39,Democrat,Very liberal,College graduate,"$15,000-$29,999",Better today,No one does,"Yes, I have",A few times a year,I have voted in a presidential primary before,In the last three days,Economy/Jobs,He can defeat George W. Bush,Strongly disapprove,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Somewhat worried,Somewhat likely,Very likely,Not too worried,Has no effect on jobs in your state,30-44,30-44,30-39,Occasionally,College degree,Have voted before,Have voted in a primary before,"Under $50,000",Somewhat/Strongly disapprove,Very/somewhat worried,"Yes, I have or someone in household has","Yes, I have",Very/Somewhat likely,Very/Somewhat likely,18-64,Democrat,Liberal,White female,Not too/Not at all worried,Today/Last 3 days/Last week,No,No,White,Southeast,"City: 50,000 to 500,000","City over 50,000",3.0,23701.0
796896.0,Virginia,9.0,Call 1,Backside complete,0.462916851043701,John Kerry,Male,White,No,50-59,Democrat,Moderate,High school graduate,"$75,000-$99,999",Worse today,"Yes, I do","Yes, I have",Never,I have voted in a presidential primary before,In the last month,Education,He has the right experience,Somewhat approve,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Somewhat worried,Not too likely,Somewhat likely,Somewhat worried,Creates more jobs in your state,45-64,45-59,50-64,Never,No college degree,Have voted before,Have voted in a primary before,"$50,000 or more",Strongly/Somewhat approve,Very/somewhat worried,"Yes, I have or someone in household has","Yes, I have",Not too/Not at all likely,Very/Somewhat likely,18-64,Democrat,Moderate,White male,Very/somewhat worried,Last month/Before that,"Yes, I am or someone in household is",Yes I am,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796897.0,Virginia,9.0,Call 1,Backside complete,0.713985681533813,Howard Dean,Male,White,No,30-39,Something Else,Moderate,Some college or associate degree,"$50,000-$74,999",Worse today,No one does,"Yes, someone else has",A few times a year,"I have voted before, but not in a presidential primary",In the last month,Economy/Jobs,He understands Virginia,Strongly disapprove,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Very worried,Very likely,Very likely,Very worried,Takes more jobs from your state,30-44,30-44,30-39,Occasionally,No college degree,Have voted before,First time voted in a primary,"$50,000 or more",Somewhat/Strongly disapprove,Very/somewhat worried,"Yes, I have or someone in household has",No,Very/Somewhat likely,Very/Somewhat likely,18-64,Independent,Moderate,White male,Very/somewhat worried,Last month/Before that,No,No,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796898.0,Virginia,57.0,Call 1,Backside complete,1.32492172718048,John Kerry,Male,White,No,65-74,Independent,Moderate,High school graduate,"$30,000-$49,999",Better today,No one does,"Yes, I have",More than once a week,I have voted in a presidential primary before,In the last month,Education,He has a positive message,Strongly approve,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Not too worried,Not too likely,Somewhat likely,Not too worried,Creates more jobs in your state,65 or over,60 or over,65 or over,Weekly,No college degree,Have voted before,Have voted in a primary before,"Under $50,000",Strongly/Somewhat approve,Not too/Not at all worried,"Yes, I have or someone in household has","Yes, I have",Not too/Not at all likely,Very/Somewhat likely,65 or over,Independent,Moderate,White male,Not too/Not at all worried,Last month/Before that,No,No,White,East/Richmond,Rural,Small cities and Rural,7.0,23117.0
796899.0,Virginia,63.0,Call 1,Backside not complete,1.7334920167923,John Kerry,Male,White,,65-74,,,,,,,,,,In the last week,Health care/Medicare,He has the right experience,,Angry,,,Very likely,Very likely,,,65 or over,60 or over,65 or over,,,,,,,,,,Very/Somewhat likely,Very/Somewhat likely,65 or over,,,White male,,Today/Last 3 days/Last week,,,White,North,Suburbs,Suburbs,11.0,22191.0
796900.0,Virginia,13.0,Call 1,Backside complete,1.14973342418671,John Kerry,Female,White,No,60-64,Democrat,Very liberal,Postgraduate study,"$75,000-$99,999",About the same,No one does,"Yes, I have and someone else has",Once a week,I have voted in a presidential primary before,In the last week,The war in Iraq,He has the right experience,Strongly disapprove,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Not too worried,Not too likely,Somewhat likely,Not too worried,Has no effect on jobs in your state,45-64,60 or over,50-64,Weekly,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Not too/Not at all worried,"Yes, I have or someone in household has","Yes, I have",Not too/Not at all likely,Very/Somewhat likely,18-64,Democrat,Liberal,White female,Not too/Not at all worried,Today/Last 3 days/Last week,No,No,White,East/Richmond,"City: 10,000 to 49,999",Small cities and Rural,4.0,23831.0
