ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,GAY,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM
995434.0,Vermont,33.0,Call 1,Backside complete,1.4406498670578,John Kerry,Male,White,No,40-44,Independent,Somewhat conservative,Postgraduate study,"$100,000 or more",Better today,No one does,Protestant,No,In the last month,Economy/Jobs,He has the right experience,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Neither candidate,Yes,Creates more jobs in your state,Both candidates,30-44,30-44,40-49,Very/somewhat important,College degree,Yes,"$50,000 or more",18-64,Independent,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995444.0,Vermont,62.0,Call 1,Backside complete,0.50043123960495,Other,Female,White,No,40-44,Independent,Somewhat liberal,College graduate,"$75,000-$99,999",Better today,"Yes, someone else does",Catholic,No,Before that,Economy/Jobs,He can defeat George W. Bush,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Edwards is the nominee,Only John Edwards,No,Takes more jobs from your state,Both candidates,30-44,30-44,40-49,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Independent,Liberal,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White female,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",No,White,Green Mountains,Rural,Small cities and Rural,1.0
995465.0,Vermont,33.0,Call 1,Backside complete,1.08163058757782,Howard Dean,Male,White,No,50-59,Democrat,Moderate,Postgraduate study,"$50,000-$74,999",About the same,No one does,Something else,No,Today,The war in Iraq,He can defeat George W. Bush,Not too important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Neither candidate,Yes,Omit,Neither candidate,45-64,45-59,50-64,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Democrat,Moderate,Something else,White Something else,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995480.0,Vermont,33.0,Call 1,Backside complete,1.11416041851044,Howard Dean,Female,White,No,65-74,Independent,Very liberal,Some college or associate degree,"$50,000-$74,999",About the same,No one does,Other Christian,No,Before that,Economy/Jobs,He stands up for what he believes,Somewhat important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Dissatisfied if either one is the nominee,Only John Kerry,Yes,Takes more jobs from your state,Both candidates,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,Omit,"$50,000 or more",65 or over,Independent,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995493.0,Vermont,77.0,Call 1,Backside complete,1.82650029659271,Dennis Kucinich,Male,White,No,25-29,Something Else,Very liberal,Postgraduate study,"$15,000-$29,999",Worse today,"Yes, I do",Jewish,No,In the last month,Economy/Jobs,He cares about people like me,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Edwards is the nominee,Only John Edwards,No,Takes more jobs from your state,Both candidates,18-29,18-29,25-29,Not too/not at all important,College degree,No,"Under $50,000",18-64,Independent,Liberal,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White male,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Burlington/Winooski Riv. Val.,"City: 10,000 to 49,999",Small cities and Rural,1.0
995508.0,Vermont,33.0,Call 1,Backside complete,0.855432450771332,Howard Dean,Female,Hispanic/Latino,Yes,45-49,Independent,,Some college or associate degree,"$30,000-$49,999",About the same,No one does,None,No,Before that,Omit,He stands up for what he believes,Very important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Edwards is the nominee,Only John Edwards,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,40-49,Very/somewhat important,No college degree,Omit,"Under $50,000",18-64,Independent,,None,All others/Omits,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,Non-white female,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,Hispanic/Latino,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995525.0,Vermont,77.0,Call 1,Backside complete,1.93060123920441,John Kerry,Female,White,,50-59,Democrat,Somewhat liberal,High school graduate,,About the same,No one does,Catholic,No,Before that,Health care/Medicare,He stands up for what he believes,Not at all important,Enthusaistic,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,No college degree,No,,18-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,"City: 10,000 to 49,999",Small cities and Rural,1.0
995534.0,Vermont,57.0,Call 1,Backside complete,1.11829602718353,Howard Dean,Male,White,No,45-49,Democrat,Somewhat liberal,College graduate,"$30,000-$49,999",Worse today,No one does,Catholic,Yes,Before that,Economy/Jobs,He stands up for what he believes,Somewhat important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally marry,Dissatisfied if either one is the nominee,Neither candidate,Yes,Takes more jobs from your state,Neither candidate,45-64,45-59,40-49,Very/somewhat important,College degree,Omit,"Under $50,000",18-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Burlington/Winooski Riv. Val.,"City: 10,000 to 49,999",Small cities and Rural,1.0
995546.0,Vermont,33.0,Call 1,Backside complete,1.08163058757782,Howard Dean,Male,White,No,50-59,Independent,Somewhat liberal,Postgraduate study,"$100,000 or more",Better today,No one does,Catholic,No,Before that,Health care/Medicare,He stands up for what he believes,Very important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Only John Kerry,Yes,Creates more jobs in your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,College degree,Omit,"$50,000 or more",18-64,Independent,Liberal,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995558.0,Vermont,77.0,Call 1,Backside complete,1.97436559200287,John Kerry,Male,White,No,50-59,Democrat,Moderate,Some college or associate degree,"$50,000-$74,999",Worse today,No one does,Catholic,No,In the last month,The war in Iraq,He stands up for what he believes,Somewhat important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Neither candidate,No,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Very/somewhat important,No college degree,No,"$50,000 or more",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,"City: 10,000 to 49,999",Small cities and Rural,1.0
995565.0,Vermont,62.0,Call 1,Backside complete,1.14004683494568,John Kerry,Female,White,No,65-74,Independent,Moderate,Some college or associate degree,,Worse today,No one does,Catholic,No,Before that,Health care/Medicare,He can defeat George W. Bush,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Neither candidate,No,Has no effect on jobs in your state,Only John Kerry,65 or over,60 or over,65 or over,Not too/not at all important,No college degree,No,,65 or over,Independent,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Green Mountains,Rural,Small cities and Rural,1.0
995570.0,Vermont,57.0,Call 1,Backside complete,1.45652782917023,Howard Dean,Male,White,No,75 or over,Independent,Somewhat liberal,Postgraduate study,"$30,000-$49,999",About the same,No one does,,No,Before that,The war in Iraq,He is honest and trustworthy,Somewhat important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Both candidates,Yes,Has no effect on jobs in your state,Both candidates,65 or over,60 or over,65 or over,Very/somewhat important,College degree,Omit,"Under $50,000",65 or over,Independent,Liberal,,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,"City: 10,000 to 49,999",Small cities and Rural,1.0
995572.0,Vermont,33.0,Call 1,Backside complete,1.87637853622437,John Kerry,Male,White,No,65-74,Democrat,Somewhat conservative,High school graduate,"$30,000-$49,999",About the same,No one does,Protestant,No,In the last month,Health care/Medicare,He can defeat George W. Bush,Very important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Both candidates,No,Takes more jobs from your state,Only John Kerry,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995585.0,Vermont,77.0,Call 1,Backside complete,1.25856101512909,John Kerry,Male,Black,,50-59,Democrat,Moderate,Some college or associate degree,"$15,000-$29,999",Worse today,"Yes, someone else does",Protestant,No,Before that,Economy/Jobs,He has the right experience,Very important,Angry,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Neither candidate,No,Takes more jobs from your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,No college degree,No,"Under $50,000",18-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",No,Black,Burlington/Winooski Riv. Val.,"City: 10,000 to 49,999",Small cities and Rural,1.0
995592.0,Vermont,62.0,Call 1,Backside complete,1.14004683494568,John Kerry,Female,White,No,65-74,Democrat,Somewhat liberal,Postgraduate study,"$30,000-$49,999",Worse today,No one does,Catholic,No,In the last month,Health care/Medicare,He can defeat George W. Bush,Somewhat important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,Yes,Omit,Both candidates,65 or over,60 or over,65 or over,Very/somewhat important,College degree,Yes,"Under $50,000",65 or over,Democrat,Liberal,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Green Mountains,Rural,Small cities and Rural,1.0
995596.0,Vermont,14.0,Call 1,Backside complete,0.693570017814636,Dennis Kucinich,Female,White,No,40-44,Independent,Moderate,College graduate,,Worse today,No one does,Protestant,No,Today,Economy/Jobs,He can defeat George W. Bush,Somewhat important,Angry,He can defeat George W. Bush in November,Omit,Dissatisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Neither candidate,30-44,30-44,40-49,Very/somewhat important,College degree,No,,18-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White female,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Rutland/CT Riv. Val.,Rural,Small cities and Rural,1.0
995598.0,Vermont,33.0,Call 1,Backside complete,0.855432450771332,Howard Dean,Female,White,No,45-49,Independent,Somewhat liberal,College graduate,"$75,000-$99,999",Worse today,No one does,Something else,No,Before that,The war in Iraq,He stands up for what he believes,Not at all important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,40-49,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Independent,Liberal,Something else,White Something else,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995612.0,Vermont,77.0,Call 1,Backside not complete,1.97436559200287,John Kerry,Female,Hispanic/Latino,Yes,60-64,,,,,,,,,Before that,Health care/Medicare,He cares about people like me,,Angry,,,Satisfied only if Kerry is the nominee,Only John Kerry,,,Only John Kerry,45-64,60 or over,50-64,,,,,18-64,,,,,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,,,Hispanic/Latino,Burlington/Winooski Riv. Val.,"City: 10,000 to 49,999",Small cities and Rural,1.0
995621.0,Vermont,62.0,Call 1,Backside complete,1.44150424003601,John Kerry,Male,White,No,75 or over,Independent,Moderate,Postgraduate study,,About the same,No one does,None,No,In the last month,The war in Iraq,He can defeat George W. Bush,Not too important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Both candidates,Yes,Has no effect on jobs in your state,Both candidates,65 or over,60 or over,65 or over,Not too/not at all important,College degree,Yes,,65 or over,Independent,Moderate,None,White None,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Green Mountains,Rural,Small cities and Rural,1.0
995628.0,Vermont,33.0,Call 1,Backside complete,0.855432450771332,Howard Dean,Female,White,No,40-44,Republican,Somewhat liberal,College graduate,"$100,000 or more",About the same,No one does,Catholic,No,Today,The war in Iraq,He stands up for what he believes,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,30-44,30-44,40-49,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Republican,Liberal,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995629.0,Vermont,33.0,Call 1,Backside complete,1.1393711566925,John Kerry,Female,White,No,45-49,Democrat,Somewhat liberal,College graduate,"$50,000-$74,999",About the same,No one does,Protestant,No,Before that,Economy/Jobs,He has the right experience,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,Yes,Has no effect on jobs in your state,Only John Kerry,45-64,45-59,40-49,Very/somewhat important,College degree,Yes,"$50,000 or more",18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995643.0,Vermont,77.0,Call 1,Backside complete,1.83276283740997,Howard Dean,Male,White,,50-59,Republican,Somewhat conservative,College graduate,"$50,000-$74,999",About the same,No one does,Catholic,Yes,In the last month,Economy/Jobs,He stands up for what he believes,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Republican,Conservative,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,"City: 10,000 to 49,999",Small cities and Rural,1.0
995652.0,Vermont,62.0,Call 1,Backside complete,1.14004683494568,John Kerry,Female,White,No,65-74,Democrat,Somewhat liberal,Postgraduate study,"$30,000-$49,999",Worse today,"Yes, someone else does",Protestant,No,In the last month,Economy/Jobs,He can defeat George W. Bush,Not too important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,65 or over,60 or over,65 or over,Not too/not at all important,College degree,Yes,"Under $50,000",65 or over,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",No,White,Green Mountains,Rural,Small cities and Rural,1.0
995657.0,Vermont,57.0,Call 1,Backside complete,0.884430170059204,Howard Dean,Female,White,No,45-49,Independent,Somewhat liberal,College graduate,"$50,000-$74,999",About the same,"Yes, I do",Something else,No,Before that,Economy/Jobs,He is honest and trustworthy,Somewhat important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Dissatisfied if either one is the nominee,Neither candidate,Yes,Creates more jobs in your state,Neither candidate,45-64,45-59,40-49,Very/somewhat important,College degree,Omit,"$50,000 or more",18-64,Independent,Liberal,Something else,White Something else,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",Yes I am,White,Burlington/Winooski Riv. Val.,"City: 10,000 to 49,999",Small cities and Rural,1.0
