ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9P,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,ATTEND,EMPLOY,VISITWEB,TIMEPRI,ISSUE,QUAL,NEC,IRAQAPP,BREAKPRI,BUSHANGR,BEATBUSH,satkerry,AGE60P,AGE65P,AGEP,ATTEND2,ATTREL,BREAK2,COLLEDUC,EMPWMN,iraq2,MILHH,MILVOTE,NEC2,OVER65P,PARTY,PHIL3,REL5,RELWHITE,SATKERR2,SEXRACE,TIMEPRI2,UNIONHH,UNIONVOT,VISWEB2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
665361.0,Delaware,62.0,Call 1,Backside not complete,1.43422770500183,Wesley Clark,Male,White,No,50-59,,,,,,,,,,,Never,Before that,Omit,He can defeat George W. Bush,,,,"Dissatisfied, but not angry",,Somewhat dissatisfied,45-59,50-64,45-64,,,,,,,,,,17-64,,,,,Somewhat/very dissatisfied,White male,Last month/Before that,,,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19809.0
665369.0,Delaware,62.0,Call 1,Backside complete,1.05893015861511,Howard Dean,Male,White,No,40-44,Democrat,Somewhat liberal,College graduate,"$30,000-$49,999",Worse today,No one does,No one has,Protestant,Never,Employed full-time,Occasionally,Before that,The war in Iraq,He stands up for what he believes,Poor,Strongly disapprove,Omit,Angry,He can defeat George W. Bush in November,Somewhat satisfied,30-44,40-49,30-44,Never,Protestant/Do not attend weekly,Omit,College degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White male,Last month/Before that,No,No,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19809.0
665382.0,Delaware,62.0,Call 1,Backside complete,1.33068907260895,Wesley Clark,Male,Asian,No,17-24,Independent,Very liberal,College graduate,"$50,000-$74,999",Omit,"Yes, someone else does",No one has,Something else,A few times a year,Employed full-time,Rarely,In the last three days,Omit,Omit,Not so good,Strongly disapprove,Not at all important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Somewhat dissatisfied,17-29,17-24,17-29,Occasionally,All others/Omits,Not too/Not at all important,College degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Independent,Liberal,Something else,All others/Omits,Somewhat/very dissatisfied,Non-white male,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,Rarely/Never,Asian,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19809.0
665385.0,Delaware,43.0,Call 1,Backside complete,0.873947143554688,Howard Dean,Female,White,No,45-49,Independent,Moderate,Postgraduate study,"$100,000 or more",About the same,No one does,"Yes, someone else has",Protestant,A few times a year,Employed full-time,Never,In the last three days,Health care/Medicare,He stands up for what he believes,Not so good,Somewhat approve,Not too important,Angry,He agrees with you on the major issues,Somewhat satisfied,45-59,40-49,45-64,Occasionally,Protestant/Do not attend weekly,Not too/Not at all important,College degree,Employed women,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Not so good/Poor,17-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19803.0
665388.0,Delaware,17.0,Call 1,Backside complete,0.630846619606018,John Kerry,Female,White,No,75 or over,Democrat,Moderate,High school graduate,"$15,000-$29,999",About the same,No one does,"Yes, someone else has",Catholic,More than once a week,Not working and not looking for work,Never,In the last week,Health care/Medicare,He cares about people like me,Not so good,Somewhat approve,Very important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Very satisfied,60 or over,65 or over,65 or over,Weekly,Catholic/Attend weekly,Very/somewhat important,No college degree,Unemployed women,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Moderate,Catholic,White Catholic,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19805.0
665402.0,Delaware,17.0,Call 1,Backside complete,0.782478451728821,John Kerry,Female,White,No,50-59,Democrat,Moderate,Postgraduate study,"$30,000-$49,999",Worse today,No one does,No one has,Protestant,A few times a month,Employed part-time,Never,In the last week,The war in Iraq,He can defeat George W. Bush,Not so good,Strongly disapprove,Not too important,Angry,He agrees with you on the major issues,Very satisfied,45-59,50-64,45-64,Occasionally,Protestant/Do not attend weekly,Not too/Not at all important,College degree,Employed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19805.0
665407.0,Delaware,62.0,Call 1,Backside complete,0.924919366836548,Howard Dean,Male,Black,No,30-39,Democrat,Somewhat liberal,College graduate,"$50,000-$74,999",Worse today,No one does,No one has,None,Never,Not working and not looking for work,Occasionally,Before that,Economy/Jobs,He stands up for what he believes,Not so good,Strongly disapprove,Not at all important,Angry,He agrees with you on the major issues,Somewhat dissatisfied,30-44,30-39,30-44,Never,All others/Omits,Not too/Not at all important,College degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Democrat,Liberal,None,All others/Omits,Somewhat/very dissatisfied,Non-white male,Last month/Before that,No,No,Frequently/Occasionally,Black,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19809.0
665410.0,Delaware,43.0,Call 1,Backside complete,0.788041055202484,Howard Dean,Male,White,,50-59,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",About the same,No one does,"Yes, I have",Jewish,A few times a year,Employed full-time,Rarely,In the last month,Economy/Jobs,He stands up for what he believes,Not so good,Strongly disapprove,Not at all important,Angry,He agrees with you on the major issues,Very satisfied,45-59,50-64,45-64,Occasionally,All others/Omits,Not too/Not at all important,College degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,17-64,Democrat,Liberal,Jewish,White Jewish,Very/somewhat satisfied,White male,Last month/Before that,No,No,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19803.0
665419.0,Delaware,62.0,Call 1,Backside complete,1.4671471118927,John Kerry,Female,White,No,50-59,Democrat,Somewhat liberal,College graduate,"$100,000 or more",About the same,No one does,"Yes, someone else has",Catholic,A few times a year,Employed full-time,Occasionally,In the last week,The war in Iraq,He has the right experience,Not so good,Strongly disapprove,Somewhat important,Angry,He can defeat George W. Bush in November,Very satisfied,45-59,50-64,45-64,Occasionally,Catholic/Do not attend weekly,Very/somewhat important,College degree,Employed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,17-64,Democrat,Liberal,Catholic,White Catholic,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19809.0
665431.0,Delaware,17.0,Call 1,Backside not complete,0.64506196975708,,Female,White,No,75 or over,,,,,,,,,,,Frequently,In the last three days,Economy/Jobs,He stands up for what he believes,,,,Angry,,Somewhat satisfied,60 or over,65 or over,65 or over,,,,,,,,,,65 or over,,,,,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,,,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19805.0
665437.0,Delaware,62.0,Call 1,Backside complete,1.20408260822296,Joe Lieberman,Male,Hispanic/Latino,Yes,50-59,Democrat,Somewhat liberal,College graduate,"$15,000-$29,999",Worse today,"Yes, I do","Yes, I have",Catholic,Once a week,Not working and looking for work,Occasionally,In the last three days,Economy/Jobs,He has the right experience,Not so good,Somewhat approve,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Somewhat satisfied,45-59,50-64,45-64,Weekly,Catholic/Attend weekly,Very/somewhat important,College degree,All others/Omits,Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,17-64,Democrat,Liberal,Catholic,All others/Omits,Very/somewhat satisfied,Non-white male,Today/Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,Frequently/Occasionally,Hispanic/Latino,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19809.0
665440.0,Delaware,43.0,Call 1,Backside complete,1.09183049201965,John Kerry,Female,White,No,45-49,Something Else,Very liberal,Postgraduate study,"$30,000-$49,999",About the same,No one does,No one has,Protestant,More than once a week,Employed part-time,Occasionally,In the last month,Omit,Omit,Not so good,Strongly disapprove,Somewhat important,Omit,Omit,Very satisfied,45-59,40-49,45-64,Weekly,Protestant/Attend Weekly,Very/somewhat important,College degree,Employed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Independent,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White female,Last month/Before that,No,No,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19803.0
665443.0,Delaware,83.0,Call 1,Backside complete,0.858870923519135,John Kerry,Female,White,No,65-74,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",Worse today,"Yes, someone else does","Yes, someone else has",Catholic,Once a week,Not working and not looking for work,Never,In the last week,The war in Iraq,He has a positive message,Not so good,Somewhat disapprove,Very important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Very satisfied,60 or over,65 or over,65 or over,Weekly,Catholic/Attend weekly,Very/somewhat important,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Moderate,Catholic,White Catholic,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,Rarely/Never,White,Kent and Sussex Counties,Rural,Small cities and Rural,1.0,19968.0
665451.0,Delaware,62.0,Call 1,Backside complete,0.982484698295593,Howard Dean,Male,White,No,25-29,Democrat,Moderate,Some college or associate degree,"$15,000-$29,999",Worse today,No one does,No one has,Something else,A few times a year,Not working and looking for work,Frequently,Before that,Education,He stands up for what he believes,Not so good,Somewhat disapprove,Not too important,Angry,He agrees with you on the major issues,Somewhat dissatisfied,17-29,25-29,17-29,Occasionally,All others/Omits,Not too/Not at all important,No college degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Democrat,Moderate,Something else,White Something else,Somewhat/very dissatisfied,White male,Last month/Before that,No,No,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19809.0
665462.0,Delaware,17.0,Call 1,Backside complete,0.630846619606018,John Kerry,Female,White,,65-74,Democrat,Moderate,High school graduate,,About the same,No one does,"Yes, someone else has",Catholic,Once a week,Not working and not looking for work,,In the last month,The war in Iraq,He can defeat George W. Bush,Poor,Strongly disapprove,Very important,Angry,He can defeat George W. Bush in November,Very satisfied,60 or over,65 or over,65 or over,Weekly,Catholic/Attend weekly,Very/somewhat important,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Moderate,Catholic,White Catholic,Very/somewhat satisfied,White female,Last month/Before that,No,No,,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19805.0
665465.0,Delaware,83.0,Call 1,Backside complete,1.06531131267548,John Kerry,Female,White,,50-59,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",About the same,No one does,No one has,Jewish,A few times a year,Employed full-time,Never,In the last week,Health care/Medicare,He can defeat George W. Bush,Poor,Strongly disapprove,Omit,Angry,He agrees with you on the major issues,Very satisfied,45-59,50-64,45-64,Occasionally,All others/Omits,Omit,College degree,Employed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Democrat,Liberal,Jewish,White Jewish,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,Kent and Sussex Counties,Rural,Small cities and Rural,1.0,19968.0
665471.0,Delaware,43.0,Call 1,Backside complete,1.18368446826935,Wesley Clark,Female,White,No,30-39,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",Better today,No one does,No one has,Catholic,A few times a year,Employed full-time,Frequently,Before that,National security/Terrorism,He can defeat George W. Bush,Poor,Somewhat disapprove,Somewhat important,Angry,He can defeat George W. Bush in November,Very satisfied,30-44,30-39,30-44,Occasionally,Catholic/Do not attend weekly,Very/somewhat important,College degree,Employed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Democrat,Liberal,Catholic,White Catholic,Very/somewhat satisfied,White female,Last month/Before that,No,No,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19803.0
665474.0,Delaware,62.0,Call 1,Backside complete,1.33534240722656,Joe Lieberman,Female,White,No,45-49,Democrat,Somewhat liberal,High school graduate,"$50,000-$74,999",About the same,No one does,No one has,Protestant,Once a week,Employed full-time,Never,Before that,Economy/Jobs,He can defeat George W. Bush,Not so good,Somewhat approve,Not at all important,"Dissatisfied, but not angry",He agrees with you on the major issues,Very dissatisfied,45-59,40-49,45-64,Weekly,Protestant/Attend Weekly,Not too/Not at all important,No college degree,Employed women,Strongly/Somewhat approve,No,No,Not so good/Poor,17-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Somewhat/very dissatisfied,White female,Last month/Before that,No,No,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19809.0
665479.0,Delaware,17.0,Call 1,Backside complete,0.568836510181427,John Kerry,Male,White,No,75 or over,Democrat,Moderate,High school graduate,"$15,000-$29,999",Worse today,"Yes, I do","Yes, I have",Catholic,Once a week,,Occasionally,In the last three days,Economy/Jobs,He cares about people like me,Poor,Somewhat approve,Somewhat important,Angry,He can defeat George W. Bush in November,Very satisfied,60 or over,65 or over,65 or over,Weekly,Catholic/Attend weekly,Very/somewhat important,No college degree,All others/Omits,Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Moderate,Catholic,White Catholic,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19805.0
665499.0,Delaware,83.0,Call 1,Backside complete,1.06531131267548,John Kerry,Female,White,No,45-49,Democrat,Moderate,Postgraduate study,"$100,000 or more",Better today,No one does,No one has,Jewish,A few times a year,Employed full-time,Never,In the last three days,Economy/Jobs,He can defeat George W. Bush,Poor,Strongly disapprove,Omit,Angry,He can defeat George W. Bush in November,Very satisfied,45-59,40-49,45-64,Occasionally,All others/Omits,Omit,College degree,Employed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Democrat,Moderate,Jewish,White Jewish,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,Kent and Sussex Counties,Rural,Small cities and Rural,1.0,19968.0
