ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WGT,DPRES,SEX,RACE,MEXICAN,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,ATTEND,EMPLOY,VISITWEB,TIMEPRI,ISSUE,QUAL,NEC,IRAQAPP,BREAKPRI,BUSHANGR,BEATBUSH,SATKRYAZ,AGE,AGE60,AGE65,ATTEND2,ATTREL,BREAK2,COLLEDUC,EMPWMN,iraq2,MILHH,MILVOTE,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SEXRACE,TIMEPRI2,UNIONHH,UNIONVOT,VISWEB2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
667308.0,Arizona,,,Backside complete,Absentee by phone,1.61215722560883,Wesley Clark,Female,White,No,75 or over,Democrat,,Did not complete high school,"Under $15,000",About the same,No one does,No one has,Other Christian,A few times a year,Not working and not looking for work,Never,,Taxes,He stands up for what he believes,Poor,Strongly disapprove,,Angry,He can defeat George W. Bush in November,Satisfied,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,,No college degree,Unemployed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,65 or over,Democrat,,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Rarely/Never,White,Maricopa County,Suburbs,Suburbs,5.0,85224.0
667309.0,Arizona,,,Backside complete,Absentee by phone,1.86522996425629,Wesley Clark,Female,White,No,65-74,Democrat,Moderate,High school graduate,"$15,000-$29,999",About the same,No one does,"Yes, someone else has",Protestant,Once a week,Not working and not looking for work,Occasionally,,Economy/Jobs,He can defeat George W. Bush,Poor,Somewhat disapprove,,Angry,He agrees with you on the major issues,Satisfied,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Frequently/Occasionally,White,Rest of state,"City: 10,000 to 49,999",Small cities and Rural,2.0,86403.0
667310.0,Arizona,,,Backside complete,Absentee by phone,1.45587313175201,Howard Dean,Female,White,No,75 or over,Democrat,Very liberal,Postgraduate study,,Worse today,No one does,"Yes, someone else has",Protestant,Once a week,Not working and not looking for work,Never,,The war in Iraq,He stands up for what he believes,Poor,Strongly disapprove,,Angry,He agrees with you on the major issues,Satisfied,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,,College degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Rarely/Never,White,Maricopa County,"City over 500,000","City over 50,000",3.0,85015.0
667311.0,Arizona,,,Backside complete,Absentee by phone,1.13698637485504,Howard Dean,Female,White,No,75 or over,Democrat,Somewhat liberal,High school graduate,"$15,000-$29,999",About the same,No one does,No one has,Jewish,A few times a year,Not working and not looking for work,Never,,Education,He stands up for what he believes,Poor,Strongly disapprove,,Angry,He agrees with you on the major issues,Satisfied,65 or over,60 or over,65 or over,Occasionally,All others/Omits,,No college degree,Unemployed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,65 or over,Democrat,Liberal,Jewish,White Jewish,White female,,No,No,Rarely/Never,White,Pima/Pinal/Santa Cruz,"City: 50,000 to 500,000","City over 50,000",8.0,85748.0
667312.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,Howard Dean,Female,White,No,40-44,Democrat,Very liberal,Postgraduate study,"$30,000-$49,999",Better today,No one does,No one has,None,Never,Employed full-time,Never,,Economy/Jobs,Omit,Poor,Strongly disapprove,,Angry,He can defeat George W. Bush in November,Satisfied,30-44,30-44,40-49,Never,All others/Omits,,College degree,Employed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Liberal,None,White None,White female,,No,No,Rarely/Never,White,Maricopa County,"City: 50,000 to 500,000","City over 50,000",5.0,85250.0
667313.0,Arizona,,,Backside complete,Absentee by phone,1.61215722560883,Wesley Clark,Female,White,No,65-74,Democrat,Somewhat conservative,Some college or associate degree,"$30,000-$49,999",About the same,No one does,"Yes, someone else has",Catholic,A few times a year,Not working and not looking for work,Never,,Economy/Jobs,He has the right experience,Not so good,Omit,,"Dissatisfied, but not angry",He agrees with you on the major issues,Satisfied,65 or over,60 or over,65 or over,Occasionally,Catholic/Do not attend weekly,,No college degree,Unemployed women,Omit,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Conservative,Catholic,White Catholic,White female,,No,No,Rarely/Never,White,Maricopa County,"City: 50,000 to 500,000","City over 50,000",5.0,85257.0
667314.0,Arizona,,,Backside complete,Absentee by phone,1.68441259860992,Howard Dean,Female,White,No,65-74,Independent,Somewhat liberal,Postgraduate study,,Worse today,No one does,No one has,Protestant,A few times a year,Not working and not looking for work,Never,,Health care/Medicare,He can defeat George W. Bush,Not so good,Somewhat disapprove,,Angry,Omit,Satisfied,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,,College degree,Unemployed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,65 or over,Independent,Liberal,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Rarely/Never,White,Rest of state,Rural,Small cities and Rural,1.0,86326.0
667315.0,Arizona,,,Backside complete,Absentee by phone,1.70693898200989,John Edwards,Female,Hispanic/Latino,Yes,65-74,Democrat,Somewhat liberal,High school graduate,,About the same,No one does,"Yes, someone else has",Jewish,Once a week,Not working and not looking for work,Never,,Economy/Jobs,He can defeat George W. Bush,Not so good,Strongly disapprove,,"Dissatisfied, but not angry",He agrees with you on the major issues,Satisfied,65 or over,60 or over,65 or over,Weekly,All others/Omits,,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Liberal,Jewish,All others/Omits,Non-white female,,No,No,Rarely/Never,White,Maricopa County,"City over 500,000","City over 50,000",3.0,85020.0
667316.0,Arizona,,,Backside complete,Absentee by phone,1.60275721549988,John Kerry,Female,White,No,75 or over,Democrat,Very liberal,Some college or associate degree,,About the same,No one does,No one has,,Omit,Not working and not looking for work,Never,,Health care/Medicare,He has the right experience,Poor,Strongly disapprove,,Omit,He can defeat George W. Bush in November,Satisfied,65 or over,60 or over,65 or over,Omit,All others/Omits,,No college degree,Unemployed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,65 or over,Democrat,Liberal,,All others/Omits,White female,,No,No,Rarely/Never,White,Maricopa County,"City over 500,000","City over 50,000",3.0,85029.0
667317.0,Arizona,,,Backside complete,Absentee by phone,1.2590389251709,Wesley Clark,Female,White,No,65-74,Democrat,Moderate,High school graduate,"$30,000-$49,999",About the same,No one does,"Yes, someone else has",Protestant,Never,Not working and not looking for work,Never,,Health care/Medicare,He can defeat George W. Bush,Poor,Strongly disapprove,,Angry,He agrees with you on the major issues,Dissatisfied,65 or over,60 or over,65 or over,Never,Protestant/Do not attend weekly,,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Rarely/Never,White,Pima/Pinal/Santa Cruz,"City: 50,000 to 500,000","City over 50,000",8.0,85710.0
667318.0,Arizona,,,Backside complete,Absentee by phone,1.60275721549988,John Kerry,Female,White,No,65-74,Democrat,Very liberal,Postgraduate study,"$30,000-$49,999",About the same,No one does,"Yes, someone else has",None,Never,Not working and not looking for work,Never,,Education,He can defeat George W. Bush,Not so good,Strongly disapprove,,Angry,He can defeat George W. Bush in November,Satisfied,65 or over,60 or over,65 or over,Never,All others/Omits,,College degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Liberal,None,White None,White female,,No,No,Rarely/Never,White,Maricopa County,"City: 50,000 to 500,000","City over 50,000",5.0,85250.0
667319.0,Arizona,,,Backside complete,Absentee by phone,1.85435426235199,John Kerry,Female,Hispanic/Latino,Yes,65-74,Democrat,,High school graduate,,Worse today,No one does,"Yes, someone else has",Catholic,A few times a month,Not working and not looking for work,Never,,Economy/Jobs,He has a positive message,Not so good,Omit,,"Dissatisfied, but not angry",He agrees with you on the major issues,Satisfied,65 or over,60 or over,65 or over,Occasionally,Catholic/Do not attend weekly,,No college degree,Unemployed women,Omit,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,,Catholic,All others/Omits,Non-white female,,No,No,Rarely/Never,Hispanic/Latino,Rest of state,"City: 50,000 to 500,000","City over 50,000",7.0,85364.0
667320.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,Howard Dean,Female,Other,No,50-59,Democrat,,Did not complete high school,"$50,000-$74,999",About the same,"Yes, I do","Yes, I have",Catholic,Once a week,Not working and not looking for work,Never,,Health care/Medicare,He cares about people like me,Not so good,Somewhat disapprove,,"Dissatisfied, but not angry",Omit,Satisfied,45-64,45-59,50-64,Weekly,Catholic/Attend weekly,,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,18-64,Democrat,,Catholic,All others/Omits,Non-white female,,"Yes, I am or someone in household is",Yes I am,Rarely/Never,American Indian,Rest of state,Rural,Small cities and Rural,1.0,86503.0
667321.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,John Kerry,Male,White,No,50-59,Democrat,Moderate,Postgraduate study,,About the same,No one does,No one has,Protestant,A few times a year,Employed full-time,Never,,The war in Iraq,He can defeat George W. Bush,Not so good,Strongly disapprove,,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Satisfied,45-64,45-59,50-64,Occasionally,Protestant/Do not attend weekly,,College degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White male,,No,No,Rarely/Never,White,Pima/Pinal/Santa Cruz,Rural,Small cities and Rural,8.0,85603.0
667322.0,Arizona,,,Backside complete,Absentee by phone,1.45587313175201,Howard Dean,Female,White,No,65-74,Democrat,Very liberal,College graduate,,Worse today,No one does,"Yes, someone else has",,Omit,Not working and not looking for work,Occasionally,,Health care/Medicare,He has a positive message,Poor,Strongly disapprove,,Angry,He agrees with you on the major issues,Satisfied,65 or over,60 or over,65 or over,Omit,All others/Omits,,College degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Liberal,,All others/Omits,White female,,No,No,Frequently/Occasionally,White,Maricopa County,Suburbs,Suburbs,2.0,85375.0
667323.0,Arizona,,,Backside complete,Absentee by phone,1.3330602645874,John Edwards,Female,White,No,75 or over,Independent,Moderate,Some college or associate degree,"$30,000-$49,999",Worse today,No one does,"Yes, someone else has",Protestant,A few times a year,Not working and not looking for work,Never,,Economy/Jobs,He can defeat George W. Bush,Poor,Strongly disapprove,,Angry,He agrees with you on the major issues,Satisfied,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Rarely/Never,White,Pima/Pinal/Santa Cruz,Suburbs,Suburbs,8.0,85614.0
667324.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,Joe Lieberman,Female,White,No,50-59,Independent,Moderate,Some college or associate degree,"$50,000-$74,999",Omit,No one does,"Yes, someone else has",Protestant,Once a week,Employed part-time,Occasionally,,Health care/Medicare,He stands up for what he believes,Not so good,Somewhat approve,,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Dissatisfied,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,,No college degree,Employed women,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Frequently/Occasionally,White,Pima/Pinal/Santa Cruz,"City: 50,000 to 500,000","City over 50,000",8.0,85705.0
667325.0,Arizona,,,Backside complete,Absentee by phone,1.59043097496033,,Female,White,No,75 or over,Democrat,Very conservative,Did not complete high school,"Under $15,000",About the same,No one does,No one has,Protestant,A few times a year,Not working and not looking for work,Never,,Taxes,He stands up for what he believes,Not so good,Omit,,"Satisfied, but not enthusiastic",Omit,Dissatisfied,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,,No college degree,Unemployed women,Omit,No,No,Not so good/Poor,65 or over,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Rarely/Never,White,Maricopa County,Suburbs,Suburbs,6.0,85248.0
667326.0,Arizona,,,Backside complete,Absentee by phone,2.07658672332764,John Kerry,Male,White,No,60-64,Democrat,Very liberal,High school graduate,"$50,000-$74,999",Worse today,"Yes, someone else does",No one has,Protestant,A few times a year,Not working and not looking for work,Never,,Health care/Medicare,He can defeat George W. Bush,Poor,Strongly disapprove,,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Satisfied,45-64,60 or over,50-64,Occasionally,Protestant/Do not attend weekly,,No college degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,White male,,"Yes, I am or someone in household is",No,Rarely/Never,White,Maricopa County,Suburbs,Suburbs,2.0,85351.0
667327.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,Wesley Clark,Female,White,No,30-39,Democrat,Moderate,Postgraduate study,"$100,000 or more",Better today,No one does,No one has,Catholic,A few times a month,Not working and not looking for work,Frequently,,The war in Iraq,He has the right experience,Not so good,Strongly disapprove,,"Dissatisfied, but not angry",He agrees with you on the major issues,Satisfied,30-44,30-44,30-39,Occasionally,Catholic/Do not attend weekly,,College degree,Unemployed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Moderate,Catholic,White Catholic,White female,,No,No,Frequently/Occasionally,White,Maricopa County,Suburbs,Suburbs,6.0,85248.0
667328.0,Arizona,,,Backside complete,Absentee by phone,1.2590389251709,Wesley Clark,Female,Hispanic/Latino,Yes,65-74,Democrat,Moderate,High school graduate,"Under $15,000",About the same,No one does,No one has,Catholic,Once a week,Not working and not looking for work,Never,,The war in Iraq,He has the right temperament,Poor,Strongly disapprove,,"Dissatisfied, but not angry",He agrees with you on the major issues,Satisfied,65 or over,60 or over,65 or over,Weekly,Catholic/Attend weekly,,No college degree,Unemployed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,65 or over,Democrat,Moderate,Catholic,All others/Omits,Non-white female,,No,No,Rarely/Never,Hispanic/Latino,Pima/Pinal/Santa Cruz,"City: 50,000 to 500,000","City over 50,000",7.0,85745.0
667329.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,John Kerry,Female,Hispanic/Latino,No,40-44,Democrat,Moderate,Some college or associate degree,"Under $15,000",Worse today,No one does,No one has,Catholic,A few times a month,Employed full-time,Never,,Economy/Jobs,He can defeat George W. Bush,Not so good,Somewhat disapprove,,Angry,He agrees with you on the major issues,Satisfied,30-44,30-44,40-49,Occasionally,Catholic/Do not attend weekly,,No college degree,Employed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Moderate,Catholic,All others/Omits,Non-white female,,No,No,Rarely/Never,Hispanic/Latino,Maricopa County,"City over 500,000","City over 50,000",3.0,85029.0
667330.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,Wesley Clark,Male,White,No,50-59,Democrat,Somewhat liberal,Some college or associate degree,"$100,000 or more",About the same,No one does,"Yes, I have",Catholic,A few times a year,Not working and not looking for work,Never,,Economy/Jobs,He stands up for what he believes,Poor,Somewhat approve,,"Dissatisfied, but not angry",He agrees with you on the major issues,Dissatisfied,45-64,45-59,50-64,Occasionally,Catholic/Do not attend weekly,,No college degree,All others/Omits,Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,18-64,Democrat,Liberal,Catholic,White Catholic,White male,,No,No,Rarely/Never,White,Maricopa County,"City: 50,000 to 500,000","City over 50,000",6.0,85203.0
667331.0,Arizona,,,Backside complete,Absentee by phone,1.92196714878082,John Kerry,Male,White,No,60-64,Democrat,Somewhat liberal,Did not complete high school,"$30,000-$49,999",About the same,,No one has,Protestant,A few times a year,Employed full-time,Never,,Health care/Medicare,He cares about people like me,Poor,Somewhat approve,,Omit,He agrees with you on the major issues,Satisfied,45-64,60 or over,50-64,Occasionally,Protestant/Do not attend weekly,,No college degree,All others/Omits,Strongly/Somewhat approve,No,No,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,White male,,,,Rarely/Never,White,Pima/Pinal/Santa Cruz,"City: 50,000 to 500,000","City over 50,000",8.0,85705.0
667332.0,Arizona,,,Backside complete,Absentee by phone,1.91822075843811,John Kerry,Male,White,No,60-64,Democrat,Somewhat liberal,Some college or associate degree,"$50,000-$74,999",About the same,No one does,No one has,None,Never,Employed full-time,Never,,National security/Terrorism,He can defeat George W. Bush,Not so good,Somewhat disapprove,,"Dissatisfied, but not angry",He agrees with you on the major issues,Satisfied,45-64,60 or over,50-64,Never,All others/Omits,,No college degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Liberal,None,White None,White male,,No,No,Rarely/Never,White,Rest of state,"City: 10,000 to 49,999",Small cities and Rural,1.0,85546.0
667333.0,Arizona,,,Backside complete,Absentee by phone,2.33640241622925,Howard Dean,Female,White,No,50-59,Independent,,High school graduate,,About the same,No one does,"Yes, someone else has",Protestant,More than once a week,Not working and not looking for work,Never,,Health care/Medicare,He stands up for what he believes,Good,Somewhat approve,,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Dissatisfied,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,,No college degree,Unemployed women,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Excellent/Good,18-64,Independent,,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Rarely/Never,White,Maricopa County,"City over 500,000","City over 50,000",3.0,85015.0
667334.0,Arizona,,,Backside complete,Absentee by phone,1.85435426235199,John Kerry,Female,White,No,65-74,Democrat,Moderate,Some college or associate degree,"Under $15,000",About the same,No one does,"Yes, someone else has",Protestant,A few times a month,Not working and not looking for work,Occasionally,,Health care/Medicare,He has a positive message,Good,Strongly approve,,Enthusaistic,He agrees with you on the major issues,Satisfied,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,,No college degree,Unemployed women,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Excellent/Good,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White female,,No,No,Frequently/Occasionally,White,Rest of state,Rural,Small cities and Rural,1.0,85920.0
