ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WGT,dpres,SEX,RACE,MEXICAN,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,GAY,TIMEPRI,issue,qual,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
998209.0,California,7.0,Call 1,Backside complete,Election day exit poll,0.921220123767853,Did not vote,Female,White,No,18-24,Democrat,Very liberal,Some college or associate degree,"$75,000-$99,999",Better today,No one does,None,Yes,Omit,Education,Omit,Omit,Angry,Omit,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Only John Kerry,Yes,Creates more jobs in your state,Only John Kerry,18-29,18-29,18-24,Omit,No college degree,Yes,"$50,000 or more",18-64,Democrat,Liberal,None,White None,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Omit,Only Kerry/Neither,Only Kerry/Either,No,No,White,Bay Area,Suburbs,Suburbs,7.0,94520.0
998215.0,California,87.0,Call 1,Backside complete,Election day exit poll,0.460610061883926,Did not vote,Female,White,No,25-29,Independent,Moderate,Some college or associate degree,"$15,000-$29,999",Worse today,"Yes, I do",None,No,Omit,Education,Omit,Omit,"Dissatisfied, but not angry",Omit,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Omit,No,Takes more jobs from your state,Omit,18-29,18-29,25-29,Omit,No college degree,No,"Under $50,000",18-64,Independent,Moderate,None,White None,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Omit,Omit,Omit,Omit,Omit,"Yes, I am or someone in household is",Yes I am,White,Southern California,Suburbs,Suburbs,52.0,91901.0
998232.0,California,7.0,Call 1,Backside complete,Election day exit poll,0.637059569358826,Did not vote,Male,,No,30-39,Republican,Somewhat conservative,College graduate,"$75,000-$99,999",Better today,,Catholic,,Before that,Taxes,He stands up for what he believes,Not at all important,Enthusaistic,Omit,Gay couples allowed to legally form civil unions,Dissatisfied if either one is the nominee,Neither candidate,No,Creates more jobs in your state,Neither candidate,30-44,30-44,30-39,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Republican,Conservative,Catholic,,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,,,,Bay Area,Suburbs,Suburbs,7.0,94520.0
998257.0,California,87.0,Call 1,Backside complete,Election day exit poll,0.588646948337555,Did not vote,Male,White,No,65-74,Independent,Very liberal,College graduate,"$50,000-$74,999",Worse today,No one does,None,Yes,In the last month,Economy/Jobs,He is honest and trustworthy,Not too important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Creates more jobs in your state,Both candidates,65 or over,60 or over,65 or over,Not too/not at all important,College degree,Yes,"$50,000 or more",65 or over,Independent,Liberal,None,White None,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Southern California,Suburbs,Suburbs,52.0,91901.0
998320.0,California,102.0,Call 1,Backside complete,Election day exit poll,0.654835820198059,Did not vote,Female,White,,65-74,Republican,Somewhat conservative,High school graduate,"$15,000-$29,999",About the same,"Yes, someone else does",Protestant,No,Before that,Omit,Omit,Somewhat important,Enthusaistic,Omit,Omit,Omits,Omit,Omit,Omit,Neither candidate,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,Omit,"Under $50,000",65 or over,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Omit,Omit,White female,Omit,Omit,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",No,White,Coastal,Suburbs,Suburbs,23.0,93013.0
998371.0,California,102.0,Call 1,Backside complete,Election day exit poll,0.654835820198059,Did not vote,Female,White,No,60-64,Republican,Very conservative,Postgraduate study,"$50,000-$74,999",Worse today,No one does,Protestant,No,Before that,National security/Terrorism,He stands up for what he believes,Not at all important,Enthusaistic,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Omits,Both candidates,No,Takes more jobs from your state,Neither candidate,45-64,60 or over,50-64,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Omit,Omit,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Coastal,Suburbs,Suburbs,23.0,93013.0
998390.0,California,49.0,Call 1,Backside complete,Election day exit poll,0.399961352348328,Did not vote,Female,Asian,No,45-49,Republican,Somewhat conservative,Postgraduate study,"$75,000-$99,999",Better today,"Yes, someone else does",Catholic,No,Omit,Taxes,He is honest and trustworthy,Very important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Dissatisfied if either one is the nominee,Neither candidate,Yes,Takes more jobs from your state,Neither candidate,45-64,45-59,40-49,Very/somewhat important,College degree,Yes,"$50,000 or more",18-64,Republican,Conservative,Catholic,,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,Non-white female,Only Kerry/Neither,Only Edwards/Neither,Omit,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",No,Asian,Coastal,"City: 10,000 to 49,999",Small cities and Rural,17.0,93955.0
998417.0,California,26.0,Call 1,Backside complete,Election day exit poll,0.400282144546509,Did not vote,Male,White,No,50-59,Republican,Very conservative,Postgraduate study,"$100,000 or more",Better today,No one does,Protestant,No,Before that,Taxes,Omit,Not at all important,Enthusaistic,Omit,No legal recognition of gay couples' relationships,Dissatisfied if either one is the nominee,Neither candidate,No,Has no effect on jobs in your state,Neither candidate,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,L.A. County,"City: 50,000 to 500,000","City over 50,000",46.0,90808.0
998485.0,California,102.0,Call 1,Backside complete,Election day exit poll,0.528568923473358,Did not vote,Female,Hispanic/Latino,Yes,25-29,Democrat,Moderate,College graduate,"$50,000-$74,999",Better today,No one does,Other Christian,No,Omit,Omit,He is honest and trustworthy,Omit,"Satisfied, but not enthusiastic",Omit,No legal recognition of gay couples' relationships,Omits,Neither candidate,No,Creates more jobs in your state,Neither candidate,18-29,18-29,25-29,Omit,College degree,No,"$50,000 or more",18-64,Democrat,Moderate,Protestant/Other Christian,,Omit,Omit,Non-white female,Only Kerry/Neither,Only Edwards/Neither,Omit,Only Kerry/Neither,Only Edwards/Neither,No,No,Hispanic/Latino,Coastal,Suburbs,Suburbs,23.0,93013.0
998511.0,California,87.0,Call 1,Backside not complete,Election day exit poll,0.570642650127411,Did not vote,Female,White,No,65-74,,,,,,,,,Before that,The war in Iraq,He cares about people like me,,Enthusaistic,,,Dissatisfied if either one is the nominee,Neither candidate,,,Neither candidate,65 or over,60 or over,65 or over,,,,,65 or over,,,,,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,,,White,Southern California,Suburbs,Suburbs,52.0,91901.0
998514.0,California,102.0,Call 1,Backside complete,Election day exit poll,0.654835820198059,Did not vote,Female,White,,65-74,Republican,Somewhat conservative,Some college or associate degree,"$50,000-$74,999",About the same,No one does,Catholic,No,Omit,National security/Terrorism,Omit,Somewhat important,Enthusaistic,Omit,Gay couples allowed to legally form civil unions,Omits,Neither candidate,No,Takes more jobs from your state,Neither candidate,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"$50,000 or more",65 or over,Republican,Conservative,Catholic,White Catholic,Omit,Omit,White female,Only Kerry/Neither,Only Edwards/Neither,Omit,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Coastal,Suburbs,Suburbs,23.0,93013.0
998539.0,California,26.0,Call 1,Backside complete,Election day exit poll,0.542174816131592,Did not vote,Male,White,No,65-74,Republican,Somewhat liberal,College graduate,"$50,000-$74,999",About the same,"Yes, I do",Other Christian,No,Before that,The war in Iraq,He has the right experience,Not too important,"Satisfied, but not enthusiastic",Omit,No legal recognition of gay couples' relationships,Omits,Neither candidate,No,Takes more jobs from your state,Neither candidate,65 or over,60 or over,65 or over,Not too/not at all important,College degree,No,"$50,000 or more",65 or over,Republican,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Omit,Omit,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",Yes I am,White,L.A. County,"City: 50,000 to 500,000","City over 50,000",46.0,90808.0
998560.0,California,71.0,Call 1,Backside complete,Election day exit poll,0.529262900352478,Did not vote,Female,White,No,30-39,Democrat,Moderate,Some college or associate degree,"$50,000-$74,999",About the same,No one does,Catholic,No,In the last three days,Education,Omit,Not at all important,"Dissatisfied, but not angry",Omit,Omit,Omits,Omit,No,Omit,Omit,30-44,30-44,30-39,Not too/not at all important,No college degree,No,"$50,000 or more",18-64,Democrat,Moderate,Catholic,White Catholic,Omit,Omit,White female,Omit,Omit,Today/Last 3 days/Last week,Omit,Omit,No,No,White,Inland/Valley,Suburbs,Suburbs,5.0,95824.0
998581.0,California,102.0,Call 1,Backside complete,Election day exit poll,0.438559353351593,Did not vote,Male,White,No,50-59,Independent,Moderate,Some college or associate degree,"$50,000-$74,999",Better today,"Yes, someone else does",Protestant,No,Before that,National security/Terrorism,He stands up for what he believes,Omit,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Neither candidate,No,Has no effect on jobs in your state,Neither candidate,45-64,45-59,50-64,Omit,No college degree,No,"$50,000 or more",18-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",No,White,Coastal,Suburbs,Suburbs,23.0,93013.0
998606.0,California,93.0,Call 1,Backside complete,Election day exit poll,0.477716416120529,Did not vote,Male,White,No,30-39,Republican,Moderate,College graduate,"$100,000 or more",Better today,No one does,Catholic,No,Omit,Economy/Jobs,Omit,Not at all important,"Dissatisfied, but not angry",Omit,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Only John Kerry,30-44,30-44,30-39,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Republican,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Omit,Only Kerry/Neither,Only Kerry/Either,No,No,White,Bay Area,"City over 500,000","City over 50,000",8.0,94123.0
998613.0,California,34.0,Call 1,Backside complete,Election day exit poll,0.438559353351593,Did not vote,Male,Hispanic/Latino,Yes,50-59,Independent,Moderate,Some college or associate degree,"$50,000-$74,999",About the same,No one does,Catholic,No,Omit,Taxes,Omit,Not too important,"Satisfied, but not enthusiastic",Omit,Gay couples allowed to legally marry,Dissatisfied if either one is the nominee,Neither candidate,No,Has no effect on jobs in your state,Neither candidate,45-64,45-59,50-64,Not too/not at all important,No college degree,No,"$50,000 or more",18-64,Independent,Moderate,Catholic,,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,Non-white male,Only Kerry/Neither,Only Edwards/Neither,Omit,Only Kerry/Neither,Only Edwards/Neither,No,No,Hispanic/Latino,L.A. County,Suburbs,Suburbs,29.0,91776.0
998634.0,California,36.0,Call 1,Backside complete,Election day exit poll,0.85282027721405,Did not vote,Male,Hispanic/Latino,Yes,25-29,Democrat,Somewhat liberal,High school graduate,"$50,000-$74,999",Better today,"Yes, I do",Catholic,No,Before that,Education,He is honest and trustworthy,Very important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Neither candidate,No,Has no effect on jobs in your state,Neither candidate,18-29,18-29,25-29,Very/somewhat important,No college degree,No,"$50,000 or more",18-64,Democrat,Liberal,Catholic,,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",Yes I am,Hispanic/Latino,L.A. County,"City over 500,000","City over 50,000",27.0,91316.0
998757.0,California,102.0,Call 1,Backside not complete,Election day exit poll,0.438559353351593,Did not vote,Male,White,No,40-44,,,,,,,,,Before that,Omit,Omit,,Omit,,,Dissatisfied if either one is the nominee,Neither candidate,,,Neither candidate,30-44,30-44,40-49,,,,,18-64,,,,,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,,,White,Coastal,Suburbs,Suburbs,23.0,93013.0
998769.0,California,82.0,Call 1,Backside complete,Election day exit poll,0.405335158109665,Did not vote,Male,White,No,30-39,Independent,Very liberal,College graduate,"$30,000-$49,999",Better today,"Yes, someone else does",None,Yes,In the last week,The war in Iraq,Omit,Omit,Angry,Omit,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,30-44,30-44,30-39,Omit,College degree,No,"Under $50,000",18-64,Independent,Liberal,None,White None,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",No,White,Southern California,"City over 500,000","City over 50,000",53.0,92103.0
998831.0,California,26.0,Call 1,Backside complete,Election day exit poll,0.437631458044052,Did not vote,Male,White,No,25-29,Republican,Very conservative,Postgraduate study,,Better today,"Yes, someone else does",Other Christian,No,Omit,Omit,Omit,Not at all important,Enthusaistic,Omit,No legal recognition of gay couples' relationships,Omits,Omit,No,Takes more jobs from your state,Neither candidate,18-29,18-29,25-29,Not too/not at all important,College degree,No,,18-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Omit,Omit,White male,Omit,Omit,Omit,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",No,White,L.A. County,"City: 50,000 to 500,000","City over 50,000",46.0,90808.0
998925.0,California,21.0,Call 1,Backside complete,Election day exit poll,0.564455926418304,Did not vote,Male,White,No,75 or over,Independent,Moderate,Some college or associate degree,"$30,000-$49,999",About the same,"Yes, I do",None,No,In the last month,Taxes,He stands up for what he believes,Somewhat important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Edwards is the nominee,Neither candidate,No,Takes more jobs from your state,Neither candidate,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Independent,Moderate,None,White None,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",Yes I am,White,L.A. County,Suburbs,Suburbs,35.0,90250.0
999118.0,California,102.0,Call 1,Backside complete,Election day exit poll,0.452088832855225,Did not vote,Male,White,No,,Independent,Somewhat conservative,College graduate,"$15,000-$29,999",Better today,No one does,Protestant,No,Before that,Omit,Omit,Not too important,"Satisfied, but not enthusiastic",Omit,No legal recognition of gay couples' relationships,Satisfied only if Edwards is the nominee,Neither candidate,No,Takes more jobs from your state,Only John Edwards,,,,Not too/not at all important,College degree,No,"Under $50,000",,Independent,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Edwards/Neither,No,No,White,Coastal,Suburbs,Suburbs,23.0,93013.0
999224.0,California,43.0,Call 1,Backside complete,Election day exit poll,0.643832564353943,Did not vote,Male,White,No,65-74,Republican,Somewhat conservative,Some college or associate degree,"$30,000-$49,999",Worse today,No one does,Protestant,,Omit,Economy/Jobs,He has the right experience,Not at all important,"Satisfied, but not enthusiastic",Omit,Gay couples allowed to legally form civil unions,Dissatisfied if either one is the nominee,Neither candidate,No,Has no effect on jobs in your state,Neither candidate,65 or over,60 or over,65 or over,Not too/not at all important,No college degree,No,"Under $50,000",65 or over,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Omit,Only Kerry/Neither,Only Edwards/Neither,No,No,White,L.A. County,"City over 500,000","City over 50,000",28.0,91604.0
999263.0,California,43.0,Call 1,Backside not complete,Election day exit poll,0.519687354564667,Did not vote,Male,White,No,25-29,,,,,,,,,Omit,Omit,He has a positive message,,Angry,,,Satisfied if either one is the nominee,Both candidates,,,Only John Kerry,18-29,18-29,25-29,,,,,18-64,,,,,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Omit,Only Kerry/Neither,Only Kerry/Either,,,White,L.A. County,"City over 500,000","City over 50,000",28.0,91604.0
999326.0,California,43.0,Call 1,Backside complete,Election day exit poll,0.405216902494431,Did not vote,Female,White,No,30-39,Independent,Moderate,College graduate,"$30,000-$49,999",Worse today,No one does,Protestant,No,Before that,Economy/Jobs,He can defeat George W. Bush,Not too important,"Dissatisfied, but not angry",Omit,Gay couples allowed to legally form civil unions,Dissatisfied if either one is the nominee,Both candidates,No,Creates more jobs in your state,Neither candidate,30-44,30-44,30-39,Not too/not at all important,College degree,No,"Under $50,000",18-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,L.A. County,"City over 500,000","City over 50,000",28.0,91604.0
999517.0,California,43.0,Call 1,Backside not complete,Election day exit poll,0.418001890182495,Did not vote,Male,White,No,50-59,,,,,,,,,Omit,Education,Omit,,"Dissatisfied, but not angry",,,Omits,Omit,,,Both candidates,45-64,45-59,50-64,,,,,18-64,,,,,Omit,Omit,White male,Omit,Omit,Omit,Only Edwards/Either,Only Kerry/Either,,,White,L.A. County,"City over 500,000","City over 50,000",28.0,91604.0
