ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,MARRIED,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
994733.0,Ohio,64.0,Call 1,Backside complete,0.811291038990021,John Kerry,Male,Hispanic/Latino,Yes,50-59,Democrat,Somewhat conservative,Did not complete high school,"$30,000-$49,999",About the same,"Yes, I do",None,No,In the last week,Health care/Medicare,He can defeat George W. Bush,Omit,Angry,He can defeat George W. Bush in November,Omit,Satisfied only if Edwards is the nominee,Neither candidate,No,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Omit,No college degree,No,"Under $50,000",17-64,Democrat,Conservative,None,All others/Omits,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,Non-white male,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,Black,Southwest,"City: 50,000 to 500,000","City over 50,000",2.0,45236.0
994747.0,Ohio,64.0,Call 1,Backside complete,1.01516079902649,John Kerry,Female,Black,,65-74,Democrat,Moderate,College graduate,"$50,000-$74,999",About the same,No one does,Other Christian,No,Before that,Taxes,He has a positive message,Somewhat important,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Both candidates,65 or over,60 or over,65 or over,Very/somewhat important,College degree,No,"$50,000 or more",65 or over,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,Black,Southwest,"City: 50,000 to 500,000","City over 50,000",2.0,45236.0
994752.0,Ohio,31.0,Call 1,Backside complete,0.877002537250519,John Kerry,Female,Black,No,45-49,Democrat,Moderate,Some college or associate degree,"$50,000-$74,999",About the same,"Yes, I do",Something else,No,Today,Health care/Medicare,He stands up for what he believes,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Only John Edwards,45-64,45-59,40-49,Very/somewhat important,No college degree,No,"$50,000 or more",17-64,Democrat,Moderate,Something else,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white female,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Edwards/Neither,"Yes, I am or someone in household is",Yes I am,Black,Central,"City over 500,000","City over 50,000",15.0,43223.0
994759.0,Ohio,4.0,Call 1,Backside complete,1.93840742111206,John Edwards,Male,White,No,30-39,Democrat,Very liberal,High school graduate,"$50,000-$74,999",Worse today,No one does,Catholic,Yes,Before that,Economy/Jobs,He is honest and trustworthy,Very important,Angry,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Edwards is the nominee,Only John Edwards,No,Takes more jobs from your state,Only John Edwards,30-44,30-44,30-39,Very/somewhat important,No college degree,No,"$50,000 or more",17-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White male,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Edwards/Neither,No,No,White,Northeast,"City: 10,000 to 49,999",Small cities and Rural,14.0,44030.0
994762.0,Ohio,64.0,Call 1,Backside complete,1.01516079902649,John Kerry,Female,Black,No,75 or over,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",Worse today,"Yes, I do",Catholic,No,Before that,Taxes,He can defeat George W. Bush,Somewhat important,Angry,He agrees with you on the major issues,Omit,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Democrat,Moderate,Catholic,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,Black,Southwest,"City: 50,000 to 500,000","City over 50,000",2.0,45236.0
994764.0,Ohio,22.0,Call 1,Backside complete,1.4508603811264,John Edwards,Male,Other,No,25-29,Independent,Moderate,College graduate,"$75,000-$99,999",Better today,No one does,Something else,No,Today,Economy/Jobs,He stands up for what he believes,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Edwards is the nominee,Only John Edwards,No,Has no effect on jobs in your state,Both candidates,17-29,17-29,25-29,Very/somewhat important,College degree,No,"$50,000 or more",17-64,Independent,Moderate,Something else,All others/Omits,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,Non-white male,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,Other,Cuyahoga County,"City: 10,000 to 49,999",Small cities and Rural,10.0,44116.0
994767.0,Ohio,31.0,Call 1,Backside complete,1.47707867622375,John Kerry,Female,White,No,75 or over,Democrat,Moderate,Some college or associate degree,"$15,000-$29,999",Worse today,,Protestant,Yes,In the last month,Omit,Omit,Very important,"Dissatisfied, but not angry",Omit,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,,,White,Central,"City over 500,000","City over 50,000",15.0,43223.0
994773.0,Ohio,4.0,Call 1,Backside complete,1.66518294811249,John Kerry,Female,White,No,50-59,Democrat,Very liberal,High school graduate,"$50,000-$74,999",Worse today,"Yes, someone else does",Protestant,Yes,In the last three days,Economy/Jobs,He stands up for what he believes,Very important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,No college degree,Yes,"$50,000 or more",17-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",No,White,Northeast,"City: 10,000 to 49,999",Small cities and Rural,14.0,44030.0
994777.0,Ohio,64.0,Call 1,Backside complete,0.684998750686646,John Edwards,Female,Black,No,40-44,Democrat,Moderate,Postgraduate study,"$30,000-$49,999",Better today,No one does,Something else,No,In the last week,Economy/Jobs,He can defeat George W. Bush,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Edwards is the nominee,Neither candidate,Yes,Creates more jobs in your state,Only John Edwards,30-44,30-44,40-49,Very/somewhat important,College degree,Yes,"Under $50,000",17-64,Democrat,Moderate,Something else,All others/Omits,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,Non-white female,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Edwards/Neither,No,No,Black,Southwest,"City: 50,000 to 500,000","City over 50,000",2.0,45236.0
994785.0,Ohio,22.0,Call 1,Backside complete,1.91357600688934,Dennis Kucinich,Male,White,,50-59,Democrat,Somewhat liberal,College graduate,"$100,000 or more",Better today,"Yes, I do",Catholic,Yes,Today,Economy/Jobs,He stands up for what he believes,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Only John Edwards,No,Takes more jobs from your state,Only John Kerry,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",17-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Cuyahoga County,"City: 10,000 to 49,999",Small cities and Rural,10.0,44116.0
994786.0,Ohio,31.0,Call 1,Backside complete,0.877002537250519,John Kerry,Female,Black,No,30-39,Democrat,Very liberal,High school graduate,"Under $15,000",Better today,No one does,Catholic,No,In the last month,Economy/Jobs,He stands up for what he believes,Very important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Only John Kerry,No,Has no effect on jobs in your state,Both candidates,30-44,30-44,30-39,Very/somewhat important,No college degree,No,"Under $50,000",17-64,Democrat,Liberal,Catholic,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,Black,Central,"City over 500,000","City over 50,000",15.0,43223.0
994788.0,Ohio,26.0,Call 1,Backside complete,1.50146424770355,Did not vote,Male,White,No,50-59,Republican,Somewhat liberal,Some college or associate degree,"$50,000-$74,999",About the same,No one does,Other Christian,Yes,Before that,National security/Terrorism,He stands up for what he believes,Somewhat important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Neither candidate,No,Takes more jobs from your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,No college degree,No,"$50,000 or more",17-64,Republican,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Central,Rural,Small cities and Rural,12.0,43032.0
994793.0,Ohio,4.0,Call 1,Backside complete,1.95143806934357,John Kerry,Male,White,No,75 or over,Democrat,Moderate,High school graduate,"$30,000-$49,999",Worse today,"Yes, I do and someone else does",Catholic,Yes,Before that,Omit,He can defeat George W. Bush,Somewhat important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Democrat,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Northeast,"City: 10,000 to 49,999",Small cities and Rural,14.0,44030.0
994800.0,Ohio,22.0,Call 1,Backside complete,1.64290511608124,John Kerry,Female,White,No,50-59,Democrat,Moderate,Postgraduate study,"$50,000-$74,999",Worse today,No one does,Catholic,Yes,In the last month,Omit,Omit,Not too important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Only John Kerry,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",17-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Cuyahoga County,"City: 10,000 to 49,999",Small cities and Rural,10.0,44116.0
994804.0,Ohio,120.0,Call 1,Backside complete,0.520500123500824,John Kerry,Female,White,No,65-74,Independent,Very conservative,High school graduate,"$50,000-$74,999",Better today,"Yes, someone else does",Catholic,Yes,Today,Taxes,He cares about people like me,Somewhat important,"Satisfied, but not enthusiastic",Omit,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Neither candidate,No,Creates more jobs in your state,Neither candidate,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"$50,000 or more",65 or over,Independent,Conservative,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",No,White,Northwest,"City: 10,000 to 49,999",Small cities and Rural,5.0,43460.0
994805.0,Ohio,31.0,Call 1,Backside not complete,1.00811791419983,John Kerry,Male,Black,,50-59,,,,,,,,,Before that,Economy/Jobs,He can defeat George W. Bush,,"Dissatisfied, but not angry",,,Satisfied only if Kerry is the nominee,Only John Kerry,,,Both candidates,45-64,45-59,50-64,,,,,17-64,,,,,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,,,Black,Central,"City over 500,000","City over 50,000",15.0,43223.0
994806.0,Ohio,26.0,Call 1,Backside complete,1.8198459148407,John Kerry,Female,White,No,50-59,Democrat,Very liberal,Postgraduate study,"$75,000-$99,999",About the same,No one does,Protestant,No,In the last month,Health care/Medicare,He stands up for what he believes,Very important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Neither candidate,Yes,Takes more jobs from your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,College degree,Yes,"$50,000 or more",17-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Central,Rural,Small cities and Rural,12.0,43032.0
994809.0,Ohio,113.0,Call 1,Backside complete,1.95143806934357,Other,Female,White,No,50-59,Republican,Somewhat conservative,Some college or associate degree,"$50,000-$74,999",Worse today,"Yes, someone else does",Protestant,Yes,In the last month,Education,He has the right experience,Somewhat important,"Satisfied, but not enthusiastic",Omit,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,No college degree,No,"$50,000 or more",17-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",No,White,Northeast,Suburbs,Suburbs,17.0,44410.0
994810.0,Ohio,1.0,Call 1,Backside complete,1.60029232501984,John Edwards,Female,White,No,75 or over,Democrat,,Did not complete high school,"Under $15,000",Worse today,No one does,Protestant,Yes,In the last month,Health care/Medicare,He stands up for what he believes,Very important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied only if Edwards is the nominee,Only John Edwards,No,Creates more jobs in your state,Omit,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Democrat,,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White female,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Omit,Omit,No,No,White,Southwest,Rural,Small cities and Rural,2.0,45144.0
994817.0,Ohio,120.0,Call 1,Backside complete,0.488272041082382,John Kerry,Female,White,No,40-44,Democrat,Somewhat conservative,High school graduate,"$15,000-$29,999",Worse today,"Yes, someone else does",Catholic,No,In the last month,Economy/Jobs,He cares about people like me,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Both candidates,No,Takes more jobs from your state,Only John Kerry,30-44,30-44,40-49,Not too/not at all important,No college degree,No,"Under $50,000",17-64,Democrat,Conservative,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",No,White,Northwest,"City: 10,000 to 49,999",Small cities and Rural,5.0,43460.0
994821.0,Ohio,31.0,Call 1,Backside complete,0.95460307598114,John Edwards,Male,Black,No,50-59,Independent,Moderate,College graduate,"$50,000-$74,999",About the same,No one does,Other Christian,Yes,Today,Education,He stands up for what he believes,Not too important,Angry,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied if either one is the nominee,Only John Edwards,No,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",17-64,Independent,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white male,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,Black,Central,"City over 500,000","City over 50,000",15.0,43223.0
994824.0,Ohio,26.0,Call 1,Backside complete,1.93886613845825,John Kerry,Male,White,No,45-49,Democrat,Moderate,College graduate,"$100,000 or more",About the same,"Yes, someone else does",Other Christian,Yes,Before that,National security/Terrorism,He is honest and trustworthy,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,45-64,45-59,40-49,Very/somewhat important,College degree,No,"$50,000 or more",17-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",No,White,Central,Rural,Small cities and Rural,12.0,43032.0
994830.0,Ohio,113.0,Call 1,Backside complete,1.5539356470108,John Edwards,Male,White,No,50-59,Independent,Somewhat conservative,Some college or associate degree,"$30,000-$49,999",About the same,"Yes, I do and someone else does",Protestant,Yes,In the last three days,Economy/Jobs,He has a positive message,Not too important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Neither candidate,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,No college degree,Yes,"Under $50,000",17-64,Independent,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Northeast,Suburbs,Suburbs,17.0,44410.0
