ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,GAY,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
994511.0,New York,63.0,Call 1,Backside complete,0.501538217067719,Howard Dean,Male,White,No,40-44,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",Better today,No one does,Jewish,No,Before that,Health care/Medicare,He stands up for what he believes,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Neither candidate,Yes,Takes more jobs from your state,Both candidates,30-44,30-44,40-49,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Democrat,Liberal,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994512.0,New York,63.0,Call 1,Backside complete,0.693678498268127,John Kerry,Male,White,No,60-64,Democrat,Moderate,High school graduate,"$30,000-$49,999",Worse today,"Yes, I do",Catholic,No,In the last month,The war in Iraq,He can defeat George W. Bush,Very important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Both candidates,Yes,Has no effect on jobs in your state,Both candidates,45-64,60 or over,50-64,Very/somewhat important,No college degree,Yes,"Under $50,000",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994517.0,New York,63.0,Call 1,Backside complete,0.662753105163574,John Kerry,Female,White,No,50-59,Democrat,Very liberal,Postgraduate study,"$75,000-$99,999",About the same,"Yes, someone else does",Jewish,No,In the last three days,The war in Iraq,He can defeat George W. Bush,Somewhat important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Neither candidate,Yes,Has no effect on jobs in your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,College degree,Yes,"$50,000 or more",18-64,Democrat,Liberal,Jewish,White Jewish,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",No,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994524.0,New York,6.0,Call 1,Backside complete,1.32213532924652,John Kerry,Female,Black,No,50-59,Democrat,Very liberal,College graduate,"$50,000-$74,999",Worse today,No one does,Other Christian,No,Before that,Health care/Medicare,He has a positive message,Very important,Angry,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,Black,New York City,"City over 500,000","City over 50,000",16.0,10470.0
994531.0,New York,6.0,Call 1,Backside complete,0.965885579586029,John Kerry,Male,White,No,30-39,Democrat,Somewhat liberal,Some college or associate degree,"$100,000 or more",About the same,"Yes, I do and someone else does",None,No,In the last month,Economy/Jobs,He has the right experience,Somewhat important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Creates more jobs in your state,Both candidates,30-44,30-44,30-39,Very/somewhat important,No college degree,Yes,"$50,000 or more",18-64,Democrat,Liberal,None,White None,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,New York City,"City over 500,000","City over 50,000",16.0,10470.0
994532.0,New York,63.0,Call 1,Backside complete,0.639715731143951,John Edwards,Female,White,No,50-59,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",Better today,"Yes, someone else does",None,No,In the last three days,Health care/Medicare,He stands up for what he believes,Somewhat important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,No,Has no effect on jobs in your state,Both candidates,45-64,45-59,50-64,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,None,White None,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",No,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994538.0,New York,6.0,Call 1,Backside complete,1.21699321269989,Dennis Kucinich,Male,White,No,30-39,Democrat,Very liberal,Postgraduate study,"$50,000-$74,999",Worse today,No one does,None,No,In the last week,The war in Iraq,He stands up for what he believes,Somewhat important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Both candidates,Yes,Creates more jobs in your state,Only John Kerry,30-44,30-44,30-39,Very/somewhat important,College degree,Yes,"$50,000 or more",18-64,Democrat,Liberal,None,White None,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,No,No,White,New York City,"City over 500,000","City over 50,000",16.0,10470.0
994541.0,New York,63.0,Call 1,Backside complete,0.501538217067719,Howard Dean,Male,White,No,60-64,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",About the same,No one does,Jewish,No,Before that,Omit,He cares about people like me,Not too important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,45-64,60 or over,50-64,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Democrat,Liberal,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994547.0,New York,63.0,Call 1,Backside complete,0.693678498268127,John Kerry,Male,White,No,65-74,Independent,Very liberal,Postgraduate study,"$100,000 or more",About the same,,Jewish,No,In the last month,The war in Iraq,He can defeat George W. Bush,Not at all important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,65 or over,60 or over,65 or over,Not too/not at all important,College degree,Yes,"$50,000 or more",65 or over,Independent,Liberal,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,,,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994556.0,New York,63.0,Call 1,Backside complete,0.504610300064087,Al Sharpton,Female,White,No,50-59,Democrat,Somewhat liberal,Postgraduate study,"$50,000-$74,999",About the same,No one does,Jewish,No,In the last week,Omit,Omit,Very important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994562.0,New York,63.0,Call 1,Backside complete,0.63897043466568,John Kerry,Male,White,No,45-49,Independent,Somewhat liberal,Some college or associate degree,"$100,000 or more",About the same,No one does,Jewish,No,Before that,Economy/Jobs,He has the right experience,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,No,Creates more jobs in your state,Both candidates,45-64,45-59,40-49,Not too/not at all important,No college degree,No,"$50,000 or more",18-64,Independent,Liberal,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994566.0,New York,79.0,Call 1,Backside complete,1.89196383953094,John Edwards,Female,White,No,60-64,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",Worse today,"Yes, I do",Catholic,No,Before that,Health care/Medicare,He has a positive message,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Edwards is the nominee,Only John Edwards,No,Takes more jobs from your state,Both candidates,45-64,60 or over,50-64,Not too/not at all important,No college degree,No,"Under $50,000",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White female,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,New York City,"City over 500,000","City over 50,000",7.0,11377.0
994571.0,New York,63.0,Call 1,Backside complete,0.805087804794312,Dennis Kucinich,Male,White,No,40-44,Republican,Very conservative,College graduate,,Worse today,No one does,,No,In the last week,Economy/Jobs,Omit,Somewhat important,Enthusaistic,Omit,Gay couples allowed to legally form civil unions,Omits,Neither candidate,No,Has no effect on jobs in your state,Neither candidate,30-44,30-44,40-49,Very/somewhat important,College degree,No,,18-64,Republican,Conservative,,All others/Omits,Omit,Omit,White male,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,No,No,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994576.0,New York,79.0,Call 1,Backside complete,1.92966985702515,John Kerry,Female,Black,,50-59,Democrat,Somewhat liberal,Postgraduate study,,Better today,No one does,Catholic,No,Before that,Education,He cares about people like me,Very important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Very/somewhat important,College degree,No,,18-64,Democrat,Liberal,Catholic,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,Black,New York City,"City over 500,000","City over 50,000",7.0,11377.0
994580.0,New York,8.0,Call 1,Backside complete,0.717982530593872,John Kerry,Female,White,No,50-59,Democrat,Moderate,Postgraduate study,"$100,000 or more",Better today,"Yes, I do",Catholic,No,In the last week,Health care/Medicare,He can defeat George W. Bush,Somewhat important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Both candidates,No,Has no effect on jobs in your state,Both candidates,45-64,45-59,50-64,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,New York City,"City over 500,000","City over 50,000",17.0,10471.0
994581.0,New York,63.0,Call 1,Backside complete,0.669566214084625,John Edwards,Male,White,No,65-74,Independent,Somewhat conservative,Postgraduate study,"$30,000-$49,999",About the same,No one does,Catholic,No,In the last week,Health care/Medicare,He is honest and trustworthy,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Edwards is the nominee,Only John Edwards,No,Creates more jobs in your state,Only John Edwards,65 or over,60 or over,65 or over,Not too/not at all important,College degree,No,"Under $50,000",65 or over,Independent,Conservative,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White male,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Edwards/Neither,No,No,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994588.0,New York,8.0,Call 1,Backside complete,0.754928112030029,John Kerry,Female,White,No,18-24,Democrat,Very liberal,Some college or associate degree,,Worse today,"Yes, I do",Jewish,No,In the last week,Economy/Jobs,He is honest and trustworthy,Very important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Only John Kerry,Yes,Takes more jobs from your state,Both candidates,18-29,18-29,18-24,Very/somewhat important,No college degree,Yes,,18-64,Democrat,Liberal,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,New York City,"City over 500,000","City over 50,000",17.0,10471.0
994590.0,New York,63.0,Call 1,Backside complete,0.63897043466568,John Kerry,Male,White,No,45-49,Democrat,Moderate,Postgraduate study,"$100,000 or more",Better today,No one does,Jewish,No,In the last month,Economy/Jobs,He cares about people like me,Not at all important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Only John Kerry,No,Creates more jobs in your state,Only John Kerry,45-64,45-59,40-49,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Moderate,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994595.0,New York,79.0,Call 1,Backside complete,1.93091630935669,Dennis Kucinich,Female,White,No,50-59,Something Else,Very liberal,Some college or associate degree,"$50,000-$74,999",About the same,No one does,None,No,In the last week,Omit,He has the right experience,Very important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Neither candidate,Yes,Creates more jobs in your state,Both candidates,45-64,45-59,50-64,Very/somewhat important,No college degree,Yes,"$50,000 or more",18-64,Independent,Liberal,None,White None,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,White,New York City,"City over 500,000","City over 50,000",7.0,11377.0
994599.0,New York,8.0,Call 1,Backside complete,0.779455542564392,John Kerry,Female,White,No,65-74,Democrat,Somewhat liberal,Postgraduate study,"$50,000-$74,999",Worse today,"Yes, I do",Jewish,No,Before that,Health care/Medicare,He can defeat George W. Bush,Somewhat important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,65 or over,60 or over,65 or over,Very/somewhat important,College degree,Yes,"$50,000 or more",65 or over,Democrat,Liberal,Jewish,White Jewish,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,New York City,"City over 500,000","City over 50,000",17.0,10471.0
994603.0,New York,63.0,Call 1,Backside complete,0.719497382640839,John Kerry,Female,White,No,75 or over,Independent,Very liberal,College graduate,"$15,000-$29,999",Worse today,"Yes, I do",Jewish,No,Today,Economy/Jobs,He can defeat George W. Bush,Somewhat important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Neither candidate,Yes,Has no effect on jobs in your state,Both candidates,65 or over,60 or over,65 or over,Very/somewhat important,College degree,Yes,"Under $50,000",65 or over,Independent,Liberal,Jewish,White Jewish,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
994606.0,New York,8.0,Call 1,Backside complete,0.692218005657196,John Kerry,Male,White,No,40-44,Democrat,Moderate,Postgraduate study,"$50,000-$74,999",Worse today,No one does,Jewish,Yes,Before that,Economy/Jobs,He can defeat George W. Bush,Not at all important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Only John Kerry,30-44,30-44,40-49,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Moderate,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,New York City,"City over 500,000","City over 50,000",17.0,10471.0
994609.0,New York,52.0,Call 1,Backside complete,0.501538217067719,John Kerry,Male,White,No,65-74,Democrat,Very liberal,Postgraduate study,"$30,000-$49,999",About the same,,Protestant,No,In the last month,Economy/Jobs,He can defeat George W. Bush,Not too important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Creates more jobs in your state,Only John Kerry,65 or over,60 or over,65 or over,Not too/not at all important,College degree,Yes,"Under $50,000",65 or over,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,,,White,Long Island,Suburbs,Suburbs,4.0,11510.0
994611.0,New York,63.0,Call 1,Backside complete,0.616759777069092,John Edwards,Male,White,No,50-59,Democrat,Very liberal,Postgraduate study,"$100,000 or more",About the same,No one does,Protestant,No,Today,Economy/Jobs,He is honest and trustworthy,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,No,Creates more jobs in your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,White,New York City,"City over 500,000","City over 50,000",14.0,10128.0
