GENDER,AGE10,QRACEAI,MAY,VOTE2024,CALL,EDUC25,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,STECNYC,GETAHEAD25,TRACKANGR,FORTRUMPM25,TRUMP4,FAVDEM4,FAVREP4,RELIGN18,QLT25NYC,TIME25M,SIZEPLAC,VOTEMETHOD,TELEPOLL,EARLYVELECTION,RACE2B,EDUCCOLL,AGE,ID,WEIGHT,ZIPCODE,PRECINCT,VERSION,RACE,AGE45,AGE65,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,STECNYC2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25MWEEK,TIME25MMONTH,SIZEPLC3,REL5
Male, 65-74,White,Curtis Sliwa,Donald Trump,2.0,Bachelor's degree (BA or BS),Republican,,Very liberal,,Not so good,,,,,Strongly unfavorable,Somewhat unfavorable,Other Christian,1.0,You have known all along,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,College graduate,65 or over,66.0,1.0,10000.0,29.0,2.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Liberal,,,,Not so good or poor,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Protestant or other Christian
Male,60-64,White,Andrew Cuomo,Kamala Harris,2.0,Bachelor's degree (BA or BS),Republican,,Very conservative,"$30,000-$49,999",,Holding steady,,To support Donald Trump,Somewhat approve,,,Other Christian,,,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,45-64,70.0,1.0,10000.0,24.0,1.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,"City over 50,000",Protestant or other Christian
Male, 65-74,Black,Andrew Cuomo,Kamala Harris,2.0,Bachelor's degree (BA or BS),Independent,Lean Democrat,Very conservative,"Under $30,000",,Holding steady,,To support Donald Trump,Strongly approve,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,65 or over,71.0,1.0,10000.0,27.0,1.0,Black,45 or over,65 or over,Black men,Non-white college graduates,Non-whites,Independent/Something else,Democrat/Lean Democrat,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,"City over 50,000",Catholic
Male,50-59,Hispanic/Latino,Eric Adams,Kamala Harris,3.0,Bachelor's degree (BA or BS),Democrat,,Very conservative,"$5300,000 or more",,Falling behind,,To support Donald Trump,Strongly disapprove,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,45-64,78.0,1.0,10000.0,11.0,1.0,Hispanic/Latino,45 or over,50-64,Latino men,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,"City over 50,000",Catholic
Female, 65-74,Black,Zohran Mamdani,Kamala Harris,3.0,Bachelor's degree (BA or BS),Democrat,,Moderate,,Good,,,,,Somewhat unfavorable,Somewhat unfavorable,Catholic,4.0,You have known all along,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,65 or over,82.0,1.0,10000.0,1.0,2.0,Black,45 or over,65 or over,Black women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Catholic
Male,60-64,Black,Zohran Mamdani,Kamala Harris,2.0,Not a high school graduate,Independent,Not lean either way,Moderate,"$30,000-$49,999",,Falling behind,,To oppose Donald Trump,Strongly disapprove,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,No college degree,45-64,92.0,1.0,10000.0,15.0,1.0,Black,45 or over,50-64,Black men,Non-white non-college graduates,Non-whites,Independent/Something else,Independent,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",Catholic
Female, 65-74,White,Andrew Cuomo,Donald Trump,3.0,Not a high school graduate,Republican,,Somewhat liberal,,Excellent,,,,,Strongly unfavorable,Somewhat favorable,Catholic,3.0,Before October,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,65 or over,93.0,1.0,10000.0,20.0,2.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Liberal,,,,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,"City over 50,000",Catholic
Male,75 or over,Black,Zohran Mamdani,Kamala Harris,3.0,Attended college but received no degree,Democrat,,Somewhat liberal,,,,,,,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,No college degree,65 or over,94.0,1.0,10000.0,2.0,3.0,Black,45 or over,65 or over,Black men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,"City over 50,000",Catholic
Female,50-59,White,Andrew Cuomo,Kamala Harris,1.0,Attended college but received no degree,Independent,Not lean either way,Moderate,"$50,000-$99,999",,Falling behind,,To support Donald Trump,Strongly approve,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,45-64,95.0,1.0,10000.0,11.0,1.0,White,45 or over,50-64,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Independent,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,"City over 50,000",Catholic
Female,75 or over,Black,Zohran Mamdani,Kamala Harris,3.0,High school graduate,Democrat,,Somewhat liberal,"$30,000-$49,999",,Holding steady,,Donald Trump was not a facctor,Strongly disapprove,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,65 or over,97.0,1.0,10000.0,3.0,1.0,Black,45 or over,65 or over,Black women,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",Catholic
Male, 65-74,White,Andrew Cuomo,Kamala Harris,1.0,Associate's degree (AA or AS),Republican,,Moderate,,Good,,,,,Somewhat unfavorable,Somewhat favorable,Catholic,5.0,Before October,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,65 or over,109.0,1.0,10000.0,6.0,2.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Moderate,,,,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,"City over 50,000",Catholic
Male,40-44,White,Curtis Sliwa,Kamala Harris,3.0,Attended college but received no degree,Democrat,,Somewhat conservative,,Excellent,,,,,Strongly unfavorable,Somewhat unfavorable,Jewish,1.0,Before October,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,30-44,110.0,1.0,10000.0,27.0,2.0,White,18-44,40-49,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Conservative,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Jewish
Female,60-64,Hispanic/Latino,Andrew Cuomo,Kamala Harris,3.0,Attended college but received no degree,Republican,,Very conservative,"Under $30,000",,Holding steady,,To oppose Donald Trump,Strongly approve,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,No college degree,45-64,117.0,1.0,10000.0,30.0,1.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,"City over 50,000",Protestant or other Christian
Female,35-39,Black,Zohran Mamdani,Kamala Harris,3.0,Bachelor's degree (BA or BS),Democrat,,Somewhat liberal,,,,Angry,,,,,Muslim,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,College graduate,30-44,130.0,1.0,10000.0,28.0,3.0,Black,18-44,30-39,Black women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,"City over 50,000",Other
Male,30-34,Hispanic/Latino,Zohran Mamdani,Kamala Harris,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Moderate,"$30,000-$49,999",,Falling behind,,Donald Trump was not a facctor,Strongly disapprove,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,College graduate,30-44,131.0,1.0,10000.0,7.0,1.0,Hispanic/Latino,18-44,30-39,Latino men,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",Catholic
Female,50-59,White,Curtis Sliwa,Donald Trump,3.0,Associate's degree (AA or AS),Republican,,Moderate,,Excellent,,,,,Strongly unfavorable,Strongly unfavorable,Protestant,5.0,You have known all along,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,45-64,141.0,1.0,10000.0,30.0,2.0,White,45 or over,50-64,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Moderate,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Protestant or other Christian
Female,50-59,White,Zohran Mamdani,Kamala Harris,3.0,Bachelor's degree (BA or BS),Democrat,,Moderate,,,,,,,,,Muslim,,,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,45-64,148.0,1.0,10000.0,13.0,3.0,White,45 or over,50-64,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,"City over 50,000",Other
Male,18-24,Black,Zohran Mamdani,Kamala Harris,1.0,Bachelor's degree (BA or BS),Democrat,,Moderate,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,College graduate,18-29,150.0,1.0,10000.0,17.0,3.0,Black,18-44,18-24,Black men,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",Catholic
Male,30-34,White,Zohran Mamdani,Kamala Harris,3.0,Bachelor's degree (BA or BS),Democrat,,Very liberal,,Not so good,,,,,Somewhat favorable,Somewhat unfavorable,None,4.0,Earlier in October,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,College graduate,30-44,155.0,1.0,10000.0,20.0,2.0,White,18-44,30-39,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,In the last month,"City over 50,000",None
Male,45-49,Hispanic/Latino,Zohran Mamdani,Kamala Harris,1.0,Bachelor's degree (BA or BS),Democrat,,Very conservative,,,,Angry,,,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,45-64,163.0,1.0,10000.0,3.0,3.0,Hispanic/Latino,45 or over,40-49,Latino men,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Conservative,,,,,,,,,,,"City over 50,000",Catholic
Female, 65-74,White,Andrew Cuomo,Donald Trump,3.0,Not a high school graduate,Republican,,Very conservative,,,,,,,,,Jewish,,,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,65 or over,168.0,1.0,10000.0,15.0,3.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,,,,,,,,"City over 50,000",Jewish
Male,50-59,Hispanic/Latino,Zohran Mamdani,Kamala Harris,2.0,Bachelor's degree (BA or BS),Independent,Not lean either way,Somewhat liberal,"$30,000-$49,999",,Holding steady,,Donald Trump was not a facctor,Strongly disapprove,,,Jewish,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,45-64,171.0,1.0,10000.0,1.0,1.0,Hispanic/Latino,45 or over,50-64,Latino men,Non-white college graduates,Non-whites,Independent/Something else,Independent,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",Jewish
Female,75 or over,Asian,Zohran Mamdani,Kamala Harris,2.0,Attended college but received no degree,Democrat,,Somewhat liberal,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,65 or over,173.0,1.0,10000.0,6.0,3.0,Asian,45 or over,65 or over,All other,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",Catholic
Female,18-24,Black,Zohran Mamdani,Did not vote,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Independent,Not lean either way,Somewhat liberal,"$30,000-$49,999",,Holding steady,,To oppose Donald Trump,Strongly disapprove,,,None,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,18-29,174.0,1.0,10000.0,21.0,1.0,Black,18-44,18-24,Black women,Non-white college graduates,Non-whites,Independent/Something else,Independent,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",None
Male,75 or over,White,Zohran Mamdani,Kamala Harris,3.0,Bachelor's degree (BA or BS),Democrat,,Somewhat liberal,,Not so good,,,,,Somewhat favorable,Somewhat unfavorable,Catholic,1.0,Before October,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,65 or over,177.0,1.0,10000.0,4.0,2.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",Catholic
Female,18-24,Asian,Zohran Mamdani,Donald Trump,2.0,Bachelor's degree (BA or BS),Independent,Lean Republican,Somewhat liberal,,Not so good,,,,,Somewhat favorable,Strongly unfavorable,Catholic,2.0,Before October,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,College graduate,18-29,179.0,1.0,10000.0,6.0,2.0,Asian,18-44,18-24,All other,Non-white college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",Catholic
Female, 65-74,White,Andrew Cuomo,Kamala Harris,2.0,Bachelor's degree (BA or BS),Republican,,Very conservative,,Good,,,,,Somewhat unfavorable,Somewhat favorable,Other Christian,1.0,You have known all along,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,65 or over,199.0,1.0,10000.0,8.0,2.0,White,45 or over,65 or over,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Conservative,,,,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,"City over 50,000",Protestant or other Christian
Male,75 or over,White,Curtis Sliwa,Donald Trump,3.0,High school graduate,Democrat,,Somewhat liberal,"$100,000-$199,999",,Falling behind,,To support Donald Trump,Strongly disapprove,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,65 or over,205.0,1.0,10000.0,24.0,1.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,"City over 50,000",Protestant or other Christian
Female,50-59,White,Curtis Sliwa,Donald Trump,1.0,Attended college but received no degree,Democrat,,Very liberal,,Good,,,,,Somewhat unfavorable,Somewhat unfavorable,Catholic,2.0,Earlier in October,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,45-64,208.0,1.0,10000.0,29.0,2.0,White,45 or over,50-64,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,In the last month,"City over 50,000",Catholic
Male, 65-74,White,Curtis Sliwa,Donald Trump,2.0,High school graduate,Democrat,,Moderate,,,,Angry,,,,,Jewish,,,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,65 or over,209.0,1.0,10000.0,9.0,3.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,"City over 50,000",Jewish
Female,35-39,White,Zohran Mamdani,Kamala Harris,3.0,Attended college but received no degree,Democrat,,Somewhat liberal,,,,,,,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,30-44,210.0,1.0,10000.0,9.0,3.0,White,18-44,30-39,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,"City over 50,000",Protestant or other Christian
Female,25-29,White,Zohran Mamdani,Kamala Harris,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Moderate,,,,Angry,,,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,18-29,218.0,1.0,10000.0,30.0,3.0,White,18-44,25-29,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Moderate,,,,,,,,,,,"City over 50,000",Protestant or other Christian
Male,50-59,Black,Andrew Cuomo,Kamala Harris,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Very conservative,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,Jewish,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,45-64,219.0,1.0,10000.0,2.0,3.0,Black,45 or over,50-64,Black men,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",Jewish
Female,18-24,Black,Zohran Mamdani,Donald Trump,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Independent,Lean Republican,Very liberal,,Not so good,,,,,Strongly favorable,Strongly unfavorable,None,4.0,Before October,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,18-29,224.0,1.0,10000.0,6.0,2.0,Black,18-44,18-24,Black women,Non-white college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",None
Female, 65-74,White,Andrew Cuomo,Kamala Harris,2.0,Bachelor's degree (BA or BS),Independent,Lean Democrat,Moderate,,,,,,,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,College graduate,65 or over,226.0,1.0,10000.0,29.0,3.0,White,45 or over,65 or over,White women,White college graduates,White women college graduates,Independent/Something else,Democrat/Lean Democrat,Moderate,,,,,,,,,,,"City over 50,000",Catholic
Male, 65-74,Hispanic/Latino,Andrew Cuomo,Kamala Harris,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Independent,Lean Republican,Very conservative,"$50,000-$99,999",,Holding steady,,To support Donald Trump,Somewhat approve,,,Jewish,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,College graduate,65 or over,227.0,1.0,10000.0,2.0,1.0,Hispanic/Latino,45 or over,65 or over,Latino men,Non-white college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,"City over 50,000",Jewish
Female,60-64,Hispanic/Latino,Zohran Mamdani,Kamala Harris,3.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,,Not so good,,,,,Somewhat favorable,Strongly unfavorable,Catholic,2.0,In the last week,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,45-64,233.0,1.0,10000.0,1.0,2.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,In the last week,In the last month,"City over 50,000",Catholic
Female, 65-74,White,Zohran Mamdani,Kamala Harris,2.0,High school graduate,Something else,Not lean either way,Somewhat liberal,,Poor,,,,,Strongly favorable,Somewhat unfavorable,Catholic,1.0,You have known all along,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,65 or over,237.0,1.0,10000.0,29.0,2.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Independent,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",Catholic
Female, 65-74,White,Zohran Mamdani,Kamala Harris,1.0,Attended college but received no degree,Democrat,,Moderate,,Not so good,,,,,Somewhat favorable,Somewhat favorable,Muslim,2.0,Before October,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,No college degree,65 or over,243.0,1.0,10000.0,30.0,2.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,Not so good or poor,,,Favorable,Favorable,Before that,Before that,"City over 50,000",Other
Male,60-64,White,Curtis Sliwa,Donald Trump,1.0,Bachelor's degree (BA or BS),Democrat,,Somewhat conservative,,Good,,,,,Somewhat unfavorable,Strongly unfavorable,Catholic,1.0,Before October,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,45-64,247.0,1.0,10000.0,3.0,2.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Conservative,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Catholic
