GENDER,AGE10,QRACEAI,PROP50,EDUC25,VOTE2024,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,STECCA,GETAHEAD25,TRACKANGR,FORTRUMPP25,TRUMP4,FAVDEM4,FAVREP4,ISSUE25CA,TIME25P,SIZEPLAC,VOTEMETHOD,TELEPOLL,EARLYVELECTION,ID,WEIGHT,PRECINCT,ZIPCODE,VERSION,RACE,AGE,AGE45,AGE65,RACE2B,EDUCCOLL,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,STECCA2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25PWEEK,TIME25PMONTH,SIZEPLC3
I identify another way,30-34,Hispanic/Latino,Yes,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Kamala Harris,Democrat,,Somewhat liberal,"$30,000-$49,999",Good,Holding steady,Angry,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,1.0,Earlier in October,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,11.0,1.0,,10000.0,1.0,Hispanic/Latino,30-44,18-44,30-39,Non-white,College graduate,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,,Disapprove,Favorable,Unfavorable,Before that,In the last month,Suburbs
Female, 65-74,White,No,Attended college but received no degree,Donald Trump,Republican,,Somewhat conservative,"Under $30,000",Not so good,Holding steady,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Somewhat disapprove,Strongly unfavorable,Somewhat favorable,1.0,In the last few days,Rural,Early in-person,Non Exit Poll,Absentee or early in-person,12.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Disapprove,Unfavorable,Favorable,In the last week,In the last month,Small city and Rural
Female,18-24,White,No,Attended college but received no degree,Donald Trump,Republican,,Moderate,"$30,000-$49,999",Not so good,Holding steady,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Strongly approve,Strongly unfavorable,Strongly favorable,5.0,Before October,"Over 500,000",Early in-person,Non Exit Poll,Election day,13.0,1.0,,10000.0,1.0,White,18-29,18-44,18-24,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Unfavorable,Favorable,Before that,Before that,"City over 50,000"
Male,25-29,Black,Yes,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Kamala Harris,Democrat,,Very liberal,"$50,000-$99,999",Not so good,Holding steady,,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,2.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,14.0,1.0,,10000.0,1.0,Black,18-29,18-44,25-29,Non-white,College graduate,Black men,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Female,50-59,White,Yes,Attended college but received no degree,Kamala Harris,Democrat,,Somewhat liberal,"$30,000-$49,999",Good,Falling behind,Angry,To oppose Donald Trump,Somewhat disapprove,Somewhat favorable,Strongly unfavorable,3.0,In the last week,"Over 500,000",Early in-person,Non Exit Poll,Absentee or early in-person,15.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,No college degree,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,,Disapprove,Favorable,Unfavorable,In the last week,In the last month,"City over 50,000"
Male,30-34,Asian,No,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Donald Trump,Republican,,Very conservative,"$200,000-$299,999",Poor,Holding steady,,To oppose Donald Trump,Somewhat approve,Strongly unfavorable,Somewhat favorable,2.0,You have known all along,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,16.0,1.0,,10000.0,1.0,Asian,30-44,18-44,30-39,Non-white,College graduate,All other,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
Female,35-39,White,No,Bachelor's degree (BA or BS),Donald Trump,Republican,,Somewhat liberal,"$100,000-$199,999",Not so good,Holding steady,,Donald Trump was not a facctor,Somewhat approve,Somewhat unfavorable,Somewhat favorable,3.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,17.0,1.0,,10000.0,1.0,White,30-44,18-44,30-39,White,College graduate,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
Female,60-64,White,No,High school graduate,Donald Trump,Democrat,,Somewhat liberal,"$100,000-$199,999",Not so good,Holding steady,,To support Donald Trump,Somewhat approve,Somewhat favorable,Somewhat favorable,3.0,Earlier in October,"Over 500,000",Election Day,Non Exit Poll,Absentee or early in-person,18.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,No college degree,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Approve,Favorable,Favorable,Before that,In the last month,"City over 50,000"
Female, 65-74,White,No,Attended college but received no degree,Donald Trump,Republican,,Somewhat conservative,"$50,000-$99,999",Poor,Holding steady,,To support Donald Trump,Strongly approve,Strongly unfavorable,Strongly favorable,2.0,Before October,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,19.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
Female,45-49,White,Yes,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Kamala Harris,Democrat,,Moderate,"$30,000-$49,999",Not so good,Holding steady,,Donald Trump was not a facctor,Somewhat approve,Strongly favorable,Strongly unfavorable,3.0,You have known all along,"10,000-50,000",Early in-person,Non Exit Poll,Absentee or early in-person,20.0,1.0,,10000.0,1.0,White,45-64,45 or over,40-49,White,College graduate,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Not so good or poor,,Approve,Favorable,Unfavorable,Before that,Before that,Small city and Rural
Male, 65-74,White,No,Bachelor's degree (BA or BS),Donald Trump,Republican,,Very conservative,"$200,000-$299,999",Poor,Holding steady,,To oppose Donald Trump,Somewhat approve,Strongly unfavorable,Strongly unfavorable,2.0,In the last week,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,21.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,College graduate,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Approve,Unfavorable,Unfavorable,In the last week,In the last month,Suburbs
Male, 65-74,White,Yes,Bachelor's degree (BA or BS),Kamala Harris,Democrat,,Moderate,"$100,000-$199,999",Not so good,Falling behind,,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,2.0,Before October,"Over 500,000",Election Day,Non Exit Poll,Absentee or early in-person,22.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,College graduate,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Disapprove,Favorable,Unfavorable,Before that,Before that,"City over 50,000"
Male,60-64,White,No,Attended college but received no degree,Donald Trump,Independent,Lean Republican,Somewhat conservative,"$50,000-$99,999",Poor,Holding steady,Angry,To support Donald Trump,Strongly approve,Strongly unfavorable,Strongly unfavorable,5.0,In the last week,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,23.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,No college degree,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Unfavorable,Unfavorable,In the last week,In the last month,Suburbs
Male,50-59,White,Yes,Attended college but received no degree,Kamala Harris,Something else,Not lean either way,Somewhat liberal,"$200,000-$299,999",Excellent,Holding steady,Angry,Donald Trump was not a facctor,Strongly disapprove,Somewhat favorable,Strongly unfavorable,4.0,Before October,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,24.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,No college degree,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Female,30-34,White,Yes,High school graduate,Kamala Harris,Independent,Lean Democrat,Moderate,"$30,000-$49,999",Good,Falling behind,Angry,To oppose Donald Trump,Strongly disapprove,Strongly unfavorable,Strongly unfavorable,2.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,25.0,1.0,,10000.0,1.0,White,30-44,18-44,30-39,White,No college degree,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,,Disapprove,Unfavorable,Unfavorable,Before that,Before that,Suburbs
Female, 65-74,Asian,No,Attended college but received no degree,Donald Trump,Republican,,Somewhat conservative,"$30,000-$49,999",Good,Holding steady,,To oppose Donald Trump,Strongly approve,Somewhat unfavorable,Somewhat favorable,1.0,Earlier in October,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,26.0,1.0,,10000.0,1.0,Asian,65 or over,45 or over,65 or over,Non-white,No college degree,All other,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,,Approve,Unfavorable,Favorable,Before that,In the last month,Suburbs
Female,75 or over,White,Yes,Bachelor's degree (BA or BS),Kamala Harris,Democrat,,Moderate,"$5300,000 or more",Excellent,Holding steady,Angry,To oppose Donald Trump,Strongly disapprove,Strongly unfavorable,Somewhat unfavorable,1.0,Earlier in October,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,27.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,College graduate,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,,Disapprove,Unfavorable,Unfavorable,Before that,In the last month,Suburbs
Female,30-34,Black,No,Bachelor's degree (BA or BS),Donald Trump,Republican,,Moderate,"$100,000-$199,999",Not so good,Falling behind,,To support Donald Trump,Strongly approve,Somewhat unfavorable,Somewhat favorable,2.0,Before October,"Over 500,000",Early in-person,Non Exit Poll,Absentee or early in-person,28.0,1.0,,10000.0,1.0,Black,30-44,18-44,30-39,Non-white,College graduate,Black women,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,"City over 50,000"
Male,50-59,Asian,Yes,Attended college but received no degree,Kamala Harris,Democrat,,Moderate,"$50,000-$99,999",Excellent,Holding steady,Angry,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Somewhat favorable,3.0,In the last few days,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,29.0,1.0,,10000.0,1.0,Asian,45-64,45 or over,50-64,Non-white,No college degree,All other,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Excellent or good,,Disapprove,Favorable,Favorable,In the last week,In the last month,Suburbs
Male,25-29,White,No,Associate's degree (AA or AS),Donald Trump,Republican,,Somewhat conservative,"$50,000-$99,999",Not so good,Holding steady,,Donald Trump was not a facctor,Somewhat approve,Somewhat unfavorable,Strongly favorable,5.0,In the last week,"50,000-500,000",Election Day,Non Exit Poll,Absentee or early in-person,30.0,1.0,,10000.0,1.0,White,18-29,18-44,25-29,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Unfavorable,Favorable,In the last week,In the last month,"City over 50,000"
Female,50-59,White,Yes,Associate's degree (AA or AS),Donald Trump,Democrat,,Somewhat conservative,"$100,000-$199,999",Not so good,Falling behind,Angry,To oppose Donald Trump,Somewhat disapprove,Strongly favorable,Somewhat unfavorable,1.0,Before October,"50,000-500,000",Election Day,Non Exit Poll,Absentee or early in-person,31.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,No college degree,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Disapprove,Favorable,Unfavorable,Before that,Before that,"City over 50,000"
Male,60-64,White,No,Bachelor's degree (BA or BS),Donald Trump,Independent,Lean Republican,Very conservative,"$50,000-$99,999",Poor,Holding steady,,To support Donald Trump,Somewhat approve,Somewhat unfavorable,Somewhat favorable,1.0,You have known all along,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,32.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,College graduate,White men,White college graduates,White men college graduates,Independent/Something else,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
Female,45-49,White,Yes,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Kamala Harris,Independent,Lean Democrat,Very conservative,"$200,000-$299,999",Not so good,Getting ahead,Angry,To oppose Donald Trump,Strongly approve,Somewhat favorable,Strongly unfavorable,3.0,Before October,"50,000-500,000",Early in-person,Non Exit Poll,Absentee or early in-person,33.0,1.0,,10000.0,1.0,White,45-64,45 or over,40-49,White,College graduate,White women,White college graduates,White women college graduates,Independent/Something else,Democrat/Lean Democrat,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Approve,Favorable,Unfavorable,Before that,Before that,"City over 50,000"
Male,45-49,White,No,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Donald Trump,Independent,Not lean either way,Moderate,"$50,000-$99,999",Not so good,Holding steady,,To support Donald Trump,Somewhat approve,Strongly unfavorable,Somewhat favorable,5.0,In the last week,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,34.0,1.0,,10000.0,1.0,White,45-64,45 or over,40-49,White,College graduate,White men,White college graduates,White men college graduates,Independent/Something else,Independent,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Unfavorable,Favorable,In the last week,In the last month,Suburbs
Male,50-59,White,Yes,Attended college but received no degree,Kamala Harris,Democrat,,Moderate,"$100,000-$199,999",Good,Getting ahead,,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly favorable,1.0,You have known all along,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,35.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,No college degree,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,,Disapprove,Favorable,Favorable,Before that,Before that,Suburbs
Male,50-59,Hispanic/Latino,Yes,Attended college but received no degree,Kamala Harris,Democrat,,Moderate,"$50,000-$99,999",Good,Holding steady,Angry,To oppose Donald Trump,Strongly disapprove,Somewhat unfavorable,Somewhat unfavorable,3.0,Before October,"Over 500,000",Early in-person,Non Exit Poll,Absentee or early in-person,36.0,1.0,,10000.0,1.0,Hispanic/Latino,45-64,45 or over,50-64,Non-white,No college degree,Latino men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Excellent or good,,Disapprove,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000"
Male,25-29,White,Yes,Attended college but received no degree,Kamala Harris,Independent,Not lean either way,Moderate,"$5300,000 or more",Good,Holding steady,Angry,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,2.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,37.0,1.0,,10000.0,1.0,White,18-29,18-44,25-29,White,No college degree,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Female,35-39,White,Yes,Bachelor's degree (BA or BS),Kamala Harris,Democrat,,Somewhat liberal,"Under $30,000",Good,Falling behind,,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,1.0,Before October,"50,000-500,000",Early in-person,Non Exit Poll,Absentee or early in-person,38.0,1.0,,10000.0,1.0,White,30-44,18-44,30-39,White,College graduate,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,,Disapprove,Favorable,Unfavorable,Before that,Before that,"City over 50,000"
Female,50-59,American Indian,No,Associate's degree (AA or AS),Donald Trump,Independent,Lean Democrat,Moderate,"$50,000-$99,999",Poor,Holding steady,,Donald Trump was not a facctor,Somewhat approve,Strongly unfavorable,Somewhat favorable,3.0,You have known all along,"Over 500,000",Election Day,Non Exit Poll,Absentee or early in-person,39.0,1.0,,10000.0,1.0,Other,45-64,45 or over,50-64,Non-white,No college degree,All other,Non-white non-college graduates,Non-whites,Independent/Something else,Democrat/Lean Democrat,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,"City over 50,000"
Male, 65-74,Asian,No,Bachelor's degree (BA or BS),Donald Trump,Republican,,Somewhat conservative,"$100,000-$199,999",Not so good,Holding steady,,Donald Trump was not a facctor,Strongly approve,Somewhat unfavorable,Somewhat favorable,1.0,Earlier in October,"50,000-500,000",Election Day,Non Exit Poll,Absentee or early in-person,40.0,1.0,,10000.0,1.0,Asian,65 or over,45 or over,65 or over,Non-white,College graduate,All other,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,In the last month,"City over 50,000"
Female,40-44,White,Yes,Associate's degree (AA or AS),Kamala Harris,Democrat,,Very liberal,"$30,000-$49,999",Excellent,Falling behind,,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,4.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,41.0,1.0,,10000.0,1.0,White,30-44,18-44,40-49,White,No college degree,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
