GENDER,AGE10,QRACEAI,GOV,VOTE2024,CALL,EDUC25,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,STECNJ,GETAHEAD25,TRACKANGR,FORTRUMPG25,TRUMP4,FAVDEM4,FAVREP4,ISSUE25NJ,QLT25NJ,TIME25G,SIZEPLAC,VOTEMETHOD,TELEPOLL,EARLYVELECTION,CHILD12,RACE2B,EDUCCOLL,AGE,ID,WEIGHT,ZIPCODE,PRECINCT,VERSION,RACE,AGE45,AGE65,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,STECNJ2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25GWEEK,TIME25GMONTH,SIZEPLC3,PARENTS
Female,60-64,White,Mikie Sherill,Kamala Harris,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Something else,Lean Republican,Somewhat liberal,,Good,,,,,Strongly favorable,Strongly unfavorable,,5.0,You have known all along,Rural,Election Day,Exit Poll,Election day,No,White,College graduate,45-64,45.0,1.0,10000.0,23.0,2.0,White,45 or over,50-64,White women,White college graduates,White women college graduates,Independent/Something else,Republican/Lean Republican,Liberal,,,,Excellent or good,,,Favorable,Unfavorable,Before that,Before that,Small city and Rural,Women without children
Male, 65-74,White,Jack Ciattarelli,Donald Trump,1.0,Bachelor's degree (BA or BS),Independent,Lean Democrat,Moderate,"$30,000-$49,999",,Falling behind,,To oppose Donald Trump,Strongly approve,,,4.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,College graduate,65 or over,49.0,1.0,10000.0,2.0,1.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Independent/Something else,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,Suburbs,
Female,30-34,White,Jack Ciattarelli,Donald Trump,3.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Somewhat conservative,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,College graduate,30-44,56.0,1.0,10000.0,18.0,3.0,White,18-44,30-39,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Conservative,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Suburbs,
Female,18-24,White,Jack Ciattarelli,Donald Trump,2.0,Attended college but received no degree,Republican,,Moderate,,Good,,,,,Strongly unfavorable,Somewhat favorable,,3.0,You have known all along,Suburbs,Election Day,Exit Poll,Election day,No,White,No college degree,18-29,57.0,1.0,10000.0,3.0,2.0,White,18-44,18-24,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Moderate,,,,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,Suburbs,Women without children
Male,50-59,White,Jack Ciattarelli,Donald Trump,2.0,High school graduate,Republican,,Very conservative,"Under $30,000",,Holding steady,,To support Donald Trump,Strongly approve,,,2.0,,,"50,000-500,000",Election Day,Exit Poll,Election day,,White,No college degree,45-64,62.0,1.0,10000.0,21.0,1.0,White,45 or over,50-64,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,"City over 50,000",
Male,60-64,White,Jack Ciattarelli,Donald Trump,2.0,Bachelor's degree (BA or BS),Independent,Lean Democrat,Somewhat conservative,"$50,000-$99,999",,Holding steady,,To support Donald Trump,Strongly approve,,,3.0,,,"50,000-500,000",Election Day,Exit Poll,Election day,,White,College graduate,45-64,64.0,1.0,10000.0,17.0,1.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Independent/Something else,Democrat/Lean Democrat,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,"City over 50,000",
Female,60-64,Black,Mikie Sherill,Kamala Harris,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Very liberal,,Not so good,,,,,Strongly unfavorable,Strongly unfavorable,,5.0,Before October,"50,000-500,000",Election Day,Exit Poll,Election day,No,Non-white,College graduate,45-64,68.0,1.0,10000.0,7.0,2.0,Black,45 or over,50-64,Black women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,Not so good or poor,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Women without children
Female,60-64,White,Jack Ciattarelli,Donald Trump,3.0,Attended college but received no degree,Republican,,Moderate,"$100,000-$199,999",,Holding steady,,To support Donald Trump,Strongly approve,,,3.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,45-64,72.0,1.0,10000.0,1.0,1.0,White,45 or over,50-64,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,Suburbs,
Female, 65-74,White,Jack Ciattarelli,Donald Trump,2.0,Bachelor's degree (BA or BS),Independent,Not lean either way,Very conservative,,Good,,,,,Somewhat unfavorable,Strongly favorable,,1.0,You have known all along,"50,000-500,000",Election Day,Exit Poll,Election day,Yes,White,College graduate,65 or over,78.0,1.0,10000.0,17.0,2.0,White,45 or over,65 or over,White women,White college graduates,White women college graduates,Independent/Something else,Independent,Conservative,,,,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,"City over 50,000",Women with children
Male,60-64,Hispanic/Latino,Mikie Sherill,Kamala Harris,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Moderate,,,,Enthusiastic,,,,,,,,Rural,Election Day,Exit Poll,Election day,,Non-white,College graduate,45-64,82.0,1.0,10000.0,12.0,3.0,Hispanic/Latino,45 or over,50-64,Latino men,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Small city and Rural,
Male, 65-74,White,Jack Ciattarelli,Donald Trump,2.0,Associate's degree (AA or AS),Republican,,Somewhat conservative,,,,,,,,,,,,"50,000-500,000",Election Day,Exit Poll,Election day,,White,No college degree,65 or over,91.0,1.0,10000.0,11.0,3.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,,,,,,,,"City over 50,000",
Male,18-24,White,Jack Ciattarelli,Kamala Harris,3.0,Associate's degree (AA or AS),Independent,Not lean either way,Moderate,"$5300,000 or more",,Getting ahead,,To support Donald Trump,Somewhat approve,,,1.0,,,"50,000-500,000",Election Day,Exit Poll,Election day,,White,No college degree,18-29,95.0,1.0,10000.0,27.0,1.0,White,18-44,18-24,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,"City over 50,000",
Female,60-64,Hispanic/Latino,Mikie Sherill,Kamala Harris,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,,Excellent,,,,,Strongly favorable,Strongly unfavorable,,4.0,Earlier in October,"10,000-50,000",Election Day,Exit Poll,Election day,Yes,Non-white,College graduate,45-64,97.0,1.0,10000.0,22.0,2.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,Excellent or good,,,Favorable,Unfavorable,Before that,In the last month,Small city and Rural,Women with children
Male,35-39,White,Mikie Sherill,Kamala Harris,3.0,Bachelor's degree (BA or BS),Democrat,,Moderate,,,,,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,College graduate,30-44,100.0,1.0,10000.0,23.0,3.0,White,18-44,30-39,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,Suburbs,
Female,40-44,Black,Jack Ciattarelli,Donald Trump,2.0,Attended college but received no degree,Republican,,Moderate,"$50,000-$99,999",,Falling behind,,To support Donald Trump,Strongly approve,,,1.0,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,No college degree,30-44,107.0,1.0,10000.0,14.0,1.0,Black,18-44,40-49,Black women,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,Suburbs,
Female, 65-74,Asian,Mikie Sherill,Kamala Harris,2.0,Bachelor's degree (BA or BS),Democrat,,Moderate,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,,"Over 500,000",Election Day,Exit Poll,Election day,,Non-white,College graduate,65 or over,111.0,1.0,10000.0,29.0,3.0,Asian,45 or over,65 or over,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",
Female,40-44,White,Mikie Sherill,Kamala Harris,2.0,Attended college but received no degree,Democrat,,Moderate,"$100,000-$199,999",,Holding steady,,To oppose Donald Trump,Somewhat disapprove,,,4.0,,,"10,000-50,000",Election Day,Exit Poll,Election day,,White,No college degree,30-44,112.0,1.0,10000.0,1.0,1.0,White,18-44,40-49,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,Small city and Rural,
Male,50-59,White,Jack Ciattarelli,Donald Trump,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Very conservative,"Under $30,000",,Holding steady,,To oppose Donald Trump,Strongly approve,,,5.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,College graduate,45-64,113.0,1.0,10000.0,15.0,1.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,Suburbs,
Male,35-39,White,Mikie Sherill,Kamala Harris,1.0,Associate's degree (AA or AS),Something else,Not lean either way,Somewhat liberal,"$100,000-$199,999",,Getting ahead,,Donald Trump was not a facctor,Strongly disapprove,,,2.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,30-44,120.0,1.0,10000.0,19.0,1.0,White,18-44,30-39,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,Suburbs,
Female,25-29,White,Jack Ciattarelli,Donald Trump,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Moderate,,,,,,,,,,,,Rural,Election Day,Exit Poll,Election day,,White,College graduate,18-29,122.0,1.0,10000.0,24.0,3.0,White,18-44,25-29,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Moderate,,,,,,,,,,,Small city and Rural,
Female,18-24,White,Jack Ciattarelli,Donald Trump,2.0,Attended college but received no degree,Republican,,Somewhat conservative,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,18-29,141.0,1.0,10000.0,1.0,3.0,White,18-44,18-24,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Suburbs,
Male,18-24,Black,Mikie Sherill,Kamala Harris,1.0,High school graduate,Democrat,,Moderate,,Good,,,,,Somewhat favorable,Somewhat unfavorable,,5.0,You have known all along,Suburbs,Election Day,Exit Poll,Election day,Yes,Non-white,No college degree,18-29,145.0,1.0,10000.0,21.0,2.0,Black,18-44,18-24,Black men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,Excellent or good,,,Favorable,Unfavorable,Before that,Before that,Suburbs,Men with children
Female,60-64,White,Jack Ciattarelli,Donald Trump,3.0,High school graduate,Democrat,,Moderate,"$100,000-$199,999",,Falling behind,,To support Donald Trump,Somewhat approve,,,5.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,45-64,153.0,1.0,10000.0,14.0,1.0,White,45 or over,50-64,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,Suburbs,
Male,75 or over,White,Jack Ciattarelli,Donald Trump,1.0,Bachelor's degree (BA or BS),Republican,,Very conservative,,Not so good,,,,,Somewhat unfavorable,Somewhat favorable,,2.0,In the last week,Suburbs,Election Day,Exit Poll,Election day,Yes,White,College graduate,65 or over,155.0,1.0,10000.0,14.0,2.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,,,,Not so good or poor,,,Unfavorable,Favorable,In the last week,In the last month,Suburbs,Men with children
Male,75 or over,White,Mikie Sherill,Kamala Harris,1.0,Bachelor's degree (BA or BS),Democrat,,Somewhat conservative,,Excellent,,,,,Somewhat favorable,Somewhat unfavorable,,5.0,Before October,"50,000-500,000",Election Day,Exit Poll,Election day,Yes,White,College graduate,65 or over,160.0,1.0,10000.0,20.0,2.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Conservative,,,,Excellent or good,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",Men with children
Male, 65-74,White,Jack Ciattarelli,Donald Trump,3.0,Not a high school graduate,Republican,,Somewhat conservative,"$50,000-$99,999",,Getting ahead,,To oppose Donald Trump,Strongly approve,,,1.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,65 or over,164.0,1.0,10000.0,7.0,1.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,Suburbs,
Male,50-59,Hispanic/Latino,Jack Ciattarelli,Donald Trump,1.0,Attended college but received no degree,Independent,Not lean either way,Somewhat conservative,"$100,000-$199,999",,Falling behind,,To support Donald Trump,Somewhat approve,,,4.0,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,No college degree,45-64,174.0,1.0,10000.0,18.0,1.0,Hispanic/Latino,45 or over,50-64,Latino men,Non-white non-college graduates,Non-whites,Independent/Something else,Independent,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,Suburbs,
Female, 65-74,White,Mikie Sherill,Kamala Harris,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Something else,Lean Democrat,Moderate,,,,,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,College graduate,65 or over,207.0,1.0,10000.0,16.0,3.0,White,45 or over,65 or over,White women,White college graduates,White women college graduates,Independent/Something else,Democrat/Lean Democrat,Moderate,,,,,,,,,,,Suburbs,
Male,60-64,White,Jack Ciattarelli,Donald Trump,1.0,Attended college but received no degree,Democrat,,Very conservative,,,,Angry,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,45-64,218.0,1.0,10000.0,20.0,3.0,White,45 or over,50-64,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Conservative,,,,,,,,,,,Suburbs,
Male, 65-74,White,Jack Ciattarelli,Donald Trump,2.0,High school graduate,Democrat,,Very conservative,"$100,000-$199,999",,Holding steady,,To support Donald Trump,Strongly approve,,,3.0,,,"Over 500,000",Election Day,Exit Poll,Election day,,White,No college degree,65 or over,232.0,1.0,10000.0,12.0,1.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,"City over 50,000",
Male,50-59,White,Jack Ciattarelli,Donald Trump,3.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Somewhat conservative,,Not so good,,,,,Somewhat favorable,Somewhat favorable,,2.0,You have known all along,Suburbs,Election Day,Exit Poll,Election day,No,White,College graduate,45-64,233.0,1.0,10000.0,24.0,2.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,,,,Not so good or poor,,,Favorable,Favorable,Before that,Before that,Suburbs,Men without children
Male, 65-74,White,Jack Ciattarelli,Donald Trump,2.0,Attended college but received no degree,Democrat,,Somewhat conservative,"Under $30,000",,Holding steady,,To support Donald Trump,Strongly approve,,,1.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,65 or over,237.0,1.0,10000.0,30.0,1.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,Suburbs,
Female,60-64,White,Jack Ciattarelli,Donald Trump,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Independent,Not lean either way,Very conservative,"$50,000-$99,999",,Falling behind,,To support Donald Trump,Somewhat approve,,,5.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,College graduate,45-64,247.0,1.0,10000.0,15.0,1.0,White,45 or over,50-64,White women,White college graduates,White women college graduates,Independent/Something else,Independent,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,Suburbs,
Male,60-64,White,Jack Ciattarelli,Donald Trump,1.0,Bachelor's degree (BA or BS),Independent,Lean Democrat,Somewhat conservative,"$50,000-$99,999",,Holding steady,,To support Donald Trump,Somewhat approve,,,4.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,College graduate,45-64,253.0,1.0,10000.0,3.0,1.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Independent/Something else,Democrat/Lean Democrat,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,Suburbs,
Female,50-59,White,Jack Ciattarelli,Donald Trump,3.0,Associate's degree (AA or AS),Republican,,Somewhat conservative,,Not so good,,,,,Somewhat unfavorable,Strongly favorable,,1.0,You have known all along,Rural,Election Day,Exit Poll,Election day,No,White,No college degree,45-64,254.0,1.0,10000.0,6.0,2.0,White,45 or over,50-64,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,Not so good or poor,,,Unfavorable,Favorable,Before that,Before that,Small city and Rural,Women without children
Male, 65-74,White,Mikie Sherill,Kamala Harris,3.0,High school graduate,Independent,Lean Republican,Very liberal,,Good,,,,,Somewhat favorable,Strongly unfavorable,,1.0,You have known all along,Suburbs,Election Day,Exit Poll,Election day,Yes,White,No college degree,65 or over,257.0,1.0,10000.0,21.0,2.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Republican/Lean Republican,Liberal,,,,Excellent or good,,,Favorable,Unfavorable,Before that,Before that,Suburbs,Men with children
Male,50-59,White,Mikie Sherill,Kamala Harris,3.0,Associate's degree (AA or AS),Democrat,,Moderate,,Good,,,,,Somewhat unfavorable,Strongly unfavorable,,5.0,You have known all along,Suburbs,Election Day,Exit Poll,Election day,Yes,White,No college degree,45-64,258.0,1.0,10000.0,1.0,2.0,White,45 or over,50-64,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,Suburbs,Men with children
Female,35-39,Black,Mikie Sherill,Kamala Harris,2.0,Associate's degree (AA or AS),Democrat,,Somewhat liberal,,Not so good,,,,,Somewhat favorable,Strongly unfavorable,,3.0,In the last week,Suburbs,Election Day,Exit Poll,Election day,No,Non-white,No college degree,30-44,262.0,1.0,10000.0,14.0,2.0,Black,18-44,30-39,Black women,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,In the last week,In the last month,Suburbs,Women without children
Male, 65-74,White,Mikie Sherill,Kamala Harris,3.0,Attended college but received no degree,Democrat,,Very liberal,"$200,000-$299,999",,Falling behind,,Donald Trump was not a facctor,Somewhat disapprove,,,2.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,65 or over,267.0,1.0,10000.0,17.0,1.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,Suburbs,
Male,50-59,White,Jack Ciattarelli,Donald Trump,2.0,Attended college but received no degree,Republican,,Somewhat conservative,,Poor,,,,,Strongly unfavorable,Strongly unfavorable,,3.0,In the last week,Suburbs,Election Day,Exit Poll,Election day,No,White,No college degree,45-64,269.0,1.0,10000.0,25.0,2.0,White,45 or over,50-64,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,Not so good or poor,,,Unfavorable,Unfavorable,In the last week,In the last month,Suburbs,Men without children
Male,40-44,White,Jack Ciattarelli,Donald Trump,2.0,High school graduate,Democrat,,Somewhat liberal,,,,Enthusiastic,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,30-44,274.0,1.0,10000.0,10.0,3.0,White,18-44,40-49,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Suburbs,
Male, 65-74,White,Jack Ciattarelli,Donald Trump,1.0,Attended college but received no degree,Something else,Lean Republican,Somewhat conservative,"$50,000-$99,999",,Holding steady,,To oppose Donald Trump,Strongly approve,,,2.0,,,"50,000-500,000",Election Day,Exit Poll,Election day,,White,No college degree,65 or over,283.0,1.0,10000.0,18.0,1.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,"City over 50,000",
