ID,GENDER,AGE10,QRACEAI,GOV,VOTE2024,LTGOV,ATGEN,CALL,TELEPOLL,EDUC25,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,GOVTHH,BRNAGAIN,STECVA,GETAHEAD25,TRACKANGR,FORTRUMPG25,TRUMP4,FAVDEM4,FAVREP4,ISSUE25VA,QLT25VA,FORCANDVA25,TIME25G,SIZEPLAC,VOTEMETHOD,GEOCODE,EARLYVELECTION,WEIGHT,ZIPCODE,PRECINCT,VERSION,RACE,AGE,AGE45,AGE65,RACE2B,EDUCCOLL,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,WHTEVANG,STECVA2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25GWEEK,TIME25GMONTH,SIZEPLC3
116.0,Male,50-59,White,Winsome Earle-Sears,Donald Trump,John Reid,Jay Jones,3.0,Exit Poll,Bachelor's degree (BA or BS),Republican,,Somewhat liberal,,,Yes,Excellent,,,,,Somewhat unfavorable,Somewhat favorable,,5.0,,Earlier in October,Suburbs,Election Day,5.0,Election day,1.0,10000.0,27.0,2.0,White,45-64,45 or over,50-64,White,College graduate,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Liberal,,,,Yes,Excellent or good,,,Unfavorable,Favorable,Before that,In the last month,Suburbs
143.0,Male,50-59,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,2.0,Exit Poll,Bachelor's degree (BA or BS),Independent,Not lean either way,Somewhat conservative,,,Yes,,,,,,,,,,Against her opponents,,Rural,Election Day,4.0,Election day,1.0,10000.0,30.0,3.0,White,45-64,45 or over,50-64,White,College graduate,White men,White college graduates,White men college graduates,Independent/Something else,Independent,Conservative,,,,Yes,,,,,,,,Small city and Rural
144.0,Female,50-59,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,3.0,Exit Poll,Bachelor's degree (BA or BS),Republican,,Moderate,,,Yes,Good,,,,,Strongly unfavorable,Somewhat favorable,,3.0,,Before October,Suburbs,Election Day,4.0,Election day,1.0,10000.0,16.0,2.0,White,45-64,45 or over,50-64,White,College graduate,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Moderate,,,,Yes,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,Suburbs
147.0,Female,35-39,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,1.0,Exit Poll,Attended college but received no degree,Republican,,Somewhat conservative,,,Yes,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,For your candidate,,Suburbs,Election Day,4.0,Election day,1.0,10000.0,14.0,3.0,White,30-44,18-44,30-39,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,Yes,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Suburbs
148.0,Male,50-59,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,1.0,Exit Poll,High school graduate,Independent,Lean Democrat,Moderate,,,Yes,,,,,,,,,,Against her opponents,,Suburbs,Election Day,2.0,Election day,1.0,10000.0,3.0,3.0,White,45-64,45 or over,50-64,White,No college degree,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Democrat/Lean Democrat,Moderate,,,,Yes,,,,,,,,Suburbs
152.0,Female,60-64,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,3.0,Exit Poll,Associate's degree (AA or AS),Independent,Lean Democrat,Very conservative,,,Yes,Good,,,,,Somewhat favorable,Somewhat favorable,,4.0,,In the last few days,Rural,Election Day,5.0,Election day,1.0,10000.0,6.0,2.0,White,45-64,45 or over,50-64,White,No college degree,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Democrat/Lean Democrat,Conservative,,,,Yes,Excellent or good,,,Favorable,Favorable,In the last week,In the last month,Small city and Rural
155.0,Male,75 or over,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,1.0,Exit Poll,Attended college but received no degree,Republican,,Very conservative,,,Yes,Good,,,,,Strongly unfavorable,Somewhat favorable,,5.0,,You have known all along,Suburbs,Election Day,5.0,Election day,1.0,10000.0,28.0,2.0,White,65 or over,45 or over,65 or over,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,Yes,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,Suburbs
163.0,Male,18-24,White,Winsome Earle-Sears,Someone else,John Reid,Jason Miyares,1.0,Exit Poll,High school graduate,Something else,Not lean either way,Moderate,,,Yes,Good,,,,,Strongly unfavorable,Strongly favorable,,1.0,,Earlier in October,Rural,Election Day,4.0,Election day,1.0,10000.0,8.0,2.0,White,18-29,18-44,18-24,White,No college degree,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Moderate,,,,Yes,Excellent or good,,,Unfavorable,Favorable,Before that,In the last month,Small city and Rural
168.0,Female,45-49,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,2.0,Exit Poll,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat conservative,,,Yes,Good,,,,,Strongly unfavorable,Strongly favorable,,2.0,,You have known all along,"50,000-500,000",Election Day,5.0,Election day,1.0,10000.0,13.0,2.0,White,45-64,45 or over,40-49,White,College graduate,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Conservative,,,,Yes,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,"City over 50,000"
182.0,Male,45-49,White,Abigail Spanberger,Kamala Harris,Ghazala Hashmi,Jay Jones,2.0,Exit Poll,Attended college but received no degree,Democrat,,Moderate,,,Yes,Poor,,,,,Somewhat favorable,Somewhat unfavorable,,5.0,,You have known all along,Suburbs,Election Day,2.0,Election day,1.0,10000.0,20.0,2.0,White,45-64,45 or over,40-49,White,No college degree,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,Yes,Not so good or poor,,,Favorable,Unfavorable,Before that,Before that,Suburbs
198.0,Male,30-34,White,Abigail Spanberger,Kamala Harris,Ghazala Hashmi,Jay Jones,2.0,Exit Poll,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Independent,Lean Republican,Somewhat liberal,,,Yes,Good,,,,,Strongly favorable,Strongly unfavorable,,2.0,,Before October,Suburbs,Election Day,5.0,Election day,1.0,10000.0,19.0,2.0,White,30-44,18-44,30-39,White,College graduate,White men,White college graduates,White men college graduates,Independent/Something else,Republican/Lean Republican,Liberal,,,,Yes,Excellent or good,,,Favorable,Unfavorable,Before that,Before that,Suburbs
204.0,Female,60-64,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,2.0,Exit Poll,High school graduate,Something else,Not lean either way,Somewhat conservative,,,Yes,Good,,,,,Strongly unfavorable,Strongly favorable,,5.0,,Before October,Suburbs,Election Day,1.0,Election day,1.0,10000.0,17.0,2.0,White,45-64,45 or over,50-64,White,No college degree,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Independent,Conservative,,,,Yes,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,Suburbs
205.0,Female, 65-74,White,Abigail Spanberger,Kamala Harris,Ghazala Hashmi,Jay Jones,3.0,Exit Poll,Bachelor's degree (BA or BS),Democrat,,Moderate,"$50,000-$99,999",No,Yes,,Getting ahead,,To oppose Donald Trump,Strongly disapprove,,,2.0,,,,Suburbs,Election Day,3.0,Election day,1.0,10000.0,12.0,1.0,White,65 or over,45 or over,65 or over,White,College graduate,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Yes,,,Disapprove,,,,,Suburbs
221.0,Male,35-39,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,3.0,Exit Poll,Bachelor's degree (BA or BS),Something else,Lean Republican,Very conservative,"$50,000-$99,999",No,Yes,,Falling behind,,To support Donald Trump,Strongly approve,,,4.0,,,,Suburbs,Election Day,5.0,Election day,1.0,10000.0,7.0,1.0,White,30-44,18-44,30-39,White,College graduate,White men,White college graduates,White men college graduates,Independent/Something else,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Yes,,,Approve,,,,,Suburbs
253.0,Male,60-64,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,3.0,Exit Poll,Associate's degree (AA or AS),Independent,Not lean either way,Very conservative,,,Yes,Excellent,,,,,Strongly unfavorable,Somewhat unfavorable,,1.0,,Before October,"50,000-500,000",Election Day,4.0,Election day,1.0,10000.0,18.0,2.0,White,45-64,45 or over,50-64,White,No college degree,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Conservative,,,,Yes,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000"
268.0,Male,50-59,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,3.0,Exit Poll,Bachelor's degree (BA or BS),Republican,,Moderate,"$100,000-$199,999",No,Yes,,Falling behind,,To oppose Donald Trump,Somewhat disapprove,,,1.0,,,,"50,000-500,000",Election Day,3.0,Election day,1.0,10000.0,13.0,1.0,White,45-64,45 or over,50-64,White,College graduate,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Yes,,,Disapprove,,,,,"City over 50,000"
278.0,Male,50-59,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,2.0,Exit Poll,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Independent,Not lean either way,Very conservative,"$50,000-$99,999",No,Yes,,Holding steady,,To support Donald Trump,Somewhat approve,,,5.0,,,,Suburbs,Election Day,1.0,Election day,1.0,10000.0,19.0,1.0,White,45-64,45 or over,50-64,White,College graduate,White men,White college graduates,White men college graduates,Independent/Something else,Independent,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Yes,,,Approve,,,,,Suburbs
287.0,Female,60-64,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,2.0,Exit Poll,Attended college but received no degree,Republican,,Very conservative,,,Yes,Excellent,,,,,Somewhat unfavorable,Somewhat favorable,,1.0,,Before October,"50,000-500,000",Election Day,2.0,Election day,1.0,10000.0,24.0,2.0,White,45-64,45 or over,50-64,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,Yes,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,"City over 50,000"
289.0,Female,30-34,White,Abigail Spanberger,Kamala Harris,Ghazala Hashmi,Jay Jones,1.0,Exit Poll,Bachelor's degree (BA or BS),Democrat,,Somewhat liberal,"$100,000-$199,999",No,Yes,,Getting ahead,,To oppose Donald Trump,Strongly disapprove,,,2.0,,,,Suburbs,Election Day,4.0,Election day,1.0,10000.0,1.0,1.0,White,30-44,18-44,30-39,White,College graduate,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Yes,,,Disapprove,,,,,Suburbs
319.0,Male,25-29,White,Abigail Spanberger,Kamala Harris,Ghazala Hashmi,Jay Jones,3.0,Exit Poll,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Independent,Lean Republican,Moderate,,,Yes,Good,,,,,Somewhat favorable,Somewhat unfavorable,,5.0,,In the last few days,"50,000-500,000",Election Day,4.0,Election day,1.0,10000.0,28.0,2.0,White,18-29,18-44,25-29,White,College graduate,White men,White college graduates,White men college graduates,Independent/Something else,Republican/Lean Republican,Moderate,,,,Yes,Excellent or good,,,Favorable,Unfavorable,In the last week,In the last month,"City over 50,000"
322.0,Female,75 or over,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,3.0,Exit Poll,Attended college but received no degree,Republican,,Somewhat conservative,"$100,000-$199,999",No,Yes,,Getting ahead,,To oppose Donald Trump,Somewhat approve,,,2.0,,,,"10,000-50,000",Election Day,5.0,Election day,1.0,10000.0,12.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Yes,,,Approve,,,,,Small city and Rural
328.0,Male,30-34,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,1.0,Exit Poll,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Moderate,,,Yes,,,,,,,,,,Against her opponents,,Suburbs,Election Day,4.0,Election day,1.0,10000.0,26.0,3.0,White,30-44,18-44,30-39,White,College graduate,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Moderate,,,,Yes,,,,,,,,Suburbs
336.0,Female,75 or over,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,1.0,Exit Poll,Associate's degree (AA or AS),Republican,,Somewhat conservative,"$30,000-$49,999",No,Yes,,Holding steady,,To support Donald Trump,Strongly approve,,,1.0,,,,Suburbs,Election Day,5.0,Election day,1.0,10000.0,1.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Yes,,,Approve,,,,,Suburbs
345.0,Male, 65-74,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,3.0,Exit Poll,Attended college but received no degree,Republican,,Somewhat conservative,,,Yes,,,,,,,,,,Against her opponents,,Suburbs,Election Day,1.0,Election day,1.0,10000.0,15.0,3.0,White,65 or over,45 or over,65 or over,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,Yes,,,,,,,,Suburbs
351.0,Female,45-49,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,1.0,Exit Poll,Associate's degree (AA or AS),Republican,,Moderate,,,Yes,,,Enthusiastic,,,,,,,For your candidate,,"50,000-500,000",Election Day,1.0,Election day,1.0,10000.0,15.0,3.0,White,45-64,45 or over,40-49,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Moderate,,,,Yes,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000"
354.0,Male,25-29,White,Did not vote,Donald Trump,John Reid,Jason Miyares,1.0,Exit Poll,Bachelor's degree (BA or BS),Democrat,,Moderate,"$100,000-$199,999",No,Yes,,Getting ahead,,Donald Trump was not a facctor,Strongly disapprove,,,1.0,,,,Suburbs,Election Day,1.0,Election day,1.0,10000.0,21.0,1.0,White,18-29,18-44,25-29,White,College graduate,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Yes,,,Disapprove,,,,,Suburbs
378.0,Male,30-34,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,1.0,Exit Poll,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Somewhat conservative,,,Yes,Excellent,,,,,Strongly unfavorable,Somewhat favorable,,5.0,,Before October,Rural,Election Day,4.0,Election day,1.0,10000.0,17.0,2.0,White,30-44,18-44,30-39,White,College graduate,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,,,,Yes,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,Small city and Rural
398.0,Male, 65-74,White,Abigail Spanberger,Kamala Harris,Ghazala Hashmi,Jay Jones,2.0,Exit Poll,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Moderate,"$30,000-$49,999",No,Yes,,Holding steady,,Donald Trump was not a facctor,Somewhat disapprove,,,4.0,,,,Suburbs,Election Day,1.0,Election day,1.0,10000.0,9.0,1.0,White,65 or over,45 or over,65 or over,White,College graduate,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Yes,,,Disapprove,,,,,Suburbs
405.0,Female, 65-74,White,Winsome Earle-Sears,Donald Trump,John Reid,Jay Jones,2.0,Exit Poll,Associate's degree (AA or AS),Independent,Not lean either way,Somewhat conservative,,,Yes,,,Angry,,,,,,,For your candidate,,Rural,Election Day,4.0,Election day,1.0,10000.0,26.0,3.0,White,65 or over,45 or over,65 or over,White,No college degree,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Independent,Conservative,,,,Yes,,,,,,,,Small city and Rural
411.0,Male,60-64,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,3.0,Exit Poll,Attended college but received no degree,Independent,Not lean either way,Moderate,,,Yes,,,Enthusiastic,,,,,,,For your candidate,,Suburbs,Election Day,3.0,Election day,1.0,10000.0,1.0,3.0,White,45-64,45 or over,50-64,White,No college degree,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Independent,Moderate,,,,Yes,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Suburbs
427.0,Male,50-59,White,Abigail Spanberger,Kamala Harris,Ghazala Hashmi,Jay Jones,1.0,Exit Poll,Bachelor's degree (BA or BS),Independent,Lean Democrat,Moderate,,,Yes,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,For your candidate,,Suburbs,Election Day,5.0,Election day,1.0,10000.0,8.0,3.0,White,45-64,45 or over,50-64,White,College graduate,White men,White college graduates,White men college graduates,Independent/Something else,Democrat/Lean Democrat,Moderate,,,,Yes,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Suburbs
432.0,Male,40-44,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,1.0,Exit Poll,Bachelor's degree (BA or BS),Republican,,Moderate,,,Yes,,,,,,,,,,For your candidate,,Suburbs,Election Day,2.0,Election day,1.0,10000.0,15.0,3.0,White,30-44,18-44,40-49,White,College graduate,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Moderate,,,,Yes,,,,,,,,Suburbs
452.0,Female,75 or over,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,1.0,Exit Poll,Bachelor's degree (BA or BS),Republican,,Moderate,"$30,000-$49,999",No,Yes,,Holding steady,,To oppose Donald Trump,Somewhat approve,,,1.0,,,,Suburbs,Election Day,1.0,Election day,1.0,10000.0,20.0,1.0,White,65 or over,45 or over,65 or over,White,College graduate,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Yes,,,Approve,,,,,Suburbs
463.0,Male,75 or over,White,Winsome Earle-Sears,Kamala Harris,John Reid,Jason Miyares,1.0,Exit Poll,High school graduate,Republican,,Somewhat liberal,"Under $30,000",No,Yes,,Holding steady,,To oppose Donald Trump,Somewhat approve,,,3.0,,,,Suburbs,Election Day,1.0,Election day,1.0,10000.0,1.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Yes,,,Approve,,,,,Suburbs
471.0,Female,25-29,White,Abigail Spanberger,Kamala Harris,John Reid,Jay Jones,3.0,Exit Poll,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Moderate,"$100,000-$199,999",No,Yes,,Falling behind,,To oppose Donald Trump,Strongly disapprove,,,5.0,,,,Suburbs,Election Day,5.0,Election day,1.0,10000.0,7.0,1.0,White,18-29,18-44,25-29,White,College graduate,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Yes,,,Disapprove,,,,,Suburbs
478.0,Male, 65-74,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,2.0,Exit Poll,Attended college but received no degree,Republican,,Moderate,"$100,000-$199,999",No,Yes,,Falling behind,,To support Donald Trump,Somewhat approve,,,4.0,,,,Suburbs,Election Day,5.0,Election day,1.0,10000.0,24.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Yes,,,Approve,,,,,Suburbs
481.0,Male,18-24,White,Winsome Earle-Sears,Donald Trump,John Reid,Jason Miyares,3.0,Exit Poll,Not a high school graduate,Republican,,Very conservative,"$50,000-$99,999",No,Yes,,Falling behind,,To support Donald Trump,Somewhat approve,,,1.0,,,,Suburbs,Election Day,5.0,Election day,1.0,10000.0,22.0,1.0,White,18-29,18-44,18-24,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Yes,,,Approve,,,,,Suburbs
489.0,Male,35-39,White,Winsome Earle-Sears,Kamala Harris,John Reid,Jay Jones,1.0,Exit Poll,Attended college but received no degree,Republican,,Somewhat conservative,"Under $30,000",No,Yes,,Getting ahead,,To support Donald Trump,Somewhat approve,,,5.0,,,,"50,000-500,000",Election Day,4.0,Election day,1.0,10000.0,7.0,1.0,White,30-44,18-44,30-39,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Yes,,,Approve,,,,,"City over 50,000"
