ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,NHRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,BEATOBAMA,BREAK12PRI,BRNAGAIN,ISSREP12,MARRIED,QLTREP12,RELIGN10,SATGING,SATPAUL,SATROMN,SATSANT,TEAPARTY,TIMENH12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BREAKFACT,BREAKIMP,REL5,TEAPARTY3,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,CANDSOK,CONTACT12R,DEBATE12R,DEFICIT12R,ECONWORR,FAVMCCA,GETAHEAD,ISSVQUAL,OBAMANG,PHILFIS5,PHILSOC5,PREVPRI,PRINCIPLES,REGNHREP,UNFAIRREP12,CONTACT12R2,DEBATE12R2,ECOWORR2,PHILFIS2,PHILFIS3,PHILSOC2,PHILSOC3,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
54760.0,New Hampshire,72.0,Call 3,Complete,Election day exit poll,0.88273960351944,Jon Huntsman,Female,White,45-49,45-49,Moderate,Independent,"$30,000-$49,999",College graduate,Huntsman,,Yes,Health care,Yes,,,,,,,Neutral,,Married women,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,,Neutral,,,,No,White Born-again/Evangelical Christians,,,,I'd like to see someone else run for the nomination,I was not contacted at all,,,Very worried,Unfavorable,,,,,,,,,Omit,Not contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,5.0,East,Version 2,Low Density Rural,Rural,Rural,Very downscale
54670.0,New Hampshire,10.0,Call 3,Complete,Election day exit poll,0.973595559597015,Jon Huntsman,Female,White,45-49,45-49,Moderate,Republican,,Some college/assoc. degree,Romney,,No,The economy,Yes,,,,,,,Somewhat support,,Married women,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,,,,No college degree,More than High school graduate,,,,Support,,,,,All others,,,,I'd like to see someone else run for the nomination,"Mostly by phone, mail or in person",,,Somewhat worried,Omit,,,,,,,,,Omit,Contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,East,Version 2,Suburb,Rural,Rural,Very upscale
54665.0,New Hampshire,10.0,Call 3,Complete,Election day exit poll,0.91730922460556,Jon Huntsman,Male,White,65 or over,65 or over,Moderate,Independent,"$100,000-$199,999",High school or less,Huntsman,,No,The economy,Yes,,,,,,,Strongly oppose,,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,No college degree,High school graduate or less,,,,Oppose,,,,No,All others,,,,I'm satisfied with the Republican candidates,I was not contacted at all,,,Somewhat worried,Favorable,,,,,,,,,Gingrich,Not contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,East,Version 2,Suburb,Rural,Rural,Very upscale
54636.0,New Hampshire,37.0,Call 3,Complete,Election day exit poll,0.79808497428894,Jon Huntsman,Male,White,45-49,45-49,Somewhat conservative,Independent,"$100,000-$199,999",Postgraduate study,Huntsman,,No,The economy,Yes,,,,,,,Neutral,,Married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,,,Neutral,,,,No,All others,,,,I'm satisfied with the Republican candidates,"Mostly by phone, mail or in person",,,Somewhat worried,Favorable,,,,,,,,,Omit,Contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 2,Suburb,70s Suburbs,Urban Perimeter,Upscale
54554.0,New Hampshire,43.0,Call 3,Complete,Election day exit poll,0.812383472919464,Jon Huntsman,Male,White,50-59,50-59,Very liberal,Democrat,"$100,000-$199,999",Postgraduate study,Huntsman,,,Omit,Yes,,,,,,,Strongly oppose,,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,,,Oppose,,,,No,,,,,Omit,I was not contacted at all,,,Not at all worried,Unfavorable,,,,,,,,,Romney,Not contacted,,Not worried,,,,,State questionnaire,Suburbs,Suburbs,2.0,East,Version 2,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale
54335.0,New Hampshire,101.0,Call 2,Complete,Election day exit poll,1.19343185424805,Jon Huntsman,Male,White,65 or over,65 or over,Moderate,Independent,"$30,000-$49,999",College graduate,Perry,,No,Omit,Yes,,,,,,,Strongly oppose,,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,,Oppose,,,,No,All others,,,,I'd like to see someone else run for the nomination,"Mostly by phone, mail or in person",,,Not too worried,Unfavorable,,,,,,,,,Romney,Contacted,,Not worried,,,,,State questionnaire,Rural,Small Cities/Rural,5.0,East,Version 2,Extremely Low Density Rural,Rural,Rural,Upscale
53948.0,New Hampshire,89.0,Call 2,Complete,Election day exit poll,0.958382785320282,Jon Huntsman,Male,White,65 or over,65 or over,Moderate,Independent,"$50,000-$99,999",Postgraduate study,Huntsman,,No,The economy,No,,,,,,,Strongly oppose,,Non married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,,Oppose,,,,No,All others,,,,I'd like to see someone else run for the nomination,I was not contacted at all,,,Very worried,Unfavorable,,,,,,,,,Paul,Not contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,East,Version 2,Extremely Low Density Rural,Rural,Rural,Very upscale
53776.0,New Hampshire,69.0,Call 2,Complete,Election day exit poll,0.714685082435608,Jon Huntsman,Female,White,45-49,45-49,Somewhat conservative,Republican,,Some college/assoc. degree,Gingrich,,,Federal budget deficit,Yes,,,,,,,Somewhat support,,Married women,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,,,,No college degree,More than High school graduate,,,,Support,,,,,,,,,I'd like to see someone else run for the nomination,I was not contacted at all,,,Very worried,Omit,,,,,,,,,Omit,Not contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale
52990.0,New Hampshire,36.0,Call 1,Complete,Election day exit poll,0.894935011863709,Jon Huntsman,Female,White,65 or over,65 or over,Moderate,Republican,"$50,000-$99,999",College graduate,Gingrich,,No,Federal budget deficit,Yes,,,,,,,Somewhat oppose,,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,,Oppose,,,,No,All others,,,,Omit,I was not contacted at all,,,Very worried,Omit,,,,,,,,,Romney,Not contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,5.0,East,Version 2,Low Density Rural,Rural,Rural,Upscale
52907.0,New Hampshire,110.0,Call 1,Complete,Election day exit poll,0.574286282062531,Jon Huntsman,,,40-44,40-44,Moderate,Republican,,College graduate,Omit,,No,Omit,No,,,,,,,Strongly oppose,,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,,,,College graduate,More than High school graduate,,,,Oppose,,,,,All others,,,,I'd like to see someone else run for the nomination,I was not contacted at all,,,Very worried,Unfavorable,,,,,,,,,Omit,Not contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 2,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale
52850.0,New Hampshire,114.0,Call 1,Complete,Election day exit poll,0.745708048343658,Jon Huntsman,Male,White,60-64,60-64,Moderate,Republican,"$50,000-$99,999",Postgraduate study,Huntsman,,No,Omit,Yes,,,,,,,Neutral,,Married men,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,,Neutral,,,,No,All others,,,,I'm satisfied with the Republican candidates,"Mostly by e-mail, online or text message",,,Somewhat worried,Favorable,,,,,,,,,Romney,Contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
55153.0,New Hampshire,106.0,Call 3,Complete,Election day exit poll,1.23185217380524,Ron Paul,Male,,45-49,45-49,,Independent,"$50,000-$99,999",College graduate,Paul,,Yes,Federal budget deficit,Yes,,,,,,,Strongly support,,Married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,,,,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,,Support,,,,No,,,,,Omit,Omit,,,Very worried,Unfavorable,,,,,,,,,Gingrich,Omit,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,5.0,East,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale
55143.0,New Hampshire,97.0,Call 3,Complete,Election day exit poll,0.927908360958099,Ron Paul,Male,White,50-59,50-59,Somewhat conservative,Democrat,"$50,000-$99,999",Some college/assoc. degree,Omit,,,Omit,Yes,,,,,,,Somewhat support,,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,Support,,,,No,,,,,I'd like to see someone else run for the nomination,I was not contacted at all,,,Somewhat worried,Omit,,,,,,,,,Omit,Not contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale
54920.0,New Hampshire,107.0,Call 3,Complete,Election day exit poll,0.904308974742889,Ron Paul,Male,White,50-59,50-59,Very conservative,Independent,"Under $30,000",Some college/assoc. degree,Omit,,No,The economy,No,,,,,,,Strongly support,,Non married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,Support,,,,Yes,All others,,,,Omit,"Mostly by e-mail, online or text message",,,Very worried,Unfavorable,,,,,,,,,Omit,Contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,East,Version 2,Low Density Rural,Rural,Rural,Very downscale
54795.0,New Hampshire,49.0,Call 3,Complete,Election day exit poll,1.01017725467682,Ron Paul,Male,White,40-44,40-44,Moderate,Republican,"$30,000-$49,999",Some college/assoc. degree,Romney,,Yes,Health care,No,,,,,,,Neutral,,Non married men,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,Neutral,,,,Yes,White Born-again/Evangelical Christians,,,,I'd like to see someone else run for the nomination,I was not contacted at all,,,Very worried,Unfavorable,,,,,,,,,Gingrich,Not contacted,,Worried,,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,5.0,East,Version 2,Suburb,Rural,Rural,Downscale
54793.0,New Hampshire,49.0,Call 3,Complete,Election day exit poll,1.01017725467682,Ron Paul,Male,White,40-44,40-44,Moderate,Republican,"$30,000-$49,999",Some college/assoc. degree,Romney,,Yes,Health care,No,,,,,,,Neutral,,Non married men,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,Neutral,,,,Yes,White Born-again/Evangelical Christians,,,,I'd like to see someone else run for the nomination,I was not contacted at all,,,Very worried,Unfavorable,,,,,,,,,Gingrich,Not contacted,,Worried,,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,5.0,East,Version 2,Suburb,Rural,Rural,Downscale
54239.0,New Hampshire,99.0,Call 2,Complete,Election day exit poll,1.1882746219635,Ron Paul,Female,White,30-39,30-39,,,,Some college/assoc. degree,Paul,,,Abortion,No,,,,,,,Omit,,Non married women,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,,,,,,,,No college degree,More than High school graduate,,,,Omit,,,,,,,,,Omit,I was not contacted at all,,,Omit,Unfavorable,,,,,,,,,Omit,Not contacted,,Omit,,,,,State questionnaire,Rural,Small Cities/Rural,5.0,East,Version 2,Low Density Rural,Rural,Rural,Downscale
54079.0,New Hampshire,94.0,Call 2,Complete,Election day exit poll,0.790061891078949,Ron Paul,Female,White,65 or over,65 or over,Moderate,Democrat,"$100,000-$199,999",High school or less,Omit,,No,The economy,Yes,,,,,,,Strongly support,,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,No college degree,High school graduate or less,,,,Support,,,,No,All others,,,,I'd like to see someone else run for the nomination,"Mostly by phone, mail or in person",,,Very worried,Omit,,,,,,,,,Gingrich,Contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,East,Version 2,Low Density Rural,Rural,Rural,Downscale
53844.0,New Hampshire,10.0,Call 2,Complete,Election day exit poll,0.83420592546463,Ron Paul,,White,65 or over,65 or over,Moderate,Independent,"$50,000-$99,999",Some college/assoc. degree,Omit,,Yes,Omit,Yes,,,,,,,Omit,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,Omit,,,,No,White Born-again/Evangelical Christians,,,,I'd like to see someone else run for the nomination,Omit,,,Somewhat worried,Unfavorable,,,,,,,,,Paul,Omit,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,East,Version 2,Suburb,Rural,Rural,Very upscale
53510.0,New Hampshire,46.0,Call 1,Complete,Election day exit poll,1.09925603866577,Ron Paul,Female,White,45-49,45-49,Somewhat liberal,Independent,"$100,000-$199,999",Some college/assoc. degree,Omit,,No,Federal budget deficit,Yes,,,,,,,Strongly oppose,,Married women,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,,,Oppose,,,,No,All others,,,,Omit,I was not contacted at all,,,Very worried,Unfavorable,,,,,,,,,Omit,Not contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 2,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale
52911.0,New Hampshire,114.0,Call 1,Complete,Election day exit poll,0.79630321264267,Ron Paul,Female,White,60-64,60-64,Somewhat liberal,Republican,"$50,000-$99,999",Some college/assoc. degree,Romney,,No,The economy,Yes,,,,,,,Somewhat support,,Married women,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,Support,,,,No,All others,,,,I'm satisfied with the Republican candidates,"Mostly by phone, mail or in person",,,Somewhat worried,Favorable,,,,,,,,,Romney,Contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
54912.0,New Hampshire,113.0,Call 3,Complete,Election day exit poll,1.46765601634979,Mitt Romney,Female,White,18-24,17-24,Moderate,Republican,"Under $30,000",High school or less,Romney,,Yes,Abortion,No,,,,,,,Strongly support,,Non married women,18-29,18-29,18-44,18-29,18-24,18-44,18-64,17-29,17-29,17-44,17-29,17-24,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,Support,,,,Yes,White Born-again/Evangelical Christians,,,,I'd like to see someone else run for the nomination,I was not contacted at all,,,Very worried,Omit,,,,,,,,,Omit,Not contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,East,Version 2,Low Density Rural,Rural,Rural,Very downscale
54717.0,New Hampshire,52.0,Call 3,Complete,Election day exit poll,0.808114349842072,Mitt Romney,Female,White,50-59,50-59,Somewhat liberal,Republican,"$50,000-$99,999",Some college/assoc. degree,Romney,,No,Federal budget deficit,Yes,,,,,,,Somewhat support,,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,Support,,,,No,All others,,,,I'm satisfied with the Republican candidates,I was not contacted at all,,,Somewhat worried,Unfavorable,,,,,,,,,Paul,Not contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 2,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale
54559.0,New Hampshire,43.0,Call 3,Complete,Election day exit poll,0.804045617580414,Mitt Romney,Male,White,65 or over,65 or over,Very conservative,Independent,,College graduate,Romney,,No,The economy,Yes,,,,,,,Neutral,,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,,,,College graduate,More than High school graduate,,,,Neutral,,,,No,All others,,,,I'm satisfied with the Republican candidates,I was not contacted at all,,,Very worried,Favorable,,,,,,,,,Omit,Not contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,2.0,East,Version 2,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale
