ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,LARPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,BEATOBAMAFL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SATGING,SATROMN,SATSANT,SHAREREL,TEAPARTY,TIMEIL12,UNDERREP12,WORK,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,ATTEND,ENDPRIM12R,GUNOWNER,RECOVER,TWOCANDS12R,ATTEND2,ATTREL,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
292051.0, Louisiana,24.0,Call 2,Complete,Election day exit poll,0.601226806640625,Newt Gingrich,Male,White,65 or over,65 or over,Very conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,,,No,I strongly favor my candidate,,,,Protestant,Satisfied,Satisfied,Satisfied,Not at all,Strongly support,,Gingrich,Yes,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Not born again,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Support,Tea Party supporter and not born-again,,,No,All others,No,White Protestant non-evangelical,All others,,Never,,No,Getting worse,,Never,Protestant/Do not attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 2,Suburb,Urban,Urban Core,Very upscale,70808.0
292016.0, Louisiana,81.0,Call 2,Complete,Election day exit poll,1.44381105899811,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Republican,"$50,000-$99,999",Postgraduate study,,,Yes,I strongly favor my candidate,,,,Protestant,Satisfied,Dissatisfied,Satisfied,A great deal,Strongly support,,Gingrich,Yes,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Working women,,More than once a week,,No,Getting worse,,Weekly,Protestant/Attend weekly,State questionnaire,Suburbs,Suburbs,1.0,South,Version 2,Suburb,70s Suburbs,Urban Perimeter,Very upscale,71291.0
291963.0, Louisiana,96.0,Call 2,Complete,Election day exit poll,1.35391044616699,Newt Gingrich,Male,White,65 or over,65 or over,Moderate,Republican,"$50,000-$99,999",Postgraduate study,,,Yes,I strongly favor my candidate,,,,Catholic,Satisfied,Dissatisfied,Dissatisfied,Not at all,Strongly support,,Gingrich,Yes,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Born again/Think religious values of candidate did not matter a great deal,,,Catholic,Not much or not at all,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,No,All others,All others,,More than once a week,,No,Getting worse,,Weekly,Catholic/Attend weekly,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,70071.0
291953.0, Louisiana,96.0,Call 2,Complete,Election day exit poll,2.29372906684875,Newt Gingrich,Female,Black,45-49,45-49,Very liberal,Republican,"$30,000-$49,999",Some college/assoc. degree,,,Yes,I strongly favor my candidate,,,,Catholic,Satisfied,Dissatisfied,Dissatisfied,A great deal,Strongly support,,Gingrich,Yes,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Born again/Think religious values of candidate matter a great deal,,,Catholic,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,All others,No,,Working women,,More than once a week,,No,Getting worse,,Weekly,Catholic/Attend weekly,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,70071.0
291761.0, Louisiana,47.0,Call 2,Complete,Election day exit poll,0.984643876552582,Newt Gingrich,Female,White,50-59,50-59,Very conservative,Republican,"Under $30,000",Some college/assoc. degree,,,Yes,I strongly favor my candidate,,,,Protestant,Satisfied,Dissatisfied,Satisfied,A great deal,Strongly support,,Gingrich,No,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,More than once a week,,No,Staying the same,,Weekly,Protestant/Attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 2,High Density Urban,Urban,Urban Core,Very upscale,70001.0
291753.0, Louisiana,56.0,Call 2,Complete,Election day exit poll,1.07230293750763,Newt Gingrich,Male,White,60-64,60-64,Somewhat conservative,Republican,"$200,000 or more",Postgraduate study,,,No,I strongly favor my candidate,,,,Catholic,Satisfied,Satisfied,Satisfied,A great deal,Neutral,,Gingrich,Yes,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Neutral,Neither,,,No,All others,No,All others,All others,,A few times a month,,No,Getting worse,,Occasionally,Catholic/Do not attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,South,Version 2,Suburb,Urban,Urban Core,Very upscale,70503.0
291717.0, Louisiana,47.0,Call 2,Complete,Election day exit poll,1.19714856147766,Newt Gingrich,Female,White,65 or over,65 or over,Moderate,Independent,"$30,000-$49,999",Some college/assoc. degree,,,No,I strongly favor my candidate,,,,Catholic,Satisfied,Dissatisfied,Satisfied,A great deal,Neutral,,Gingrich,No,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Neutral,Neither,,,Yes,All others,No,All others,All others,,More than once a week,,No,Getting worse,,Weekly,Catholic/Attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 2,High Density Urban,Urban,Urban Core,Very upscale,70001.0
291235.0, Louisiana,33.0,Call 1,Complete,Election day exit poll,0.442823082208633,Ron Paul,Female,White,50-59,50-59,Moderate,Independent,"$30,000-$49,999",College graduate,,,No,I strongly favor my candidate,,,,Catholic,Dissatisfied,Dissatisfied,Dissatisfied,Somewhat,Somewhat oppose,,Paul,Yes,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Oppose,Neither,,,No,All others,No,All others,Working women,,Once a week,,No,Getting worse,,Weekly,Catholic/Attend weekly,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,70817.0
292608.0, Louisiana,32.0,Call 3,Complete,Election day exit poll,0.403390944004059,Ron Paul,Female,White,25-29,25-29,Moderate,Independent,"$30,000-$49,999",Postgraduate study,,,No,I strongly favor my candidate,,,,Catholic,Dissatisfied,Dissatisfied,Dissatisfied,Not at all,Neutral,,Paul,,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Not born again,,,Catholic,Not much or not at all,Neutral,Neither,,,No,All others,No,All others,,,Once a week,,No,Starting to recover,,Weekly,Catholic/Attend weekly,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,70791.0
292539.0, Louisiana,50.0,Call 3,Complete,Election day exit poll,0.67795717716217,Ron Paul,Female,White,40-44,40-44,Very conservative,Republican,"Under $30,000",High school or less,,,No,I like my candidate but with reservations,,,,Catholic,Dissatisfied,Dissatisfied,Dissatisfied,Somewhat,Somewhat support,,Paul,Yes,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Not born again,,,Catholic,A great deal or somewhat,Support,Tea Party supporter and not born-again,,,Yes,All others,No,All others,Working women,,A few times a year,,No,Getting worse,,Occasionally,Catholic/Do not attend weekly,State questionnaire,Suburbs,Suburbs,4.0,South,Version 2,Suburb,70s Suburbs,Urban Perimeter,Very upscale,70123.0
292515.0, Louisiana,73.0,Call 3,Complete,Election day exit poll,0.437519401311874,Ron Paul,Male,White,25-29,25-29,Very liberal,Independent,"$50,000-$99,999",College graduate,,,No,I strongly favor my candidate,,,,None,Dissatisfied,Dissatisfied,Dissatisfied,Not at all,Neutral,,Paul,Yes,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Not born again,,,None,Not much or not at all,Neutral,Neither,,,No,All others,No,All others,All others,,Never,,No,Starting to recover,,Never,All others,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,South,Version 2,High Density Urban,Urban,Urban Core,Upscale,70115.0
292358.0, Louisiana,47.0,Call 3,Complete,Election day exit poll,0.609933376312256,Ron Paul,Male,White,65 or over,65 or over,Somewhat conservative,Independent,,,,,Yes,I strongly favor my candidate,,,,,Satisfied,Dissatisfied,Satisfied,A great deal,Strongly support,,Paul,Yes,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,,,,,,Born again/Think religious values of candidate matter a great deal,,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,,White Born-again/Evangelical Christians,,,All others,,A few times a month,,No,Getting worse,,Occasionally,All others,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 2,High Density Urban,Urban,Urban Core,Very upscale,70001.0
292168.0, Louisiana,32.0,Call 2,Complete,Election day exit poll,0.403390944004059,Ron Paul,Female,White,25-29,25-29,Somewhat conservative,Independent,"$50,000-$99,999",College graduate,,,Yes,I strongly favor my candidate,,,,Protestant,Dissatisfied,Dissatisfied,Dissatisfied,Somewhat,Neutral,,Paul,Yes,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Working women,,More than once a week,,No,Staying the same,,Weekly,Protestant/Attend weekly,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,70791.0
292167.0, Louisiana,32.0,Call 2,Complete,Election day exit poll,0.403390944004059,Ron Paul,Female,White,25-29,25-29,Somewhat conservative,Independent,"$50,000-$99,999",College graduate,,,Yes,I strongly favor my candidate,,,,Protestant,Dissatisfied,Dissatisfied,Dissatisfied,Somewhat,Neutral,,Paul,Yes,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Working women,,More than once a week,,No,Staying the same,,Weekly,Protestant/Attend weekly,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,70791.0
292046.0, Louisiana,24.0,Call 2,Complete,Election day exit poll,0.479708284139633,Ron Paul,Male,White,60-64,60-64,Very liberal,Something else,"$30,000-$49,999",High school or less,,,Yes,I strongly favor my candidate,,,,Muslim,Dissatisfied,Dissatisfied,Dissatisfied,Somewhat,Neutral,,Gingrich,Yes,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Born again/Think religious values of candidate did not matter a great deal,,,Something else,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,No,All others,All others,,Once a week,,No,Getting worse,,Weekly,All others,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 2,Suburb,Urban,Urban Core,Very upscale,70808.0
292006.0, Louisiana,50.0,Call 2,Complete,Election day exit poll,0.810668468475342,Ron Paul,Female,White,25-29,25-29,Somewhat conservative,Republican,"$100,000-$199,999",College graduate,,,No,I strongly favor my candidate,,,,Other christian,Omit,Omit,Omit,Not much,Somewhat support,,Paul,Yes,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Not born again,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Support,Tea Party supporter and not born-again,,,No,All others,No,White Protestant non-evangelical,Working women,,A few times a year,,No,Staying the same,,Occasionally,All others,State questionnaire,Suburbs,Suburbs,4.0,South,Version 2,Suburb,70s Suburbs,Urban Perimeter,Very upscale,70123.0
291703.0, Louisiana,33.0,Call 2,Complete,Election day exit poll,0.442823082208633,Ron Paul,Male,White,50-59,50-59,Moderate,Democrat,"$50,000-$99,999",Postgraduate study,,,No,I dislike the other candidates,,,,Muslim,Dissatisfied,Dissatisfied,Dissatisfied,Not at all,Strongly oppose,,Paul,Yes,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Not born again,,,Something else,Not much or not at all,Oppose,Neither,,,No,All others,No,All others,All others,,Once a week,,No,Starting to recover,,Weekly,All others,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,70817.0
291592.0, Louisiana,58.0,Call 1,Complete,Election day exit poll,0.679559648036957,Ron Paul,Female,White,25-29,25-29,Very conservative,Republican,"$50,000-$99,999",College graduate,,,,I strongly favor my candidate,,,,Catholic,Omit,Omit,Omit,A great deal,Omit,,Paul,Yes,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,,Catholic,A great deal or somewhat,Omit,,,,No,,No,,Working women,,Once a week,,No,Getting worse,,Weekly,Catholic/Attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,South,Version 2,Suburb,Urban,Urban Core,Very upscale,70508.0
291508.0, Louisiana,51.0,Call 1,Complete,Election day exit poll,0.705983877182007,Mitt Romney,Female,White,60-64,60-64,Somewhat conservative,Republican,"$30,000-$49,999",Some college/assoc. degree,,,No,I strongly favor my candidate,,,,Catholic,Dissatisfied,Satisfied,Satisfied,A great deal,Neutral,,Romney,No,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Neutral,Neither,,,Yes,All others,No,All others,All others,,More than once a week,,No,Getting worse,,Weekly,Catholic/Attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 2,High Density Urban,Urban,Urban Core,Very upscale,70065.0
291461.0, Louisiana,30.0,Call 1,Complete,Election day exit poll,0.554821610450745,Mitt Romney,Male,White,50-59,50-59,Moderate,Independent,"$100,000-$199,999",College graduate,,,No,I like my candidate but with reservations,,,,Protestant,Dissatisfied,Satisfied,Satisfied,Somewhat,Neutral,,Paul,Yes,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Not born again,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Neither,,,No,All others,No,White Protestant non-evangelical,All others,,Once a week,,No,Starting to recover,,Weekly,Protestant/Attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 2,Suburb,Urban,Urban Core,Upscale,70806.0
