ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,ILRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,BEATOBAMAFL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMEIL12,UNDERREP12,WORK,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,ATTEND,ENDPRIM12R,RECOVER,TWOCANDS12R,ATTEND2,ATTREL,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
289908.0, Illinois,22.0,Call 1,Complete,Election day exit poll,0.537457466125488,Did not vote,Male,White,65 or over,65 or over,Somewhat liberal,Independent,,Some college/assoc. degree,Omit,A minor factor,No,,,,,Omit,Yes,Omit,,,Neutral,Before that,,,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,,,,No college degree,More than High school graduate,,A factor,Not important,,,Neutral,Neither,Earlier than that,Before January 1st,,All others,,,,Omit,,Omit,,Mitt Romney,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,60140.0
289901.0, Illinois,4.0,Call 1,Complete,Election day exit poll,1.33915889263153,Did not vote,Female,White,45-49,45-49,Moderate,Republican,"$100,000-$199,999",Some college/assoc. degree,,,,Omit,Omit,Omit,Omit,,,,Other,Omit,Neutral,,Omit,Yes,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,,,Something else,Omit,Neutral,,,,No,,No,,Working women,,Once a week,,Getting worse,,Weekly,All others,State questionnaire,Rural,Small Cities/Rural,5.0,Midwest,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,62858.0
289894.0, Illinois,40.0,Call 1,Complete,Election day exit poll,1.13274991512299,Did not vote,Male,White,45-49,45-49,Somewhat conservative,Republican,"$100,000-$199,999",College graduate,Romney,One of several important factors,No,,,,,The economy,Yes,Can defeat Barack Obama,,,Somewhat support,Earlier this month,,,Married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,A factor,Important,,,Support,Tea Party supporter and not born-again,Earlier than that,Since January 1st,No,All others,,,,Can defeat Barack Obama,,"The race ends as soon as possible, even if your candidate loses the nomination",,Mitt Romney,,,State questionnaire,Rural,Small Cities/Rural,5.0,Midwest,Version 1,Low Density Rural,Rural,Rural,Downscale,62695.0
289782.0, Illinois,22.0,Call 1,Complete,Election day exit poll,0.537457466125488,Did not vote,Male,White,65 or over,65 or over,Moderate,Democrat,"$50,000-$99,999",Some college/assoc. degree,Omit,Omit,No,,,,,The economy,Yes,Omit,,,Strongly oppose,Before that,,,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Omit,Omit,,,Oppose,Neither,Earlier than that,Before January 1st,No,All others,,,,Omit,,Omit,,Would not have voted for president,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,60140.0
289613.0, Illinois,102.0,Call 1,Complete,Election day exit poll,1.11449909210205,Did not vote,Female,White,40-44,40-44,Moderate,Democrat,"$50,000-$99,999",Postgraduate study,Romney,One of several important factors,No,,,,,The economy,Yes,Has the right experience,,,Somewhat oppose,Before that,,,Married women,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,A factor,Important,,,Oppose,Neither,Earlier than that,Before January 1st,No,All others,,,,Has the right experience,,"The race ends as soon as possible, even if your candidate loses the nomination",,Mitt Romney,,,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale,60525.0
291153.0, Illinois,27.0,Call 3,Complete,Election day exit poll,0.976788341999054,Newt Gingrich,Female,White,45-49,45-49,Somewhat conservative,Republican,"$200,000 or more",Postgraduate study,Gingrich,A minor factor,No,,,,,Federal budget deficit,Yes,Can defeat Barack Obama,,,Somewhat support,Just today,,,Married women,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,A factor,Not important,,,Support,Tea Party supporter and not born-again,Last few days,Since January 1st,No,All others,,,,Can defeat Barack Obama,,"Your candidate wins the nomination, even if the race continues for month",,Mitt Romney,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,60030.0
291137.0, Illinois,5.0,Call 3,Complete,Election day exit poll,0.620842754840851,Newt Gingrich,Female,White,50-59,50-59,Very conservative,Republican,"$30,000-$49,999",Some college/assoc. degree,,,Yes,I strongly favor my candidate,About right,Not conservative enough,About right,,,,Other christian,A great deal,Strongly support,,Gingrich,No,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,More than once a week,,Getting worse,,Weekly,All others,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 2,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,62231.0
291103.0, Illinois,5.0,Call 3,Complete,Election day exit poll,0.551138818264008,Newt Gingrich,Male,White,50-59,50-59,Very conservative,Republican,"$30,000-$49,999",College graduate,Gingrich,One of several important factors,Yes,,,,,Federal budget deficit,Yes,Can defeat Barack Obama,,,Somewhat support,Just today,,,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,,,,Can defeat Barack Obama,,"Your candidate wins the nomination, even if the race continues for month",,Rick Santorum,,,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 1,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,62231.0
291087.0, Illinois,1.0,Call 3,Complete,Election day exit poll,0.936576008796692,Newt Gingrich,Female,White,30-39,30-39,Somewhat conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,Gingrich,One of several important factors,Yes,,,,,The economy,Yes,Has the right experience,,,Strongly support,Before that,,,Married women,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,No,White Born-again/Evangelical Christians,,,,Has the right experience,,"Your candidate wins the nomination, even if the race continues for month",,Rick Santorum,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,Midwest,Version 1,Town,Rural,Rural,Downscale,62301.0
291053.0, Illinois,21.0,Call 3,Complete,Election day exit poll,0.673659980297089,Newt Gingrich,Male,White,65 or over,65 or over,Moderate,Republican,"$30,000-$49,999",College graduate,Romney,Not a factor at all,No,,,,,The economy,Yes,Has the right experience,,,Neutral,Before that,,,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,Not a factor,Not important,,,Neutral,Neither,Earlier than that,Before January 1st,No,All others,,,,Has the right experience,,"Your candidate wins the nomination, even if the race continues for month",,Mitt Romney,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,Midwest,Version 1,Suburb,Urban,Urban Core,Upscale,60123.0
291052.0, Illinois,21.0,Call 3,Complete,Election day exit poll,0.673659980297089,Newt Gingrich,Male,White,65 or over,65 or over,Moderate,Republican,"$30,000-$49,999",College graduate,Romney,Not a factor at all,No,,,,,The economy,Yes,Has the right experience,,,Neutral,Before that,,,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,Not a factor,Not important,,,Neutral,Neither,Earlier than that,Before January 1st,No,All others,,,,Has the right experience,,"Your candidate wins the nomination, even if the race continues for month",,Mitt Romney,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,Midwest,Version 1,Suburb,Urban,Urban Core,Upscale,60123.0
291046.0, Illinois,1.0,Call 3,Complete,Election day exit poll,0.867498636245728,Newt Gingrich,Female,,30-39,30-39,Somewhat conservative,Something else,"$30,000-$49,999",College graduate,,,No,I strongly favor my candidate,About right,Not conservative enough,About right,,,,Catholic,A great deal,Strongly support,,Gingrich,Yes,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Support,Tea Party supporter and not born-again,,,,All others,No,,Working women,,Once a week,,Getting worse,,Weekly,Catholic/Attend weekly,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,Midwest,Version 2,Town,Rural,Rural,Downscale,62301.0
291044.0, Illinois,21.0,Call 3,Complete,Election day exit poll,0.778292596340179,Newt Gingrich,Female,White,50-59,50-59,Moderate,Republican,"$100,000-$199,999",Postgraduate study,,,No,I like my candidate but with reservations,Not conservative enough,Too conservative,Too conservative,,,,Catholic,Not much,Somewhat support,,Paul,Yes,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Not born again,,,Catholic,Not much or not at all,Support,Tea Party supporter and not born-again,,,No,All others,No,All others,Working women,,A few times a month,,Getting worse,,Occasionally,Catholic/Do not attend weekly,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,Midwest,Version 2,Suburb,Urban,Urban Core,Upscale,60123.0
291031.0, Illinois,21.0,Call 3,Complete,Election day exit poll,0.673659980297089,Newt Gingrich,Male,White,65 or over,65 or over,Moderate,Independent,"$50,000-$99,999",Some college/assoc. degree,Gingrich,A minor factor,Yes,,,,,The economy,Yes,Has the right experience,,,Somewhat oppose,Earlier this year,,,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,A factor,Not important,,,Oppose,Born-again but not Tea Party supporter,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,,,Has the right experience,,"Your candidate wins the nomination, even if the race continues for month",,Rick Santorum,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,Midwest,Version 1,Suburb,Urban,Urban Core,Upscale,60123.0
291021.0, Illinois,5.0,Call 3,Complete,Election day exit poll,0.551138818264008,Newt Gingrich,Male,White,45-49,45-49,Somewhat conservative,Independent,"$100,000-$199,999",Postgraduate study,Gingrich,Not a factor at all,Yes,,,,,Federal budget deficit,No,Has the right experience,,,Somewhat support,Before that,,,Non married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Not a factor,Not important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,No,White Born-again/Evangelical Christians,,,,Has the right experience,,"Your candidate wins the nomination, even if the race continues for month",,Mitt Romney,,,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 1,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,62231.0
291010.0, Illinois,14.0,Call 3,Complete,Election day exit poll,0.55429083108902,Newt Gingrich,Male,Black,50-59,50-59,Somewhat liberal,Independent,"$100,000-$199,999",Some college/assoc. degree,Omit,Not a factor at all,No,,,,,The economy,Yes,Has the right experience,,,Strongly oppose,Just today,,,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,Not a factor,Not important,,,Oppose,Neither,Last few days,Since January 1st,No,All others,,,,Has the right experience,,"The race ends as soon as possible, even if your candidate loses the nomination",,Would not have voted for president,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60532.0
290993.0, Illinois,14.0,Call 3,Complete,Election day exit poll,0.857682943344116,Newt Gingrich,Male,White,45-49,45-49,Somewhat conservative,Republican,"$50,000-$99,999",College graduate,Gingrich,Not a factor at all,Yes,,,,,The economy,Yes,Has the right experience,,,Somewhat support,Before that,,,Married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Not a factor,Not important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,No,White Born-again/Evangelical Christians,,,,Has the right experience,,"The race ends as soon as possible, even if your candidate loses the nomination",,Rick Santorum,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60532.0
290985.0, Illinois,14.0,Call 3,Complete,Election day exit poll,0.836267530918121,Newt Gingrich,Male,White,65 or over,65 or over,Somewhat conservative,Republican,"$50,000-$99,999",College graduate,Gingrich,A minor factor,No,,,,,Federal budget deficit,Yes,Has the right experience,,,Strongly support,Earlier this month,,,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,A factor,Not important,,,Support,Tea Party supporter and not born-again,Earlier than that,Since January 1st,No,All others,,,,Has the right experience,,"Your candidate wins the nomination, even if the race continues for month",,Mitt Romney,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60532.0
290980.0, Illinois,6.0,Call 3,Complete,Election day exit poll,1.12153029441834,Newt Gingrich,Male,White,25-29,25-29,Somewhat conservative,Republican,"Under $30,000",College graduate,,,No,I strongly favor my candidate,About right,About right,Too conservative,,,,Protestant,Somewhat,Neutral,,Gingrich,No,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Not born again,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Neither,,,No,All others,No,White Protestant non-evangelical,All others,,Once a week,,Staying the same,,Weekly,Protestant/Attend weekly,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 2,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,62252.0
290979.0, Illinois,6.0,Call 3,Complete,Election day exit poll,1.12153029441834,Newt Gingrich,Male,White,25-29,25-29,Somewhat conservative,Republican,"Under $30,000",College graduate,,,No,I strongly favor my candidate,About right,About right,Too conservative,,,,Protestant,Somewhat,Neutral,,Gingrich,No,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Not born again,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Neither,,,No,All others,No,White Protestant non-evangelical,All others,,Once a week,,Staying the same,,Weekly,Protestant/Attend weekly,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 2,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,62252.0
290974.0, Illinois,8.0,Call 3,Not complete,Election day exit poll,0.856035590171814,Newt Gingrich,Female,,65 or over,65 or over,,,,High school or less,Gingrich,The most important factor,,,,,,,No,,,,,Earlier this year,,,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,A factor,Important,,,,,Earlier than that,Since January 1st,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 1,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,60548.0
