ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,TNRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BEATOBAMAFL,BIZVPOL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,PAULCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMEST12,UNDERREP12,VOTENOV12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,GOVTANGR,GOVTANG2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
230171.0,Tennessee,50008.0,Telephone Survey,Complete,Telephone survey,0.038885772228241,Newt Gingrich,Male,White,,,Moderate,Republican,"$100,000-$199,999",College graduate,,Paul,Working in business,,No,I like my candidate but with reservations,Not conservative enough,Not conservative enough,About right,Not conservative enough,,,,Catholic,Somewhat,Neutral,,Paul,,,,,,,,,,,,,,,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Not born again,,,Catholic,A great deal or somewhat,Neutral,Neither,,,No,All others,No,All others,,,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Suburb,Rural,Rural,Downscale,37323.0
230141.0,Tennessee,50027.0,Telephone Survey,Complete,Telephone survey,0.041584923863411,Uncommitted,Female,White,60-64,60-64,Somewhat liberal,Independent,"$50,000-$99,999",College graduate,,Paul,Working in business,,No,I like my candidate but with reservations,Too conservative,Too conservative,About right,About right,,,,Other,Not at all,Neutral,,Omit,,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Not born again,,,Something else,Not much or not at all,Neutral,Neither,,,No,All others,No,All others,,,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,38135.0
230235.0,Tennessee,50027.0,Telephone Survey,Complete,Telephone survey,0.0475154928863049,Uncommitted,Female,White,50-59,50-59,Very conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,,Romney,Working in business,,Yes,Omit,About right,Not conservative enough,Not conservative enough,About right,,,,Protestant,Somewhat,Strongly support,,Santorum,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,South,Version 2,Suburb,Urban,Urban Core,Very upscale,38134.0
229824.0,Tennessee,50035.0,Telephone Survey,Complete,Telephone survey,0.0480617024004459,Uncommitted,Female,Black,50-59,50-59,Very conservative,Independent,"Under $30,000",High school or less,Legal in most cases,,,,Yes,,,,,,The economy,No,Has strong moral character,,,Neutral,Earlier this year,,Probably vote for the Republican nominee,Non married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Legal,,,,,,Neutral,Born-again but not Tea Party supporter,Earlier than that,Since January 1st,No,All others,,,Has strong moral character,Omit,Omit,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,South,Version 1,High Density Urban,Urban,Urban Core,Very downscale,38114.0
229695.0,Tennessee,50026.0,Telephone Survey,Complete,Telephone survey,0.0505952090024948,Uncommitted,Female,White,65 or over,65 or over,Very conservative,Republican,"Under $30,000",High school or less,Illegal in all cases,,,,No,,,,,,The economy,No,Omit,,,Strongly oppose,Earlier this year,,Definitely vote for the Republican nominee,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,,,,,,Oppose,Neither,Earlier than that,Since January 1st,Yes,All others,,,Omit,Angry,"Dissatisifed, but not angry or angry",State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,37042.0
230116.0,Tennessee,50014.0,Telephone Survey,Complete,Telephone survey,0.0505952090024948,Uncommitted,Female,White,65 or over,65 or over,Very conservative,Republican,"Under $30,000",Some college/assoc. degree,,Omit,Omit,,Yes,I dislike the other candidates,Omit,Omit,Omit,Omit,,,,Protestant,Omit,Neutral,,Omit,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,,Protestant/Other Non-Catholic Christian,Omit,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 2,Low Density Rural,Rural,Rural,Downscale,37355.0
230186.0,Tennessee,50025.0,Telephone Survey,Complete,Telephone survey,0.0517962612211704,Newt Gingrich,Female,White,,,Somewhat conservative,Republican,,Some college/assoc. degree,,Gingrich,Working in government,,Yes,I strongly favor my candidate,About right,Omit,Omit,Omit,,,,Protestant,Somewhat,Somewhat support,,Gingrich,,,,,,,,,,,,,,,Republican,Conservative,Somewhat conservative,Somewhat conservative,,,,No college degree,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37064.0
229842.0,Tennessee,50026.0,Telephone Survey,Complete,Telephone survey,0.053917545825243,Uncommitted,Male,White,65 or over,65 or over,Somewhat conservative,Independent,"$50,000-$99,999",Some college/assoc. degree,Illegal in most cases,,,,Yes,,,,,,The economy,Yes,Can defeat Barack Obama,,,Strongly support,Before that,,Definitely vote for the Republican nominee,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Illegal,,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,No,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,38329.0
230105.0,Tennessee,50021.0,Telephone Survey,Complete,Telephone survey,0.0546445585787296,Uncommitted,Female,White,65 or over,65 or over,,Independent,"Under $30,000",Some college/assoc. degree,,Romney,Working in business,,No,I like my candidate but with reservations,Too conservative,About right,About right,Omit,,,,Protestant,Not at all,Strongly oppose,,Omit,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,,,,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,Not born again,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Oppose,Neither,,,Yes,All others,No,White Protestant non-evangelical,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,37066.0
230085.0,Tennessee,50008.0,Telephone Survey,Complete,Telephone survey,0.0608148463070393,Rick Santorum,Female,Black,,,Very conservative,Republican,"$50,000-$99,999",College graduate,,Romney,Working in business,,,I strongly favor my candidate,Not conservative enough,Not conservative enough,About right,About right,,,,Other,Somewhat,Neutral,,Romney,,,,,,,,,,,,,,,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,,,Something else,A great deal or somewhat,Neutral,,,,No,All others,No,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 2,Suburb,Urban,Urban Core,Very upscale,37421.0
229941.0,Tennessee,50028.0,Telephone Survey,Complete,Telephone survey,0.0746279656887054,Mitt Romney,Female,White,,,Moderate,Republican,,College graduate,Legal in most cases,,,,No,,,,,,The economy,Yes,Has the right experience,,,Neutral,Earlier this year,,Probably vote for the Republican nominee,Married women,,,,,,,,,,,,,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,,,,College graduate,More than High school graduate,Legal,,,,,,Neutral,Neither,Earlier than that,Since January 1st,No,All others,,,Has the right experience,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Upscale,37995.0
230020.0,Tennessee,50026.0,Telephone Survey,Complete,Telephone survey,0.0835720002651215,Uncommitted,Female,White,50-59,50-59,Moderate,Republican,"$50,000-$99,999",College graduate,,Romney,Working in business,,No,Omit,About right,Too conservative,About right,Too conservative,,,,Other christian,Somewhat,Neutral,,Gingrich,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Not born again,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Neither,,,No,All others,No,White Protestant non-evangelical,,,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 2,Low Density Rural,Rural,Rural,Very downscale,37098.0
229802.0,Tennessee,50030.0,Telephone Survey,Complete,Telephone survey,0.0974616259336472,Newt Gingrich,Male,White,,,,,,Some college/assoc. degree,Legal in most cases,,,,,,,,,,The economy,No,Can defeat Barack Obama,,,Somewhat support,Earlier this year,,Definitely vote for the Republican nominee,Non married men,,,,,,,,,,,,,,,,,,,,No college degree,More than High school graduate,Legal,,,,,,Support,,Earlier than that,Since January 1st,,,,,Can defeat Barack Obama,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,Low Density Rural,Urban,Urban Core,Downscale,37052.0
230313.0,Tennessee,50021.0,Telephone Survey,Complete,Telephone survey,0.127948567271233,Uncommitted,Male,White,65 or over,65 or over,Very conservative,Democrat,"Under $30,000",High school or less,,Gingrich,Omit,,,I strongly favor my candidate,Omit,About right,About right,Omit,,,,Protestant,Not at all,Neutral,,Gingrich,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Neutral,,,,Yes,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37153.0
230151.0,Tennessee,50021.0,Telephone Survey,Complete,Telephone survey,0.139569327235222,Uncommitted,Male,White,65 or over,65 or over,Very conservative,Independent,"$50,000-$99,999",Postgraduate study,,Santorum,Working in business,,Yes,I dislike the other candidates,About right,About right,About right,About right,,,,Protestant,Somewhat,Strongly support,,Santorum,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,South,Version 2,Suburb,Urban,Urban Core,Very upscale,37129.0
230236.0,Tennessee,50025.0,Telephone Survey,Complete,Telephone survey,0.145295456051826,Uncommitted,Female,White,50-59,50-59,Somewhat liberal,Independent,"$50,000-$99,999",Some college/assoc. degree,,Omit,Working in business,,No,I dislike the other candidates,Too conservative,About right,Too conservative,Too conservative,,,,None,Not at all,Strongly oppose,,Paul,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Not born again,,,None,Not much or not at all,Oppose,Neither,,,No,All others,No,All others,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37064.0
229763.0,Tennessee,50021.0,Telephone Survey,Complete,Telephone survey,0.182986050844193,Uncommitted,Male,White,60-64,60-64,Somewhat conservative,Something else,"$100,000-$199,999",Postgraduate study,Omit,,,,No,,,,,,The economy,Yes,Has the right experience,,,Strongly oppose,Omit,,Probably vote for the Republican nominee,Married men,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Omit,,,,,,Oppose,Neither,Omit,Omit,No,All others,,,Has the right experience,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,37188.0
230123.0,Tennessee,50008.0,Telephone Survey,Complete,Telephone survey,0.196422696113586,Ron Paul,Female,Black,65 or over,65 or over,Moderate,Independent,"$50,000-$99,999",High school or less,,Omit,Working in business,,Yes,I dislike the other candidates,Not conservative enough,About right,Omit,Not conservative enough,,,,Other christian,Not much,Neutral,,Paul,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Neutral,Born-again but not Tea Party supporter,,,No,All others,No,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 2,Suburb,Urban,Urban Core,Upscale,37411.0
229811.0,Tennessee,50030.0,Telephone Survey,Complete,Telephone survey,0.200009241700172,Ron Paul,Female,White,65 or over,65 or over,Very conservative,Republican,,High school or less,Illegal in all cases,,,,Yes,,,,,,Abortion,No,Can defeat Barack Obama,,,Omit,Omit,,Definitely vote for the Republican nominee,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,,,,No college degree,High school graduate or less,Illegal,,,,,,Omit,,Omit,Omit,,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Low Density Rural,Rural,Rural,Very downscale,37178.0
230261.0,Tennessee,50035.0,Telephone Survey,Complete,Telephone survey,0.230625569820404,Ron Paul,Female,White,65 or over,65 or over,Somewhat conservative,Republican,"$30,000-$49,999",College graduate,,Omit,Working in business,,Yes,I like my candidate but with reservations,About right,Not conservative enough,Not conservative enough,Too conservative,,,,Protestant,A great deal,Somewhat support,,Gingrich,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,South,Version 2,Suburb,Urban,Urban Core,Very upscale,38117.0
229817.0,Tennessee,50025.0,Telephone Survey,Complete,Telephone survey,0.262575209140778,Uncommitted,Male,White,40-44,40-44,Somewhat conservative,Independent,"$50,000-$99,999",Postgraduate study,Illegal in all cases,,,,No,,,,,,The economy,Yes,Has the right experience,,,Strongly oppose,Earlier this year,,Only vote for the Republican nominee if your candidate wins,Married men,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,,,,,,Oppose,Neither,Earlier than that,Since January 1st,No,All others,,,Has the right experience,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37064.0
230299.0,Tennessee,50031.0,Telephone Survey,Complete,Telephone survey,0.304681718349457,Ron Paul,Male,White,60-64,60-64,Very liberal,Republican,"Under $30,000",High school or less,,Paul,Working in business,,Yes,I strongly favor my candidate,About right,About right,Not conservative enough,About right,,,,None,Not at all,Neutral,,Paul,,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,Born again/Think religious values of candidate did not matter a great deal,,,None,Not much or not at all,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,No,All others,,,,State questionnaire,Rural,Small Cities/Rural,4.0,South,Version 2,Low Density Rural,Rural,Rural,Very downscale,38001.0
229734.0,Tennessee,50021.0,Telephone Survey,Complete,Telephone survey,0.305251210927963,Rick Santorum,Female,White,65 or over,65 or over,Somewhat conservative,Republican,"Under $30,000",High school or less,Illegal in most cases,,,,Yes,,,,,,The economy,No,Can defeat Barack Obama,,,Neutral,In the last few days,,Probably vote for the Republican nominee,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,,,,,,Neutral,Born-again but not Tea Party supporter,Last few days,Since January 1st,Yes,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Upscale,37086.0
230074.0,Tennessee,50000.0,Telephone Survey,Complete,Telephone survey,0.310920178890228,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Independent,"Under $30,000",High school or less,,Gingrich,Working in government,,Yes,I strongly favor my candidate,About right,Not conservative enough,Not conservative enough,About right,,,,Other,Not at all,Neutral,,Gingrich,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,Born again/Think religious values of candidate did not matter a great deal,,,Something else,Not much or not at all,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,No,All others,,,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 2,Low Density Rural,70s Suburbs,Urban Perimeter,Upscale,37659.0
