ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,OHRPRS12,SEX,QRACE3,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BEATOBAMAFL,BIZVPOL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,PAULCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SATGING,SATPAUL,SATROMN,SATSANT,SHAREREL,TEAPARTY,TIMEST12,UNDERREP12,VOTENOV12,WORK,SEXWED,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,CAMPREP12,ECONWORR,GOVTANGR,PHILFIS5,PHILSOC5,ECOWORR2,GOVTANG2,PHILFIS2,PHILFIS3,PHILSOC2,PHILSOC3,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
229598.0,Ohio,50022.0,Telephone Survey,Complete,Telephone survey,1.54599595069885,Newt Gingrich,Female,White,60-64,,Independent,"$30,000-$49,999",High school or less,,,,,Yes,,,,,,Abortion,,Has strong moral character,,Satisfied,Dissatisfied,Dissatisfied,Satisfied,,Neutral,,,,No,,45-65,60+,45+,60+,50-64,Independent/Something else,,,,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,,,,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,,,All others,Has strong moral character,About the same,Very worried,,Somewhat conservative,Very conservative,Worried,,Conservative,Somewhat conservative,Conservative,Very conservative,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 3,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,43515.0
229562.0,Ohio,50060.0,Telephone Survey,Complete,Telephone survey,1.01903080940247,Newt Gingrich,Male,,50-59,,Independent,"Under $30,000",Postgraduate study,,,,,Yes,,,,,,Federal budget deficit,,Has strong moral character,,Satisfied,Omit,Dissatisfied,Satisfied,,Neutral,,,,No,,45-65,30-59,45+,45-59,50-64,Independent/Something else,,,,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,,,,,Neutral,Born-again but not Tea Party supporter,,,,,,,All others,Has strong moral character,About the same,Very worried,,,Moderate,Worried,,,,Moderate/Liberal,Moderate/Liberal,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 3,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,44280.0
229551.0,Ohio,50029.0,Telephone Survey,Complete,Telephone survey,1.28940808773041,Newt Gingrich,Male,White,65 or over,,Independent,"$30,000-$49,999",High school or less,,,,,Yes,,,,,,The economy,,Has strong moral character,,Satisfied,Omit,Omit,Omit,,Neutral,,,,No,,65+,60+,45+,60+,65+,Independent/Something else,,,,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,,,,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,,,All others,Has strong moral character,About the same,Somewhat worried,,Somewhat conservative,Moderate,Worried,,Conservative,Somewhat conservative,Moderate/Liberal,Moderate/Liberal,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 3,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,45696.0
229485.0,Ohio,50026.0,Telephone Survey,Complete,Telephone survey,0.762479484081268,Newt Gingrich,Female,White,65 or over,Moderate,Democrat,"Under $30,000",High school or less,,Omit,Working in government,,Yes,I like my candidate but with reservations,Not conservative enough,About right,Not conservative enough,Omit,,,,Other christian,,,,,A great deal,Neutral,,Gingrich,,,,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,44460.0
229470.0,Ohio,50022.0,Telephone Survey,Complete,Telephone survey,1.37867891788483,Newt Gingrich,Female,White,50-59,Moderate,Independent,"$50,000-$99,999",Some college/assoc. degree,,Gingrich,Omit,,No,I like my candidate but with reservations,About right,Not conservative enough,Not conservative enough,Not conservative enough,,,,Catholic,,,,,Somewhat,Neutral,,Gingrich,,,,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Not born again,,,Catholic,A great deal or somewhat,Neutral,Neither,,,No,All others,No,All others,,,,,,,,,,,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,Midwest,Version 2,Low Density Rural,Rural,Rural,Downscale,44883.0
229460.0,Ohio,50050.0,Telephone Survey,Complete,Telephone survey,1.41080784797668,Newt Gingrich,Female,White,65 or over,Somewhat conservative,Independent,"$100,000-$199,999",College graduate,,Romney,Omit,,No,I like my candidate but with reservations,Not conservative enough,Omit,About right,Too conservative,,,,,,,,,Not at all,Neutral,,Omit,,,,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Not born again,,,,Not much or not at all,Neutral,Neither,,,No,All others,,,,,,,,,,,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,Midwest,Version 2,High Density Urban,Urban,Urban Core,Downscale,44119.0
229370.0,Ohio,50033.0,Telephone Survey,Complete,Telephone survey,0.934948086738586,Newt Gingrich,Female,White,60-64,Moderate,Republican,"$30,000-$49,999",High school or less,Legal in all cases,,,,No,,,,,,The economy,No,Is a true conservative,,,,,,,Neutral,In the last few weeks,,Omit,,Non married women,45-65,60+,45+,60+,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Legal,,,,,,Neutral,Neither,Earlier than that,Since January 1st,Yes,All others,,,,Is a true conservative,,,"Satisfied, but not enthusiastic",,,,"Enthusiastic or satisfied, but not enthusiastic",,,,,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,43130.0
229354.0,Ohio,50014.0,Telephone Survey,Complete,Telephone survey,1.735515832901,Newt Gingrich,Male,White,50-59,Somewhat liberal,,"$30,000-$49,999",High school or less,Legal in most cases,,,,No,,,,,,The economy,Yes,Is a true conservative,,,,,,,Neutral,Before that,,Probably vote for the Republican nominee,,Married men,45-65,30-59,45+,45-59,50-64,,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Legal,,,,,,Neutral,Neither,Earlier than that,Before January 1st,Yes,All others,,,,Is a true conservative,,,"Dissatisifed, but not angry",,,,"Dissatisifed, but not angry or angry",,,,,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 1,Suburb,70s Suburbs,Urban Perimeter,Very upscale,45424.0
229276.0,Ohio,50017.0,Telephone Survey,Complete,Telephone survey,2.26588797569275,Newt Gingrich,Male,White,50-59,Somewhat conservative,Something else,,High school or less,Illegal in most cases,,,,No,,,,,,Illegal immigration,Yes,Omit,,,,,,,Neutral,Before that,,Definitely vote for the Republican nominee,,Married men,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,,,,No college degree,High school graduate or less,Illegal,,,,,,Neutral,Neither,Earlier than that,Before January 1st,,All others,,,,Omit,,,Angry,,,,"Dissatisifed, but not angry or angry",,,,,State questionnaire,Rural,Small Cities/Rural,3.0,Midwest,Version 1,Low Density Rural,Rural,Rural,Upscale,45845.0
229446.0,Ohio,50065.0,Telephone Survey,Complete,Telephone survey,0.961203038692474,Newt Gingrich,Female,White,50-59,Very conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,,Gingrich,Working in government,,No,I strongly favor my candidate,About right,Too conservative,Omit,About right,,,,Other christian,,,,,A great deal,Neutral,,Gingrich,,,,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Not born again,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Neither,,,No,All others,No,White Protestant non-evangelical,,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,44077.0
229431.0,Ohio,50061.0,Telephone Survey,Complete,Telephone survey,1.28982949256897,Newt Gingrich,Female,White,50-59,Somewhat conservative,Independent,"$30,000-$49,999",Some college/assoc. degree,,Santorum,Working in business,,No,I like my candidate but with reservations,Too conservative,Not conservative enough,Too conservative,About right,,,,Protestant,,,,,Not much,Neutral,,Gingrich,,,,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,Not born again,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Neutral,Neither,,,Yes,All others,No,White Protestant non-evangelical,,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 2,Suburb,60s Suburbs,Urban Perimeter,Downscale,44203.0
229616.0,Ohio,50042.0,Telephone Survey,Complete,Telephone survey,1.23893237113953,Newt Gingrich,Female,White,60-64,,Independent,"$50,000-$99,999",High school or less,,,,,Yes,,,,,,The economy,,Can defeat Barack Obama,,Satisfied,Dissatisfied,Satisfied,Satisfied,,Somewhat support,,,,No,,45-65,60+,45+,60+,50-64,Independent/Something else,,,,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,,,,,,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,,,All others,Can defeat Barack Obama,More negative this year,Somewhat worried,,Somewhat conservative,Very conservative,Worried,,Conservative,Somewhat conservative,Conservative,Very conservative,State questionnaire,Rural,Small Cities/Rural,3.0,Midwest,Version 3,Low Density Rural,Rural,Rural,Downscale,44814.0
229608.0,Ohio,50058.0,Telephone Survey,Complete,Telephone survey,1.78831374645233,Newt Gingrich,Female,White,60-64,,Republican,"$30,000-$49,999",Some college/assoc. degree,,,,,No,,,,,,Federal budget deficit,,Is a true conservative,,Satisfied,Dissatisfied,Satisfied,Dissatisfied,,Somewhat support,,,,Yes,,45-65,60+,45+,60+,50-64,Republican,,,,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,,,,Support,Tea Party supporter and not born-again,,,Yes,All others,,,Working women,Is a true conservative,More positive this year,Very worried,,Very conservative,Somewhat liberal,Worried,,Conservative,Very conservative,Moderate/Liberal,Moderate/Liberal,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 3,Suburb,80s Suburbs,Urban Perimeter,Very upscale,43017.0
229582.0,Ohio,50088.0,Telephone Survey,Complete,Telephone survey,1.36726582050323,Newt Gingrich,Female,White,65 or over,,Republican,,High school or less,,,,,Yes,,,,,,The economy,,Has the right experience,,Omit,Dissatisfied,Satisfied,Dissatisfied,,Somewhat support,,,,Yes,,65+,60+,45+,60+,65+,Republican,,,,,,,No college degree,High school graduate or less,,,,,,,Support,Both Tea Party supporter and born-again,,,,White Born-again/Evangelical Christians,,,Working women,Has the right experience,About the same,Very worried,,Moderate,Somewhat conservative,Worried,,Moderate/Liberal,Moderate/Liberal,Conservative,Somewhat conservative,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,Midwest,Version 3,Low Density Rural,Rural,Rural,Downscale,43050.0
229565.0,Ohio,50014.0,Telephone Survey,Complete,Telephone survey,1.92476570606232,Newt Gingrich,Female,White,50-59,,Independent,"$30,000-$49,999",High school or less,,,,,Yes,,,,,,The economy,,Can defeat Barack Obama,,Satisfied,Dissatisfied,Omit,Satisfied,,Somewhat support,,,,Yes,,45-65,30-59,45+,45-59,50-64,Independent/Something else,,,,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,,,,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,,,Working women,Can defeat Barack Obama,More negative this year,Very worried,,Somewhat conservative,Somewhat liberal,Worried,,Conservative,Somewhat conservative,Moderate/Liberal,Moderate/Liberal,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 3,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,45005.0
229545.0,Ohio,50009.0,Telephone Survey,Complete,Telephone survey,1.92476570606232,Newt Gingrich,Female,White,50-59,,Something else,"$50,000-$99,999",Some college/assoc. degree,,,,,No,,,,,,The economy,,Is a true conservative,,Satisfied,Satisfied,Satisfied,Satisfied,,Somewhat support,,,,Yes,,45-65,30-59,45+,45-59,50-64,Independent/Something else,,,,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,,,,Support,Tea Party supporter and not born-again,,,No,All others,,,Working women,Is a true conservative,More negative this year,Very worried,,Very conservative,Moderate,Worried,,Conservative,Very conservative,Moderate/Liberal,Moderate/Liberal,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 3,Suburb,60s Suburbs,Urban Perimeter,Very upscale,45236.0
229536.0,Ohio,50060.0,Telephone Survey,Complete,Telephone survey,2.06695008277893,Newt Gingrich,Male,Other,40-44,,Republican,"$50,000-$99,999",,,,,,No,,,,,,Illegal immigration,,Can defeat Barack Obama,,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,,Somewhat support,,,,Yes,,30-44,30-59,17-44,30-44,40-49,Republican,,,,50 to 100 thousand,50k or more,Less than 100k,,,,,,,,,Support,Tea Party supporter and not born-again,,,No,All others,,,All others,Can defeat Barack Obama,About the same,Not at all worried,,Very liberal,Very liberal,Not worried,,Moderate/Liberal,Moderate/Liberal,Moderate/Liberal,Moderate/Liberal,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 3,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,44053.0
229462.0,Ohio,50014.0,Telephone Survey,Complete,Telephone survey,1.11951804161072,Newt Gingrich,Female,White,65 or over,Somewhat conservative,Republican,,Some college/assoc. degree,,Gingrich,Omit,,Yes,I like my candidate but with reservations,About right,Too conservative,Not conservative enough,About right,,,,Other christian,,,,,A great deal,Somewhat support,,Gingrich,,,,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,,,,No college degree,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,45458.0
229441.0,Ohio,50065.0,Telephone Survey,Complete,Telephone survey,1.67246115207672,Newt Gingrich,Female,White,50-59,Moderate,Republican,"$200,000 or more",High school or less,,Gingrich,Working in business,,Yes,I like my candidate but with reservations,About right,About right,About right,Too conservative,,,,Other,,,,,Somewhat,Somewhat support,,Gingrich,,,,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,No college degree,High school graduate or less,,Born again/Think religious values of candidate did not matter a great deal,,,Something else,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,No,All others,,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,44077.0
229406.0,Ohio,50066.0,Telephone Survey,Complete,Telephone survey,1.16875541210175,Newt Gingrich,Female,White,65 or over,Somewhat conservative,Republican,,College graduate,,Omit,Working in government,,Yes,I like my candidate but with reservations,About right,About right,About right,About right,,,,Protestant,,,,,Not at all,Somewhat support,,Santorum,,,,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,,,,College graduate,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 2,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,44450.0
229385.0,Ohio,50009.0,Telephone Survey,Complete,Telephone survey,1.85216152667999,Newt Gingrich,Male,White,60-64,Somewhat conservative,Independent,"$50,000-$99,999",Some college/assoc. degree,Legal in most cases,,,,No,,,,,,Federal budget deficit,Yes,Can defeat Barack Obama,,,,,,,Somewhat support,In the last few weeks,,Definitely vote for the Republican nominee,,Married men,45-65,60+,45+,60+,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Legal,,,,,,Support,Tea Party supporter and not born-again,Earlier than that,Since January 1st,No,All others,,,,Can defeat Barack Obama,,,"Dissatisifed, but not angry",,,,"Dissatisifed, but not angry or angry",,,,,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale,45236.0
229316.0,Ohio,50026.0,Telephone Survey,Complete,Telephone survey,0.522786259651184,Newt Gingrich,Female,,,Very conservative,Republican,,,Illegal in most cases,,,,Yes,,,,,,Federal budget deficit,No,Has strong moral character,,,,,,,Somewhat support,Before that,,Only vote for the Republican nominee if your candidate wins,,Non married women,,,,,,Republican,Conservative,Very conservative,Very conservative,,,,,,Illegal,,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,,,,,,Has strong moral character,,,"Satisfied, but not enthusiastic",,,,"Enthusiastic or satisfied, but not enthusiastic",,,,,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 1,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,44452.0
