ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,GARPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BEATOBAMAFL,BIZVPOL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,PAULCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMEST12,VOTENOV12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,GINGTIESGA,GOVTANGR,GINGTIESGA2,GOVTANG2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
238889.0, Georgia,56.0,Call 3,Complete,Election day exit poll,2.17790007591248,Newt Gingrich,Male,White,65 or over,65 or over,Very conservative,Republican,"$50,000-$99,999",High school or less,,Gingrich,Working in government,,Yes,I strongly favor my candidate,About right,Not conservative enough,Not conservative enough,Not conservative enough,,,,Protestant,A great deal,Strongly support,,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,A great deal,,A great deal or somewhat,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30214.0
234839.0, Georgia,84.0,Call 2,Complete,Election day exit poll,0.787024557590485,Newt Gingrich,Male,White,50-59,50-59,Somewhat liberal,Republican,"$50,000-$99,999",Some college/assoc. degree,,Romney,Working in business,,Yes,I like my candidate but with reservations,Too conservative,Not conservative enough,Too conservative,About right,,,,Protestant,Somewhat,Somewhat support,,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,Somewhat,,A great deal or somewhat,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30096.0
238864.0, Georgia,100.0,Call 3,Complete,Election day exit poll,1.3567156791687,Newt Gingrich,Female,White,40-44,40-44,Somewhat conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,,Gingrich,Working in government,,Yes,I strongly favor my candidate,About right,Too conservative,Not conservative enough,About right,,,,Other christian,Somewhat,Somewhat support,,,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,Not at all,,Not much or not at all,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Low Density Rural,Rural,Rural,Very downscale,30554.0
238796.0, Georgia,100.0,Call 3,Complete,Election day exit poll,1.369220495224,Newt Gingrich,Male,White,45-49,45-49,Moderate,Republican,"$30,000-$49,999",High school or less,,Gingrich,Working in business,,Yes,I strongly favor my candidate,About right,Not conservative enough,Not conservative enough,Too conservative,,,,Catholic,Somewhat,Neutral,,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,Born again/Think religious values of candidate did not matter a great deal,,,Catholic,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,No,All others,,A great deal,,A great deal or somewhat,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Low Density Rural,Rural,Rural,Very downscale,30554.0
234716.0, Georgia,103.0,Call 2,Complete,Election day exit poll,1.89734613895416,Newt Gingrich,Female,White,50-59,50-59,Somewhat liberal,Something else,"$100,000-$199,999",College graduate,,Gingrich,Working in government,,No,I strongly favor my candidate,About right,About right,Too conservative,Omit,,,,Catholic,Somewhat,Strongly support,,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Not born again,,,Catholic,A great deal or somewhat,Support,Tea Party supporter and not born-again,,,No,All others,No,All others,,Not much,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,30252.0
238761.0, Georgia,84.0,Call 3,Complete,Election day exit poll,0.818854570388794,Newt Gingrich,Male,White,25-29,25-29,Somewhat conservative,Republican,"$50,000-$99,999",College graduate,,Gingrich,Working in business,,No,I dislike the other candidates,About right,Omit,Omit,Omit,,,,Other christian,Somewhat,Strongly support,,,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Not born again,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Tea Party supporter and not born-again,,,No,All others,No,White Protestant non-evangelical,,Not at all,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30096.0
238759.0, Georgia,100.0,Call 3,Complete,Election day exit poll,1.369220495224,Newt Gingrich,Male,White,50-59,50-59,Somewhat conservative,Republican,"$100,000-$199,999",Postgraduate study,,Gingrich,Working in government,,Yes,I strongly favor my candidate,About right,Too conservative,Not conservative enough,About right,,,,Protestant,A great deal,Somewhat support,,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,Somewhat,,A great deal or somewhat,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Low Density Rural,Rural,Rural,Very downscale,30554.0
238744.0, Georgia,56.0,Call 3,Complete,Election day exit poll,2.15800976753235,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Republican,"$30,000-$49,999",High school or less,,Gingrich,Working in government,,Yes,I like my candidate but with reservations,About right,Not conservative enough,Not conservative enough,Not conservative enough,,,,Other,A great deal,Somewhat oppose,,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,Born again/Think religious values of candidate matter a great deal,,,Something else,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,No,All others,,Not at all,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30214.0
234693.0, Georgia,53.0,Call 2,Complete,Election day exit poll,0.960485816001892,Newt Gingrich,Male,White,65 or over,65 or over,Moderate,Republican,"$100,000-$199,999",College graduate,,Gingrich,Working in business,,Yes,I strongly favor my candidate,About right,Too conservative,Not conservative enough,Not conservative enough,,,,Protestant,Not much,Neutral,,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Neutral,Born-again but not Tea Party supporter,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,Not at all,,Not much or not at all,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Low Density Rural,Rural,Rural,Very downscale,30635.0
234679.0, Georgia,103.0,Call 2,Complete,Election day exit poll,1.89734613895416,Newt Gingrich,Female,White,50-59,50-59,Very conservative,Republican,"$100,000-$199,999",College graduate,,Gingrich,Omit,,Yes,I like my candidate but with reservations,About right,Not conservative enough,Not conservative enough,Not conservative enough,,,,,A great deal,Strongly support,,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,,,,Not at all,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,30252.0
234678.0, Georgia,56.0,Call 2,Complete,Election day exit poll,2.17790007591248,Newt Gingrich,Male,White,65 or over,65 or over,Somewhat conservative,Republican,"Under $30,000",Postgraduate study,,Gingrich,Omit,,No,I strongly favor my candidate,About right,Not conservative enough,About right,Too conservative,,,,Protestant,Not at all,Strongly support,,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,Not born again,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Support,Tea Party supporter and not born-again,,,No,All others,No,White Protestant non-evangelical,,Not at all,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30214.0
234667.0, Georgia,126.0,Call 2,Complete,Election day exit poll,0.908454179763794,Newt Gingrich,Female,White,65 or over,65 or over,Somewhat liberal,Democrat,"$50,000-$99,999",College graduate,,Gingrich,Working in government,,Yes,I like my candidate but with reservations,Too conservative,Too conservative,Too conservative,Omit,,,,Protestant,Somewhat,Strongly oppose,,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,Somewhat,,A great deal or somewhat,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 2,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,30655.0
238702.0, Georgia,84.0,Call 3,Complete,Election day exit poll,0.787024557590485,Newt Gingrich,Male,White,50-59,50-59,Very conservative,Independent,"$30,000-$49,999",College graduate,,Gingrich,Omit,,Yes,I strongly favor my candidate,About right,About right,Not conservative enough,Not conservative enough,,,,Protestant,Not at all,Strongly support,,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,Not much,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30096.0
238691.0, Georgia,100.0,Call 3,Complete,Election day exit poll,1.369220495224,Newt Gingrich,Male,White,50-59,50-59,Very conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,,Gingrich,Omit,,,I strongly favor my candidate,About right,About right,Not conservative enough,Too conservative,,,,Other,A great deal,Strongly support,,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,,Something else,A great deal or somewhat,Support,,,,No,,No,,,A great deal,,A great deal or somewhat,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Low Density Rural,Rural,Rural,Very downscale,30554.0
238679.0, Georgia,56.0,Call 3,Complete,Election day exit poll,2.29505515098572,Newt Gingrich,Female,White,50-59,50-59,Very conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,,Gingrich,Working in government,,Yes,I strongly favor my candidate,About right,Omit,About right,Too conservative,,,,Protestant,Somewhat,Somewhat support,,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,Somewhat,,A great deal or somewhat,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30214.0
234616.0, Georgia,84.0,Call 2,Complete,Election day exit poll,0.787024557590485,Newt Gingrich,Male,White,40-44,40-44,Very conservative,Republican,"$30,000-$49,999",Some college/assoc. degree,,Gingrich,Working in business,,No,I strongly favor my candidate,About right,About right,Not conservative enough,About right,,,,None,Not at all,Strongly support,,,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,Not born again,,,None,Not much or not at all,Support,Tea Party supporter and not born-again,,,Yes,All others,No,All others,,Not much,,Not much or not at all,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30096.0
234612.0, Georgia,103.0,Call 2,Complete,Election day exit poll,1.91483390331268,Newt Gingrich,Male,White,50-59,50-59,Somewhat conservative,Republican,"$100,000-$199,999",College graduate,,Gingrich,Working in business,,No,I dislike the other candidates,About right,Not conservative enough,Not conservative enough,Too conservative,,,,Other christian,Not much,Somewhat support,,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,Not born again,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Support,Tea Party supporter and not born-again,,,No,All others,No,White Protestant non-evangelical,,Somewhat,,A great deal or somewhat,,State questionnaire,Suburbs,Suburbs,3.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,30252.0
238638.0, Georgia,56.0,Call 3,Complete,Election day exit poll,2.29505515098572,Newt Gingrich,Female,White,30-39,30-39,Very conservative,Republican,"$30,000-$49,999",Some college/assoc. degree,,Gingrich,Working in government,,Yes,I strongly favor my candidate,About right,Not conservative enough,Not conservative enough,Not conservative enough,,,,Other christian,A great deal,Strongly support,,,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,Somewhat,,A great deal or somewhat,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30214.0
234587.0, Georgia,126.0,Call 2,Complete,Election day exit poll,0.966146051883698,Newt Gingrich,Female,White,45-49,45-49,Very conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,,Gingrich,Working in government,,No,I strongly favor my candidate,About right,Omit,Omit,Omit,,,,Catholic,Somewhat,Somewhat support,,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Not born again,,,Catholic,A great deal or somewhat,Support,Tea Party supporter and not born-again,,,No,All others,No,All others,,A great deal,,A great deal or somewhat,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 2,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,30655.0
234576.0, Georgia,108.0,Call 2,Complete,Election day exit poll,0.710612177848816,Newt Gingrich,Female,White,45-49,45-49,Very conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,,Romney,Working in government,,Yes,I dislike the other candidates,About right,Omit,Not conservative enough,About right,,,,Protestant,A great deal,Neutral,,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,A great deal,,A great deal or somewhat,,State questionnaire,Suburbs,Suburbs,5.0,South,Version 2,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,31763.0
