ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,MIRPRS12,SEX,QRACEAI,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,LATINO,ABORTION,BEATOBAMAFL,BIZVPOL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMEAZ12,VOTENOV12,WORK,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIMTH,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,AUTOREP12,CAMPREP12,LAIDOFF3,UNION4,RACE,UNIONHH,UNIONMEM,UNIONVOT,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
148872.0, Michigan,50072.0,Telephone Survey,Complete,Telephone survey,0.662688910961151,Newt Gingrich,Male,White,65 or over,65 or over,Somewhat conservative,Independent,"$30,000-$49,999",College graduate,No,Illegal in most cases,Gingrich,Working in government,,No,I like my candidate but with reservations,,Yes,,Catholic,Not much,Somewhat support,,,No,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Illegal,Not born again,,,Catholic,Not much or not at all,Support,Tea Party supporter and not born-again,,,No,All others,No,All others,All others,,Disapprove,,,No one does,White,No,No,No,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 2,Suburb,60s Suburbs,Urban Perimeter,Upscale,48198.0
148862.0, Michigan,50070.0,Telephone Survey,Complete,Telephone survey,0.745115280151367,Newt Gingrich,Male,White,65 or over,65 or over,Very conservative,Republican,"$50,000-$99,999",College graduate,No,Illegal in most cases,Gingrich,Omit,,No,I strongly favor my candidate,,Yes,,Catholic,Not much,Strongly support,,,No,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Not born again,,,Catholic,Not much or not at all,Support,Tea Party supporter and not born-again,,,No,All others,No,All others,All others,,Disapprove,,,No one does,White,No,No,No,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 2,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,48127.0
148852.0, Michigan,50072.0,Telephone Survey,Complete,Telephone survey,0.320766091346741,Newt Gingrich,Female,White,50-59,50-59,Very conservative,Republican,"$100,000-$199,999",College graduate,No,Legal in all cases,Gingrich,Working in government,,No,I strongly favor my candidate,,Yes,,,Not at all,Somewhat support,,,Yes,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Legal,Not born again,,,,Not much or not at all,Support,Tea Party supporter and not born-again,,,No,All others,,,Working women,,Disapprove,,,No one does,White,No,No,No,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,Midwest,Version 2,Suburb,Urban,Urban Core,Very upscale,48103.0
148845.0, Michigan,50008.0,Telephone Survey,Complete,Telephone survey,1.53753018379211,Newt Gingrich,Male,White,30-39,30-39,Somewhat conservative,Republican,"$50,000-$99,999",College graduate,No,Illegal in all cases,Gingrich,Working in government,,Yes,I like my candidate but with reservations,,Yes,,Protestant,A great deal,Somewhat oppose,,,Yes,Married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,Disapprove,,,"Yes, I do",White,Yes,I am,Yes,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,49426.0
148843.0, Michigan,50037.0,Telephone Survey,Complete,Telephone survey,0.658321082592011,Newt Gingrich,Male,White,50-59,50-59,Moderate,Independent,"$100,000-$199,999",College graduate,No,Legal in all cases,Omit,Working in government,,No,I dislike the other candidates,,Yes,,None,A great deal,Strongly oppose,,,Yes,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Legal,Not born again,,,None,A great deal or somewhat,Oppose,Neither,,,No,All others,No,All others,All others,,Approve,,,"Yes, I do and someone else does",White,Yes,I am,Yes,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 2,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,48169.0
148840.0, Michigan,50022.0,Telephone Survey,Complete,Telephone survey,0.662688910961151,Newt Gingrich,Male,White,65 or over,65 or over,Moderate,Democrat,"$50,000-$99,999",Postgraduate study,No,Illegal in all cases,Omit,Working in government,,No,I dislike the other candidates,,Yes,,Catholic,Not at all,Strongly oppose,,,No,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Not born again,,,Catholic,Not much or not at all,Oppose,Neither,,,No,All others,No,All others,All others,,Approve,,,No one does,White,No,No,No,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 2,Suburb,70s Suburbs,Urban Perimeter,Very upscale,48439.0
148832.0, Michigan,50009.0,Telephone Survey,Complete,Telephone survey,0.632207095623016,Newt Gingrich,Male,White,40-44,40-44,Moderate,Republican,"$100,000-$199,999",College graduate,No,Legal in most cases,Romney,Working in government,,Yes,I like my candidate but with reservations,,Yes,,Catholic,Somewhat,Somewhat support,,,Yes,Married men,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Legal,Born again/Think religious values of candidate did not matter a great deal,,,Catholic,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,No,All others,All others,,Disapprove,,,No one does,White,No,No,No,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,5.0,Midwest,Version 2,Suburb,Rural,Rural,Upscale,49441.0
148830.0, Michigan,50008.0,Telephone Survey,Complete,Telephone survey,0.139342606067657,Newt Gingrich,Male,White,65 or over,65 or over,Somewhat conservative,Republican,,College graduate,No,Legal in most cases,Gingrich,Working in government,,Yes,I strongly favor my candidate,,No,,Protestant,Not at all,Somewhat support,,,No,Non married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,,,,College graduate,More than High school graduate,Legal,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,Disapprove,,,No one does,White,No,No,No,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,49426.0
148815.0, Michigan,50036.0,Telephone Survey,Complete,Telephone survey,1.08749294281006,Newt Gingrich,Female,White,65 or over,65 or over,Somewhat conservative,Independent,"$30,000-$49,999",High school or less,No,Illegal in most cases,Gingrich,Working in business,,Yes,I like my candidate but with reservations,,Yes,,Protestant,Somewhat,Strongly support,,,No,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,Disapprove,,,No one does,White,No,No,No,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 2,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,48371.0
148793.0, Michigan,50047.0,Telephone Survey,Complete,Telephone survey,0.0848095491528511,Newt Gingrich,Male,,,,,,,,,Omit,Gingrich,Working in government,,,I strongly favor my candidate,,Yes,,,Somewhat,Somewhat support,,,No,Married men,,,,,,,,,,,,,,,,,,,,,,Omit,,,,,A great deal or somewhat,Support,,,,,,,,All others,,Disapprove,,,No one does,,No,No,No,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 2,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,48455.0
148792.0, Michigan,50072.0,Telephone Survey,Complete,Telephone survey,1.08205473423004,Newt Gingrich,Female,White,50-59,50-59,Somewhat liberal,Republican,"$50,000-$99,999",High school or less,No,Legal in most cases,Gingrich,Working in business,,Yes,I strongly favor my candidate,,No,,Protestant,A great deal,Neutral,,,No,Non married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,Legal,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,Approve,,,No one does,White,No,No,No,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 2,Suburb,70s Suburbs,Urban Perimeter,Very upscale,48108.0
148789.0, Michigan,50032.0,Telephone Survey,Complete,Telephone survey,0.322894364595413,Newt Gingrich,Female,White,65 or over,65 or over,Very liberal,Independent,,Postgraduate study,No,Legal in all cases,Santorum,Working in government,,No,I like my candidate but with reservations,,No,,None,Not at all,Strongly oppose,,,No,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,,,,College graduate,More than High school graduate,Legal,Not born again,,,None,Not much or not at all,Oppose,Neither,,,No,All others,No,All others,All others,,Approve,,,No one does,White,No,No,No,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,Midwest,Version 2,Suburb,Urban,Urban Core,Upscale,49015.0
148775.0, Michigan,50004.0,Telephone Survey,Complete,Telephone survey,0.105214148759842,Newt Gingrich,Female,American Indian,65 or over,65 or over,Somewhat conservative,Republican,"Under $30,000",High school or less,No,Illegal in most cases,Gingrich,Working in business,,Yes,I strongly favor my candidate,,No,,Other christian,Omit,Somewhat support,,,No,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,,,,Protestant/Other Non-Catholic Christian,Omit,Support,Both Tea Party supporter and born-again,,,No,All others,No,All others,All others,,Disapprove,,,No one does,Other,No,No,No,State questionnaire,Rural,Small Cities/Rural,5.0,Midwest,Version 2,Low Density Rural,Rural,Rural,Downscale,49930.0
148759.0, Michigan,50072.0,Telephone Survey,Complete,Telephone survey,2.22074460983276,Newt Gingrich,Male,White,50-59,50-59,Somewhat liberal,Republican,"$50,000-$99,999",Some college/assoc. degree,No,Illegal in all cases,Paul,Working in government,,Yes,I strongly favor my candidate,,Yes,,Protestant,A great deal,Neutral,,,Yes,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,Disapprove,,,"Yes, I do",White,Yes,I am,Yes,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 2,Suburb,70s Suburbs,Urban Perimeter,Very upscale,48108.0
148748.0, Michigan,50013.0,Telephone Survey,Complete,Telephone survey,0.25373986363411,Newt Gingrich,Male,White,,,Somewhat conservative,Republican,"$30,000-$49,999",College graduate,No,Omit,Gingrich,Working in government,,No,I like my candidate but with reservations,,Yes,,,Somewhat,Neutral,,,No,Married men,,,,,,,,,,,,,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Omit,Not born again,,,,A great deal or somewhat,Neutral,Neither,,,No,All others,,,All others,,Disapprove,,,No one does,White,No,No,No,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 2,Suburb,80s Suburbs,Urban Perimeter,Upscale,49321.0
148727.0, Michigan,50050.0,Telephone Survey,Complete,Telephone survey,0.740204095840454,Newt Gingrich,Male,White,50-59,50-59,Somewhat conservative,Republican,,Postgraduate study,No,,,,,Yes,,The economy,,Has the right experience,,,Neutral,Before that,Definitely vote for the Republican nominee,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,,,,College graduate,More than High school graduate,,,,,,,Neutral,Born-again but not Tea Party supporter,Earlier than that,Earlier than that,No,White Born-again/Evangelical Christians,,,,Has the right experience,,More negative this year,No,,White,,,,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,48188.0
148709.0, Michigan,50050.0,Telephone Survey,Complete,Telephone survey,0.363056480884552,Newt Gingrich,Female,White,65 or over,65 or over,Somewhat liberal,Independent,"Under $30,000",Some college/assoc. degree,No,,,,,No,,The economy,,Omit,,,Strongly oppose,Earlier this month,Omit,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,,,,Oppose,Neither,Earlier than that,In the last month,Yes,All others,,,,Omit,,More negative this year,No,,White,,,,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 1,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,48135.0
148680.0, Michigan,50056.0,Telephone Survey,Complete,Telephone survey,1.02676475048065,Newt Gingrich,Male,,65 or over,65 or over,Moderate,Independent,"$100,000-$199,999",Postgraduate study,No,,,,,No,,The economy,,Has the right experience,,,Strongly oppose,Earlier this month,Omit,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,,,,,,Oppose,Neither,Earlier than that,In the last month,No,All others,,,,Has the right experience,,About the same,No,,,,,,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 1,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,48067.0
148677.0, Michigan,50032.0,Telephone Survey,Complete,Telephone survey,0.419031769037247,Newt Gingrich,Male,White,40-44,40-44,Somewhat conservative,Republican,,College graduate,No,,,,,No,,Abortion,,Can defeat Barack Obama,,,Somewhat support,Before that,Definitely vote for the Republican nominee,,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,,,,College graduate,More than High school graduate,,,,,,,Support,Tea Party supporter and not born-again,Earlier than that,Earlier than that,No,All others,,,,Can defeat Barack Obama,,About the same,No,,White,,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,60s Suburbs,Urban Perimeter,Upscale,49201.0
148672.0, Michigan,50004.0,Telephone Survey,Complete,Telephone survey,1.26441526412964,Newt Gingrich,Male,White,40-44,40-44,Very conservative,Republican,"Under $30,000",High school or less,No,,,,,Yes,,The economy,,Is a true conservative,,,Strongly support,Before that,Definitely vote for the Republican nominee,,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Earlier than that,Yes,White Born-again/Evangelical Christians,,,,Is a true conservative,,About the same,Yes,,White,,,,State questionnaire,Rural,Small Cities/Rural,5.0,Midwest,Version 1,Low Density Rural,Rural,Rural,Very downscale,48612.0
148666.0, Michigan,50046.0,Telephone Survey,Complete,Telephone survey,0.543747127056122,Newt Gingrich,Female,White,65 or over,65 or over,Moderate,Independent,,High school or less,No,,,,,Yes,,Abortion,,Can defeat Barack Obama,,,Neutral,In January,Omit,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,,,,No college degree,High school graduate or less,,,,,,,Neutral,Born-again but not Tea Party supporter,Earlier than that,Earlier than that,,White Born-again/Evangelical Christians,,,,Can defeat Barack Obama,,About the same,No,,White,,,,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,48315.0
