ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SCRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BREAK12PRI,BRNAGAIN,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMESC12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIMTH,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,DEFICIT12R,ECONWORR,GETAHEAD,HALEY2,LAIDOFF3,ROMNEYWORK,ROMNWIN,UNFAIRREP12SC,VETVOTER,ECOWORR2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
73213.0,South Carolina,33.0,Call 1,Not complete,Election day exit poll,1.81081783771515,Newt Gingrich,Female,White,50-59,50-59,,,,High school or less,,One of several important factors,,,,,,,,In the last few days,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,No college degree,High school graduate or less,,,A factor,Important,,,,,Last few days,In the last month,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,No,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Low Density Rural,Rural,Rural,Very downscale,29102.0
72898.0,South Carolina,67.0,Call 1,Not complete,Election day exit poll,0.921823978424072,Newt Gingrich,Male,White,65 or over,65 or over,,,,Some college/assoc. degree,,A minor factor,,,,,,,,In the last few days,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,More than High school graduate,,,A factor,Not important,,,,,Last few days,In the last month,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,Yes,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,29360.0
72881.0,South Carolina,101.0,Call 1,Not complete,Election day exit poll,0.79636561870575,Ron Paul,Male,White,60-64,60-64,,,,Some college/assoc. degree,,One of several important factors,,,,,,,,Before that,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Earlier than that,Earlier than that,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,Yes,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Low Density Rural,70s Suburbs,Urban Perimeter,Very downscale,29330.0
72535.0,South Carolina,47.0,Call 1,Not complete,Election day exit poll,0.791742026805878,Ron Paul,Female,White,65 or over,65 or over,,,,Postgraduate study,,One of several important factors,,,,,,,,Just today,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,,,A factor,Important,,,,,Last few days,In the last month,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,29681.0
73261.0,South Carolina,1.0,Call 2,Not complete,Election day exit poll,1.10043251514435,Ron Paul,Male,White,65 or over,65 or over,,,,Postgraduate study,,Not a factor at all,,,,,,,,Earlier this month,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,,,Not a factor,Not important,,,,,Earlier than that,In the last month,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,No,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,29620.0
72874.0,South Carolina,3.0,Call 1,Not complete,Election day exit poll,0.726391673088074,Mitt Romney,Female,White,50-59,50-59,,,,Some college/assoc. degree,,One of several important factors,,,,,,,,Before that,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Earlier than that,Earlier than that,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29803.0
72832.0,South Carolina,3.0,Call 1,Not complete,Election day exit poll,0.826815545558929,Mitt Romney,Male,White,65 or over,65 or over,,,,High school or less,,Not a factor at all,,,,,,,,Earlier this month,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,,Not a factor,Not important,,,,,Earlier than that,In the last month,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,Yes,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29803.0
72511.0,South Carolina,36.0,Call 1,Not complete,Election day exit poll,1.45792269706726,Mitt Romney,Male,White,65 or over,65 or over,,,,Postgraduate study,,A minor factor,,,,,,,,Just today,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,,,A factor,Not important,,,,,Last few days,In the last month,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,Yes,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Low Density Rural,Rural,Rural,Very downscale,29565.0
74649.0,South Carolina,3.0,Call 3,Not complete,Election day exit poll,0.826815545558929,Mitt Romney,Male,White,65 or over,65 or over,,,,Some college/assoc. degree,,The most important factor,,,,,,,,Before that,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Earlier than that,Earlier than that,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29803.0
74449.0,South Carolina,75.0,Call 3,Not complete,Election day exit poll,0.812041401863098,Mitt Romney,Female,White,65 or over,65 or over,,,,Postgraduate study,,One of several important factors,,,,,,,,In the last few days,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,,,A factor,Important,,,,,Last few days,In the last month,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Upscale,29170.0
73582.0,South Carolina,3.0,Call 2,Not complete,Election day exit poll,0.800383150577545,Mitt Romney,Female,White,65 or over,65 or over,,,,Some college/assoc. degree,,One of several important factors,,,,,,,,Earlier this month,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Earlier than that,In the last month,,,,,,Cutting the budget deficit even if that limits job growth,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29803.0
72825.0,South Carolina,65.0,Call 1,Not complete,Election day exit poll,1.31914496421814,Newt Gingrich,Male,White,65 or over,65 or over,,,,High school or less,,The most important factor,,,,,,,,Before that,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,,A factor,Important,,,,,Earlier than that,Earlier than that,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,Yes,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Low Density Rural,Rural,Rural,Very downscale,29067.0
72711.0,South Carolina,18.0,Call 1,Not complete,Election day exit poll,0.960845530033112,Newt Gingrich,Male,White,65 or over,65 or over,,,,Some college/assoc. degree,,Omit,,,,,,,,Before that,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,More than High school graduate,,,Omit,Omit,,,,,Earlier than that,Earlier than that,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,Yes,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Upscale,29445.0
73165.0,South Carolina,22.0,Call 1,Not complete,Election day exit poll,1.13639152050018,Newt Gingrich,Male,White,65 or over,65 or over,,,,High school or less,,A minor factor,,,,,,,,In the last few days,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,,A factor,Not important,,,,,Last few days,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Upscale,29456.0
73075.0,South Carolina,48.0,Call 1,Not complete,Election day exit poll,1.12455654144287,Newt Gingrich,Female,White,65 or over,65 or over,,,,High school or less,,One of several important factors,,,,,,,,Earlier this month,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,,A factor,Important,,,,,Earlier than that,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,29609.0
72818.0,South Carolina,25.0,Call 1,Not complete,Election day exit poll,0.979279160499573,Mitt Romney,Female,White,50-59,50-59,,,,Some college/assoc. degree,,One of several important factors,,,,,,,,Before that,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Earlier than that,Earlier than that,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,29464.0
72817.0,South Carolina,25.0,Call 1,Not complete,Election day exit poll,0.979279160499573,Mitt Romney,Female,White,50-59,50-59,,,,Some college/assoc. degree,,One of several important factors,,,,,,,,Before that,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Earlier than that,Earlier than that,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,29464.0
72573.0,South Carolina,47.0,Call 1,Not complete,Election day exit poll,1.02399742603302,Mitt Romney,Male,White,30-39,30-39,,,,,,A minor factor,,,,,,,,Before that,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,,,,,,,,,,,,A factor,Not important,,,,,Earlier than that,Earlier than that,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,29681.0
74522.0,South Carolina,55.0,Call 3,Not complete,Election day exit poll,0.997050166130066,Mitt Romney,Male,White,45-49,45-49,,,,Some college/assoc. degree,,Not a factor at all,,,,,,,,Before that,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,,,,,,,,No college degree,More than High school graduate,,,Not a factor,Not important,,,,,Earlier than that,Earlier than that,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,29692.0
74413.0,South Carolina,1.0,Call 3,Not complete,Election day exit poll,1.3134617805481,Mitt Romney,Female,White,18-24,17-24,,,,Some college/assoc. degree,,The most important factor,,,,,,,,Earlier this month,,18-29,18-29,18-44,18-29,18-24,18-44,18-64,17-29,17-29,17-44,17-29,17-24,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Earlier than that,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,29620.0
73725.0,South Carolina,44.0,Call 2,Not complete,Election day exit poll,1.24503481388092,Mitt Romney,Female,White,65 or over,65 or over,,,,College graduate,,One of several important factors,,,,,,,,Earlier this month,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,,,A factor,Important,,,,,Earlier than that,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Town,80s Suburbs,High-Growth Suburban Perimeter,Upscale,29576.0
73542.0,South Carolina,47.0,Call 2,Not complete,Election day exit poll,0.97622162103653,Mitt Romney,Female,White,25-29,25-29,,,,College graduate,,A minor factor,,,,,,,,Before that,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,,,,,,,,College graduate,More than High school graduate,,,A factor,Not important,,,,,Earlier than that,Earlier than that,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,29681.0
73495.0,South Carolina,18.0,Call 2,Not complete,Election day exit poll,0.916444063186646,Mitt Romney,Male,White,45-49,45-49,,,,College graduate,,One of several important factors,,,,,,,,Before that,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,,,,,,,,College graduate,More than High school graduate,,,A factor,Important,,,,,Earlier than that,Earlier than that,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Upscale,29445.0
73327.0,South Carolina,18.0,Call 2,Not complete,Election day exit poll,1.00979471206665,Mitt Romney,Male,White,65 or over,65 or over,,,,Some college/assoc. degree,,One of several important factors,,,,,,,,Before that,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Earlier than that,Earlier than that,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,Yes,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Upscale,29445.0
73314.0,South Carolina,88.0,Call 2,Not complete,Election day exit poll,0.740375399589539,Mitt Romney,Male,White,40-44,40-44,,,,Postgraduate study,,Not a factor at all,,,,,,,,Just today,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,,,,,,,,College graduate,More than High school graduate,,,Not a factor,Not important,,,,,Last few days,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29063.0
73017.0,South Carolina,22.0,Call 1,Not complete,Election day exit poll,1.15610384941101,Mitt Romney,Female,White,65 or over,65 or over,,,,High school or less,,A minor factor,,,,,,,,Earlier this month,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,,A factor,Not important,,,,,Earlier than that,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Upscale,29456.0
72893.0,South Carolina,3.0,Call 1,Not complete,Election day exit poll,0.800383150577545,Mitt Romney,Female,White,65 or over,65 or over,,,,Postgraduate study,,One of several important factors,,,,,,,,In the last few days,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,,,A factor,Important,,,,,Last few days,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29803.0
72833.0,South Carolina,38.0,Call 1,Not complete,Election day exit poll,1.867267370224,Rick Santorum,Female,White,60-64,60-64,,,,Postgraduate study,,The most important factor,,,,,,,,In the last few days,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,,,,,,,,College graduate,More than High school graduate,,,A factor,Important,,,,,Last few days,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,29448.0
72790.0,South Carolina,14.0,Call 1,Not complete,Election day exit poll,1.06598937511444,Rick Santorum,Male,White,65 or over,65 or over,,,,High school or less,,One of several important factors,,,,,,,,Just today,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,,A factor,Important,,,,,Last few days,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,Yes,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Upscale,29445.0
74803.0,South Carolina,86.0,Call 3,Not complete,Election day exit poll,0.720593929290771,Rick Santorum,Male,White,45-49,45-49,,,,Some college/assoc. degree,,A minor factor,,,,,,,,Just today,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,,,,,,,,No college degree,More than High school graduate,,,A factor,Not important,,,,,Last few days,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,Yes,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,29640.0
74321.0,South Carolina,114.0,Call 3,Not complete,Election day exit poll,0.740069448947906,Rick Santorum,Male,White,40-44,40-44,,,,Some college/assoc. degree,,One of several important factors,,,,,,,,In the last few days,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,,Last few days,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29732.0
73195.0,South Carolina,22.0,Call 1,Not complete,Election day exit poll,1.05036759376526,Rick Santorum,Male,White,50-59,50-59,,,,Some college/assoc. degree,,A minor factor,,,,,,,,Before that,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,No college degree,More than High school graduate,,,A factor,Not important,,,,,Earlier than that,Earlier than that,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,Yes,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Upscale,29456.0
73133.0,South Carolina,95.0,Call 1,Not complete,Election day exit poll,0.869713127613068,Rick Santorum,Female,White,50-59,50-59,,,,Postgraduate study,,One of several important factors,,,,,,,,Earlier this month,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,College graduate,More than High school graduate,,,A factor,Important,,,,,Earlier than that,In the last month,,,,,,Creating jobs even if that raises the budget deficit,,,,,,,,No,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale,29206.0
72852.0,South Carolina,70.0,Call 1,Not complete,Election day exit poll,0.879979431629181,Newt Gingrich,Male,White,65 or over,65 or over,,,,High school or less,,,,,,,Other,,,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,,,,Something else,,,,,,,,,,,,,Holding steady financially,Disapprove,No,Generally negative,,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,60s Suburbs,Urban Perimeter,Upscale,29033.0
72812.0,South Carolina,38.0,Call 1,Not complete,Election day exit poll,1.71889615058899,Newt Gingrich,Male,White,50-59,50-59,,,,High school or less,,,,,,,Other christian,,,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,No college degree,High school graduate or less,,,,,Protestant/Other Non-Catholic Christian,,,,,,,,,,,,,Falling behind financially,Disapprove,No,Generally negative,,,,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 2,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,29448.0
72695.0,South Carolina,14.0,Call 1,Not complete,Election day exit poll,0.919548571109772,Newt Gingrich,Female,White,45-49,45-49,,,,Some college/assoc. degree,,,,,,,Other christian,,,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,,,,,,,,No college degree,More than High school graduate,,,,,Protestant/Other Non-Catholic Christian,,,,,,,,,,,,,Holding steady financially,Disapprove,Yes,Generally positive,,,,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 2,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Upscale,29445.0
