ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOTV12,GOTVOBAMA,GOTVROMN,GOVTDO10,HANDLEECON12,HANDLEENERGY12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTL12,INTLOBAMA,INTLROMNEY,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSIA12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNFR12,UNFROBAM,UNFRROMN,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
53170.0,Legal,Legal in most cases,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,Call 2,4.0,,,No,I like my candidate but with reservations,Getting worse,George W. Bush,Worse,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,,,,Mitt Romney,Mitt Romney,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,Barack Obama,Foreign policy,,No,All others,Yes,Good,Excellent or good,,,,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,11.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Male,White men,Married men,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,No,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,50625.0,0.744504332542419
3446.0,Illegal,Illegal in most cases,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,4.0,,,No,I dislike the other candidates,Getting better,Omit,Getting better,Unemployment,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,3.0,,,,,Barack Obama,Barack Obama,,,,,,,,,,,,,Barack Obama,Federal budget deficit,,No,All others,Yes,Good,Excellent or good,,,,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50014.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Female,White women,Married women,Rural,Small Cities/Rural, Iowa,,Telephone survey,,,,,,,Version 2,,No,,,,,,,Extremely Low Density Rural,Rural,Rural,Downscale,50543.0,2.46401047706604
52628.0,Legal,Legal in all cases,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,Call 2,2.0,,,No,I strongly favor my candidate,Getting better,George W. Bush,Getting better,Taxes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,1.0,,,,,Barack Obama,Barack Obama,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,Barack Obama,Federal budget deficit,,No,All others,No,Good,Excellent or good,,,,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,71.0,Other,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Male,White men,Non married men,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,No,,,,,,,Low Density Rural,Rural,Rural,Upscale,52778.0,0.41342830657959
75227.0,Legal,Legal in most cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,Call 3,1.0,,,No,I dislike the other candidates,Getting better,George W. Bush,Getting better,Taxes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,2.0,,,,,Barack Obama,Barack Obama,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,Barack Obama,Federal budget deficit,,No,All others,Yes,Good,Excellent or good,,,,45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,110.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Male,White men,Married men,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,No,,,,,,,Extremely Low Density Rural,Rural,Rural,Downscale,52144.0,0.533705532550812
53579.0,Legal,Legal in all cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,Call 2,3.0,,,No,I like my candidate but with reservations,Getting better,George W. Bush,Getting better,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,,,,,Mitt Romney,Mitt Romney,,,,,,,,,,,,,Mitt Romney,Federal budget deficit,,No,All others,Yes,Good,Excellent or good,,,,45+,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,69.0,Mitt Romney,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Male,White men,Married men,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,No,,,,,,,Extremely Low Density Rural,Rural,Rural,Downscale,51566.0,0.887110531330109
75151.0,Legal,Legal in all cases,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 3,4.0,,,No,I strongly favor my candidate,Staying about the same,Barack Obama,Good and staying the same,Unemployment,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,4.0,,,,,Barack Obama,Barack Obama,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,Barack Obama,The economy,,No,All others,Yes,Good,Excellent or good,,,,18-44,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,33.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Female,White women,Married women,"Cities 10,000-50,000",Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,No,,,,,,,Low Density Rural,Rural,Rural,Upscale,51360.0,0.471671611070633
3438.0,Legal,Legal in all cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,4.0,,,No,I strongly favor my candidate,Staying about the same,George W. Bush,Good and staying the same,Unemployment,High school graduate,No college degree,High school graduate or less,White no college degree,,,,2.0,,,,,Barack Obama,Barack Obama,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,Barack Obama,The economy,,No,All others,Yes,Good,Excellent or good,,,,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50013.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Female,White women,Married women,Rural,Small Cities/Rural, Iowa,,Telephone survey,,,,,,,Version 2,,No,,,,,,,Extremely Low Density Rural,Rural,Rural,Downscale,50659.0,2.46401047706604
3458.0,Legal,Legal in all cases,,,,,,,,,,,,,Complete,,,4.0,,,,I like my candidate but with reservations,Staying about the same,George W. Bush,Good and staying the same,Taxes,,,,,,,,2.0,,,,,Barack Obama,Barack Obama,,,,,,,,,,,,,Barack Obama,The economy,,,,,Good,Excellent or good,,,,,,,,,,,,,50013.0,Barack Obama,Shares my values,,,State questionnaire,,Midwest,,,,,Female,,,Rural,Small Cities/Rural, Iowa,,Telephone survey,,,,,,,Version 2,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Upscale,50624.0,0.579758405685425
3453.0,Legal,Legal in most cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,4.0,,,Yes,I strongly favor my candidate,Getting better,George W. Bush,Getting better,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,2.0,,,,,Barack Obama,Barack Obama,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,Barack Obama,The economy,,No,Married with children,Yes,Good,Excellent or good,,,,45+,65+,Men with children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,50013.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural, Iowa,,Telephone survey,,,,,,,Version 2,,Yes,,,,,,,Town,Rural,Rural,Upscale,50401.0,2.46401047706604
28214.0,Legal,Legal in most cases,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 1,3.0,,,No,I strongly favor my candidate,Staying about the same,George W. Bush,Good and staying the same,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,,,,,Barack Obama,Barack Obama,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,Barack Obama,The economy,,No,All others,No,Good,Excellent or good,,,,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,69.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Male,White men,Non married men,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,No,,,,,,,Extremely Low Density Rural,Rural,Rural,Downscale,51566.0,0.559831857681274
27587.0,Illegal,Illegal in most cases,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 1,3.0,,,No,I strongly favor my candidate,Staying about the same,George W. Bush,Good and staying the same,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,,,,,Barack Obama,Barack Obama,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,Barack Obama,The economy,,No,All others,Yes,Good,Excellent or good,,,,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,69.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Male,White men,Married men,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,No,,,,,,,Extremely Low Density Rural,Rural,Rural,Downscale,51566.0,0.559831857681274
54284.0,Legal,Legal in most cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,Call 2,4.0,,,No,I dislike the other candidates,Staying about the same,George W. Bush,Good and staying the same,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,4.0,,,,,Barack Obama,Barack Obama,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,Barack Obama,The economy,,No,All others,Yes,Good,Excellent or good,,,,45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,40.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Male,White men,Married men,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,Yes,,,,,,,Extremely Low Density Rural,Rural,Rural,Upscale,50438.0,0.702162027359009
52853.0,Illegal,Illegal in all cases,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 2,3.0,,,Yes,I strongly favor my candidate,Getting worse,George W. Bush,Worse,Omit,High school graduate,No college degree,High school graduate or less,White no college degree,,,,4.0,,,,,Barack Obama,Barack Obama,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,Barack Obama,The economy,,,Married with children,Yes,Good,Excellent or good,,,,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,69.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Female,White women,Married women,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,Yes,,,,,,,Extremely Low Density Rural,Rural,Rural,Downscale,51566.0,0.497167378664017
27183.0,Legal,Legal in most cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,,,,Complete,,Call 1,4.0,,,No,I like my candidate but with reservations,Getting better,Barack Obama,Getting better,The housing market,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,4.0,,,,,Barack Obama,Barack Obama,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,Barack Obama,Health care,,Yes,All others,No,Good,Excellent or good,,,,45+,65+,Men without children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Liberal,40.0,Barack Obama,Shares my values,Other,White,State questionnaire,Hispanic/Latino,Midwest,,,,,Male,Latino men,Non married men,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,No,,,,,,,Extremely Low Density Rural,Rural,Rural,Upscale,50438.0,0.938659727573395
75096.0,Legal,Legal in most cases,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 3,1.0,,,Yes,I strongly favor my candidate,Getting better,George W. Bush,Getting better,The housing market,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,2.0,,,,,Barack Obama,Barack Obama,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,Barack Obama,Health care,,No,Married with children,Yes,Good,Excellent or good,,,,18-44,18-64,Men with children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,111.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Male,White men,Married men,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,No,,,,,,,Extremely Low Density Rural,Rural,Rural,Upscale,52101.0,0.540727972984314
53472.0,Legal,Legal in most cases,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,,Complete,,Call 2,1.0,,,No,I strongly favor my candidate,Getting better,George W. Bush,Getting better,Unemployment,High school graduate,No college degree,High school graduate or less,White no college degree,,,,2.0,,,,,Barack Obama,Barack Obama,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,Barack Obama,Health care,,No,All others,Yes,Good,Excellent or good,,,,45+,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,101.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Male,White men,Married men,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,Yes,,,,,,,Extremely Low Density Rural,Rural,Rural,Upscale,52224.0,1.24856352806091
52952.0,Legal,Legal in most cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,Call 2,3.0,,,No,I strongly favor my candidate,Getting worse,George W. Bush,Worse,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,,,,,Barack Obama,Barack Obama,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,Barack Obama,Health care,,No,All others,Yes,Good,Excellent or good,,,,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,39.0,Barack Obama,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Female,White women,Married women,Rural,Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,No,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,51640.0,0.583974361419678
75070.0,Legal,Legal in all cases,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 3,2.0,,,Yes,I strongly favor my candidate,Getting better,George W. Bush,Getting better,The housing market,High school graduate,No college degree,High school graduate or less,White no college degree,,,,3.0,,,,,Barack Obama,Barack Obama,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,Barack Obama,Omit,,No,,,Good,Excellent or good,,,,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,42.0,Other,Shares my values,White,White,State questionnaire,White,Midwest,,,,,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural, Iowa,,Election day exit poll,,,,,,,Version 2,,Yes,,,,,,,Low Density Rural,Rural,Rural,Upscale,50208.0,0.415188193321228
