ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ETHBERK,ETHHELLER,ETHNV12,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSNV12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SENNV12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,ZCODE1,ZCODE2,ZCODE3,ZCODE4,WEIGHT
56253.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Not complete,,Call 2,3.0,Yes,Only cell phone service,,,,,,,,,,,Only Dean Heller does or neither does,Only Dean Heller does or both do,Only Dean Heller does,,,,2.0,,,,,,,,,,,,,,,No,No,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,18-44,18-64,,,,,,,,79.0,Other,,White,White,State questionnaire,White,West,,,,Dean Heller,Male,White men,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,,Version 3,,,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.169709086418152
5191.0,,,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,All others,All others,Complete,,,3.0,,,Yes,I strongly favor my candidate,Getting better,George W. Bush,Getting better,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,2.0,,Barack Obama,,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,The economy,,No,Married with children,Yes,Excellent,Excellent or good,,,,18-44,18-64,Women with children,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Conservative,50007.0,Barack Obama,Shares my values,Other,American Indian,State questionnaire,Other,West,,,,None of these candidates,Female,All other races,Married women,Suburbs,Suburbs,English,Nevada,,Telephone survey,,,,No,Version 2,,No,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,2.69898366928101
33590.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 1,3.0,,,No,I strongly favor my candidate,Staying about the same,Barack Obama,Poor and staying the same,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,,2.0,,Mitt Romney,,,,Offered a chance to apply for legal status,,,,,,,Mitt Romney,Federal budget deficit,,No,All others,Yes,Not so good,Not so good or poor,,,,45+,18-64,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,79.0,Mitt Romney,Shares my values,White,White,State questionnaire,White,West,,,,Dean Heller,Female,White women,Married women,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.493886381387711
76726.0,,,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,Latino 18-29,Latino 18-29,Complete,,Call 3,4.0,,,Yes,I like my candidate but with reservations,Getting better,George W. Bush,Getting better,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,2.0,,Barack Obama,,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",Barack Obama,The economy,,Yes,Married with children,Yes,Not so good,Not so good or poor,,,,18-44,18-64,Men with children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,37.0,Barack Obama,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,,,,Shelley Berkley,Male,Latino men,Married men,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,Yes,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,0.441911995410919
5189.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,,3.0,,,No,I dislike the other candidates,Getting better,George W. Bush,Getting better,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,,2.0,,Barack Obama,,,,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,The economy,,No,All others,Yes,Not so good,Not so good or poor,,,,45+,18-64,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,50007.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,,,,Shelley Berkley,Female,White women,Married women,Suburbs,Suburbs,English,Nevada,,Telephone survey,,,,Yes,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,2.39429402351379
56423.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 2,3.0,,,Yes,I like my candidate but with reservations,Getting worse,Barack Obama,Worse,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,2.0,,Mitt Romney,,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Mitt Romney,The economy,,No,Married with children,Yes,Not so good,Not so good or poor,,,,45+,18-64,Women with children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,79.0,Mitt Romney,Shares my values,White,White,State questionnaire,White,West,,,,Dean Heller,Female,White women,Married women,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.493886381387711
33720.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,Complete,,Call 1,3.0,,,Yes,I strongly favor my candidate,Staying about the same,George W. Bush,Poor and staying the same,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,2.0,,Barack Obama,,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",Barack Obama,Health care,,Yes,All others,No,Not so good,Not so good or poor,,,,45+,18-64,Men with children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,79.0,Barack Obama,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,,,,Shelley Berkley,Male,Latino men,Non married men,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,Yes,Version 2,,No,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.393225997686386
54946.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,Complete,,Call 2,3.0,,,No,I strongly favor my candidate,Getting worse,Barack Obama,Worse,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,2.0,,Mitt Romney,,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Mitt Romney,Foreign policy,,Yes,All others,Yes,Poor,Not so good or poor,,,,45+,18-64,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Conservative,79.0,Mitt Romney,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,,,,Dean Heller,Female,Latino women,Married women,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.493886381387711
5190.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,Latino 30-44,Latino 30-44,Complete,,,3.0,,,Yes,I dislike the other candidates,Getting worse,Barack Obama,Worse,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,,,2.0,,Mitt Romney,,,,Offered a chance to apply for legal status,,,,,,,Mitt Romney,Federal budget deficit,,Yes,Married with children,Yes,Poor,Not so good or poor,,,,18-44,18-64,Men with children,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Conservative,50007.0,Mitt Romney,Shares my values,Other,Asian,State questionnaire,Hispanic/Latino,West,,,,None of these candidates,Male,Latino men,Married men,Suburbs,Suburbs,English,Nevada,,Telephone survey,,,,No,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,13.153003692627
33904.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,Call 1,4.0,,,Yes,I strongly favor my candidate,Staying about the same,Barack Obama,Poor and staying the same,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,2.0,,Mitt Romney,,,,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Mitt Romney,Federal budget deficit,,No,Married with children,Yes,Poor,Not so good or poor,,,,18-44,18-64,Women with children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,37.0,Mitt Romney,Shares my values,White,White,State questionnaire,White,West,,,,Dean Heller,Female,White women,Married women,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,0.543990790843964
55154.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,Latino 30-44,Latino 30-44,Complete,,Call 2,4.0,,,Yes,I strongly favor my candidate,Getting worse,Barack Obama,Worse,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,,,2.0,,Mitt Romney,,,,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",Mitt Romney,The economy,,Yes,Married with children,Yes,Poor,Not so good or poor,,,,18-44,18-64,Women with children,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Conservative,37.0,Mitt Romney,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,,,,Dean Heller,Female,Latino women,Married women,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,0.543990790843964
55713.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,Call 2,4.0,,,Yes,I strongly favor my candidate,Getting worse,Omit,Worse,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,,2.0,,Omit,,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Omit,The economy,,No,Married with children,Yes,Poor,Not so good or poor,,,,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Conservative,37.0,Other,Shares my values,White,White,State questionnaire,White,West,,,,Other,Female,White women,Married women,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,1.92363393306732
55712.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,Call 2,4.0,,,Yes,I strongly favor my candidate,Getting worse,Omit,Worse,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,,2.0,,Omit,,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Omit,The economy,,No,Married with children,Yes,Poor,Not so good or poor,,,,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Conservative,37.0,Other,Shares my values,White,White,State questionnaire,White,West,,,,Other,Female,White women,Married women,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,1.92363393306732
5213.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,,3.0,,,Yes,I strongly favor my candidate,Getting better,George W. Bush,Getting better,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,2.0,,Omit,,,,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Omit,The economy,,No,Married with children,Yes,Omit,Omit,,,,18-44,18-64,Men with children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,50007.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,,,,Shelley Berkley,Male,White men,Married men,Suburbs,Suburbs,English,Nevada,,Telephone survey,,,,No,Version 2,,No,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,3.81531310081482
35116.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 1,4.0,,,,I strongly favor my candidate,Getting better,George W. Bush,Getting better,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,2.0,,Barack Obama,,,,Offered a chance to apply for legal status,,,,,,,Barack Obama,Foreign policy,,No,,,Good,Excellent or good,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,37.0,Barack Obama,Is a strong leader,White,White,State questionnaire,White,West,,,,Shelley Berkley,Female,White women,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,0.390312910079956
35115.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 1,4.0,,,,I strongly favor my candidate,Getting better,George W. Bush,Getting better,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,2.0,,Barack Obama,,,,Offered a chance to apply for legal status,,,,,,,Barack Obama,Foreign policy,,No,,,Good,Excellent or good,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,37.0,Barack Obama,Is a strong leader,White,White,State questionnaire,White,West,,,,Shelley Berkley,Female,White women,,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,0.390312910079956
33985.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,Latino 45-59,Latino 45-64,Complete,,Call 1,4.0,,,No,I strongly favor my candidate,Getting better,George W. Bush,Getting better,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,2.0,,Barack Obama,,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",Barack Obama,The economy,,Yes,All others,Yes,Good,Excellent or good,,,,45+,18-64,Men without children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,37.0,Barack Obama,Is a strong leader,Other,Black,State questionnaire,Hispanic/Latino,West,,,,Shelley Berkley,Male,Latino men,Married men,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,0.394244194030762
75946.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,Latino 30-44,Latino 30-44,Complete,,Call 3,3.0,,,No,I strongly favor my candidate,Getting better,George W. Bush,Getting better,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,2.0,,Barack Obama,,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",Barack Obama,Health care,,Yes,All others,No,Good,Excellent or good,,,,18-44,18-64,Men without children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,79.0,Barack Obama,Is a strong leader,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,,,,Shelley Berkley,Male,Latino men,Non married men,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.393225997686386
77221.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,Call 3,4.0,,,Yes,I strongly favor my candidate,Getting better,George W. Bush,Getting better,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,2.0,,Barack Obama,,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",Barack Obama,The economy,,No,Married with children,Yes,Not so good,Not so good or poor,,,,18-44,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,37.0,Barack Obama,Is a strong leader,Black,Black,State questionnaire,Black,West,,,,Shelley Berkley,Female,Black women,Married women,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,Yes,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,0.355280607938766
34171.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,Latino 30-44,Latino 30-44,Complete,,Call 1,4.0,,,Yes,I strongly favor my candidate,Getting better,George W. Bush,Getting better,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,2.0,,Barack Obama,,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",Barack Obama,The economy,,Yes,All others,No,Not so good,Not so good or poor,,,,18-44,18-64,Men with children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,37.0,Barack Obama,Is a strong leader,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,,,,Shelley Berkley,Male,Latino men,Non married men,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,0.433118492364883
34230.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 1,4.0,,,No,I strongly favor my candidate,Staying about the same,Barack Obama,Poor and staying the same,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,2.0,,Mitt Romney,,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Mitt Romney,The economy,,No,All others,No,Not so good,Not so good or poor,,,,45+,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,37.0,Mitt Romney,Is a strong leader,White,White,State questionnaire,White,West,,,,Dean Heller,Male,White men,Non married men,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,Suburb,,Urban Perimeter,Upscale,0.603650212287903
55923.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 2,3.0,,,No,I strongly favor my candidate,Getting better,George W. Bush,Getting better,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,2.0,,Barack Obama,,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Barack Obama,Health care,,No,All others,No,Not so good,Not so good or poor,,,,45+,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,79.0,Barack Obama,Is a strong leader,White,White,State questionnaire,White,West,,,,Shelley Berkley,Male,White men,Non married men,Suburbs,Suburbs,English,Nevada,,Election day exit poll,,,,No,Version 2,,No,,,,High Density Urban,,High-Growth Suburban Perimeter,Upscale,0.393225997686386
