ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,AMND1MN,ATTEND,ATTEND2,BACKSIDE,BRNAGAIN,CALL,CDNUM,DESCRIBP12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,ISSUE12,LATINO,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSMN12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SENMN12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,WHTEVANG,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
30102.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,All others,All others,,Once a week,Weekly,Complete,No,Call 1,1.0,I like my candidate but with reservations,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Unfavorable,Favorable,About the same,4.0,Omit,,,,,,,The economy,No,Yes,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Moderate,33.0,Mitt Romney,Other,Other,State questionnaire,Other,Midwest,,Female,All other races,Married women,Rural,Small Cities/Rural,Minnesota,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,Version 1,No,All others,Extremely Low Density Rural,Rural,Rural,Very downscale,56098.0,0.63210666179657
51794.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Not complete,,Call 2,1.0,I like my candidate but with reservations,,,,,,,,4.0,,,,,,,,,,,18-44,18-64,,,,,,,33.0,Mitt Romney,White,White,State questionnaire,White,Midwest,,Female,White women,,Rural,Small Cities/Rural,Minnesota,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,,,Extremely Low Density Rural,Rural,Rural,Very downscale,56098.0,0.686536252498627
14220.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,,8.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,About the same,5.0,Government is doing too many things better left to businesses and individuals,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",The economy,No,Yes,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50039.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Rural,Small Cities/Rural,Minnesota,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,,Extremely Low Density Rural,Rural,Rural,Very downscale,56314.0,0.0
52059.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,Latino 60+,Latino 45-64,,Omit,Omit,Complete,,Call 2,7.0,Omit,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,4.0,,,,,,,,,Yes,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Something else,All others,,88.0,,Other,White,National questionnaire,Hispanic/Latino,Midwest,Amy Klobuchar,Female,Latino women,Married women,Rural,Small Cities/Rural,Minnesota,Election day exit poll,,,,Version 3,No,All others,Extremely Low Density Rural,Rural,Rural,Very downscale,55332.0,1.08434069156647
72489.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,All others,All others,,,,Complete,,Call 3,6.0,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Unfavorable,,2.0,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and non white",,No,No,18-44,18-64,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Conservative,5.0,Barack Obama,Other,Asian,National questionnaire,Asian,Midwest,Amy Klobuchar,Male,All other races,Non married men,Suburbs,Suburbs,Minnesota,Election day exit poll,,,,Version 5,No,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,55126.0,0.845000743865967
32438.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Not complete,,Call 1,4.0,I strongly favor my candidate,,,,,,,,1.0,,,,,,,,,No,Yes,45+,65+,,,,,,,72.0,Barack Obama,White,White,State questionnaire,White,Midwest,Amy Klobuchar,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Election day exit poll,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,,,High Density Urban,Urban,Urban Core,Downscale,55117.0,1.13764417171478
51223.0,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,,,,Not complete,,Call 2,5.0,I strongly favor my candidate,,,,,,,,1.0,,,,,,,,,No,No,18-44,18-64,,,,,,,47.0,Barack Obama,Black,Black,State questionnaire,Black,Midwest,Amy Klobuchar,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,,,Extremely High Density Urban,Urban,Urban Core,Very downscale,55411.0,1.12098169326782
73200.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,,Not complete,,Call 3,6.0,I strongly favor my candidate,,,,,,,,2.0,,,,,,,,,No,Yes,45+,18-64,,,,,,,2.0,Barack Obama,White,White,State questionnaire,White,Midwest,Amy Klobuchar,Female,White women,Married women,Suburbs,Suburbs,Minnesota,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,55449.0,0.722389400005341
51439.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 2,2.0,,College graduate,College graduate,More than High school graduate,White college degree,,,,3.0,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,89.0,Mitt Romney,White,White,National questionnaire,White,Midwest,Amy Klobuchar,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural,Minnesota,Election day exit poll,,,,Version 4,No,,Low Density Rural,Rural,Rural,Upscale,55057.0,1.15713262557983
32099.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,Call 1,6.0,,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,,2.0,,,,,,,,,No,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,5.0,Mitt Romney,White,White,National questionnaire,White,Midwest,Amy Klobuchar,Female,White women,Married women,Suburbs,Suburbs,Minnesota,Election day exit poll,,,,Version 5,No,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,55126.0,0.63534152507782
49956.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,A few times a year,Occasionally,Complete,,Call 2,8.0,Omit,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Omit,Worse today,5.0,Government is doing too many things better left to businesses and individuals,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",The economy,No,Yes,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,91.0,Mitt Romney,White,White,State questionnaire,White,Midwest,Amy Klobuchar,Female,White women,Married women,Suburbs,Suburbs,Minnesota,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,No,All others,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,55779.0,1.04311168193817
72754.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,Omit,Omit,Complete,Yes,Call 3,1.0,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,Worse today,4.0,Omit,,,,,,,Omit,No,No,45+,18-64,,,,,,,33.0,Mitt Romney,White,White,State questionnaire,White,Midwest,Amy Klobuchar,Female,White women,Non married women,Rural,Small Cities/Rural,Minnesota,Election day exit poll,Omit,Omit,Omit,Version 1,No,White Born-again/Evangelical Christians,Extremely Low Density Rural,Rural,Rural,Very downscale,56098.0,0.811804592609406
32306.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,A few times a month,Occasionally,Complete,No,Call 1,1.0,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,About the same,4.0,Government is doing too many things better left to businesses and individuals,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",The economy,,Yes,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,32.0,Mitt Romney,White,White,State questionnaire,White,Midwest,Kurt Bills,Male,White men,Married men,Rural,Small Cities/Rural,Minnesota,Election day exit poll,In September,"In October, in September, or before that",In September or before that,Version 1,No,All others,Extremely Low Density Rural,Rural,Rural,Very downscale,56097.0,1.08944094181061
32308.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,A few times a month,Occasionally,Complete,No,Call 1,1.0,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,About the same,4.0,Government is doing too many things better left to businesses and individuals,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",The economy,,Yes,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,32.0,Mitt Romney,White,White,State questionnaire,White,Midwest,Kurt Bills,Male,White men,Married men,Rural,Small Cities/Rural,Minnesota,Election day exit poll,In September,"In October, in September, or before that",In September or before that,Version 1,No,All others,Extremely Low Density Rural,Rural,Rural,Very downscale,56097.0,1.08944094181061
52265.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,All others,All others,Did not vote,,,Complete,,Call 2,8.0,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,5.0,,,,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Moderate,58.0,Barack Obama,Other,Other,National questionnaire,Other,Midwest,,Female,All other races,,Rural,Small Cities/Rural,Minnesota,Election day exit poll,,,,Version 4,No,,Low Density Rural,Rural,Rural,Downscale,55744.0,1.18752765655518
52264.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,All others,All others,Did not vote,,,Complete,,Call 2,8.0,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,5.0,,,,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Moderate,58.0,Barack Obama,Other,Other,National questionnaire,Other,Midwest,,Female,All other races,,Rural,Small Cities/Rural,Minnesota,Election day exit poll,,,,Version 4,No,,Low Density Rural,Rural,Rural,Downscale,55744.0,1.18752765655518
32035.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Did not vote,,,Not complete,,Call 1,6.0,,,,,,,,,2.0,,,,,,,,,No,No,18-44,18-64,,,,,,,5.0,Mitt Romney,White,White,National questionnaire,White,Midwest,Did not vote,Male,White men,Non married men,Suburbs,Suburbs,Minnesota,Election day exit poll,,,,Version 2,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,55126.0,0.826129674911499
50858.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Did not vote,A few times a month,Occasionally,Complete,No,Call 2,4.0,I dislike the other candidates,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Unfavorable,About the same,1.0,Government is doing too many things better left to businesses and individuals,,,,,,,Health care,No,No,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,,72.0,Other,White,White,State questionnaire,White,Midwest,Did not vote,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Election day exit poll,Just today,Just today or in the last few days,Just today or in the last few days or in October,Version 1,,All others,High Density Urban,Urban,Urban Core,Downscale,55117.0,0.581215679645538
50930.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Did not vote,A few times a month,Occasionally,Complete,No,Call 2,4.0,I like my candidate but with reservations,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Favorable,Better today,1.0,Government is doing too many things better left to businesses and individuals,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Federal budget deficit,No,No,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,72.0,Barack Obama,White,White,State questionnaire,White,Midwest,Amy Klobuchar,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,Version 1,No,All others,High Density Urban,Urban,Urban Core,Downscale,55117.0,0.915012359619141
50293.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Did not vote,A few times a year,Occasionally,Complete,Yes,Call 2,6.0,I like my candidate but with reservations,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Favorable,About the same,2.0,Government should do more to solve problems,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",The economy,No,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,2.0,Barack Obama,White,White,State questionnaire,White,Midwest,Amy Klobuchar,Female,White women,Married women,Suburbs,Suburbs,Minnesota,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,Version 1,No,White Born-again/Evangelical Christians,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,55449.0,0.722389400005341
50887.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,All others,All others,Did not vote,A few times a year,Occasionally,Complete,Yes,Call 2,1.0,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Favorable,Worse today,4.0,Government should do more to solve problems,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",Health care,No,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Something else,All others,Moderate,8.0,Barack Obama,Other,Asian,State questionnaire,Asian,Midwest,Amy Klobuchar,Female,All other races,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Minnesota,Election day exit poll,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,No,All others,Town,Rural,Rural,Downscale,56001.0,0.950671672821045
71062.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Did not vote,,,Complete,,Call 3,4.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,About the same,1.0,Government should do more to solve problems,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Health care,No,No,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,75.0,Barack Obama,White,White,National questionnaire,White,Midwest,Amy Klobuchar,Female,White women,Non married women,Suburbs,Suburbs,Minnesota,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,No,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,55112.0,1.21636378765106
72932.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Did not vote,A few times a month,Occasionally,Complete,No,Call 3,1.0,I dislike the other candidates,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,About the same,4.0,Government is doing too many things better left to businesses and individuals,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",The economy,No,Yes,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,32.0,Mitt Romney,White,White,State questionnaire,White,Midwest,Amy Klobuchar,Female,White women,Married women,Rural,Small Cities/Rural,Minnesota,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,Version 1,No,All others,Extremely Low Density Rural,Rural,Rural,Very downscale,56097.0,0.810763120651245
51639.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,All others,All others,Did not vote,Never,Never,Complete,No,Call 2,2.0,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,Non white no college degree,Unfavorable,Unfavorable,About the same,2.0,Government is doing too many things better left to businesses and individuals,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Omit,No,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Liberal,20.0,Other,Other,Asian,State questionnaire,Asian,Midwest,Amy Klobuchar,Male,All other races,Non married men,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,Version 1,No,All others,Suburb,Urban,Urban Core,Very upscale,55122.0,0.525447905063629
31364.0,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,Did not vote,A few times a month,Occasionally,Complete,Yes,Call 1,5.0,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Unfavorable,Favorable,Worse today,1.0,Government is doing too many things better left to businesses and individuals,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",Health care,No,No,18-44,18-64,Republican,Black non-Democrat,All Republicans,Republican,All others,Liberal,47.0,Barack Obama,Black,Black,State questionnaire,Black,Midwest,Kurt Bills,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Election day exit poll,Just today,Just today or in the last few days,Just today or in the last few days or in October,Version 1,No,All others,Extremely High Density Urban,Urban,Urban Core,Very downscale,55411.0,0.80612325668335
52068.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Did not vote,A few times a year,Occasionally,Complete,No,Call 2,4.0,I like my candidate but with reservations,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,About the same,1.0,Government is doing too many things better left to businesses and individuals,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",The economy,No,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,78.0,Mitt Romney,White,White,State questionnaire,White,Midwest,Kurt Bills,Female,White women,Married women,Suburbs,Suburbs,Minnesota,Election day exit poll,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,No,All others,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,55127.0,1.12975287437439
51189.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Did not vote,A few times a year,Occasionally,Complete,No,Call 2,6.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,Worse today,2.0,Government is doing too many things better left to businesses and individuals,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",The economy,No,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,2.0,Mitt Romney,White,White,State questionnaire,White,Midwest,Kurt Bills,Male,White men,Married men,Suburbs,Suburbs,Minnesota,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,No,All others,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,55449.0,0.868993580341339
53040.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,Latino 18-29,Latino 18-29,Did not vote,Never,Never,Complete,No,Call 2,1.0,I like my candidate but with reservations,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Unfavorable,Favorable,Worse today,4.0,Government is doing too many things better left to businesses and individuals,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",The economy,Yes,No,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Conservative,8.0,Mitt Romney,Other,American Indian,State questionnaire,Hispanic/Latino,Midwest,Kurt Bills,Male,Latino men,Non married men,"Cities 10,000-50,000",Small Cities/Rural,Minnesota,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,No,All others,Town,Rural,Rural,Downscale,56001.0,0.944215953350067
