ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,DESCRIBP12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVIN12,GOVTDO10,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,ISSUE12,LATINO,LUGARDON,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSIN12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SENIN12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEAPARTY12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,WHTEVANG,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
13782.0,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,Complete,Yes,,3.0,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,2.0,,,,,,,,,,No,,Yes,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,50011.0,Barack Obama,Black,Black,National questionnaire,Black,Midwest,,Male,Black men,Married men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Oppose,Telephone survey,,,,Version 3,No,All others,Suburb,Urban,Urban Core,Very upscale,46825.0,0.0
13783.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,No,,9.0,I dislike the other candidates,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50043.0,Other,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Rural,Small Cities/Rural,Indiana,Oppose,Telephone survey,,,,Version 3,No,All others,Low Density Rural,Rural,Rural,Downscale,46160.0,0.0
14048.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,,9.0,,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,,4.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,,Yes,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50043.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Suburbs,Suburbs,Indiana,,Telephone survey,,,,Version 5,No,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,46143.0,0.0
14044.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,,1.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,,1.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50000.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Suburbs,Suburbs,Indiana,,Telephone survey,,,,Version 5,No,,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,46383.0,0.0
14042.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,,1.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,,1.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,Yes,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,50000.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Suburbs,Suburbs,Indiana,,Telephone survey,,,,Version 5,No,,Suburb,60s Suburbs,Urban Perimeter,Downscale,46323.0,0.0
14049.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,,9.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable,,5.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,Yes,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50044.0,Barack Obama,White,White,National questionnaire,White,Midwest,,Male,White men,Married men,Suburbs,Suburbs,Indiana,,Telephone survey,,,,Version 5,No,,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,47172.0,0.0
14047.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Complete,,,8.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable,,5.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,No,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50039.0,Barack Obama,White,White,National questionnaire,White,Midwest,,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Indiana,,Telephone survey,,,,Version 5,No,,Suburb,Urban,Urban Core,Upscale,47712.0,0.0
14046.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,,6.0,,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,5.0,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,,No,18-44,18-64,,,,,,Liberal,50029.0,Barack Obama,White,White,National questionnaire,White,Midwest,,Female,White women,Non married women,Rural,Small Cities/Rural,Indiana,,Telephone survey,,,,Version 5,Yes,,Suburb,Rural,Rural,Very upscale,47203.0,0.0
14045.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,,2.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable,,2.0,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,No,,Yes,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50006.0,Barack Obama,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Rural,Small Cities/Rural,Indiana,,Telephone survey,,,,Version 5,Yes,,Extremely Low Density Rural,Rural,Rural,Very downscale,46960.0,0.0
14043.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,,,1.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable,,1.0,,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,No,,Yes,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50000.0,Barack Obama,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Suburbs,Suburbs,Indiana,,Telephone survey,,,,Version 5,No,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,46373.0,0.0
14050.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,,9.0,,High school graduate,No college degree,High school graduate or less,White no college degree,Omit,Omit,,5.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,Yes,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50044.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Suburbs,Suburbs,Indiana,,Telephone survey,,,,Version 5,No,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,47122.0,0.0
59068.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,Call 3,5.0,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,2.0,John Gregg,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,29.0,,White,White,National questionnaire,White,Midwest,,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,Indiana,,Election day exit poll,,,,Version 4,Yes,,Suburb,Rural,Rural,Very downscale,46953.0,0.642172574996948
58418.0,45-65,30-59,45+,45-59,40-49,45-49,,,,Complete,,Call 3,2.0,,College graduate,College graduate,More than High school graduate,,,,,1.0,Mike Pence,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,,,,,,45+,18-64,Independent/Something else,,,Something else,,Conservative,97.0,Mitt Romney,,,National questionnaire,,Midwest,,Female,,,"Cities 50,000-500,000","Cities over 50,000",Indiana,,Election day exit poll,,,,Version 4,,,Suburb,Urban,Urban Core,Very upscale,46614.0,0.809620916843414
56419.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Not complete,,Call 3,3.0,I strongly favor my candidate,,,,,,,,2.0,Mike Pence,,,,,,,,,No,,,18-44,18-64,,,,,,,47.0,Mitt Romney,White,White,State questionnaire,White,Midwest,,Male,White men,,Rural,Small Cities/Rural,Indiana,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,,All others,Low Density Rural,Rural,Rural,Downscale,47371.0,0.953193247318268
35837.0,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,Not complete,,Call 2,9.0,I strongly favor my candidate,,,,,,,,5.0,,,,,,,,,,,,,18-44,18-64,,,,,,,11.0,Barack Obama,Black,Black,State questionnaire,Black,Midwest,,Male,Black men,,Suburbs,Suburbs,Indiana,,Election day exit poll,Omit,Omit,Omit,Version 1,,All others,Suburb,70s Suburbs,Urban Perimeter,Upscale,47130.0,0.548474311828613
37586.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,,Call 2,5.0,,College graduate,College graduate,More than High school graduate,White college degree,,,,3.0,,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",Omit,No,,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,79.0,Other,White,White,National questionnaire,White,Midwest,,Female,White women,Non married women,"Cities over 500,000","Cities over 50,000",Indiana,,Election day exit poll,,,,Version 2,No,,Suburb,Urban,Urban Core,Very upscale,46250.0,0.154173478484154
19395.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 1,5.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,2.0,Mike Pence,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",The economy,No,,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,29.0,,White,White,National questionnaire,White,Midwest,,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,Indiana,,Election day exit poll,,,,Version 2,No,,Suburb,Rural,Rural,Very downscale,46953.0,0.78544008731842
15791.0,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,Complete,,Call 1,5.0,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,3.0,John Gregg,,,,,,,,Health care,No,,No,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,79.0,Barack Obama,Black,Black,National questionnaire,Black,Midwest,,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",Indiana,,Election day exit poll,,,,Version 2,No,,Suburb,Urban,Urban Core,Very upscale,46250.0,0.48291751742363
16918.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 1,1.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,About the same,1.0,John Gregg,Government should do more to solve problems,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",The economy,No,,Yes,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,56.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Female,White women,Married women,Suburbs,Suburbs,Indiana,,Election day exit poll,Just today,Just today or in the last few days,Just today or in the last few days or in October,Version 1,No,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,46406.0,0.615064203739166
18015.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,Call 1,4.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,,2.0,John Gregg,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,,Yes,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,90.0,Mitt Romney,White,White,National questionnaire,White,Midwest,,Male,White men,Married men,Rural,Small Cities/Rural,Indiana,,Election day exit poll,,,,Version 5,No,,Low Density Rural,Rural,Rural,Downscale,47933.0,0.722904622554779
17819.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,9.0,I like my candidate but with reservations,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Favorable,About the same,5.0,,Government is doing too many things better left to businesses and individuals,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",The economy,No,Would not have voted,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,27.0,Mitt Romney,White,White,State questionnaire,White,Midwest,,Male,White men,Married men,Suburbs,Suburbs,Indiana,Neutral,Election day exit poll,Just today,Just today or in the last few days,Just today or in the last few days or in October,Version 1,No,White Born-again/Evangelical Christians,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,47119.0,1.7742577791214
18479.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,9.0,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,About the same,5.0,Mike Pence,Government is doing too many things better left to businesses and individuals,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Foreign policy,No,Richard Lugar,Yes,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,27.0,Mitt Romney,White,White,State questionnaire,White,Midwest,,Male,White men,Married men,Suburbs,Suburbs,Indiana,Neutral,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,No,All others,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,47119.0,1.72325587272644
18480.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,9.0,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,About the same,5.0,Mike Pence,Government is doing too many things better left to businesses and individuals,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Foreign policy,No,Richard Lugar,Yes,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,27.0,Mitt Romney,White,White,State questionnaire,White,Midwest,,Male,White men,Married men,Suburbs,Suburbs,Indiana,Neutral,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,No,All others,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,47119.0,1.72325587272644
38807.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,Yes,Call 2,4.0,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Favorable,About the same,2.0,Mike Pence,Government is doing too many things better left to businesses and individuals,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Federal budget deficit,No,Would not have voted,No,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,9.0,Mitt Romney,White,White,State questionnaire,White,Midwest,,Male,White men,Non married men,Rural,Small Cities/Rural,Indiana,Neutral,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,Yes,White Born-again/Evangelical Christians,Extremely Low Density Rural,Rural,Rural,Upscale,46920.0,1.04806244373322
26915.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,Yes,Call 1,4.0,I like my candidate but with reservations,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,Worse today,2.0,Mike Pence,Government is doing too many things better left to businesses and individuals,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",The economy,No,Would not have voted,Yes,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,9.0,Other,White,White,State questionnaire,White,Midwest,,Female,White women,Married women,Rural,Small Cities/Rural,Indiana,Oppose,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,Yes,White Born-again/Evangelical Christians,Extremely Low Density Rural,Rural,Rural,Upscale,46920.0,0.440315395593643
15917.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,1.0,I like my candidate but with reservations,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Favorable,Worse today,1.0,,Omit,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Health care,No,Omit,Yes,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,,61.0,Mitt Romney,White,White,State questionnaire,White,Midwest,,Female,White women,Married women,Suburbs,Suburbs,Indiana,Omit,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,Yes,All others,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,46410.0,0.860555708408356
35258.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Complete,,Call 2,3.0,I like my candidate but with reservations,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,About the same,2.0,,Government is doing too many things better left to businesses and individuals,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",The economy,No,Omit,No,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,,47.0,Mitt Romney,White,White,State questionnaire,White,Midwest,,Female,White women,Non married women,Rural,Small Cities/Rural,Indiana,Omit,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,No,All others,Low Density Rural,Rural,Rural,Downscale,47371.0,0.659294426441193
57002.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,No,Call 3,3.0,I strongly favor my candidate,No high school diploma,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,Better today,2.0,John Gregg,Government should do more to solve problems,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Federal budget deficit,,Joe Donnelly,Yes,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,115.0,Barack Obama,White,White,State questionnaire,White,Midwest,,Male,White men,Married men,Suburbs,Suburbs,Indiana,Neutral,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,Version 1,Yes,All others,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,46725.0,0.668025434017181
