ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK12,BREAK12A,BREAK12B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONFAIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GAY,GEOCODE,GOVTDO10,HANDLEDEF12,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,HOUIL12,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTL12,INTLOBAMA,INTLROMNEY,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMA2,OBAMA4,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSIL12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TAXDEF,TAXINC12,TEABRN,TEAPARTY12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,TRACK,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKPARENT,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
42444.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,An important factor,Important,Factor,,Call 2,3.0,,,No,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,Worse today,,1.0,Omit,,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,,The economy,,No,All others,Yes,,,,,,,,18-44,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,70.0,Barack Obama,Shares my values,White,White,National questionnaire,White,Midwest,,,,,Female,White women,Married women,"Cities over 500,000","Cities over 50,000",English, Illinois,,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,Extremely High Density Urban,Urban,Urban Core,Very downscale,60608.0,0.753101170063019
44061.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,,Complete,,,,,Call 2,13.0,Yes,Only cell phone service,No,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,No,4.0,,,,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,No,No,All others,Yes,,,,,,,The middle class,45+,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,35.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,The rich,,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",English, Illinois,,,,,Election day exit poll,,,,Generally going in the right direction,No,Version 5,White Protestants,No,,No,All men,Non-working men,,,All others,Suburb,Urban,Urban Core,Upscale,61701.0,1.23184907436371
44330.0,Illegal,Illegal in most cases,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,More than once a week,Weekly,Protestant/Attend weekly,Complete,,,,No,Call 2,13.0,,,No,I like my candidate but with reservations,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,4.0,,,,,,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,,No,All others,Yes,,,,,,,,45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,35.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,,No,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",English, Illinois,,,,Oppose,Election day exit poll,,,,,,Version 3,White Protestants,No,All others,,,,No,White Protestant non-evangelical,,Suburb,Urban,Urban Core,Upscale,61701.0,1.23184907436371
44209.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,,,Call 2,13.0,,,,,,,,Favors the wealthy,,College graduate,College graduate,More than High school graduate,White college degree,,,,Yes,4.0,,Barack Obama,Barack Obama,Barack Obama,Omit,Omit,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Only Barack Obama,Yes,No,Barack Obama,,,No,,,,,Approve,Somewhat approve,,,,45+,65+,,,,,,,,35.0,Barack Obama,,White,White,National questionnaire,White,Midwest,,,,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",English, Illinois,,"Increase only on income over $250,000",,,Election day exit poll,,,,,,Version 4,,No,,,,,,,,Suburb,Urban,Urban Core,Upscale,61701.0,1.24759721755981
21021.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,Latino 45-59,Latino 45-64,,,,Complete,,,,,Call 1,8.0,,,,,Staying about the same,George W. Bush,Poor and staying the same,,Unemployment,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,3.0,,,,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,,Federal budget deficit,,Yes,,No,Not so good,Not so good or poor,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Moderate,21.0,Barack Obama,Cares about people like me,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Midwest,,,,,Female,Latino women,Non married women,"Cities 50,000-500,000","Cities over 50,000",English, Illinois,No,,,,Election day exit poll,,,,,,Version 2,,No,,,,,,,,Suburb,Urban,Urban Core,Upscale,60123.0,0.987479567527771
18994.0,,,,,,,,,,,,,,,Complete,,,,,Call 1,1.0,,,,,Getting better,Omit,Getting better,,Unemployment,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,1.0,,,,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,,The economy,,No,,Yes,Good,Excellent or good,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Moderate,86.0,Barack Obama,Cares about people like me,Black,Black,National questionnaire,Black,Midwest,,,,,Female,Black women,Married women,"Cities over 500,000","Cities over 50,000",English, Illinois,No,,,,Election day exit poll,,,,,,Version 2,,No,,,,,,,,Extremely High Density Urban,Urban,Urban Core,Downscale,60615.0,0.692475438117981
68866.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,Call 3,7.0,Yes,Both regular land-line and cell phone service,No,,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,No,2.0,,,,,,,,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",,,,,,Yes,No,All others,Yes,,,,,,,Omit,45+,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,111.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,The rich,,Female,White women,Married women,Suburbs,Suburbs,English, Illinois,,,,,Election day exit poll,,,,Omit,No,Version 5,White Protestants,No,,Yes,"Women, no kids",Working women,,,Working women,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,60305.0,1.05541014671326
68649.0,,,,,,,,,,,,,,,Complete,,,,,Call 3,8.0,,,,,,,,Is fair to most Americans,,,,,,,,,No,3.0,,Barack Obama,Barack Obama,Barack Obama,Expand it,Expand it or leave it as is,,,,,,,,,Only Barack Obama,Yes,No,Barack Obama,,,No,,,,,Approve,Strongly approve,,,,,,,,,,,,,21.0,Barack Obama,,Black,Black,National questionnaire,Black,Midwest,,,,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000",English, Illinois,,Omit,,,Election day exit poll,,,,,,Version 4,,,,,,,,,,Suburb,Urban,Urban Core,Upscale,60123.0,1.0151823759079
69064.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,All others,All others,,,,Complete,,,,,Call 3,13.0,Yes,Only cell phone service,No,,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,Omit,Omit,,No,4.0,,,,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,,,,No,No,All others,No,,,,,,,The rich,45+,18-64,Women without children,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Moderate,35.0,Barack Obama,,Other,Other,National questionnaire,Other,Midwest,Something else,Other,Omit,,Female,All other races,Non married women,"Cities 50,000-500,000","Cities over 50,000",English, Illinois,,,,,Election day exit poll,,,,Seriously off on the wrong track,No,Version 5,Non-white,No,,Yes,"Women, no kids",Working women,,,Working women,Suburb,Urban,Urban Core,Upscale,61701.0,0.930367469787598
68867.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,Call 3,7.0,Yes,Both regular land-line and cell phone service,No,,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,No,2.0,,,,,,,,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",,,,,,Yes,No,All others,Yes,,,,,,,Omit,45+,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,111.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,The rich,,Female,White women,Married women,Suburbs,Suburbs,English, Illinois,,,,,Election day exit poll,,,,Omit,No,Version 5,White Protestants,No,,Yes,"Women, no kids",Working women,,,Working women,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,60305.0,1.05541014671326
66679.0,,,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,,,,Complete,,,,,Call 3,1.0,,,,,Getting better,Barack Obama,Getting better,,The housing market,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,1.0,,,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,,,,Health care,,No,,No,Excellent,Excellent or good,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",,45+,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,86.0,Barack Obama,Omit,Black,Black,National questionnaire,Black,Midwest,,,,,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",English, Illinois,Omit,,,,Election day exit poll,,,,,,Version 2,,No,,,,,,,,Extremely High Density Urban,Urban,Urban Core,Downscale,60615.0,0.762071490287781
66521.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,Call 3,2.0,,,,,,,,Omit,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,4.0,,Barack Obama,Barack Obama,Barack Obama,Repeal some of it,Repeal some of it or repeal all of it,,,,,,,,,Omit,Omit,Omit,Barack Obama,,,No,,,,,Omit,Omit,,,,45+,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,,25.0,Barack Obama,,White,White,National questionnaire,White,Midwest,,,,,Female,White women,,Suburbs,Suburbs,English, Illinois,,Not increase for anyone,,,Election day exit poll,,,,,,Version 4,,,,,,,,,,Extremely Low Density Rural,60s Suburbs,High-Growth Suburban Perimeter,Very downscale,60935.0,0.930367469787598
42823.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,Latino 18-29,Latino 18-29,,,,Complete,A minor factor,Not important,Factor,,Call 2,18.0,,,No,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,Better today,,4.0,Government should do more to solve problems,,,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,,The economy,,Yes,All others,No,,,,,,,,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Liberal,54.0,Barack Obama,Cares about people like me,Other,White,National questionnaire,Hispanic/Latino,Midwest,,,,,Male,Latino men,Non married men,Suburbs,Suburbs,English, Illinois,,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,61550.0,0.670038044452667
43918.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,,,,Call 2,13.0,No,Only regular land-line phone service,Yes,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,No,4.0,,,,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,Yes,No,Married with children,Yes,,,,,,,The middle class,18-44,18-64,Women with children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,35.0,Barack Obama,,White,White,National questionnaire,White,Midwest,Catholic,Catholic,The rich,,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",English, Illinois,,,,,Election day exit poll,,,,Generally going in the right direction,No,Version 5,White Catholics,No,,No,Mothers with no full time job,Non-working women,,,All others,Suburb,Urban,Urban Core,Upscale,61701.0,0.930367469787598
21519.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,,,Call 1,2.0,,,,,Staying about the same,George W. Bush,Poor and staying the same,,Taxes,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,4.0,,,,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,,Health care,,No,,Yes,Poor,Not so good or poor,,,Omit,Omit,,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,25.0,Barack Obama,Cares about people like me,White,White,National questionnaire,White,Midwest,,,,,Male,White men,Married men,Suburbs,Suburbs,English, Illinois,No,,,,Election day exit poll,,,,,,Version 2,,Yes,,,,,,,,Extremely Low Density Rural,60s Suburbs,High-Growth Suburban Perimeter,Very downscale,60935.0,1.23184907436371
67861.0,Illegal,Illegal in all cases,,,,,,,,,,Once a week,Weekly,Catholic/Attend weekly,Complete,,,,No,Call 3,8.0,,,No,I strongly favor my candidate,,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,3.0,,,,,,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,,,Yes,All others,No,,,,,,,,,,Men without children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,21.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Midwest,Catholic,Catholic,,Yes,Male,Latino men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English, Illinois,,,,Omit,Election day exit poll,,,,,,Version 3,Non-white,No,All others,,,,No,,,Suburb,Urban,Urban Core,Upscale,60123.0,0.88597172498703
21464.0,,,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,Latino 18-29,Latino 18-29,,,,Complete,An important factor,Important,Factor,,Call 1,8.0,,,No,,,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,Better today,,3.0,Government is doing too many things better left to businesses and individuals,,,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,,The economy,,Yes,All others,Yes,,,,,,,,18-44,18-64,Women without children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,21.0,Barack Obama,Cares about people like me,Other,White,National questionnaire,Hispanic/Latino,Midwest,,,,,Female,Latino women,Married women,"Cities 50,000-500,000","Cities over 50,000",English, Illinois,,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,Suburb,Urban,Urban Core,Upscale,60123.0,1.06302225589752
