ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,DESCRIBP12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,GEOCODE,GOVTDO10,GOVVT12,HOUVT12,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,ISSUE12,LATINO,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSVT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SENVT12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,VTHEALTH,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
45516.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,Call 2,1.0,,College graduate,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.861893951892853
31946.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 1,1.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.861893951892853
44049.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Not complete,Call 2,1.0,,,,,,,,3.0,,Peter Shumlin,,,,,,,,,No,No,18-44,18-64,,,,,,,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,Non married men,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 2,,,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.936526298522949
46171.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,Call 2,1.0,,College graduate,College graduate,More than High school graduate,White college degree,,,3.0,,Randy Brock,Peter Welch,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,49.0,Mitt Romney,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 4,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.963352680206299
13881.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,1.0,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,,,4.0,,,Peter Welch,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,Yes,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50003.0,Barack Obama,White,White,National questionnaire,White,East,,Female,White women,Married women,Rural,Small Cities/Rural, Vermont,Telephone survey,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5255.0,2.09397139627754e-08
32619.0,30-44,30-59,18-44,30-44,40-49,40-44,,,,Complete,Call 1,1.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,,,No,Yes,18-44,18-64,Independent/Something else,,,Independent,,Liberal,49.0,Barack Obama,,,National questionnaire,,East,Bernie Sanders,Female,,Married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.565319180488586
30843.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 1,1.0,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Yes,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.700177192687988
61721.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 3,1.0,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,,,,,,,,No,Yes,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.700177192687988
31336.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 1,1.0,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,No,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Non married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,Yes,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.700177192687988
46071.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,Call 2,1.0,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,White no college degree,,,3.0,,Peter Shumlin,Peter Welch,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,No,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Non married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.702060341835022
31209.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,Call 1,1.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Yes,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.702060341835022
45032.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,Call 2,1.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Did not vote,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,Yes,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.760806322097778
60519.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,All others,All others,Complete,Call 3,1.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,3.0,,Emily Peyton,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,No,Yes,45+,65+,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Liberal,49.0,Barack Obama,Other,Other,National questionnaire,Other,East,Bernie Sanders,Female,All other races,Married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.779006600379944
61595.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,Call 3,1.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,Yes,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,Married men,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.861893951892853
59098.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,Call 3,1.0,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,Non married men,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,Yes,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.861893951892853
45149.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,Call 2,1.0,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,White no college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,No,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,Non married men,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,Yes,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.861893951892853
31470.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,Call 1,1.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,No,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,Non married men,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.861893951892853
44650.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,Call 2,1.0,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Yes,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,Married men,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.861893951892853
45747.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,Call 2,1.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,Yes,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,Married men,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.864212036132813
32704.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,Call 1,1.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Did not vote,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Yes,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Did not vote,Male,White men,Married men,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.960708379745483
62901.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 3,1.0,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Cris Ericson,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Yes,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,Married men,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,1.61240351200104
13882.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,1.0,I like my candidate but with reservations,No high school diploma,No college degree,High school graduate or less,White no college degree,,,2.0,,,Peter Welch,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,No,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50001.0,Barack Obama,White,White,National questionnaire,White,East,,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural, Vermont,Telephone survey,,,,Version 3,,Yes,Town,Rural,Rural,Very upscale,5403.0,1.80482153666617e-08
31672.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,Call 1,1.0,I like my candidate but with reservations,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,Yes,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.700177192687988
46448.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 2,1.0,I like my candidate but with reservations,College graduate,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,No,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Non married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.700177192687988
46447.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,Call 2,1.0,I like my candidate but with reservations,College graduate,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,No,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Non married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.700177192687988
32393.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,Call 1,1.0,I like my candidate but with reservations,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,No,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Male,White men,Non married men,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,1.02825152873993
30951.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,Call 1,1.0,I dislike the other candidates,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,49.0,Other,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Non married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.374947398900986
44134.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,Call 2,1.0,I dislike the other candidates,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,No,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Non married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 3,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.835321187973022
62453.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,Call 3,1.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Favorable,3.0,,Peter Shumlin,Peter Welch,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,No,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,49.0,Barack Obama,White,White,National questionnaire,White,East,Bernie Sanders,Female,White women,Non married women,Rural,Small Cities/Rural, Vermont,Election day exit poll,,,,Version 5,,No,Low Density Rural,Rural,Rural,Very upscale,5602.0,0.700177192687988
