ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,CALL,CDNUM,CHILD12,DESCRIBP12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,GEOCODE,GOVTDO10,HANDLEECON12,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARCHILD,MARRIED,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSMD12,QRACE3,QRACEAI,QTYPE,QUES6MD,RACE,REGION,SENMD12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
49048.0,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,More than once a week,Weekly,Complete,Call 2,4.0,No,I strongly favor my candidate,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,3.0,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,All others,,45+,65+,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,100.0,Barack Obama,Black,Black,National questionnaire,For,Black,East,Ben Cardin,Female,Black women,,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,20743.0,1.25650322437286
17878.0,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,More than once a week,Weekly,Complete,Call 1,3.0,No,I strongly favor my candidate,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,No,All others,No,18-44,18-64,Men without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,7.0,Barack Obama,Black,Black,National questionnaire,For,Black,East,Ben Cardin,Male,Black men,Non married men,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21403.0,0.684928834438324
17653.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,More than once a week,Weekly,Complete,Call 1,5.0,No,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,4.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,All others,Yes,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,105.0,Barack Obama,White,White,National questionnaire,For,White,East,Ben Cardin,Female,White women,Married women,Rural,Small Cities/Rural, Maryland,Election day exit poll,,,,Version 3,No,Low Density Rural,Rural,Rural,Downscale,20680.0,0.914659202098846
48309.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,More than once a week,Weekly,Complete,Call 2,4.0,No,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,,,,,,,,,,No,All others,No,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,100.0,Barack Obama,White,White,National questionnaire,For,White,East,Ben Cardin,Female,White women,Non married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,20743.0,1.22636878490448
46195.0,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,More than once a week,Weekly,Complete,Call 2,3.0,No,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,2.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,No,All others,Yes,18-44,18-64,Men without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,7.0,Barack Obama,Black,Black,National questionnaire,Against,Black,East,Ben Cardin,Male,Black men,Married men,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21403.0,0.809046506881714
47085.0,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,More than once a week,Weekly,Complete,Call 2,4.0,No,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,3.0,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,No,All others,Yes,18-44,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,100.0,Barack Obama,Black,Black,National questionnaire,Against,Black,East,Ben Cardin,Female,Black women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,20743.0,1.39364504814148
75350.0,45-65,30-59,45+,45-59,40-49,45-49,Black 45-59,Black 45-59,Black 45-64,More than once a week,Weekly,Complete,Call 3,4.0,Yes,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,3.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,No,Married with children,Yes,45+,18-64,Men with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,100.0,Barack Obama,Black,Black,National questionnaire,Against,Black,East,Ben Cardin,Male,Black men,Married men,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,20743.0,1.63211762905121
17773.0,45-65,30-59,45+,45-59,40-49,45-49,Black 45-59,Black 45-59,Black 45-64,More than once a week,Weekly,Complete,Call 1,3.0,No,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,2.0,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,,No,All others,No,45+,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,7.0,Barack Obama,Black,Black,National questionnaire,Against,Black,East,Rob Sobhani,Female,Black women,Non married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21403.0,0.649381041526794
45859.0,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,More than once a week,Weekly,Complete,Call 2,3.0,No,I strongly favor my candidate,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,No,All others,No,18-44,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,7.0,Barack Obama,Black,Black,National questionnaire,Did not vote,Black,East,Other,Female,Black women,Non married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21403.0,0.725265800952911
17498.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,More than once a week,Weekly,Complete,Call 1,3.0,No,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,,,3.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,All others,Yes,45+,18-64,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,85.0,Mitt Romney,White,White,National questionnaire,Against,White,East,Daniel Bongino,Female,White women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,20833.0,1.17899870872498
13797.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Once a week,Weekly,Complete,,6.0,No,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,,,3.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,No,All others,Yes,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50022.0,Barack Obama,White,White,National questionnaire,,White,East,,Female,White women,Married women,Suburbs,Suburbs, Maryland,Telephone survey,,,,Version 3,No,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20874.0,0.0
49680.0,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,Once a week,Weekly,Complete,Call 2,8.0,No,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,3.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,No,All others,No,45+,65+,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,82.0,Barack Obama,Black,Black,National questionnaire,For,Black,East,Ben Cardin,Female,Black women,Non married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,80s Suburbs,Urban Perimeter,Very upscale,20904.0,1.31113374233246
68549.0,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,Once a week,Weekly,Complete,Call 3,3.0,Yes,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,No,All others,No,18-44,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,7.0,Barack Obama,Black,Black,National questionnaire,For,Black,East,Ben Cardin,Female,Black women,Non married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21403.0,0.5726518034935
69996.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,Latino 18-29,Latino 18-29,Once a week,Weekly,Complete,Call 3,5.0,No,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,4.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,Yes,All others,No,18-44,18-64,Women without children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,105.0,Barack Obama,Other,White,National questionnaire,For,Hispanic/Latino,East,Ben Cardin,Female,Latino women,Non married women,Rural,Small Cities/Rural, Maryland,Election day exit poll,,,,Version 3,No,Low Density Rural,Rural,Rural,Downscale,20680.0,0.858855009078979
73627.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,All others,All others,Once a week,Weekly,Complete,Call 3,8.0,No,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,3.0,,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and non white",,,No,All others,No,18-44,18-64,Women without children,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Moderate,82.0,Barack Obama,Other,Other,National questionnaire,For,Other,East,Ben Cardin,Female,All other races,Non married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,80s Suburbs,Urban Perimeter,Very upscale,20904.0,1.30695331096649
72845.0,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,Once a week,Weekly,Complete,Call 3,4.0,No,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,3.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,No,All others,Yes,45+,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,100.0,Barack Obama,Black,Black,National questionnaire,Against,Black,East,Ben Cardin,Female,Black women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,20743.0,1.51581835746765
18440.0,45-65,30-59,45+,45-59,40-49,45-49,Black 45-59,Black 45-59,Black 45-64,Once a week,Weekly,Complete,Call 1,3.0,Yes,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,2.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,No,Married with children,Yes,45+,18-64,Men with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,7.0,Barack Obama,Black,Black,National questionnaire,Against,Black,East,Ben Cardin,Male,Black men,Married men,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21403.0,0.809046506881714
75661.0,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,Once a week,Weekly,Complete,Call 3,4.0,No,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,3.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,No,All others,Yes,45+,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,100.0,Barack Obama,Black,Black,National questionnaire,Against,Black,East,Ben Cardin,Female,Black women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,20743.0,1.51581835746765
17813.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Once a week,Weekly,Complete,Call 1,7.0,Yes,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,,,2.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,Married with children,Yes,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,63.0,Mitt Romney,White,White,National questionnaire,Against,White,East,Daniel Bongino,Female,White women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,21042.0,1.05343818664551
44555.0,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,A few times a month,Occasionally,Complete,Call 2,5.0,No,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,4.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,No,All others,No,18-44,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,105.0,Barack Obama,Black,Black,National questionnaire,Against,Black,East,Did not vote,Female,Black women,Non married women,Rural,Small Cities/Rural, Maryland,Election day exit poll,,,,Version 3,No,Low Density Rural,Rural,Rural,Downscale,20680.0,0.98519766330719
18078.0,30-44,30-59,18-44,30-44,40-49,40-44,Black 30-44,Black 30-44,Black 30-44,A few times a month,Occasionally,Complete,Call 1,3.0,Yes,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,No,Married with children,Yes,18-44,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,7.0,Barack Obama,Black,Black,National questionnaire,For,Black,East,Ben Cardin,Female,Black women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21403.0,0.5726518034935
48625.0,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,A few times a month,Occasionally,Complete,Call 2,4.0,No,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,Non white college degree,,,3.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,No,All others,No,18-44,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,100.0,Barack Obama,Black,Black,National questionnaire,For,Black,East,Ben Cardin,Female,Black women,Non married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,20743.0,1.17984282970428
75624.0,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,A few times a month,Occasionally,Complete,Call 3,4.0,No,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,Non white college degree,,,3.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,No,All others,No,18-44,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,100.0,Barack Obama,Black,Black,National questionnaire,For,Black,East,Ben Cardin,Female,Black women,Non married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,20743.0,1.15523028373718
67876.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,A few times a month,Occasionally,Complete,Call 3,7.0,No,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,White college degree,,,2.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,All others,Yes,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,63.0,Barack Obama,White,White,National questionnaire,For,White,East,Ben Cardin,Female,White women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,21042.0,0.901776671409607
70923.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,A few times a month,Occasionally,Complete,Call 3,5.0,No,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,White no college degree,,,4.0,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,No,All others,No,18-44,18-64,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,105.0,Mitt Romney,White,White,National questionnaire,For,White,East,Daniel Bongino,Female,White women,Non married women,Rural,Small Cities/Rural, Maryland,Election day exit poll,,,,Version 3,Yes,Low Density Rural,Rural,Rural,Downscale,20680.0,0.904568254947662
17664.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,A few times a month,Occasionally,Complete,Call 1,7.0,Yes,I strongly favor my candidate,Postgraduate study,College graduate,More than High school graduate,White college degree,,,2.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,Married with children,Yes,45+,18-64,Women with children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,63.0,Mitt Romney,White,White,National questionnaire,Against,White,East,Daniel Bongino,Female,White women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,21042.0,1.05343818664551
73772.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,A few times a month,Occasionally,Complete,Call 3,8.0,Yes,I strongly favor my candidate,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,3.0,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,Married with children,Yes,18-44,18-64,Women with children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,82.0,Mitt Romney,White,White,National questionnaire,Against,White,East,Daniel Bongino,Female,White women,Married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,Suburb,80s Suburbs,Urban Perimeter,Very upscale,20904.0,1.62595891952515
13798.0,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,A few times a year,Occasionally,Complete,,7.0,No,I strongly favor my candidate,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,1.0,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,,No,All others,No,45+,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,50024.0,Barack Obama,Black,Black,National questionnaire,,Black,East,,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000", Maryland,Telephone survey,,,,Version 3,No,High Density Urban,Urban,Urban Core,Very downscale,21217.0,0.0
47564.0,30-44,30-59,18-44,30-44,40-49,40-44,Black 30-44,Black 30-44,Black 30-44,A few times a year,Occasionally,Complete,Call 2,4.0,No,I strongly favor my candidate,College graduate,College graduate,More than High school graduate,Non white college degree,,,3.0,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,No,All others,No,18-44,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,100.0,Barack Obama,Black,Black,National questionnaire,For,Black,East,Did not vote,Female,Black women,Non married women,Suburbs,Suburbs, Maryland,Election day exit poll,,,,Version 3,No,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,20743.0,1.16611409187317
