ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK12,BREAK12A,BREAK12B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONFAIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GAY,GEOCODE,GOVTDO10,HANDLEDEF12,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,HOUNJ12,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTL12,INTLOBAMA,INTLROMNEY,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMA2,OBAMA4,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSNJ12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SAMESEXM12,SENNJ12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TAXDEF,TAXINC12,TEAPARTY12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,TRACK,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKPARENT,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
14084.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,,,,11.0,Yes,Both regular land-line and cell phone service,No,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Favorable,,No,3.0,,,,,,,The Democratic candidate,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,Yes,No,All others,No,,,,,,,The middle class,45+,65+,Women without children,,,,,,Moderate,50052.0,Barack Obama,,White,White,National questionnaire,White,East,Protestant/Other Non-Catholic Christian,Other christian,The middle class,,,Female,White women,Non married women,Suburbs,Suburbs,New Jersey,,,,Telephone survey,,,,Omit,No,Version 5,White Protestants,No,,No,"Women, no kids",Non-working women,,,All others,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7444.0,0.0
13813.0,Legal,Legal in most cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,More than once a week,Weekly,Protestant/Attend weekly,Complete,,,,No,,5.0,,,No,I strongly favor my candidate,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,,2.0,,,,,,,The Democratic candidate,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,,No,All others,No,,,,,,,,45+,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50021.0,Barack Obama,,White,White,National questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,,Yes,,Female,White women,Non married women,Suburbs,Suburbs,New Jersey,,,Oppose,Telephone survey,,,,,,Version 3,White Protestants,No,All others,,,,No,White Protestant non-evangelical,,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7450.0,0.0
14085.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,All others,All others,,,,Complete,,,,,,11.0,Yes,Both regular land-line and cell phone service,No,,,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Favorable,Unfavorable,,No,3.0,,,,,,,The Democratic candidate,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,,,,,Yes,No,All others,No,,,,,,,The middle class,45+,65+,Men without children,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Liberal,50052.0,Barack Obama,,Other,Other,National questionnaire,Other,East,None,None,The rich,,,Male,All other races,Non married men,Suburbs,Suburbs,New Jersey,,,,Telephone survey,,,,Generally going in the right direction,No,Version 5,Non-white,No,,No,All men,Non-working men,,,All others,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,7869.0,0.0
13948.0,,,45-65,30-59,45+,45-59,40-49,45-49,Black 45-59,Black 45-59,Black 45-64,,,,Complete,,,,,,10.0,,,,,,,,Is fair to most Americans,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,No,1.0,,Barack Obama,Barack Obama,Barack Obama,Expand it,Expand it or leave it as is,The Democratic candidate,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",Only Barack Obama,Yes,No,Barack Obama,,,No,,,,,Approve,Strongly approve,,,,45+,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,50045.0,Barack Obama,,Black,Black,National questionnaire,Black,East,,,,,,Female,Black women,,Suburbs,Suburbs,New Jersey,,Increase for all,,Telephone survey,,,,,,Version 4,,No,,,,,,,,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7305.0,0.0
13947.0,,,45-65,30-59,45+,45-59,40-49,45-49,Black 45-59,Black 45-59,Black 45-64,,,,Complete,,,,,,6.0,,,,,,,,Is fair to most Americans,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,No,4.0,,Barack Obama,Barack Obama,Barack Obama,Leave it as is,Expand it or leave it as is,The Democratic candidate,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",Only Barack Obama,Yes,No,Barack Obama,,,No,,,,,Approve,Strongly approve,,,,45+,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,50028.0,Barack Obama,,Black,Black,National questionnaire,Black,East,,,,,,Female,Black women,,Suburbs,Suburbs,New Jersey,,"Increase only on income over $250,000",,Telephone survey,,,,,,Version 4,,No,,,,,,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,8830.0,0.0
13946.0,,,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,,,,Complete,,,,,,5.0,,,,,,,,Favors the wealthy,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,No,3.0,,Barack Obama,Barack Obama,Barack Obama,Omit,Omit,The Democratic candidate,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Only Barack Obama,Yes,No,Barack Obama,,,No,,,,,Approve,Somewhat approve,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50022.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,,Female,White women,,Suburbs,Suburbs,New Jersey,,"Increase only on income over $250,000",,Telephone survey,,,,,,Version 4,,No,,,,,,,,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,7461.0,0.0
13944.0,,,45-65,30-59,45+,45-59,50-64,50-59,,,,,,,Complete,,,,,,3.0,,,,,,,,Favors the wealthy,,,,,,,,,,5.0,,Barack Obama,Barack Obama,Barack Obama,Omit,Omit,The Democratic candidate,,,,,,,,Omit,Yes,Omit,Barack Obama,,,,,,,,Approve,Somewhat approve,,,,45+,18-64,,,,,,,,50014.0,Barack Obama,,,,National questionnaire,,East,,,,,,Female,,,Suburbs,Suburbs,New Jersey,,Not increase for anyone,,Telephone survey,,,,,,Version 4,,,,,,,,,,Suburb,60s Suburbs,Urban Perimeter,Upscale,8002.0,0.0
13681.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,,12.0,,,,,Getting better,George W. Bush,Getting better,,The housing market,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,4.0,,,,,,,The Democratic candidate,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,,The economy,,No,,Yes,Not so good,Not so good or poor,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,45+,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50058.0,Barack Obama,Is a strong leader,White,White,National questionnaire,White,East,,,,,,Male,White men,Married men,Suburbs,Suburbs,New Jersey,Yes,,,Telephone survey,,,,,,Version 2,,No,,,,,,,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,8831.0,0.0
13680.0,,,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,,,,Complete,,,,,,6.0,,,,,Staying about the same,George W. Bush,Good and staying the same,,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,4.0,,,,,,,The Democratic candidate,,,,,,,,,,,,Health care,,No,,Yes,Good,Excellent or good,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,45+,65+,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,50028.0,Barack Obama,Shares my values,Black,Black,National questionnaire,Black,East,,,,,,Female,Black women,Married women,Suburbs,Suburbs,New Jersey,Yes,,,Telephone survey,,,,,,Version 2,,No,,,,,,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,7095.0,0.0
13678.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,,,,,2.0,,,,,Staying about the same,George W. Bush,Poor and staying the same,,Unemployment,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,5.0,,,,,,,The Democratic candidate,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,,The economy,,No,,No,Not so good,Not so good or poor,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50009.0,Barack Obama,Has a vision for the future,White,White,National questionnaire,White,East,,,,,,Female,White women,Non married women,Suburbs,Suburbs,New Jersey,Yes,,,Telephone survey,,,,,,Version 2,,No,,,,,,,,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,8234.0,0.0
14660.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,Call 1,4.0,,,,,,,,Omit,,,,,,,,,No,4.0,,Barack Obama,Barack Obama,Barack Obama,Omit,Omit,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Omit,Yes,Omit,Barack Obama,,,No,,,,,Approve,Somewhat approve,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,82.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,,Female,White women,,Suburbs,Suburbs,New Jersey,,Not increase for anyone,,Election day exit poll,,,,,,Version 4,,No,,,,,,,,Suburb,60s Suburbs,High-Growth Suburban Perimeter,Very upscale,7702.0,0.519501268863678
37796.0,,,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,,,,Call 2,6.0,Yes,Only cell phone service,Yes,,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,No,4.0,,,,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,,,No,No,All others,No,,,,,,,The middle class,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,71.0,Barack Obama,,White,White,National questionnaire,White,East,Catholic,Catholic,The rich,,,Female,White women,Non married women,Suburbs,Suburbs,New Jersey,,,,Election day exit poll,,,,Generally going in the right direction,No,Version 5,White Catholics,Yes,,No,Mothers with no full time job,Non-working women,,,All others,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7001.0,0.649095416069031
15247.0,Legal,Legal in all cases,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,More than once a week,Weekly,Protestant/Attend weekly,Complete,,,,Yes,Call 1,3.0,,,Yes,I strongly favor my candidate,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,5.0,,,,,,,The Democratic candidate,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,,,,,,Married with children,Yes,,,,,,,,45+,18-64,Men with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,21.0,Barack Obama,,Black,Black,National questionnaire,Black,East,Protestant/Other Non-Catholic Christian,Protestant,,No,,Male,Black men,Married men,Suburbs,Suburbs,New Jersey,,,Oppose,Election day exit poll,,,,,,Version 3,Non-white,No,All others,,,,No,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,8046.0,0.490727066993713
15182.0,,,30-44,30-59,18-44,30-44,40-49,40-44,Black 30-44,Black 30-44,Black 30-44,,,,Complete,,,,,Call 1,10.0,,,,,,,,Is fair to most Americans,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,No,1.0,,Barack Obama,Barack Obama,Barack Obama,Leave it as is,Expand it or leave it as is,The Democratic candidate,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",Only Barack Obama,Yes,No,Barack Obama,,,No,,,,,Approve,Strongly approve,,,,18-44,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,44.0,Barack Obama,,Black,Black,National questionnaire,Black,East,,,,,,Female,Black women,,Suburbs,Suburbs,New Jersey,,Not increase for anyone,,Election day exit poll,,,,,,Version 4,,No,,,,,,,,Extremely High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,7050.0,0.630778968334198
15147.0,,,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,,,,Complete,The most important factor,Important,Factor,,Call 1,10.0,,,No,,,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,Better today,,1.0,Government is doing too many things better left to businesses and individuals,,,,,,The Democratic candidate,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,Health care,,No,All others,No,,,,,,,,45+,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,44.0,Barack Obama,Cares about people like me,Black,Black,National questionnaire,Black,East,,,,,,Female,Black women,Non married women,Suburbs,Suburbs,New Jersey,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,Extremely High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,7050.0,0.729471504688263
66743.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,Latino 18-29,Latino 18-29,,,,Complete,,,,,Call 3,3.0,,,,,Getting worse,George W. Bush,Worse,,Unemployment,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,5.0,,,,,,,The Democratic candidate,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,,,The economy,,Yes,,No,Poor,Not so good or poor,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,18-44,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,21.0,Barack Obama,Cares about people like me,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,East,,,,,,Female,Latino women,Non married women,Suburbs,Suburbs,New Jersey,No,,,Election day exit poll,,,,,,Version 2,,No,,,,,,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,8046.0,0.500491261482239
68709.0,Legal,Legal in all cases,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Never,Never,Catholic/Do not attend weekly,Complete,,,,No,Call 3,5.0,,,Yes,I dislike the other candidates,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,3.0,,,,,,,The Democratic candidate,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,,,,Married with children,Yes,,,,,,,,18-44,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,115.0,Barack Obama,,White,White,National questionnaire,White,East,Catholic,Catholic,,Yes,,Male,White men,Married men,Suburbs,Suburbs,New Jersey,,,Neutral,Election day exit poll,,,,,,Version 3,White Catholics,No,All others,,,,No,All others,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,7422.0,0.666977226734161
14595.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,,,,Complete,,,,,Call 1,6.0,,,,,Getting better,George W. Bush,Getting better,,Unemployment,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,4.0,,,,,,,The Democratic candidate,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,,,Omit,,Yes,,Yes,Good,Excellent or good,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",,45+,18-64,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Conservative,71.0,Barack Obama,Cares about people like me,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,East,,,,,,Male,Latino men,Married men,Suburbs,Suburbs,New Jersey,No,,,Election day exit poll,,,,,,Version 2,,No,,,,,,,,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7001.0,0.687592208385468
