ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CHILD12,DESCRIBP12,ECONBETT,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,GUNOWNER12,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSPA12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,SENPA12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNIONHH12,VERSION,WHITEREL,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
46030.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,All others,All others,Not complete,Call 2,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,,,,,,18-44,18-64,,,,,,,,79.0,Barack Obama,,Other,Other,National questionnaire,Other,East,,,Bob Casey,Male,All other races,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 4,,,Suburb,60s Suburbs,Urban Perimeter,Very upscale,19072.0,0.716371417045593
45286.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Not complete,Call 2,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,No,,No,,,,,45+,65+,,,,,,,,110.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Female,White women,Non married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,Suburb,60s Suburbs,Urban Perimeter,Upscale,17347.0,0.562592327594757
45284.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Not complete,Call 2,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,No,,No,,,,,45+,65+,,,,,,,,110.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Female,White women,Non married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,Suburb,60s Suburbs,Urban Perimeter,Upscale,17347.0,0.562592327594757
42516.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Not complete,Call 2,18.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,Yes,,,,,45+,65+,,,,,,,,14.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Female,White women,Married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 5,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,15017.0,0.907909274101257
25592.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Not complete,Call 1,14.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,,,,,,18-44,18-64,,,,,,,,12.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,,,,Version 4,,,High Density Urban,Urban,Urban Core,Downscale,15206.0,0.819167375564575
45777.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Not complete,Call 2,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,Yes,,,,,45+,18-64,,,,,,,,60.0,Barack Obama,,White,White,National questionnaire,White,East,,,Tom Smith,Female,White women,Married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,16428.0,0.595867991447449
29534.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Not complete,Call 1,14.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,No,,,,,45+,18-64,,,,,,,,8.0,Barack Obama,,White,White,National questionnaire,White,East,,,Other,Female,White women,Non married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 5,,,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,15139.0,1.14315545558929
41639.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Not complete,Call 2,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,Yes,,,,,45+,18-64,,,,,,,,52.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Bob Casey,Male,White men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 5,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,19078.0,1.24778950214386
41638.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Not complete,Call 2,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,Yes,,,,,45+,18-64,,,,,,,,52.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Bob Casey,Male,White men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 5,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,19078.0,1.24778950214386
63234.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Not complete,Call 3,6.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,,,,,,45+,18-64,,,,,,,,41.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Bob Casey,Male,White men,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 4,,,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19380.0,1.13862872123718
42457.0,65+,60+,45+,60+,65+,65 or over,,,,Not complete,Call 2,18.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,Yes,,,,,45+,65+,,,,,,,,14.0,Mitt Romney,,,,National questionnaire,,East,,,Bob Casey,Male,,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 5,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,15017.0,1.3439439535141
24722.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Not complete,Call 1,18.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,,,,,,45+,18-64,,,,,,,,14.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Female,White women,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 4,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,15017.0,1.09190309047699
66402.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Not complete,Call 3,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,Yes,,,,,18-44,18-64,,,,,,,,60.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Female,White women,Married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,16428.0,0.921736419200897
40869.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Not complete,Call 2,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,No,,,,,45+,65+,,,,,,,,52.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Female,White women,Non married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,19078.0,1.18527972698212
65075.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Not complete,Call 3,6.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,Yes,,,,,18-44,18-64,,,,,,,,38.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Male,White men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 5,,,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19380.0,1.23168325424194
22898.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Not complete,Call 1,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,Yes,,,,,18-44,18-64,,,,,,,,52.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Female,White women,Married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,19078.0,1.03652119636536
22725.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Not complete,Call 1,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,Yes,,,,,45+,65+,,,,,,,,52.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Male,White men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 1,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,19078.0,1.33020341396332
63798.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Not complete,Call 3,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,No,,,,,,,18-44,18-64,,,,,,,,110.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Female,White women,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 4,,,Suburb,60s Suburbs,Urban Perimeter,Upscale,17347.0,0.654590964317322
28765.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Not complete,Call 1,10.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,No,,Yes,,,,,45+,18-64,,,,,,,,73.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Male,White men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 5,,,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,17756.0,1.14003050327301
27998.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Not complete,Call 1,16.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,No,,No,,,,,45+,18-64,,,,,,,,65.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Male,White men,Non married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 5,,,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,17022.0,1.14003050327301
24967.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Not complete,Call 1,5.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,No,,No,,,,,45+,65+,,,,,,,,34.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Pennsylvania,Election day exit poll,,,,,Version 5,,,Town,Rural,Rural,Upscale,16801.0,1.19577920436859
41590.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Not complete,Call 2,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,No,,,,,18-44,18-64,,,,,,,,52.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Male,White men,Non married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 5,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,19078.0,1.37112331390381
41363.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Not complete,Call 2,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,No,,,,,,,18-44,18-64,,,,,,,,52.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Male,White men,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 4,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,19078.0,1.37112331390381
42362.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Not complete,Call 2,14.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,No,,No,,,,,18-44,18-64,,,,,,,,10.0,Mitt Romney,,White,White,National questionnaire,White,East,,,Tom Smith,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,,,,Version 1,,,High Density Urban,Urban,Urban Core,Very downscale,15210.0,1.99755108356476
45164.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,Latino 18-29,Latino 18-29,Not complete,Call 2,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Yes,,No,,,,,18-44,18-64,,,,,,,,60.0,Other,,Other,,National questionnaire,Hispanic/Latino,East,,,Bob Casey,Male,Latino men,Non married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 5,,,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,16428.0,0.395561575889587
41433.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,Call 2,14.0,No,Omit,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,5.0,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,No,All others,No,,,,,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,12.0,Barack Obama,,White,White,National questionnaire,White,East,,,Bob Casey,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,,,,Version 3,,No,High Density Urban,Urban,Urban Core,Downscale,15206.0,0.919326663017273
43132.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,Call 2,4.0,Yes,Omit,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,No,Married with children,Yes,,,,,18-44,18-64,Women with children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,110.0,Barack Obama,,White,White,National questionnaire,White,East,Protestant/Other Non-Catholic Christian,Other christian,Bob Casey,Female,White women,Married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 3,White Protestants,No,Suburb,60s Suburbs,Urban Perimeter,Upscale,17347.0,0.491984218358994
26854.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,Call 1,16.0,Yes,Omit,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,No,Married with children,Yes,,,,,18-44,18-64,Men with children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,65.0,Mitt Romney,,White,White,National questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,,Male,White men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 3,White Protestants,No,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,17022.0,0.923480629920959
13832.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,11.0,No,I strongly favor my candidate,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,3.0,,,,,,,,,,,,,,,,All others,Yes,,,,,45+,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,50052.0,Barack Obama,,White,White,National questionnaire,White,East,Catholic,Catholic,,Female,White women,Married women,Suburbs,Suburbs,Pennsylvania,Telephone survey,,,,,Version 3,White Catholics,,Town,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,18707.0,0.0
13830.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,5.0,No,I strongly favor my candidate,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,5.0,,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,No,All others,Yes,,,,,45+,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50024.0,Barack Obama,,White,White,National questionnaire,White,East,Catholic,Catholic,,Female,White women,Married women,Suburbs,Suburbs,Pennsylvania,Telephone survey,,,,,Version 3,White Catholics,No,Suburb,70s Suburbs,Urban Perimeter,Upscale,16509.0,0.0
13828.0,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,,2.0,Yes,I strongly favor my candidate,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,1.0,,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,,No,Married with children,Yes,,,,,18-44,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,50005.0,Barack Obama,,Black,Black,National questionnaire,Black,East,Something else,Other,,Female,Black women,Married women,"Cities over 500,000","Cities over 50,000",Pennsylvania,Telephone survey,,,,,Version 3,Non-white,No,High Density Urban,Urban,Urban Core,Downscale,19131.0,0.0
24548.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,Complete,Call 1,15.0,No,I strongly favor my candidate,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,3.0,,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,Yes,All others,Yes,,,,,45+,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Conservative,68.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,East,Catholic,Catholic,,Male,Latino men,Married men,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,,,,Version 3,Non-white,No,Extremely High Density Urban,Urban,Urban Core,Very downscale,18102.0,0.433845162391663
68524.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,Complete,Call 3,15.0,No,I strongly favor my candidate,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,3.0,,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,Yes,All others,Yes,,,,,45+,18-64,Women without children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,,68.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,East,,,,Female,Latino women,Married women,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,,,,Version 3,Non-white,No,Extremely High Density Urban,Urban,Urban Core,Very downscale,18102.0,0.338060855865479
74294.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 3,10.0,Yes,I strongly favor my candidate,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,4.0,,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,,Yes,Married with children,Yes,,,,,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,Latino Independent,Something else,All others,Liberal,73.0,Barack Obama,,Other,,National questionnaire,Hispanic/Latino,East,,,,Female,Latino women,Married women,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,,,Version 3,Non-white,No,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,17756.0,0.482889652252197
44554.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,Latino 18-29,Latino 18-29,Complete,Call 2,15.0,Yes,I strongly favor my candidate,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,3.0,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,,Yes,All others,No,,,,,18-44,18-64,Women with children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,68.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,East,Protestant/Other Non-Catholic Christian,Other christian,,Female,Latino women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,,,,Version 3,Non-white,No,Extremely High Density Urban,Urban,Urban Core,Very downscale,18102.0,0.398470312356949
68236.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,Call 3,14.0,Yes,I strongly favor my candidate,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,5.0,,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,No,All others,No,,,,,18-44,18-64,Women with children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,10.0,Barack Obama,,White,White,National questionnaire,White,East,Catholic,Catholic,,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,,,,Version 3,White Catholics,No,High Density Urban,Urban,Urban Core,Very downscale,15210.0,0.835983633995056
