ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK12,BREAK12A,BREAK12B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONFAIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GAY,GEOCODE,GOVTDO10,HANDLEDEF12,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,HOUNY12,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTL12,INTLOBAMA,INTLROMNEY,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMA2,OBAMA4,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSNY12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SAMESEXM12,SENNY12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TAXDEF,TAXINC12,TEAPARTY12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,TRACK,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKPARENT,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
71382.0,Omit,Omit,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Once a week,Weekly,Catholic/Attend weekly,Complete,,,,No,Call 3,27.0,,,Yes,I dislike the other candidates,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,5.0,,,,,,,,Omit,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,,,,No,All others,No,,,,,,,,45+,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,27.0,Barack Obama,,White,White,National questionnaire,White,East,Catholic,Catholic,,Omit,,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,English, New York,,,Omit,Election day exit poll,,,,,,Version 3,White Catholics,Yes,All others,,,,No,All others,,Suburb,Rural,Rural,Downscale,14020.0,0.832519769668579
45057.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,An important factor,Important,Factor,,Call 2,3.0,,,No,,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,About the same,,2.0,Government should do more to solve problems,,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,,Health care,,No,All others,No,,,,,,,,18-44,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,64.0,Barack Obama,Cares about people like me,White,White,National questionnaire,White,East,,,,,,Female,White women,Non married women,Suburbs,Suburbs,English, New York,,,,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,,,Version 1,,Yes,,,,,,,,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,11579.0,0.483867257833481
72988.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,A minor factor,Not important,Factor,,Call 3,17.0,,,Yes,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,Better today,,3.0,Government should do more to solve problems,,,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,,Federal budget deficit,,No,Married with children,Yes,,,,,,,,45+,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,110.0,Barack Obama,Cares about people like me,White,White,National questionnaire,White,East,,,,,,Male,White men,Married men,Suburbs,Suburbs,English, New York,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,10532.0,0.936245024204254
16219.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,Latino 45-59,Latino 45-64,,,,Complete,,,,,Call 1,15.0,,,,,Getting worse,George W. Bush,Worse,,Unemployment,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,1.0,,,,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,The economy,,Yes,,No,Excellent,Excellent or good,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,45+,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,10.0,Barack Obama,Cares about people like me,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,East,,,,,,Female,Latino women,Non married women,"Cities over 500,000","Cities over 50,000",Spanish, New York,Yes,,,Election day exit poll,,,,,,Version 2,,No,,,,,,,,Extremely High Density Urban,Urban,Urban Core,Very downscale,10453.0,0.716797173023224
16035.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,,,,Call 1,14.0,,,,,,,,Omit,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,No,1.0,,Barack Obama,Barack Obama,Barack Obama,Omit,Omit,,,,,,,,,Only Barack Obama,Yes,No,Barack Obama,,,No,,,,,Omit,Omit,,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,,83.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Kirsten Gillibrand,Female,White women,,"Cities over 500,000","Cities over 50,000",English, New York,,Omit,,Election day exit poll,,,,,,Version 4,,No,,,,,,,,Extremely High Density Urban,Urban,Urban Core,Very downscale,11416.0,0.398430913686752
15701.0,,,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,,,,Complete,A minor factor,Not important,Factor,,Call 1,4.0,,,Yes,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,Worse today,,2.0,Government should do more to solve problems,,,,,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,,The economy,,No,Married with children,Yes,,,,,,,,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,58.0,Barack Obama,Is a strong leader,White,White,National questionnaire,White,East,,,,,Kirsten Gillibrand,Female,White women,Married women,Suburbs,Suburbs,English, New York,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,11793.0,0.646193444728851
47903.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,,,,Call 2,4.0,,,,,,,,Favors the wealthy,,College graduate,College graduate,More than High school graduate,White college degree,,,,No,2.0,,Barack Obama,Barack Obama,Barack Obama,Expand it,Expand it or leave it as is,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Only Barack Obama,Yes,No,Barack Obama,,,No,,,,,Approve,Somewhat approve,,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,58.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Kirsten Gillibrand,Female,White women,,Suburbs,Suburbs,English, New York,,"Increase only on income over $250,000",,Election day exit poll,,,,,,Version 4,,No,,,,,,,,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,11793.0,0.705349922180176
47533.0,,,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,,,,Complete,Omit,Omit,Omit,,Call 2,27.0,,,No,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,Better today,,5.0,Government should do more to solve problems,,,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,The economy,,No,All others,No,,,,,,,,45+,18-64,Men without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,27.0,Barack Obama,Cares about people like me,Black,Black,National questionnaire,Black,East,,,,,Kirsten Gillibrand,Male,Black men,Non married men,"Cities 10,000-50,000",Small Cities/Rural,English, New York,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,Suburb,Rural,Rural,Downscale,14020.0,1.58423840999603
47532.0,,,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,,,,Complete,Omit,Omit,Omit,,Call 2,27.0,,,No,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,Better today,,5.0,Government should do more to solve problems,,,,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,The economy,,No,All others,No,,,,,,,,45+,18-64,Men without children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,27.0,Barack Obama,Cares about people like me,Black,Black,National questionnaire,Black,East,,,,,Kirsten Gillibrand,Male,Black men,Non married men,"Cities 10,000-50,000",Small Cities/Rural,English, New York,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,Suburb,Rural,Rural,Downscale,14020.0,1.58423840999603
71519.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,,,Call 3,4.0,,,,,,,,Favors the wealthy,,College graduate,College graduate,More than High school graduate,White college degree,,,,No,2.0,,Mitt Romney,Mitt Romney,Barack Obama,Leave it as is,Expand it or leave it as is,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Only Barack Obama,Yes,No,Barack Obama,,,No,,,,,Approve,Somewhat approve,,,,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,56.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Kirsten Gillibrand,Male,White men,,Suburbs,Suburbs,English, New York,,"Increase only on income over $250,000",,Election day exit poll,,,,,,Version 4,,No,,,,,,,,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,11581.0,0.941374361515045
14599.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,A minor factor,Not important,Factor,,Call 1,27.0,,,No,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,Better today,,4.0,Government should do more to solve problems,,,,,,,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",,,,,Federal budget deficit,,No,All others,Yes,,,,,,,,45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,21.0,Barack Obama,Has a vision for the future,White,White,National questionnaire,White,East,,,,,Kirsten Gillibrand,Male,White men,Married men,Suburbs,Suburbs,English, New York,,,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,Version 1,,No,,,,,,,,Suburb,60s Suburbs,High-Growth Suburban Perimeter,Very upscale,14031.0,0.977932989597321
46973.0,Legal,Legal in all cases,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Never,Never,Protestant/Do not attend weekly,Complete,,,,No,Call 2,25.0,,,No,I strongly favor my candidate,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,4.0,,,,,,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,,,,No,All others,No,,,,,,,,45+,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,46.0,Barack Obama,,White,White,National questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,,Yes,Kirsten Gillibrand,Male,White men,Non married men,Suburbs,Suburbs,English, New York,,,Neutral,Election day exit poll,,,,,,Version 3,White Protestants,Yes,All others,,,,No,White Protestant non-evangelical,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,14616.0,1.17609858512878
14570.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,Call 1,27.0,,,,,,,,Favors the wealthy,,College graduate,College graduate,More than High school graduate,White college degree,,,,No,4.0,,Omit,Omit,Barack Obama,Expand it,Expand it or leave it as is,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Only Barack Obama,Yes,No,Omit,,,No,,,,,Disapprove,Somewhat disapprove,,,,45+,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,21.0,Barack Obama,,White,White,National questionnaire,White,East,,,,,Kirsten Gillibrand,Female,White women,,Suburbs,Suburbs,English, New York,,"Increase only on income over $250,000",,Election day exit poll,,,,,,Version 4,,No,,,,,,,,Suburb,60s Suburbs,High-Growth Suburban Perimeter,Very upscale,14031.0,0.861917853355408
46847.0,,,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,,,,Complete,,,,,Call 2,20.0,,,,,Getting better,George W. Bush,Getting better,,Unemployment,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,3.0,,,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,,The economy,,No,,No,Not so good,Not so good or poor,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,2.0,Barack Obama,Cares about people like me,White,White,National questionnaire,White,East,,,,,Kirsten Gillibrand,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",English, New York,No,,,Election day exit poll,,,,,,Version 2,,Yes,,,,,,,,Suburb,Urban,Urban Core,Upscale,12203.0,0.771889984607697
49805.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,,Complete,A minor factor,Not important,Factor,,Call 2,4.0,,,No,,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,Worse today,,2.0,Government should do more to solve problems,,,,,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,,The economy,,No,All others,No,,,,,,,,18-44,18-64,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,58.0,Barack Obama,Cares about people like me,White,White,National questionnaire,White,East,,,,,Kirsten Gillibrand,Female,White women,Non married women,Suburbs,Suburbs,English, New York,,,,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,,,Version 1,,No,,,,,,,,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,11793.0,0.705349922180176
73715.0,Omit,Omit,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,Latino 18-29,Latino 18-29,Omit,Omit,Omit,Complete,,,,,Call 3,14.0,,,Yes,I dislike the other candidates,,,,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,,1.0,,,,,,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,,,,Yes,All others,No,,,,,,,,18-44,18-64,Men with children,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,,83.0,Barack Obama,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,East,,,,No,Kirsten Gillibrand,Male,Latino men,Non married men,"Cities over 500,000","Cities over 50,000",English, New York,,,Omit,Election day exit poll,,,,,,Version 3,Non-white,No,All others,,,,No,,,Extremely High Density Urban,Urban,Urban Core,Very downscale,11416.0,0.45206019282341
45136.0,Omit,Omit,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,All others,All others,A few times a month,Occasionally,All others,Complete,,,,No,Call 2,11.0,,,No,I like my candidate but with reservations,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,1.0,,,,,,,,Offered a chance to apply for legal status,,,,,,,,,,,,,No,All others,No,,,,,,,,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Moderate,87.0,Barack Obama,,Other,Asian,National questionnaire,Asian,East,Something else,Muslim,,No,Kirsten Gillibrand,Male,All other races,Non married men,"Cities over 500,000","Cities over 50,000",English, New York,,,Oppose,Election day exit poll,,,,,,Version 3,Non-white,No,All others,,,,No,,,Extremely High Density Urban,Urban,Urban Core,Upscale,10312.0,1.00113773345947
