ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BROWNLIB,CALL,CDNUM,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVBROWN2,FAVOBAMA2,FAVROMN2,FAVWARREN2,GEOCODE,GOVTDO10,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,ISSUE12,LATINO,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSMA12,QRACE3,QRACEAI,QTYPE,QUALSEN12MA,RACE,REGION,SENMA12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNFAIRMA12,UNFRBROWN,UNFRWARREN,VERSION,WARRENLIB,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
19962.0,45-65,30-59,45+,45-59,40-49,45-49,Black 45-59,Black 45-59,Black 45-64,Complete,,Call 1,3.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,4.0,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,No,No,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Something else,All others,Liberal,39.0,Barack Obama,Black,Black,National questionnaire,,Black,East,Elizabeth Warren,Female,Black women,Non married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,1420.0,1.00632095336914
68448.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,Call 3,9.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,4.0,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,No,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,67.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Massachusetts,Election day exit poll,,,,,,,Version 3,,Yes,High Density Urban,Urban,Urban Core,Very downscale,2746.0,2.59397530555725
19801.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 1,3.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,4.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Yes,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,39.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,Married men,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,1420.0,0.985674321651459
23847.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,Call 1,5.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,2.0,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,Yes,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,107.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,Married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,1778.0,0.886511266231537
19775.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,,Call 1,2.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,5.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,No,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,96.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,Non married men,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Suburb,70s Suburbs,Urban Perimeter,Very upscale,1590.0,0.984809756278992
64259.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 3,6.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,2.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,6.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,1915.0,0.730772793292999
64216.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,,Call 3,7.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,1.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,No,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,92.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,Non married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Upscale,2144.0,1.064612865448
64108.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,Call 3,6.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,1.0,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,No,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,75.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1960.0,0.799323558807373
35759.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,Call 2,2.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,5.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,96.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Suburb,70s Suburbs,Urban Perimeter,Very upscale,1590.0,1.01842772960663
19534.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,Call 1,3.0,No high school diploma,No college degree,High school graduate or less,White no college degree,,,,,4.0,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,39.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,Non married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,Yes,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,1420.0,0.894063115119934
21549.0,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,,Call 1,6.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,2.0,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and non white",,No,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,6.0,Barack Obama,Black,Black,National questionnaire,,Black,East,Elizabeth Warren,Male,Black men,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,1915.0,1.03553414344788
19450.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,Call 1,6.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,1.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,75.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1960.0,0.799323558807373
65887.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,,Call 3,7.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,1.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,92.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Upscale,2144.0,1.17369973659515
69869.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,Call 3,9.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,4.0,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,No,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,67.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Massachusetts,Election day exit poll,,,,,,,Version 4,,Yes,High Density Urban,Urban,Urban Core,Very downscale,2746.0,2.59397530555725
63955.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,Call 3,8.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,3.0,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,No,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,88.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2066.0,0.736050367355347
37171.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 2,3.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,4.0,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,No,No,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,39.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,Non married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,Yes,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,1420.0,0.894063115119934
67802.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,Call 3,1.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,5.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Yes,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,100.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,Married men,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,1264.0,1.24383234977722
35401.0,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,Call 2,7.0,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,1.0,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,No,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,92.0,Barack Obama,Black,Black,National questionnaire,,Black,East,Elizabeth Warren,Female,Black women,Non married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Upscale,2144.0,1.0493289232254
19143.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,,Call 1,8.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,3.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,88.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2066.0,0.840535283088684
19117.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,Call 1,1.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,5.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,100.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,1264.0,1.12822711467743
23096.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 1,5.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,2.0,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",,No,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,107.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,Married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,1778.0,0.886511266231537
23067.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,,Call 1,7.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,1.0,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,No,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,92.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Upscale,2144.0,1.064612865448
36939.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Not complete,,Call 2,6.0,,,,,,,,,2.0,,,,,,,,,No,Yes,45+,18-64,,,,,,,6.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,Married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 1,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,1915.0,0.862995803356171
38025.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,Complete,,Call 2,6.0,,,,,,,,,1.0,,,,,,,,,Yes,,45+,65+,,,,,,,75.0,Barack Obama,Other,White,National questionnaire,,Hispanic/Latino,East,Elizabeth Warren,Male,Latino men,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1960.0,0.881227195262909
22989.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Complete,,Call 1,7.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,1.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Yes,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,92.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,Married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Upscale,2144.0,0.932273387908936
18936.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,Call 1,2.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,5.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,Yes,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,96.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,Married women,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 3,,No,Suburb,70s Suburbs,Urban Perimeter,Very upscale,1590.0,0.92377233505249
18894.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,,Call 1,8.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,3.0,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",,No,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,88.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2066.0,0.762413680553436
18874.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,Call 1,2.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,5.0,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,No,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,96.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Female,White women,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Suburb,70s Suburbs,Urban Perimeter,Very upscale,1590.0,0.782237470149994
22899.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,Complete,,Call 1,7.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,1.0,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,No,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,92.0,Barack Obama,White,White,National questionnaire,,White,East,Elizabeth Warren,Male,White men,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 4,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Upscale,2144.0,1.17369973659515
67419.0,,,,,,,,,,Not complete,,Call 3,2.0,,,,,,,,,5.0,,,,,,,,,,Yes,,,,,,,,,96.0,Barack Obama,,,National questionnaire,,,East,Elizabeth Warren,,,,Suburbs,Suburbs,Massachusetts,Election day exit poll,,,,,,,Version 1,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,1590.0,0.718495845794678
