ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,DESCRIBP12,ECONBETT,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ENVIRON,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARRIED,MEAS80OR,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSOR12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1912.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,Latino 30-44,Latino 30-44,Complete,,4.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Rising prices,High school graduate,No college degree,High school graduate or less,Non white no college degree,Protecting the environment,Favorable,Unfavorable,About the same,3.0,Government is doing too many things better left to businesses and individuals,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,The economy,Yes,Yes,Yes,Poor,Not so good or poor,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,50014.0,,Is a strong leader,Other,White,State questionnaire,Hispanic/Latino,West,Female,Latino women,Married women,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Suburb,Urban,Urban Core,Downscale,97402.0,0.320339024066925
2209.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,5.0,I strongly favor my candidate,Getting worse,Worse,Taxes,Postgraduate study,College graduate,More than High school graduate,White college degree,Keeping jobs in your state,Unfavorable,Favorable,Worse today,3.0,Government is doing too many things better left to businesses and individuals,Mitt Romney,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Mitt Romney,The economy,No,Yes,Yes,Poor,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,50018.0,,Is a strong leader,White,White,State questionnaire,White,West,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Suburb,Urban,Urban Core,Downscale,97301.0,0.234049320220947
1487.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,3.0,Omit,Staying about the same,Poor and staying the same,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Unfavorable,Favorable,Worse today,1.0,Government is doing too many things better left to businesses and individuals,Omit,Repeal all of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,Health care,No,Yes,Yes,Not so good,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,50008.0,,Is a strong leader,White,White,State questionnaire,White,West,Male,White men,Married men,"Cities over 500,000","Cities over 50,000",Oregon,Telephone survey,Omit,Omit,Omit,Version 1,Yes,High Density Urban,Urban,Urban Core,Downscale,97216.0,0.41018682718277
2289.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,Complete,,5.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Taxes,No high school diploma,No college degree,High school graduate or less,Non white no college degree,Keeping jobs in your state,Favorable,Unfavorable,About the same,2.0,Government should do more to solve problems,Omit,Leave it as is,Expand it or leave it as is,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,The economy,Yes,Yes,Yes,Not so good,Not so good or poor,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,50017.0,,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,Male,Latino men,Married men,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,97045.0,0.088888555765152
1444.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,All others,All others,Complete,,2.0,I dislike the other candidates,Staying about the same,Poor and staying the same,Unemployment,College graduate,College graduate,More than High school graduate,Non white college degree,Protecting the environment,Unfavorable,Unfavorable,About the same,4.0,Government should do more to solve problems,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Omit,No,No,Yes,Poor,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Liberal,50007.0,,Cares about people like me,Other,Asian,State questionnaire,Asian,West,Male,All other races,Non married men,Suburbs,Suburbs,Oregon,Telephone survey,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,Version 1,No,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,97520.0,0.712675154209137
1251.0,45-65,30-59,45+,45-59,40-49,45-49,,,,Complete,,2.0,I dislike the other candidates,Staying about the same,Poor and staying the same,Unemployment,Some college/assoc. degree,No college degree,More than High school graduate,,Keeping jobs in your state,Omit,Omit,Worse today,4.0,Government should do more to solve problems,Mitt Romney,Repeal all of it,Repeal some of it or repeal all of it,,,,,,,Omit,The economy,,Yes,Yes,Poor,Not so good or poor,45+,18-64,Independent/Something else,,,Independent,,Liberal,50007.0,,Cares about people like me,,,State questionnaire,,West,Female,,Married women,Suburbs,Suburbs,Oregon,Telephone survey,Omit,Omit,Omit,Version 1,,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,97530.0,0.195495828986168
2293.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,5.0,I strongly favor my candidate,Getting better,Getting better,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Favorable,Favorable,Worse today,2.0,Government should do more to solve problems,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,Health care,No,Yes,Yes,Not so good,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,50017.0,,Shares my values,White,White,State questionnaire,White,West,Female,White women,Married women,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,97222.0,0.142987474799156
1409.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,2.0,I like my candidate but with reservations,Getting better,Getting better,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,Keeping jobs in your state,Omit,Omit,About the same,4.0,Government is doing too many things better left to businesses and individuals,Omit,Repeal some of it,Repeal some of it or repeal all of it,,,,,,,Omit,The economy,No,No,Yes,Not so good,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,50007.0,,Has a vision for the future,White,White,State questionnaire,White,West,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,No,Low Density Rural,Urban,Urban Core,Upscale,97701.0,0.129392072558403
12085.0,65+,60+,45+,60+,65+,65 or over,,,,Complete,,3.0,I strongly favor my candidate,,,,Postgraduate study,College graduate,More than High school graduate,,,,,,1.0,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,,,,No,No,Yes,,,45+,65+,Independent/Something else,,,Independent,,Moderate,50008.0,,,,,National questionnaire,,West,Female,,Non married women,"Cities over 500,000","Cities over 50,000",Oregon,Telephone survey,,,,Version 3,,Extremely High Density Urban,Urban,Urban Core,Upscale,97213.0,0.0989334955811501
2038.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,4.0,I like my candidate but with reservations,Staying about the same,Poor and staying the same,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Omit,Omit,Worse today,3.0,Omit,Omit,Omit,Omit,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Omit,Omit,No,No,Yes,Poor,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,50014.0,,Is a strong leader,White,White,State questionnaire,White,West,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,Yes,Suburb,Rural,Rural,Very upscale,97330.0,0.131551116704941
1866.0,45-65,30-59,45+,45-59,50-64,50-59,,,,Complete,,4.0,I like my candidate but with reservations,Getting better,Getting better,Taxes,College graduate,College graduate,More than High school graduate,,Protecting the environment,Favorable,Unfavorable,About the same,3.0,Omit,Barack Obama,Omit,Omit,,,,,,,Barack Obama,The economy,,Yes,Yes,Not so good,Not so good or poor,45+,18-64,Independent/Something else,,,Independent,,Moderate,50014.0,,Has a vision for the future,,,State questionnaire,,West,Female,,Married women,"Cities 10,000-50,000",Small Cities/Rural,Oregon,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,,Suburb,Rural,Rural,Very upscale,97330.0,0.207630068063736
929.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,,1.0,I dislike the other candidates,Staying about the same,Good and staying the same,The housing market,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Unfavorable,Unfavorable,About the same,2.0,Omit,Omit,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Mitt Romney,The economy,No,Yes,Yes,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50001.0,,Has a vision for the future,White,White,State questionnaire,White,West,Male,White men,Married men,Suburbs,Suburbs,Oregon,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,No,Low Density Rural,80s Suburbs,Urban Perimeter,Very upscale,97229.0,0.483416825532913
1022.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,1.0,Omit,Staying about the same,Poor and staying the same,Taxes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Favorable,Unfavorable,About the same,2.0,Government is doing too many things better left to businesses and individuals,Barack Obama,Repeal some of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Barack Obama,Health care,No,Yes,Yes,Not so good,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50001.0,,Is a strong leader,White,White,State questionnaire,White,West,Female,White women,Married women,Suburbs,Suburbs,Oregon,Telephone survey,Omit,Omit,Omit,Version 1,No,Suburb,80s Suburbs,Urban Perimeter,Very upscale,97224.0,0.142987474799156
1008.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,All others,All others,Complete,,1.0,Omit,Getting worse,Worse,Rising prices,No high school diploma,No college degree,High school graduate or less,Non white no college degree,Protecting the environment,Omit,Favorable,About the same,2.0,Government is doing too many things better left to businesses and individuals,Barack Obama,Repeal all of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and non white",Barack Obama,Health care,No,Yes,Yes,Excellent,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,All Other,Something else,All others,Moderate,50001.0,,Cares about people like me,Other,Other,State questionnaire,Other,West,Male,All other races,Married men,Suburbs,Suburbs,Oregon,Telephone survey,Omit,Omit,Omit,Version 1,No,Suburb,80s Suburbs,Urban Perimeter,Very upscale,97224.0,0.130367144942284
2319.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,5.0,I like my candidate but with reservations,Getting worse,Worse,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,Protecting the environment,Favorable,Favorable,About the same,2.0,Omit,Omit,Repeal all of it,Repeal some of it or repeal all of it,,,,,,,Omit,Federal budget deficit,No,Yes,Yes,Poor,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50017.0,,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Married women,Suburbs,Suburbs,Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,No,Suburb,70s Suburbs,Urban Perimeter,Very upscale,97034.0,0.237659379839897
1149.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,1.0,I dislike the other candidates,Staying about the same,Poor and staying the same,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Unfavorable,Unfavorable,About the same,2.0,Government should do more to solve problems,Mitt Romney,Leave it as is,Expand it or leave it as is,,,,,,,Barack Obama,The economy,No,Yes,Yes,Poor,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50001.0,,Is a strong leader,White,White,State questionnaire,White,West,Female,White women,Married women,Suburbs,Suburbs,Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,,High Density Urban,80s Suburbs,Urban Perimeter,Very upscale,97006.0,0.142987474799156
2033.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,,4.0,I dislike the other candidates,Getting worse,Worse,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,Protecting the environment,Unfavorable,Unfavorable,Better today,3.0,Omit,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,Omit,No,Yes,Yes,Poor,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,50014.0,,Omit,White,White,State questionnaire,White,West,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Suburb,Urban,Urban Core,Very upscale,97405.0,0.444752395153046
954.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,,1.0,I dislike the other candidates,Staying about the same,Poor and staying the same,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Protecting the environment,Favorable,Unfavorable,About the same,2.0,Government should do more to solve problems,Barack Obama,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,The economy,No,Yes,Yes,Not so good,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,50001.0,,Has a vision for the future,White,White,State questionnaire,White,West,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,Yes,Suburb,Urban,Urban Core,Very upscale,97124.0,0.916320323944092
1530.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,All others,All others,Complete,,3.0,I dislike the other candidates,Staying about the same,Good and staying the same,Omit,College graduate,College graduate,More than High school graduate,Non white college degree,Protecting the environment,Favorable,Omit,Better today,1.0,Government is doing too many things better left to businesses and individuals,Barack Obama,Expand it,Expand it or leave it as is,,,,,,,Barack Obama,Foreign policy,No,Yes,Yes,Good,Excellent or good,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Liberal,50008.0,,Shares my values,Other,Asian,State questionnaire,Asian,West,Female,All other races,Married women,"Cities over 500,000","Cities over 50,000",Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,High Density Urban,Urban,Urban Core,Very upscale,97201.0,0.294561207294464
1831.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,4.0,I strongly favor my candidate,Getting better,Getting better,Taxes,High school graduate,No college degree,High school graduate or less,White no college degree,Keeping jobs in your state,Omit,Omit,About the same,4.0,Government should do more to solve problems,Omit,Omit,Omit,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Barack Obama,Omit,No,No,No,Good,Excellent or good,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,,50015.0,,Is a strong leader,White,White,State questionnaire,White,West,Male,White men,Non married men,Rural,Small Cities/Rural,Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,Yes,Extremely Low Density Rural,Rural,Rural,Very downscale,97534.0,0.14583232998848
