ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,CALL,CDNUM,DESCRIBP12,ECONBETT,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,GOVWA12,HANDLEECON12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INIT502WA,INTOUCH12,ISSUE12,LATINO,MARRIED,MEAS74WA,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSWA12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SENWA12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNIONHH12,VERSION,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
9047.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Once a week,Weekly,Complete,,8.0,I strongly favor my candidate,Getting better,Getting better,Unemployment,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,About the same,1.0,Government should do more to solve problems,Jay Inslee,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",No,Barack Obama,The economy,No,No,Approve,Poor,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50028.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Maria Cantwell,Male,White men,Non married men,Suburbs,Suburbs,Washington,Telephone survey,In September,"In October, in September, or before that",In September or before that,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98075.0,1.06142830848694
9030.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,A few times a month,Occasionally,Complete,,8.0,I like my candidate but with reservations,Staying about the same,Good and staying the same,The housing market,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,Better today,1.0,Government is doing too many things better left to businesses and individuals,Rob McKenna,Barack Obama,Leave it as is,Expand it or leave it as is,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Yes,Barack Obama,The economy,No,Yes,Approve,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50028.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Maria Cantwell,Female,White women,Married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Yes,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98075.0,0.348560571670532
8329.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,A few times a month,Occasionally,Complete,,2.0,I like my candidate but with reservations,Staying about the same,Poor and staying the same,Taxes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,Worse today,2.0,Government is doing too many things better left to businesses and individuals,Rob McKenna,Mitt Romney,Repeal all of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",No,Omit,The economy,No,Yes,Reject,Poor,Not so good or poor,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,50005.0,Mitt Romney,Has a vision for the future,White,White,State questionnaire,White,West,Michael Baumgartner,Female,White women,Married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,Yes,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Downscale,98229.0,0.0304451771080494
8324.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,Latino 18-29,Latino 18-29,A few times a year,Occasionally,Complete,,2.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Unemployment,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Unfavorable,Favorable,Better today,2.0,Government should do more to solve problems,Rob McKenna,Mitt Romney,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",No,Mitt Romney,The economy,Yes,Yes,Reject,Not so good,Not so good or poor,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Conservative,50005.0,Mitt Romney,Is a strong leader,Other,White,State questionnaire,Hispanic/Latino,West,Michael Baumgartner,Female,Latino women,Married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Downscale,98229.0,0.0807530954480171
8309.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,A few times a year,Occasionally,Complete,,2.0,I strongly favor my candidate,Getting better,Getting better,Rising prices,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,About the same,2.0,Government should do more to solve problems,Jay Inslee,Barack Obama,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",No,Barack Obama,The economy,No,No,Approve,Not so good,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50005.0,Barack Obama,Cares about people like me,White,White,State questionnaire,White,West,Maria Cantwell,Female,White women,Non married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,Yes,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Downscale,98229.0,0.0117362504824996
8303.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,A few times a year,Occasionally,Complete,,2.0,I dislike the other candidates,Staying about the same,Poor and staying the same,Taxes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,Worse today,2.0,Government is doing too many things better left to businesses and individuals,Rob McKenna,Mitt Romney,Repeal all of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",No,Mitt Romney,The economy,No,Yes,Reject,Poor,Not so good or poor,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50005.0,Mitt Romney,Has a vision for the future,White,White,State questionnaire,White,West,Michael Baumgartner,Male,White men,Married men,Suburbs,Suburbs,Washington,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,No,Version 1,Yes,Suburb,,High-Growth Suburban Perimeter,Upscale,98282.0,0.779366910457611
8295.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,A few times a month,Occasionally,Complete,,2.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Taxes,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Unfavorable,Better today,2.0,Government is doing too many things better left to businesses and individuals,Rob McKenna,Barack Obama,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Yes,Omit,Federal budget deficit,No,Yes,Approve,Not so good,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,50005.0,Other,Shares my values,White,White,State questionnaire,White,West,Michael Baumgartner,Female,White women,Married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Downscale,98229.0,0.0183060579001904
8281.0,45-65,30-59,45+,45-59,40-49,45-49,,,,Once a week,Weekly,Complete,,2.0,I dislike the other candidates,Getting worse,Worse,Rising prices,College graduate,College graduate,More than High school graduate,,Unfavorable,Unfavorable,Worse today,2.0,Government is doing too many things better left to businesses and individuals,,Omit,Repeal all of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,,Yes,Omit,Health care,,No,Approve,Poor,Not so good or poor,45+,18-64,Independent/Something else,,,Something else,,,50005.0,,Has a vision for the future,,,State questionnaire,,West,,Female,,Non married women,Suburbs,Suburbs,Washington,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Upscale,98282.0,0.0048516355454921
8201.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,A few times a year,Occasionally,Complete,,1.0,I strongly favor my candidate,Getting better,Getting better,The housing market,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,Better today,1.0,Government should do more to solve problems,,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Yes,Barack Obama,Health care,No,Yes,Approve,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,50000.0,Barack Obama,Has a vision for the future,White,White,State questionnaire,White,West,,Male,White men,Married men,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98074.0,0.0365191623568535
8119.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Never,Never,Complete,,1.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Taxes,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,About the same,1.0,Government is doing too many things better left to businesses and individuals,Rob McKenna,Mitt Romney,Repeal some of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",No,Barack Obama,The economy,No,No,Approve,Not so good,Not so good or poor,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,50000.0,Mitt Romney,Has a vision for the future,White,White,State questionnaire,White,West,Michael Baumgartner,Male,White men,Non married men,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Suburb,,High-Growth Suburban Perimeter,Very upscale,98074.0,1.82296168804169
8115.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Never,Never,Complete,,1.0,I like my candidate but with reservations,Staying about the same,Poor and staying the same,Unemployment,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,Better today,2.0,Government should do more to solve problems,Jay Inslee,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Yes,Barack Obama,Foreign policy,No,No,Approve,Not so good,Not so good or poor,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50001.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Maria Cantwell,Female,White women,Non married women,Suburbs,Suburbs,Washington,Telephone survey,Before that,"In October, in September, or before that",In September or before that,No,Version 1,No,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Downscale,98229.0,0.10816166549921
12128.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,A few times a year,Occasionally,Complete,,10.0,I dislike the other candidates,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,2.0,,Rob McKenna,,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Yes,,,No,Yes,Reject,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50037.0,Mitt Romney,,White,White,National questionnaire,White,West,,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,Washington,Telephone survey,,,,,Version 3,No,Suburb,Rural,Rural,Upscale,98501.0,1.01404964923859
12127.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Never,Never,Complete,,10.0,I strongly favor my candidate,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,Jay Inslee,,,,,,,,,,Yes,,,No,Yes,Approve,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50037.0,Barack Obama,,White,White,National questionnaire,White,West,,Female,White women,Married women,"Cities 10,000-50,000",Small Cities/Rural,Washington,Telephone survey,,,,,Version 3,No,Suburb,Rural,Rural,Very upscale,98502.0,0.955228328704834
12121.0,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,A few times a year,Occasionally,Complete,,8.0,I strongly favor my candidate,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,4.0,,Rob McKenna,,,,,,,,,,Yes,,,No,No,Approve,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,50031.0,Barack Obama,,Black,Black,National questionnaire,Black,West,,Male,Black men,Non married men,"Cities 10,000-50,000",Small Cities/Rural,Washington,Telephone survey,,,,,Version 3,No,Extremely Low Density Rural,Rural,Rural,Downscale,98926.0,2.82604813575745
12113.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Never,Never,Complete,,6.0,I dislike the other candidates,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,3.0,,Rob McKenna,,,,,,,,,,Yes,,,No,Yes,Approve,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,50022.0,Mitt Romney,,White,White,National questionnaire,White,West,,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,Washington,Telephone survey,,,,,Version 3,,Town,Rural,Rural,Downscale,98362.0,1.17829644680023
