ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVALLEN,FAVKAINE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,GOVTHH,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSVA12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SENVA12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,VETVOTER,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
38940.0,Illegal,Illegal in most cases,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,More than once a week,Weekly,Protestant/Attend weekly,Complete,Yes,Call 2,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,,,,Mitt Romney,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,No,,Yes,,,Angry,"Dissatisfied, but not angry or angry",The rich,18-44,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,The middle class,George Allen,Male,White men,Married men,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,White Protestants,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.869727432727814
56292.0,Illegal,Illegal in most cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Once a week,Weekly,Protestant/Attend weekly,Complete,Yes,Call 3,7.0,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Favorable,,,,4.0,,,,Mitt Romney,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,,No,,Yes,,,Angry,"Dissatisfied, but not angry or angry",The rich,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,The middle class,George Allen,Male,White men,Married men,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,White Protestants,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.959470927715302
15929.0,Illegal,Illegal in most cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,A few times a year,Occasionally,Protestant/Do not attend weekly,Complete,No,Call 1,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,,,,Mitt Romney,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,No,,Yes,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",The poor,45+,65+,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,The middle class,George Allen,Female,White women,Married women,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,White Protestants,No,All others,No,White Protestant non-evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.906472980976105
56414.0,Legal,Legal in most cases,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,All others,Complete,Yes,Call 3,7.0,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable,,,,4.0,,,,Mitt Romney,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",,,,No,,No,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",The poor,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other christian,The middle class,George Allen,Female,White women,Non married women,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,White Protestants,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.821686625480652
15866.0,Illegal,Illegal in most cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,Protestant/Do not attend weekly,Complete,No,Call 1,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,,,,Mitt Romney,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,No,,Yes,,,Angry,"Dissatisfied, but not angry or angry",The poor,45+,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Conservative,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,The middle class,George Allen,Male,White men,Married men,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,White Protestants,No,All others,No,White Protestant non-evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.869727432727814
15590.0,Legal,Legal in all cases,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Once a week,Weekly,Catholic/Attend weekly,Complete,No,Call 1,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,,,,Mitt Romney,,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,,,No,,Yes,,,Angry,"Dissatisfied, but not angry or angry",The poor,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Catholic,Catholic,The middle class,George Allen,Female,White women,Married women,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,White Catholics,No,All others,No,All others,Suburb,,Urban Perimeter,Upscale,23114.0,0.821686625480652
15799.0,Illegal,Illegal in all cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,More than once a week,Weekly,All others,Complete,Yes,Call 1,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,,,,Mitt Romney,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,,,No,,Yes,,,Angry,"Dissatisfied, but not angry or angry",The poor,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other christian,The middle class,George Allen,Female,White women,Married women,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,White Protestants,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.821686625480652
39254.0,Legal,Legal in most cases,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,All others,Complete,No,Call 2,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,,,,Mitt Romney,,,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,,,No,,Yes,,,Angry,"Dissatisfied, but not angry or angry",The poor,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other christian,The middle class,George Allen,Female,White women,Married women,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,White Protestants,No,All others,No,White Protestant non-evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.821686625480652
56680.0,Illegal,Illegal in most cases,30-44,30-59,18-44,30-44,40-49,40-44,,,,Once a week,Weekly,Catholic/Attend weekly,Complete,No,Call 3,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,,Omit,Omit,,,,4.0,,,,Mitt Romney,,,,,,,,,,,,,,Yes,,,Angry,"Dissatisfied, but not angry or angry",The poor,18-44,18-64,,,,,,,Conservative,15.0,Mitt Romney,,,,State questionnaire,,South,Catholic,Catholic,The middle class,George Allen,Female,,Married women,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,,,All others,No,,Suburb,,Urban Perimeter,Upscale,23114.0,0.708950102329254
38750.0,Illegal,Illegal in most cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,A few times a month,Occasionally,Protestant/Do not attend weekly,Complete,No,Call 2,7.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,,,,Mitt Romney,,,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and white",,,,No,,Yes,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",The poor,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,,White,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,Omit,George Allen,Male,White men,Married men,Suburbs,Suburbs, Virginia,Not increase for anyone,Election day exit poll,,,,Version 3,,White Protestants,No,All others,No,White Protestant non-evangelical,Suburb,,Urban Perimeter,Upscale,23114.0,0.869727432727814
39803.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,,Complete,,Call 2,7.0,,,Yes,,,,,The housing market,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Favorable,Favorable,Worse today,4.0,Government is doing too many things better left to businesses and individuals,,,,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,The economy,,No,Married with children,Yes,,,,,,45+,18-64,Men with children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,Shares my values,White,White,State questionnaire,White,South,,,,George Allen,Male,White men,Married men,Suburbs,Suburbs, Virginia,,Election day exit poll,Just today,Just today or in the last few days,Just today or in the last few days or in October,Version 1,,,No,,,,Suburb,,Urban Perimeter,Upscale,23114.0,0.869727432727814
56353.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,Latino 18-29,Latino 18-29,,,,Complete,,Call 3,7.0,,,No,,,,,Taxes,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,Unfavorable,Favorable,Better today,4.0,Government is doing too many things better left to businesses and individuals,,,,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",,Foreign policy,,Yes,All others,No,,,,,,18-44,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Moderate,15.0,Mitt Romney,Is a strong leader,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,South,,,,George Allen,Male,Latino men,Non married men,Suburbs,Suburbs, Virginia,,Election day exit poll,Just today,Just today or in the last few days,Just today or in the last few days or in October,Version 1,,,No,,,,Suburb,,Urban Perimeter,Upscale,23114.0,0.918916404247284
15402.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 1,7.0,,,Yes,,,,,Unemployment,Postgraduate study,College graduate,More than High school graduate,White college degree,,,Favorable,Favorable,Better today,4.0,Government is doing too many things better left to businesses and individuals,,,,Repeal some of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",,Federal budget deficit,,No,Married with children,Yes,,,,,,18-44,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,15.0,Mitt Romney,Has a vision for the future,White,White,State questionnaire,White,South,,,,Timothy Kaine,Male,White men,Married men,Suburbs,Suburbs, Virginia,,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,Version 1,,,No,,,,Suburb,,Urban Perimeter,Upscale,23114.0,0.874420046806335
39401.0,,,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,,,,Complete,,Call 2,7.0,,,Yes,,,,,Taxes,College graduate,College graduate,More than High school graduate,White college degree,,,Unfavorable,Favorable,Worse today,4.0,Government is doing too many things better left to businesses and individuals,,,,Repeal all of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",,The economy,,No,Married with children,Yes,,,,,,18-44,18-64,Men with children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,Has a vision for the future,White,White,State questionnaire,White,South,,,,,Male,White men,Married men,Suburbs,Suburbs, Virginia,,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,Version 1,,,No,,,,Suburb,,Urban Perimeter,Upscale,23114.0,0.806774914264679
15891.0,,,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,,,,Not complete,,Call 1,7.0,,,,,,,,,,,,,,,Favorable,Unfavorable,Better today,4.0,,,,,,,,,,,,,,,,No,,Yes,,,,,,18-44,18-64,,,,,,,,15.0,Barack Obama,,White,White,State questionnaire,White,South,,,,Timothy Kaine,Female,White women,Married women,Suburbs,Suburbs, Virginia,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,,,,,,,Suburb,,Urban Perimeter,Upscale,23114.0,0.696103274822235
56770.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,,Complete,,Call 3,7.0,,,No,,,,,Taxes,College graduate,College graduate,More than High school graduate,White college degree,,,Unfavorable,Favorable,Worse today,4.0,Government is doing too many things better left to businesses and individuals,,,,Repeal all of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,Federal budget deficit,,No,All others,No,,,,,,18-44,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,15.0,Mitt Romney,Shares my values,White,White,State questionnaire,White,South,,,,George Allen,Male,White men,Non married men,Suburbs,Suburbs, Virginia,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,,,No,,,,Suburb,,Urban Perimeter,Upscale,23114.0,0.869727432727814
56960.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,All others,All others,,,,Complete,,Call 3,7.0,,,No,,,,,Unemployment,College graduate,College graduate,More than High school graduate,Non white college degree,,,Unfavorable,Favorable,Worse today,4.0,Government is doing too many things better left to businesses and individuals,,,,Repeal some of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",,The economy,,No,All others,No,,,,,,18-44,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Conservative,15.0,Mitt Romney,Shares my values,Other,Asian,State questionnaire,Asian,South,,,,George Allen,Male,All other races,Non married men,Suburbs,Suburbs, Virginia,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Version 1,,,No,,,,Suburb,,Urban Perimeter,Upscale,23114.0,0.918916404247284
