ID,ABORT2,ABORTION,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,AUTOBAIL12,AUTOHH,BACKSIDE,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HANDLEMED12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LAIDOFF4,LANDPHONE,LATINO,MARCHILD,MARRIED,NEC,NEC2,OBAMANG,OBAMANG2,OBAMARICH,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSOH12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,ROMNRICH,SENOH12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TAXINC12,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,UNFR12,UNFROBAM,UNFRROMN,UNIONHH12,VERSION,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
43204.0,Legal,Legal in all cases,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Approve,No,Complete,Yes,Call 2,6.0,Yes,Both regular land-line and cell phone service,,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,5.0,,,Barack Obama,,,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,,,Yes,No,,Yes,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",The middle class,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,91.0,Barack Obama,,White,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other christian,The rich,,Female,White women,Married women,"Cities 10,000-50,000",Small Cities/Rural,Ohio,"Increase only on income over $250,000",Election day exit poll,,,,,,,Yes,Version 3,White Protestants,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Town,Rural,Rural,Very downscale,45662.0,0.455357313156128
59496.0,Legal,Legal in most cases,,,,,,,,,,Approve,No,Complete,Yes,Call 3,10.0,No,Only regular land-line phone service,,,,,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,5.0,,,Barack Obama,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,,,Yes,No,,No,,,Omit,Omit,Omit,,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,81.0,Barack Obama,,Black,Black,State questionnaire,Black,Midwest,,,The rich,,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,"Increase only on income over $250,000",Election day exit poll,,,,,,,,Version 3,Non-white,No,All others,No,,High Density Urban,Urban,Urban Core,Downscale,45405.0,0.508723676204681
68319.0,Illegal,Illegal in all cases,30-44,30-59,18-44,30-44,40-49,40-44,Black 30-44,Black 30-44,Black 30-44,Disapprove,No,Complete,Yes,Call 3,11.0,Yes,Only cell phone service,,,,,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,1.0,,,Barack Obama,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,,,No,No,,No,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",The poor,18-44,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,20.0,Barack Obama,,Black,Black,State questionnaire,Black,Midwest,Protestant/Other Non-Catholic Christian,Other christian,The rich,,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Not increase for anyone,Election day exit poll,,,,,,,No,Version 3,Non-white,No,All others,No,,High Density Urban,Urban,Urban Core,Very downscale,44108.0,1.04654633998871
45949.0,Illegal,Illegal in most cases,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,Omit,No,Complete,Yes,Call 2,1.0,Yes,Both regular land-line and cell phone service,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,5.0,,,Omit,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",,,,Yes,No,,No,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",The poor,18-44,18-64,,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Moderate,47.0,Barack Obama,,Black,Black,State questionnaire,Black,Midwest,None,None,The rich,,Female,Black women,Non married women,Suburbs,Suburbs,Ohio,Not increase for anyone,Election day exit poll,,,,,,,No,Version 3,Non-white,No,All others,No,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,45233.0,0.484463751316071
18057.0,Omit,Omit,45-65,30-59,45+,45-59,50-64,50-59,,,,Approve,Omit,Complete,,Call 1,3.0,Yes,Only cell phone service,,,,,,,,,,,,,,4.0,,,Barack Obama,,,,,,,,,,,,No,,,No,,,Omit,Omit,Omit,45+,18-64,,,,,,,,31.0,Barack Obama,,,,State questionnaire,,Midwest,,,Omit,,Male,,Non married men,Suburbs,Suburbs,Ohio,Not increase for anyone,Election day exit poll,,,,,,,,Version 3,,,,,,Low Density Rural,70s Suburbs,Urban Perimeter,Downscale,43137.0,0.535959780216217
7974.0,Illegal,Illegal in all cases,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Omit,No,Complete,Yes,,6.0,No,Only regular land-line phone service,,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,2.0,,,Barack Obama,,,,,,,,,,,,Yes,No,,No,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",The middle class,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50026.0,Barack Obama,,White,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,Omit,,Female,White women,Non married women,Suburbs,Suburbs,Ohio,Omit,Telephone survey,,,,,,,No,Version 3,White Protestants,,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,Town,70s Suburbs,Urban Perimeter,Downscale,45714.0,0.762189865112305
41498.0,,,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,,,Complete,,Call 2,11.0,,,Yes,,,,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,About the same,1.0,Government should do more to solve problems,,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",,The economy,,,No,All others,No,,,,,,18-44,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,18.0,Barack Obama,Cares about people like me,Black,Black,National questionnaire,Black,Midwest,,,,,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,,,,,Version 1,,No,,,,High Density Urban,Urban,Urban Core,Very downscale,44104.0,0.647353649139404
7700.0,,,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,,,Complete,,,11.0,,,Yes,,,,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable,Better today,1.0,Government is doing too many things better left to businesses and individuals,,,Repeal some of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$200,000 - $249,999",100 thousand or more,"Over $50,000 and non white",,Health care,,,No,Married with children,Yes,,,,,,18-44,18-64,Women with children,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Conservative,50050.0,Barack Obama,Cares about people like me,Black,Black,State questionnaire,Black,Midwest,,,,,Female,Black women,Married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Only Mitt Romney,Only Mitt Romney or neither of them,Only Mitt Romney or both of them,,Version 1,,No,,,,High Density Urban,Urban,Urban Core,Very downscale,44104.0,6.32496690750122
7731.0,,,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,,,Complete,,,13.0,,,Yes,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable,About the same,2.0,Government is doing too many things better left to businesses and individuals,,,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,Health care,,,No,All others,No,,,,,,18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50061.0,Barack Obama,Cares about people like me,White,White,State questionnaire,White,Midwest,,,,,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,,Telephone survey,In September,"In October, in September, or before that",In September or before that,Only Mitt Romney,Only Mitt Romney or neither of them,Only Mitt Romney or both of them,,Version 1,,Yes,,,,Suburb,Urban,Urban Core,Very downscale,44505.0,2.2835521697998
42961.0,,,,,,,,,,,,,,Complete,,Call 2,11.0,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,Omit,2.0,Government should do more to solve problems,,,Omit,Omit,,,,,,,,Omit,,,No,,,,,,,,,,,,,,,,,104.0,Barack Obama,Omit,White,White,State questionnaire,White,Midwest,,,,,Female,White women,,Suburbs,Suburbs,Ohio,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Only Mitt Romney,Only Mitt Romney or neither of them,Only Mitt Romney or both of them,,Version 1,,No,,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,44333.0,0.484002083539963
42524.0,,,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,,,Complete,,Call 2,7.0,,,No,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,Better today,2.0,Government should do more to solve problems,,,Leave it as is,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",,Federal budget deficit,,,No,All others,Yes,,,,,,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,93.0,Barack Obama,Omit,White,White,State questionnaire,White,Midwest,,,,,Female,White women,Married women,Suburbs,Suburbs,Ohio,,Election day exit poll,In October,"In October, in September, or before that",Just today or in the last few days or in October,Both of them,Only Barack Obama or both of them,Only Mitt Romney or both of them,,Version 1,,No,,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,44721.0,0.485835731029511
41649.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,White 18-29,White 18-29,,,Not complete,,Call 2,13.0,,,,,,,,,,,,,Favorable,Unfavorable,,2.0,,,,,,,,,,,,,,,,No,,No,,,,,,18-44,18-64,,,,,,,,108.0,Barack Obama,,White,White,State questionnaire,White,Midwest,,,,,Female,White women,Non married women,Suburbs,Suburbs,Ohio,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Both of them,Only Barack Obama or both of them,Only Mitt Romney or both of them,,Version 1,,,,,,Suburb,60s Suburbs,Urban Perimeter,Downscale,44420.0,0.41645485162735
60780.0,,,30-44,30-59,18-44,30-44,30-39,30-39,,,,,,Complete,,Call 3,11.0,,,Yes,,,,,,,,,,Favorable,Unfavorable,About the same,2.0,Government should do more to solve problems,,,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,,,The economy,,,No,Married with children,Yes,,,,,,18-44,18-64,Women with children,Democrat,,,Democrat,,Moderate,104.0,Barack Obama,Shares my values,,,State questionnaire,,Midwest,,,,,Female,,Married women,Suburbs,Suburbs,Ohio,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Neither of them,Only Mitt Romney or neither of them,Only Barack Obama or neither of them,,Version 1,,,,,,Suburb,70s Suburbs,Urban Perimeter,Very upscale,44333.0,0.426938951015472
18109.0,,,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,,,Complete,,Call 1,1.0,,,Yes,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Unfavorable,Worse today,5.0,Government is doing too many things better left to businesses and individuals,,,Repeal all of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,Federal budget deficit,,,No,Married with children,Yes,,,,,,45+,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,52.0,Barack Obama,Has a vision for the future,White,White,State questionnaire,White,Midwest,,,,,Female,White women,Married women,Suburbs,Suburbs,Ohio,,Election day exit poll,In the last few days,Just today or in the last few days,Just today or in the last few days or in October,Omit,Omit,Omit,,Version 1,,Yes,,,,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,45239.0,0.528802037239075
18909.0,,,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,,,Complete,,Call 1,1.0,,,No,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Omit,Better today,5.0,Omit,,,Omit,Omit,,,,,,,,Omit,,,No,All others,,,,,,,45+,18-64,Women without children,,,,,,,48.0,Barack Obama,Omit,Black,Black,State questionnaire,Black,Midwest,,,,,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",Ohio,,Election day exit poll,Before that,"In October, in September, or before that",In September or before that,Omit,Omit,Omit,,Version 1,,No,,,,Suburb,Urban,Urban Core,Very downscale,45223.0,0.57756644487381
7900.0,,,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,,,Complete,,,13.0,,,,I strongly favor my candidate,Getting better,George W. Bush,Getting better,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,2.0,,Barack Obama,,,,,,,,,,Barack Obama,Federal budget deficit,Yes,,No,,No,Good,Excellent or good,,,,45+,18-64,,,,,,,,50061.0,Barack Obama,Shares my values,Black,Black,State questionnaire,Black,Midwest,,,,,Female,Black women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Ohio,,Telephone survey,,,,,,,No,Version 2,,No,,,,Suburb,Rural,Rural,Downscale,44483.0,1.77599883079529
68492.0,,,,,,,,,,,,,,Complete,,Call 3,1.0,,,,I strongly favor my candidate,Getting better,George W. Bush,Getting better,Unemployment,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,5.0,,Barack Obama,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Health care,Yes,,No,,No,Omit,Omit,,,,,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,48.0,Barack Obama,Is a strong leader,Black,Black,State questionnaire,Black,Midwest,,,,,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Ohio,,Election day exit poll,,,,,,,,Version 2,,No,,,,Suburb,Urban,Urban Core,Very downscale,45223.0,0.552374839782715
42614.0,,,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,,,Complete,,Call 2,9.0,,,,I strongly favor my candidate,Getting better,George W. Bush,Getting better,The housing market,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,1.0,,Barack Obama,,,,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",Barack Obama,The economy,Yes,,No,,Yes,Good,Excellent or good,,,,45+,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,70.0,Barack Obama,Cares about people like me,Black,Black,State questionnaire,Black,Midwest,,,,,Male,Black men,Married men,Suburbs,Suburbs,Ohio,,Election day exit poll,,,,,,,No,Version 2,,No,,,,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,44052.0,1.16615164279938
61979.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,,,Complete,,Call 3,11.0,,,,I strongly favor my candidate,Getting better,George W. Bush,Getting better,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,1.0,,Barack Obama,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Health care,Yes,,No,,No,Good,Excellent or good,,,,18-44,18-64,,Independent/Something else,Black non-Democrat,Black Independent,Something else,All others,Moderate,24.0,Barack Obama,Cares about people like me,Black,Black,State questionnaire,Black,Midwest,,,,,Female,Black women,Non married women,Suburbs,Suburbs,Ohio,,Election day exit poll,,,,,,,No,Version 2,,No,,,,Suburb,60s Suburbs,Urban Perimeter,Very upscale,44122.0,0.5090092420578
61978.0,,,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,,,Complete,,Call 3,11.0,,,,I strongly favor my candidate,Getting better,George W. Bush,Getting better,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,1.0,,Barack Obama,,,,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Health care,Yes,,No,,No,Good,Excellent or good,,,,18-44,18-64,,Independent/Something else,Black non-Democrat,Black Independent,Something else,All others,Moderate,24.0,Barack Obama,Cares about people like me,Black,Black,State questionnaire,Black,Midwest,,,,,Female,Black women,Non married women,Suburbs,Suburbs,Ohio,,Election day exit poll,,,,,,,No,Version 2,,No,,,,Suburb,60s Suburbs,Urban Perimeter,Very upscale,44122.0,0.5090092420578
