ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BORNUSA,CALL,CDNUM,CHILD12,DESCRIBP12,ECONBETT,ECONBLAME12,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HEALTHCARE12,HEALTHCARE12B,IMMDEPORT,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARCHILD,MARRIED,NEC,NEC2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSNM12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN10,SENNM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHITEREL,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
56010.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,All others,All others,Once a week,Weekly,Catholic/Attend weekly,Complete,,Call 2,1.0,,I strongly favor my candidate,Getting better,,Getting better,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,3.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",Barack Obama,The economy,,,Yes,Excellent,Excellent or good,45+,18-64,,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Conservative,5.0,Barack Obama,,Other,American Indian,State questionnaire,Other,West,Catholic,Catholic,Martin Heinrich,Male,All other races,Married men,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,Non-white,No,Extremely Low Density Rural,Rural,Rural,Very downscale,87026.0,0.534285306930542
32950.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,All others,All others,A few times a year,Occasionally,Protestant/Do not attend weekly,Complete,,Call 1,3.0,,I strongly favor my candidate,Getting better,,Getting better,The housing market,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,4.0,,Barack Obama,,,Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Health care,,,Yes,Excellent,Excellent or good,45+,18-64,,Independent/Something else,Non-black non-Democrat,All Other,Something else,All others,Liberal,18.0,Barack Obama,,Other,American Indian,State questionnaire,Other,West,Protestant/Other Non-Catholic Christian,Protestant,Martin Heinrich,Male,All other races,Married men,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,Non-white,No,Extremely Low Density Rural,Rural,Rural,Very downscale,87420.0,0.601794064044952
31677.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Omit,Omit,Catholic/Do not attend weekly,Complete,,Call 1,3.0,,I strongly favor my candidate,Getting better,,Getting better,Omit,No high school diploma,No college degree,High school graduate or less,White no college degree,,,,2.0,,Barack Obama,,,Omit,,,,,,,Barack Obama,Health care,,,,Excellent,Excellent or good,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,,10.0,Barack Obama,,White,White,State questionnaire,White,West,Catholic,Catholic,,Male,White men,,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,White Catholics,,Extremely Low Density Rural,Rural,Rural,Downscale,87740.0,0.687406718730927
32003.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,A few times a year,Occasionally,All others,Complete,,Call 1,2.0,,I strongly favor my candidate,Staying about the same,,Good and staying the same,Taxes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,4.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,The economy,,,Yes,Good,Excellent or good,45+,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,8.0,Barack Obama,,White,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Other christian,Martin Heinrich,Male,White men,Married men,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,White Protestants,No,Extremely Low Density Rural,Rural,Rural,Downscale,87821.0,0.751898407936096
6530.0,65+,60+,45+,60+,65+,65 or over,,,,Omit,Omit,Omit,Complete,,,3.0,,I strongly favor my candidate,Staying about the same,,Good and staying the same,Rising prices,,,,,,,,2.0,,Barack Obama,,,Offered a chance to apply for legal status,,,,,,,Barack Obama,The economy,,,,Good,Excellent or good,45+,65+,,,,,,,,50009.0,Barack Obama,,,,State questionnaire,,West,,,Heather Wilson,Female,,,Rural,Small Cities/Rural,, New Mexico,Telephone survey,,,,Version 2,,,Extremely Low Density Rural,Rural,Rural,Downscale,87740.0,0.553844451904297
52930.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,A few times a year,Occasionally,All others,Complete,,Call 2,2.0,,I like my candidate but with reservations,Getting better,,Getting better,The housing market,College graduate,College graduate,More than High school graduate,White college degree,,,,1.0,,Barack Obama,,,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Barack Obama,The economy,,,,Good,Excellent or good,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,16.0,Barack Obama,,White,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Mormon,Heather Wilson,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,White Protestants,No,Extremely Low Density Rural,Rural,Rural,Upscale,88310.0,0.781076669692993
56231.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,All others,All others,More than once a week,Weekly,Catholic/Attend weekly,Complete,,Call 2,1.0,,I dislike the other candidates,Getting better,,Getting better,Unemployment,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,3.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Health care,,,Yes,Good,Excellent or good,18-44,18-64,,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Liberal,5.0,,,Other,American Indian,State questionnaire,Other,West,Catholic,Catholic,Martin Heinrich,Female,All other races,Married women,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,Non-white,No,Extremely Low Density Rural,Rural,Rural,Very downscale,87026.0,0.803052842617035
33172.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,All others,All others,A few times a month,Occasionally,All others,Complete,,Call 1,3.0,,I like my candidate but with reservations,Staying about the same,,Good and staying the same,Unemployment,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,4.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Health care,,,No,Good,Excellent or good,18-44,18-64,,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Liberal,18.0,Barack Obama,,Other,American Indian,State questionnaire,Other,West,None,None,Heather Wilson,Male,All other races,Non married men,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,Non-white,No,Extremely Low Density Rural,Rural,Rural,Very downscale,87420.0,0.360103696584702
31113.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,All others,All others,More than once a week,Weekly,All others,Complete,,Call 1,3.0,,I strongly favor my candidate,Getting worse,,Worse,Unemployment,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,4.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Health care,,,,Good,Excellent or good,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Liberal,19.0,Barack Obama,,Other,American Indian,State questionnaire,Other,West,None,None,,Male,All other races,,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,Non-white,No,Extremely Low Density Rural,Rural,Rural,Very downscale,87461.0,1.56590688228607
29284.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,A few times a year,Occasionally,All others,Complete,,Call 1,2.0,,I strongly favor my candidate,Getting better,,Getting better,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,,,,1.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Barack Obama,Health care,,,Yes,Good,Excellent or good,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,9.0,Barack Obama,,White,White,State questionnaire,White,West,None,None,Heather Wilson,Female,White women,Married women,"Cities 10,000-50,000",Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,White none,No,Extremely Low Density Rural,Rural,Rural,Upscale,88201.0,0.591292202472687
54100.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Never,Never,All others,Complete,,Call 2,2.0,,I strongly favor my candidate,Getting better,,Getting better,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,4.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,Health care,,,,Good,Excellent or good,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,8.0,Barack Obama,,White,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Other christian,Martin Heinrich,Male,White men,,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,White Protestants,No,Extremely Low Density Rural,Rural,Rural,Downscale,87821.0,0.751898407936096
73779.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,Latino 60+,Latino 45-64,A few times a month,Occasionally,Catholic/Do not attend weekly,Complete,,Call 3,3.0,,I strongly favor my candidate,Getting worse,,Worse,Rising prices,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,2.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Federal budget deficit,,,No,Not so good,Not so good or poor,45+,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,10.0,Barack Obama,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,Catholic,Catholic,Heather Wilson,Female,Latino women,Non married women,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,Non-white,No,Extremely Low Density Rural,Rural,Rural,Downscale,87740.0,0.332725703716278
30439.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,All others,All others,A few times a year,Occasionally,All others,Complete,,Call 1,2.0,,I like my candidate but with reservations,Staying about the same,,Poor and staying the same,Taxes,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,1.0,,Mitt Romney,,,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and non white",Mitt Romney,Federal budget deficit,,,Yes,Not so good,Not so good or poor,45+,18-64,,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Moderate,15.0,Mitt Romney,,Other,Other,State questionnaire,Other,West,Protestant/Other Non-Catholic Christian,Other christian,Heather Wilson,Male,All other races,Married men,"Cities 10,000-50,000",Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,Non-white,No,Low Density Rural,Rural,Rural,Upscale,88242.0,0.453173130750656
53121.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,Latino 45-59,Latino 45-64,Once a week,Weekly,All others,Complete,,Call 2,3.0,,I strongly favor my candidate,Getting better,,Getting better,Unemployment,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,2.0,,Barack Obama,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,The economy,,,Yes,Not so good,Not so good or poor,45+,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Conservative,23.0,Barack Obama,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,Protestant/Other Non-Catholic Christian,Other christian,Martin Heinrich,Male,Latino men,Married men,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,Non-white,No,Extremely Low Density Rural,Rural,Rural,Very downscale,87543.0,0.57240617275238
6545.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Never,Never,All others,Complete,,,3.0,,I like my candidate but with reservations,Getting better,,Getting better,The housing market,College graduate,College graduate,More than High school graduate,White college degree,,,,4.0,,Mitt Romney,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Mitt Romney,The economy,,,No,Not so good,Not so good or poor,18-44,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,,50011.0,,,White,White,State questionnaire,White,West,None,None,Martin Heinrich,Female,White women,Non married women,Rural,Small Cities/Rural,, New Mexico,Telephone survey,,,,Version 2,White none,No,Extremely Low Density Rural,Rural,Rural,Upscale,87417.0,1.99138033390045
76314.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,All others,All others,Once a week,Weekly,All others,Complete,,Call 3,1.0,,I strongly favor my candidate,Getting worse,,Worse,Unemployment,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,3.0,,Mitt Romney,,,Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Mitt Romney,The economy,,,No,Not so good,Not so good or poor,18-44,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Liberal,5.0,Mitt Romney,,Other,American Indian,State questionnaire,Other,West,Protestant/Other Non-Catholic Christian,Other christian,Martin Heinrich,Male,All other races,Non married men,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,Non-white,No,Extremely Low Density Rural,Rural,Rural,Very downscale,87026.0,0.820587813854218
31489.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Once a week,Weekly,All others,Complete,,Call 1,2.0,,I strongly favor my candidate,Getting worse,,Worse,Unemployment,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,1.0,,Mitt Romney,,,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",Mitt Romney,The economy,,,Yes,Not so good,Not so good or poor,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Moderate,15.0,Mitt Romney,,White,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Other christian,Heather Wilson,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,White Protestants,No,Low Density Rural,Rural,Rural,Upscale,88242.0,0.453173130750656
6634.0,30-44,30-59,18-44,30-44,40-49,40-44,Non Black 30-44,White 30-44,White 30-44,Omit,Omit,Omit,Complete,,,3.0,,I dislike the other candidates,Getting worse,,Worse,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,4.0,,Omit,,,Deported to the country they came from,,,,,,,Omit,Federal budget deficit,,,,Poor,Not so good or poor,18-44,18-64,,,,,,,,50011.0,,,White,White,State questionnaire,White,West,,,Martin Heinrich,Male,White men,,Rural,Small Cities/Rural,, New Mexico,Telephone survey,,,,Version 2,,,Low Density Rural,Rural,Rural,Downscale,87410.0,0.645592212677002
6633.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,A few times a month,Occasionally,Protestant/Do not attend weekly,Complete,,,3.0,,Omit,Getting worse,,Worse,Unemployment,High school graduate,No college degree,High school graduate or less,White no college degree,,,,1.0,,Mitt Romney,,,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Mitt Romney,The economy,,,No,Poor,Not so good or poor,45+,65+,,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50008.0,Mitt Romney,,White,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,Heather Wilson,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,, New Mexico,Telephone survey,,,,Version 2,White Protestants,Yes,Low Density Rural,Rural,Rural,Downscale,88101.0,0.918090879917145
73598.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,All others,All others,Never,Never,All others,Complete,,Call 3,3.0,,I dislike the other candidates,Staying about the same,,Poor and staying the same,Unemployment,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,4.0,,Omit,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",Omit,The economy,,,No,Poor,Not so good or poor,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,All others,Conservative,20.0,Gary Johnson,,Other,Other,State questionnaire,Other,West,Protestant/Other Non-Catholic Christian,Other christian,Other,Female,All other races,Non married women,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,,,,Version 2,Non-white,No,Low Density Rural,Rural,Rural,Downscale,87410.0,0.487341433763504
