ID,HOU,SEN,GOV,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND16,ATTEND16B,ATTREL,BACKSIDE,BOYSGIRLS,BREAK18,BREAK18A,BREAK18B,BRNAGAIN,CALL,CDNUM,CHILD18,CHILDBOY,CHILDGIRL,CONTROLHOUSE,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,ELECTSECFOREIGN18,FAVDEM2,FAVPARTY,FAVPELOSI,FAVREP2,FINSIT2,FORTRUMPH,FTVOTER18,GUN16,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVANAUGH18,LATINO,LGBT,MARRIED,MUELLERAPP,NEC,NEC2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QRACEAK,QRACEHI,QTYPE,RACE,RACE18,RACE18B,RACE2B,RACEAI,RACEFACTOR,REGION,REL5,RELIGN18,RELWHITE,RUSSIA18,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18HOU,TIME18HOUMONTH,TIME18HOUWEEK,TRACK,TRADE18,TRUMP2,TRUMP4,TRUMPFP18,TRUMPIMM,UNITED18,VERSION,VETVOTER,VOTE2016,VOTEISS18,WEIGHT,WHITEREL,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,WPROTBRN,WPROTBRN3
25490.0,,The Democratic candidate,,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,,,,Complete,,,,,,,2.0,,,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,Omit,,,,,,,Major changes,,Yes,,,,,,,The economy,,No,,,Omit,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,,,National questionnaire,White,Not too important,Not important,White,White,Minorities are favored over whites,West,None,None,None,Justified,Female,White women,,,,Rural,Small Cities/Rural,English,California,Other,,Telephone survey,In the last month,In the last month,Before that,,,,,,Too tough,,Version 2,,,,1.65455865859985,White none,,,,,,
25491.0,The Democratic candidate,The Democratic candidate,The Democratic candidate,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,,,,Complete,,,,,,,40.0,,,,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,Unfavorable,,,,,,,Major changes,,Yes,,,,,,,Immigration,,Yes,,,Disapprove,,,18-44,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,,,National questionnaire,Hispanic/Latino,Not too important,Not important,Non-white,Hispanic/Latino,Whites are favored over minorities,West,Catholic,Catholic,,Politically motivated,Female,Latino women,,,,Suburbs,Suburbs,English,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,Too tough,,Version 2,,,,1.61372673511505,Non-white,,,,,,
25492.0,The Republican candidate,The Democratic candidate,The Republican candidate,,45-65,30-59,45-49,45+,18-49,45-59,40-49,,,,,,,Complete,,,,,,,22.0,,,,,,,,,,,,,Unfavorable,,,,,,,Major changes,,No,,,,,,,Immigration,,,,,Disapprove,,,45+,18-64,,Republican,,,Republican women,Republican,Republican Women,,Conservative,,Independent/Something else,Conservative Republicans,,,,,National questionnaire,,Not at all important,Not important,,,Minorities are favored over whites,West,Catholic,Catholic,,Politically motivated,Female,,,,,"Cities over 500,000","Cities over 50,000",,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,Not tough enough,,Version 2,,,,0.606860995292664,,,,,,,
25493.0,The Republican candidate,Other,The Republican candidate,,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,Latino 45-59,White 45-64,,,,Complete,,,,,,,1.0,,,,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,Unfavorable,,,,,,,Major changes,,No,,,,,,,Immigration,,Yes,,,Disapprove,,,45+,18-64,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,Independent Men,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Other,White,,,National questionnaire,Hispanic/Latino,Somewhat important,Important,Non-white,Hispanic/Latino,Omit,West,Protestant/Other Non-Catholic Christian,Other Christian,,Politically motivated,Male,Latino men,,,,Rural,Small Cities/Rural,English,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,Not tough enough,,Version 2,,,,0.936949729919434,Non-white,,,,,,
25494.0,The Republican candidate,The Democratic candidate,The Republican candidate,,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,,Complete,,,,,,,16.0,,,,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,Unfavorable,,,,,,,Major changes,,No,,,,,,,Immigration,,No,,,Disapprove,,,45+,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,,,National questionnaire,White,Somewhat important,Important,White,White,No group is favored,West,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Politically motivated,Male,White men,,,,"Cities over 500,000","Cities over 50,000",English,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,About right,,Version 2,,,,0.433804988861084,White Protestants,,,,,,
25495.0,The Democratic candidate,The Democratic candidate,The Democratic candidate,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,,,,5.0,,,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,Unfavorable,,,,,,,Major changes,,Yes,,,,,,,Health care,,No,,,Disapprove,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,Very important,Important,White,White,Whites are favored over minorities,West,Catholic,Catholic,Catholic,Justified,Female,White women,,,,Suburbs,Suburbs,English,California,White suburban women,,Telephone survey,Before that,Before that,Before that,,,,,,Too tough,,Version 2,,,,0.690514862537384,White Catholics,,,,,,
25496.0,The Democratic candidate,The Democratic candidate,The Democratic candidate,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,,,,20.0,,,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,Favorable,,,,,,,Major changes,,Yes,,,,,,,Health care,,No,,,Approve,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,Very important,Important,White,White,Whites are favored over minorities,West,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Justified,Female,White women,,,,Suburbs,Suburbs,English,California,White suburban women,,Telephone survey,Before that,Before that,Before that,,,,,,Too tough,,Version 2,,,,0.771251499652863,White Protestants,,,,,,
25497.0,The Republican candidate,Other,The Republican candidate,,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,,,,Complete,,,,,,,22.0,,,,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,Unfavorable,,,,,,,Major changes,,No,,,,,,,Immigration,,No,,,Disapprove,,,45+,18-64,,Republican,Black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Conservative,,Independent/Something else,Conservative Republicans,Black,Black,,,National questionnaire,Black,Not too important,Not important,Non-white,Black,No group is favored,West,Protestant/Other Non-Catholic Christian,Other Christian,,Politically motivated,Male,Black men,,,,Suburbs,Suburbs,English,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,About right,,Version 2,,,,0.915585100650787,Non-white,,,,,,
25498.0,The Republican candidate,Other,The Republican candidate,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,,,22.0,,,,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,Unfavorable,,,,,,,Major changes,,No,,,,,,,Gun policy,,No,,,Disapprove,,,45+,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,,,National questionnaire,White,Not at all important,Not important,White,White,No group is favored,West,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Politically motivated,Male,White men,,,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,About right,,Version 2,,,,0.431478202342987,White Protestants,,,,,,
25499.0,The Democratic candidate,The Democratic candidate,The Democratic candidate,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,,,1.0,,,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,Favorable,,,,,,,Major changes,,Yes,,,,,,,Health care,,No,,,Approve,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,Very important,Important,White,White,Whites are favored over minorities,West,None,None,None,Justified,Female,White women,,,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Telephone survey,In the last month,In the last month,Before that,,,,,,Too tough,,Version 2,,,,0.429174810647964,White none,,,,,,
25500.0,The Democratic candidate,,The Democratic candidate,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,,,,47.0,,,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,Omit,,,,,,,Major changes,,Yes,,,,,,,The economy,,No,,,Approve,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,,,National questionnaire,White,Very important,Important,White,White,No group is favored,West,Catholic,Catholic,Catholic,Justified,Male,White men,,,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Telephone survey,In the last month,In the last month,Before that,,,,,,Too tough,,Version 2,,,,0.841432750225067,White Catholics,,,,,,
25501.0,The Democratic candidate,The Democratic candidate,The Democratic candidate,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,,,,Complete,,,,,,,47.0,,,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,Unfavorable,,,,,,,Minor changes,,Yes,,,,,,,Immigration,,Yes,,,Disapprove,,,18-44,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,,,National questionnaire,Hispanic/Latino,Very important,Important,Non-white,Hispanic/Latino,Whites are favored over minorities,West,Protestant/Other Non-Catholic Christian,Other Christian,,Politically motivated,Female,Latino women,,,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Telephone survey,In the last month,In the last month,Before that,,,,,,Too tough,,Version 2,,,,2.95017766952515,Non-white,,,,,,
25502.0,The Democratic candidate,,,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,,,,Complete,,,,,,,28.0,,,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,Omit,,,,,,,Major changes,,Yes,,,,,,,Gun policy,,No,,,Omit,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,Very important,Important,White,White,Whites are favored over minorities,West,Protestant/Other Non-Catholic Christian,Other Christian,Protestant/Other Non-Catholic Christian,Justified,Female,White women,,,,"Cities over 500,000","Cities over 50,000",English,California,Other,,Telephone survey,In the last month,In the last month,Before that,,,,,,Too tough,,Version 2,,,,0.825609922409058,White Protestants,,,,,,
25503.0,,The Democratic candidate,,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 65+,,,,Complete,,,,,,,11.0,,,,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,Unfavorable,,,,,,,Omit,,No,,,,,,,Immigration,,Yes,,,Disapprove,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,Independent Men,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Other,Other,,,National questionnaire,Hispanic/Latino,Very important,Important,Non-white,Hispanic/Latino,Omit,West,Protestant/Other Non-Catholic Christian,Protestant,,Politically motivated,Male,Latino men,,,,Suburbs,Suburbs,English,California,Other,,Telephone survey,Omit,Omit,Omit,,,,,,Not tough enough,,Version 2,,,,2.10503268241882,Non-white,,,,,,
25504.0,The Democratic candidate,The Democratic candidate,The Republican candidate,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,,,,3.0,,,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,Unfavorable,,,,,,,Minor changes,,No,,,,,,,Immigration,,No,,,Omit,,,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,,,National questionnaire,White,Very important,Important,White,White,Minorities are favored over whites,West,None,None,None,Politically motivated,Male,White men,,,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Telephone survey,In the last month,In the last month,Before that,,,,,,Not tough enough,,Version 2,,,,0.454204797744751,White none,,,,,,
25505.0,The Republican candidate,Other,The Republican candidate,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,,,,1.0,,,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,Unfavorable,,,,,,,Major changes,,No,,,,,,,Health care,,No,,,Approve,,,18-44,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,,,National questionnaire,White,Omit,Omit,White,White,Minorities are favored over whites,West,Protestant/Other Non-Catholic Christian,Other Christian,Protestant/Other Non-Catholic Christian,Politically motivated,Male,White men,,,,Suburbs,Suburbs,English,California,White suburban men,,Telephone survey,Before that,Before that,Before that,,,,,,Not tough enough,,Version 2,,,,2.43756723403931,White Protestants,,,,,,
25506.0,The Democratic candidate,The Democratic candidate,The Democratic candidate,,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,,,,Complete,,,,,,,2.0,,,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,Unfavorable,,,,,,,Major changes,,Yes,,,,,,,Health care,,No,,,Approve,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,Very important,Important,White,White,Whites are favored over minorities,West,Something else,Other,Something else,Justified,Male,White men,,,,Rural,Small Cities/Rural,English,California,Other,,Telephone survey,Before that,Before that,Before that,,,,,,Too tough,,Version 2,,,,0.839741826057434,White something else,,,,,,
25507.0,The Democratic candidate,The Democratic candidate,The Democratic candidate,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,,,,28.0,,,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,Favorable,,,,,,,Major changes,,No,,,,,,,The economy,,No,,,Disapprove,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,Very important,Important,White,White,No group is favored,West,Catholic,Catholic,Catholic,Politically motivated,Male,White men,,,,"Cities over 500,000","Cities over 50,000",English,California,Other,,Telephone survey,In the last month,In the last month,Before that,,,,,,Too tough,,Version 2,,,,1.12256610393524,White Catholics,,,,,,
