ID,SENNH14,GOVNH14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BROWNCARPET,CALL,CDNUM,CONTACTBROWN,CONTACTNH14,CONTACTSHAHEEN,DEMPRIM2016,DEMPRIM2016DEMSONLY,ECONBETT,ECONDIR,ECONFAIR,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOLLOW14,FOLLOW14B,FOROBAMAS,GEOCODE,GOPPRIM2016,GOPPRIM2016REPSONLY,GOVTDO10,HEALTHCARE14,IMMDEPORT,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARIJUANALAW,MARRIED,MATONH,NEC,NEC2,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PTYIMPT14,PTYIMPT14B,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,REL5,RELIGN10,RELWHITE,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SHAHEENTOOCLOSE,SIZEPLAC,SIZEPLC3,STANUM,TEAPARTY,TEAPARTY3,TELEPOLL,TERRWORR,TERWORR2,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,UNFAIRBROWN14,UNFAIRNH14,UNFAIRSHAHEEN,VERSION,WHNCLINC,ZIPCODE,WEIGHT
62534.0,Scott Brown,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 1,1.0,No,Neither of them,No,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,Somewhat closely,Somewhat or not too closely,Barack Obama was not a factor,5.0,,,,Went too far,Omit,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,The economy,No,,Yes,,,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate,111.0,Conservative Republicans,Mod./Liberal Republicans,,,White,White,State questionnaire,White,White,Omit,Omit,East,,,,,Female,White women,Married women,,Rural,Small Cities/Rural,New Hampshire,,,Election day exit poll,,,,,,,,Omit,Omit,Omit,Version 2,No,3816.0,1.15914475917816
77977.0,Scott Brown,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,,Call 2,1.0,,,,,,Omit,Omit,Is fair to most Americans,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,,,4.0,,,Government is doing too many things better left to businesses and individuals,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Omit,,Yes,,,I moved to New Hampshire from Massachusetts,Not so good,Not so good or poor,Worried,Very worried,Disapprove,Strongly disapprove,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,Independent Women,All others,Conservative,105.0,Moderate/Liberal Republicans,Conservative Independents,,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Hispanic/Latino,,,East,,,,,Female,Latino women,,,Suburbs,Suburbs,New Hampshire,,,Election day exit poll,Somewhat worried,Very or somewhat worried,In the last three days,In the last month,In the last week,In the last three days,Seriously off on the wrong track,,,,Version 1,No,3873.0,0.957721829414368
59261.0,Scott Brown,,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 1,1.0,,,,,,Staying about the same,Poor and staying the same,Is fair to most Americans,College graduate,College graduate,More than High school graduate,White college degree,,,,,,1.0,,,Government is doing too many things better left to businesses and individuals,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Approve,,No,,,I moved to New Hampshire from Massachusetts,Not so good,Not so good or poor,Worried,Somewhat worried,Disapprove,Strongly disapprove,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,40.0,Independent/Something else,Conservative Republicans,,,White,White,State questionnaire,White,White,,,East,,,,,Female,White women,,,Suburbs,Suburbs,New Hampshire,,,Election day exit poll,Somewhat worried,Very or somewhat worried,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,,,Version 1,No,3842.0,1.11158776283264
74885.0,Scott Brown,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Call 2,1.0,,,,,,Staying about the same,Poor and staying the same,Favors the wealthy,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,2.0,,,Government is doing too many things better left to businesses and individuals,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,,No,,,I moved to New Hampshire from Massachusetts,Not so good,Not so good or poor,Worried,Somewhat worried,Disapprove,Strongly disapprove,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,62.0,Moderate/Liberal Republicans,Moderate Independents,,,White,White,State questionnaire,White,White,,,East,,,,,Male,White men,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,,Election day exit poll,Somewhat worried,Very or somewhat worried,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,,,Version 1,No,3102.0,0.638067305088043
9549.0,Scott Brown,,45-65,60+,60-64,45+,60+,50-64,,,,Complete,,,2.0,,,,,,,,,Postgraduate study,College graduate,More than High school graduate,,,,,,,3.0,,,,,,,,,,,,,Disapprove,Foreign policy,No,,,,,,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,18-64,Independent/Something else,,,Something else,Independent Women,,,,,,,,,,National questionnaire,,,,,East,,,,,Female,,,,Rural,Small Cities/Rural,New Hampshire,,,Telephone survey,Very worried,Very or somewhat worried,,,,,,,,,Version 1,,3301.0,0.0
61908.0,Scott Brown,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Omit,Call 1,1.0,,,,Omit,,,,,,,,,Unfavorable,Favorable,,,,4.0,Omit,,,,,,,,,,,,,,,Omit,Yes,,,,,,,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,,105.0,,,Somewhat important,Important,White,White,State questionnaire,White,White,,,East,,,,Omit,Male,White men,Married men,Omit,Suburbs,Suburbs,New Hampshire,Somewhat oppose,Oppose,Election day exit poll,,,,,,,,,,,Version 3,,3873.0,0.899504423141479
77797.0,Scott Brown,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 2,1.0,,,,,,Staying about the same,Poor and staying the same,Omit,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,5.0,,,Government is doing too many things better left to businesses and individuals,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,,No,,,I was born in New Hampshire,Poor,Not so good or poor,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Conservative,111.0,Moderate/Liberal Republicans,Conservative Independents,,,White,White,State questionnaire,White,White,,,East,,,,,Female,White women,,,Rural,Small Cities/Rural,New Hampshire,,,Election day exit poll,Somewhat worried,Very or somewhat worried,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,,,Version 1,No,3816.0,1.04749774932861
88854.0,Did not vote,Did not vote,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 3,2.0,,,,,,Getting worse,Worse,Favors the wealthy,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,3.0,,,Government is doing too many things better left to businesses and individuals,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Disapprove,,No,,,I was born in New Hampshire,Omit,Omit,Worried,Very worried,Disapprove,Somewhat disapprove,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,85.0,Independent/Something else,Conservative Republicans,,,White,White,State questionnaire,White,White,,,East,,,,,Female,White women,,,Rural,Small Cities/Rural,New Hampshire,,,Election day exit poll,Very worried,Very or somewhat worried,Omit,Omit,Omit,Omit,Seriously off on the wrong track,,,,Version 1,No,3773.0,0.84605485200882
93022.0,Scott Brown,Did not vote,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Call 3,1.0,,,,,,Getting better,Getting better,Favors the wealthy,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,4.0,,,Government should do more to solve problems,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Approve,,No,,,I moved to New Hampshire from Massachusetts,Not so good,Not so good or poor,Worried,Somewhat worried,Approve,Somewhat approve,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,49.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,,,East,,,,,Female,White women,,,Suburbs,Suburbs,New Hampshire,,,Election day exit poll,Very worried,Very or somewhat worried,Before that,In the last month,Before that,In the last month,Omit,,,,Version 1,No,3848.0,0.903356611728668
61116.0,Scott Brown,Did not vote,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 1,1.0,,,,Omit,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,,,,4.0,Omit,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,,No,Legal,Yes,,,,,,,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Moderate,105.0,Conservative Republicans,Mod./Liberal Republicans,Somewhat important,Important,White,White,State questionnaire,White,White,,,East,None,None,None,Yes,Male,White men,Married men,Too often,Suburbs,Suburbs,New Hampshire,Neutral,Neutral,Election day exit poll,,,,,,,,,,,Version 3,No,3873.0,0.995377719402313
96643.0,,Maggie Hassan,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,1.0,Yes,Both of them,Yes,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,Somewhat closely,Somewhat or not too closely,Barack Obama was not a factor,1.0,,,,Went too far,Omit,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,No,,Yes,,,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Liberal,40.0,Moderate/Liberal Republicans,Liberal Independents,,,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",East,,,,,Female,White women,Married women,,Suburbs,Suburbs,New Hampshire,,,Election day exit poll,,,,,,,,Scott Brown did,Both of them,Jeanne Shaheen did,Version 2,No,3842.0,0.884358704090118
96358.0,,Maggie Hassan,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,1.0,,,,,,Getting worse,Worse,Favors the wealthy,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,1.0,,,Government should do more to solve problems,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Disapprove,,No,,,I moved to New Hampshire from another state,Poor,Not so good or poor,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,40.0,Independent/Something else,Conservative Republicans,,,White,White,State questionnaire,White,White,,,East,,,,,Female,White women,,,Suburbs,Suburbs,New Hampshire,,,Election day exit poll,Very worried,Very or somewhat worried,Before that,In the last month,In the last week,In the last week,Seriously off on the wrong track,,,,Version 1,Yes,3842.0,0.884358704090118
55160.0,,Maggie Hassan,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,1.0,,,,Someone else,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,Someone else,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,Illegal,Yes,,,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Liberal,5.0,Moderate/Liberal Republicans,Liberal Independents,Somewhat important,Important,White,White,State questionnaire,White,White,,,East,Catholic,Catholic,Catholic,Yes,Female,White women,Married women,About the right amount,Suburbs,Suburbs,New Hampshire,Neutral,Neutral,Election day exit poll,,,,,,,,,,,Version 3,No,3032.0,0.844944894313812
75128.0,,Maggie Hassan,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 2,1.0,,,,,,Staying about the same,Poor and staying the same,Favors the wealthy,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,2.0,,,Government should do more to solve problems,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,,No,,,I moved to New Hampshire from another state,Poor,Not so good or poor,Not worried,Not at all worried,Approve,Strongly approve,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Conservative,62.0,Moderate/Liberal Republicans,Conservative Independents,,,White,White,State questionnaire,White,White,,,East,,,,,Female,White women,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,,Election day exit poll,Not at all worried,Not too or not at all worried,Before that,Before that,Before that,Before that,Generally going in the right direction,,,,Version 1,No,3102.0,0.659393429756165
57205.0,,Maggie Hassan,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 1,1.0,,,,Someone else,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,2.0,Someone else,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,No,Legal,Yes,,,,,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,65.0,Moderate/Liberal Republicans,Moderate Independents,Very important,Important,White,White,State questionnaire,White,White,,,East,None,None,None,Yes,Male,White men,Married men,About the right amount,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Neutral,Neutral,Election day exit poll,,,,,,,,,,,Version 3,No,3103.0,1.0200936794281
75050.0,Did not vote,Maggie Hassan,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 2,2.0,,,,,,Getting better,Getting better,Is fair to most Americans,,,,,,,,,,3.0,,,Government should do more to solve problems,,,,,,,,,,Disapprove,,No,,,I moved to New Hampshire from another state,Not so good,Not so good or poor,Worried,Very worried,Omit,Omit,,,45+,65+,,,,,,,,20.0,,,,,White,White,State questionnaire,White,White,,,East,,,,,Male,White men,,,Rural,Small Cities/Rural,New Hampshire,,,Election day exit poll,Very worried,Very or somewhat worried,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,,,Version 1,,3301.0,0.793898224830627
76926.0,Jeanne Shaheen,Maggie Hassan,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 2,2.0,,,,Hillary Clinton,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,4.0,Someone else,,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,Illegal,No,,,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,71.0,Moderate/Liberal Republicans,Moderate Independents,Somewhat important,Important,White,White,State questionnaire,White,White,,,East,Something else,Other,Something else,Yes,Male,White men,Non married men,About the right amount,Suburbs,Suburbs,New Hampshire,Strongly oppose,Oppose,Election day exit poll,,,,,,,,,,,Version 3,No,3055.0,0.685637950897217
94217.0,Jeanne Shaheen,Maggie Hassan,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 3,1.0,,,,Joe Biden,,,,,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable,,,,4.0,Someone else,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,,No,Legal,Yes,,,,,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,49.0,Moderate/Liberal Republicans,Moderate Independents,Very important,Important,White,White,State questionnaire,White,White,,,East,Jewish,Jewish,Jewish,Yes,Male,White men,Married men,Not often enough,Suburbs,Suburbs,New Hampshire,Strongly oppose,Oppose,Election day exit poll,,,,,,,,,,,Version 3,No,3848.0,0.9443199634552
