ID,GOVWI14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,CALL,CDNUM,ECON4YEARWI,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ETHBURKE,ETHWALKER,ETHWI14,FAVBURKE,FAVDEM2,FAVPUBLICUNION,FAVREP2,FAVWALKER,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,JOBSIT,LATINO,MARRIED,MINWAGE14,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,RYANPRES,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TRACK,UNIONHH12,VERSION,VOTE2012RECALL,WALKERHEALTH,WALKERPRES,WEIGHT,WHNCLINC,WORK,WORKPARENT,WORKSEX,WRKWOMEN,WRKWOMEN4
60705.0,Mary Burke,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Never,Never,,Complete,Call 1,8.0,,College graduate,College graduate,More than High school graduate,White college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,4.0,,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Health care,About the same,No,,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,75.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest,No,Yes,Male,White men,,Suburbs,Suburbs,Wisconsin,Election day exit poll,,No,Version 2,,Disapprove,No,0.962817490100861,No,,,,,
80947.0,Mary Burke,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,A few times a year,Occasionally,,Complete,Call 2,1.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,1.0,,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,Health care,Omit,No,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,55.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest,No,Yes,Female,White women,Non married women,Suburbs,Suburbs,Wisconsin,Election day exit poll,,No,Version 2,,Disapprove,No,0.723280131816864,No,,,,,
60700.0,Mary Burke,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,,Complete,Call 1,6.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,2.0,,Went too far,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,The economy,Better today,,Yes,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Conservative,36.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,Yes,Yes,Female,White women,Married women,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,Yes,Version 2,,Disapprove,No,1.31385314464569,No,,,,,
63220.0,Mary Burke,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,,Complete,Call 1,2.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,,,,3.0,,Was about right,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,The economy,,No,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,16.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest,,,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Election day exit poll,,,Version 2,,,,0.957858562469482,No,Yes,,Working women,Working women,Working women
80939.0,Mary Burke,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Never,Never,,Complete,Call 2,5.0,,College graduate,College graduate,More than High school graduate,White college degree,Mary Burke does not,Scott Walker does not,Neither of them,,,,,,1.0,,Did not go far enough,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,The economy,About the same,No,Yes,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,66.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,No,Yes,Female,White women,Married women,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,,No,Version 2,,Disapprove,No,0.666179120540619,No,,,,,
80934.0,Mary Burke,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,,Complete,Call 2,2.0,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,,3.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,No,,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,25.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,,,Midwest,,,Male,White men,,Suburbs,Suburbs,Wisconsin,Election day exit poll,,,Version 5,,,,0.790066838264465,No,,,,,
60682.0,Mary Burke,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Never,Never,,Complete,Call 1,1.0,,College graduate,College graduate,More than High school graduate,White college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,1.0,,Did not go far enough,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,Health care,About the same,No,Yes,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Liberal,55.0,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,No,Yes,Male,White men,Married men,Suburbs,Suburbs,Wisconsin,Election day exit poll,,No,Version 2,,Disapprove,No,0.742833495140076,No,,,,,
99136.0,Mary Burke,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,A few times a year,Occasionally,,Complete,Call 3,2.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,3.0,,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,About the same,No,Yes,,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,20.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest,No,Yes,Male,White men,Married men,Suburbs,Suburbs,Wisconsin,Election day exit poll,,Yes,Version 2,,Disapprove,No,1.04514896869659,No,,,,,
60678.0,Mary Burke,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Once a week,Weekly,,Complete,Call 1,2.0,,High school graduate,No college degree,High school graduate or less,White no college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,3.0,,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,Health care,About the same,No,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,87.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest,No,No,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Wisconsin,Election day exit poll,,Yes,Version 2,,Disapprove,No,0.811359882354736,Yes,,,,,
60673.0,Mary Burke,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,A few times a year,Occasionally,,Complete,Call 1,2.0,,College graduate,College graduate,More than High school graduate,White college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,3.0,,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,Foreign policy,About the same,No,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,18.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest,No,Yes,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Election day exit poll,,No,Version 2,,Disapprove,No,0.893678069114685,No,,,,,
97113.0,Mary Burke,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,,,,Complete,Call 3,2.0,About the same,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,Favorable,Favorable,Omit,Unfavorable,Unfavorable,3.0,Government should do more to solve problems,,,,,,,,,Omit,,,No,,Favor,Not worried,Not too worried,Approve,Strongly approve,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,,87.0,,,Black,Black,State questionnaire,Black,Black,,,Midwest,,,Female,Black women,,"Cities 10,000-50,000",Small Cities/Rural,Wisconsin,Election day exit poll,Generally going in the right direction,,Version 1,Tom Barrett,,,0.824794590473175,No,No,,Non-working women,All others,Non-working women
80912.0,Mary Burke,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,A few times a year,Occasionally,,Complete,Call 2,8.0,,College graduate,College graduate,More than High school graduate,White college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,4.0,,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,Health care,Worse today,No,Yes,,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,76.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest,No,Yes,Female,White women,Married women,Suburbs,Suburbs,Wisconsin,Election day exit poll,,No,Version 2,,Approve,No,0.851660072803497,No,,,,,
97107.0,Mary Burke,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Never,Never,,Complete,Call 3,6.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,2.0,,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,The economy,Worse today,No,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,36.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,No,Yes,Female,White women,Non married women,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,No,Version 2,,Disapprove,No,1.31385314464569,Yes,,,,,
97103.0,Mary Burke,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,Call 3,3.0,Better today,College graduate,College graduate,More than High school graduate,White college degree,,,,Favorable,Favorable,Favorable,Favorable,Favorable,5.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,,,No,,Favor,Worried,Somewhat worried,Approve,Strongly approve,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,12.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,,,Midwest,,,Male,White men,,Suburbs,Suburbs,Wisconsin,Election day exit poll,Generally going in the right direction,,Version 1,Scott Walker,,,0.579618275165558,No,Yes,,Working men,All others,Working men
97102.0,Mary Burke,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,All others,All others,A few times a year,Occasionally,,Complete,Call 3,4.0,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,1.0,,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,The economy,Worse today,No,Yes,,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,Independent Women,All others,Liberal,60.0,Moderate/Liberal Republicans,Liberal Independents,Other,Asian,State questionnaire,Asian,Asian,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,No,Yes,Female,All other races,Married women,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,,No,Version 2,,Disapprove,No,1.01495563983917,No,,,,,
80182.0,Mary Burke,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Never,Never,,Complete,Call 2,5.0,,High school graduate,No college degree,High school graduate or less,White no college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,2.0,,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,Health care,About the same,No,No,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Liberal,40.0,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest,No,Yes,Male,White men,Non married men,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,Yes,Version 2,,Disapprove,No,1.17030847072601,Yes,,,,,
80898.0,Mary Burke,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,All others,All others,Never,Never,,Complete,Call 2,7.0,,College graduate,College graduate,More than High school graduate,Non white college degree,Mary Burke does,Scott Walker does not,Only Mary Burke,,,,,,5.0,,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,Health care,About the same,No,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Non-black Democrat,All Other,Democrat,Democratic Women,Non-White Democrats,Liberal,28.0,Liberal Democrats,Liberal Democrats,Other,American Indian,State questionnaire,Other,American Indian,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,No,Yes,Female,All other races,Non married women,Suburbs,Suburbs,Wisconsin,Election day exit poll,,Yes,Version 2,,Disapprove,No,1.25710070133209,No,,,,,
80630.0,Mary Burke,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,Latino 18-29,Latino 18-29,,,,Complete,Call 2,2.0,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,,,3.0,,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,Health care,,Yes,No,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,Independent Women,All others,Moderate,16.0,Moderate/Liberal Republicans,Moderate Independents,Other,Other,National questionnaire,Hispanic/Latino,Hispanic/Latino,Angry,"Dissatisfied, but not angry or angry",Midwest,,,Female,Latino women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Election day exit poll,,,Version 2,,,,0.957858562469482,No,Yes,,Working women,Working women,Working women
60646.0,Mary Burke,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,,,,Complete,Call 1,1.0,,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Disapprove,Health care,,No,,,Worried,Somewhat worried,Approve,Somewhat approve,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,45.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,,,Midwest,,,Female,White women,,Suburbs,Suburbs,Wisconsin,Election day exit poll,,,Version 1,,,,1.18582475185394,Yes,,,,,
