ID,SENSC14,SEN2SC14,GOVSC14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CLIMATECHANGE,DEMPRIM2016,DEMPRIM2016DEMSONLY,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVHALEY,FAVREP2,FAVSHEHEEN,GEOCODE,GOPPRIM2016,GOPPRIM2016REPSONLY,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TRACK,VERSION,VETVOTER,WHNCLINC,WHTEVANG,ZIPCODE,WEIGHT
55710.0,Did not vote,Did not vote,Did not vote,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 1,3.0,No,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,,Unfavorable,,1.0,,,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,No,,,,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,6.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,,,South,Yes,Female,White women,,Suburbs,Suburbs,South Carolina,,,,Election day exit poll,Generally going in the right direction,Version 4,,No,,29627.0,0.580281138420105
71103.0,Did not vote,Did not vote,Did not vote,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Yes,Call 2,6.0,,Joe Biden,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,,5.0,Someone else,,,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,The economy,No,,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,Independent Women,All others,Conservative,16.0,Moderate/Liberal Republicans,Conservative Independents,Black,Black,State questionnaire,Black,Black,Angry,"Dissatisfied, but not angry or angry",South,No,Female,Black women,,Suburbs,Suburbs,South Carolina,Born-again but not Tea Party supporter,Neutral,Neutral,Election day exit poll,,Version 2,,No,All others,29479.0,0.594549000263214
69157.0,Brad Hutto,Joyce Dickerson,Did not vote,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,All others,All others,Complete,No,Call 2,5.0,,Hillary Clinton,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,3.0,Someone else,,,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,The economy,No,,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,Independent Women,All others,Moderate,107.0,Moderate/Liberal Republicans,Moderate Independents,Other,Other,State questionnaire,Other,Other,Angry,"Dissatisfied, but not angry or angry",South,No,Female,All other races,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Neither,Strongly oppose,Oppose,Election day exit poll,,Version 2,,No,All others,29154.0,0.954275131225586
84611.0,Brad Hutto,,Vincent Sheheen,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,,Call 3,6.0,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,3.0,,,,Was about right,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,The economy,,,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Moderate,100.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000",South Carolina,,,,Election day exit poll,,Version 2,,No,,29201.0,0.641539096832275
69985.0,Brad Hutto,,Vincent Sheheen,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Yes,Call 2,3.0,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,1.0,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,,No,,,,,,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,6.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,,,South,,Female,Black women,,Suburbs,Suburbs,South Carolina,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,,Version 5,,No,All others,29627.0,0.764929950237274
54976.0,Lindsay Graham,,Vincent Sheheen,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Not complete,Yes,Call 1,2.0,,,,,,,,,,,,3.0,,,,Was about right,,,,,,,,,,No,,,,,,,,45+,18-64,,,,,,,,79.0,,,White,White,State questionnaire,White,White,,,South,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Born-again but not Tea Party supporter,Somewhat oppose,Oppose,Election day exit poll,,Version 2,,,White Born-again/Evangelical Christians,29212.0,0.806313991546631
84677.0,Did not vote,Did not vote,Vincent Sheheen,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Not complete,,Call 3,1.0,Yes,,,,,,,,,,,5.0,,,Omit,,,,,,,,,,,No,,,,,,,,45+,18-64,,,,,,,,22.0,,,Black,Black,State questionnaire,Black,Black,,,South,,Female,Black women,,Suburbs,Suburbs,South Carolina,,,,Election day exit poll,Generally going in the right direction,Version 1,,,,29466.0,0.309905230998993
89445.0,Lindsay Graham,Did not vote,Vincent Sheheen,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 3,3.0,Yes,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,,Unfavorable,,1.0,,,Government is doing too many things better left to businesses and individuals,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,No,,,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,6.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,,,South,Yes,Male,White men,,Suburbs,Suburbs,South Carolina,,,,Election day exit poll,Seriously off on the wrong track,Version 4,,Yes,,29627.0,1.2045578956604
69952.0,,Joyce Dickerson,Vincent Sheheen,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Not complete,,Call 2,7.0,Yes,,,,,,,,,,,4.0,,,Omit,,,,,,,,,,,No,,,,,,,,45+,18-64,,,,,,,,71.0,,,Black,Black,State questionnaire,Black,Black,,,South,,Male,Black men,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,,,,Election day exit poll,Generally going in the right direction,Version 1,,,,29577.0,0.606177568435669
72826.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,Call 2,6.0,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,3.0,,,,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,Health care,No,No,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,100.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",South Carolina,,,,Election day exit poll,,Version 2,,No,,29201.0,0.667372703552246
84968.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,Call 3,6.0,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,5.0,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,,No,,,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,,15.0,,,Black,Black,National questionnaire,Black,Black,,,South,,Female,Black women,,Suburbs,Suburbs,South Carolina,,,,Election day exit poll,,Version 3,,No,All others,29472.0,0.89825838804245
84871.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Not complete,Yes,Call 3,4.0,,,,,,,,,,,,1.0,,,,Went too far,,,,,,,,,,No,,,,,,,,45+,18-64,,,,,,,,50.0,,,Black,Black,State questionnaire,Black,Black,,,South,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,,Version 2,,,All others,29607.0,0.789774894714355
72723.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,No,Call 2,6.0,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,3.0,,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,,,,,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,100.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,,,South,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Neither,Neutral,Neutral,Election day exit poll,,Version 5,,No,All others,29201.0,0.742730736732483
84852.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,Call 3,6.0,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,3.0,,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,,No,No,,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Moderate,100.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,,,South,,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000",South Carolina,,,,Election day exit poll,,Version 3,,No,All others,29201.0,0.742730736732483
56465.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,,Call 1,6.0,Yes,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,,Unfavorable,,3.0,,,Government is doing too many things better left to businesses and individuals,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,,No,,,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,100.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,,,South,Yes,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",South Carolina,,,,Election day exit poll,Generally going in the right direction,Version 4,,No,,29201.0,0.667372703552246
58639.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,Call 1,6.0,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,3.0,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white",,,No,No,,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Moderate,100.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,,,South,,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000",South Carolina,,,,Election day exit poll,,Version 3,,No,All others,29201.0,0.742730736732483
88795.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,,Call 3,3.0,Yes,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,,Unfavorable,,1.0,,,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,,No,,,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Conservative,6.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,,,South,No,Female,Black women,,Suburbs,Suburbs,South Carolina,,,,Election day exit poll,Seriously off on the wrong track,Version 4,,No,,29627.0,0.851572453975677
84742.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Not complete,,Call 3,1.0,Yes,,,,,,,,,,,5.0,,,Omit,,,,,,,,,,,,,,,,,,,45+,18-64,,,,,,,,10.0,,,Black,Black,State questionnaire,Black,Black,,,South,,Male,Black men,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,,,,Election day exit poll,Omit,Version 1,,,,29906.0,1.0648056268692
56398.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Not complete,No,Call 1,7.0,,,,,,,,,,,,4.0,,,,Did not go far enough,,,,,,,,,,No,,,,,,,,45+,18-64,,,,,,,,71.0,,,Black,Black,State questionnaire,Black,Black,,,South,,Male,Black men,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Neither,Strongly oppose,Oppose,Election day exit poll,,Version 2,,,All others,29577.0,1.40286266803741
56391.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,,Call 1,3.0,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,1.0,,,,Went too far,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,Health care,No,Yes,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Moderate,6.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,,Male,Black men,Married men,Suburbs,Suburbs,South Carolina,,,,Election day exit poll,,Version 2,,No,,29627.0,0.995822191238403
56372.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 1,6.0,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,3.0,,,,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Health care,No,Yes,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,Liberal,100.0,Moderate/Liberal Republicans,Liberal Independents,White,White,National questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South,,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",South Carolina,,,,Election day exit poll,,Version 2,,No,,29201.0,0.76864093542099
84656.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,18-29,18-29,25-29,18-44,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,Yes,Call 3,6.0,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,5.0,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,,No,No,,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,15.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,,,South,,Male,Black men,Non married men,Suburbs,Suburbs,South Carolina,,,,Election day exit poll,,Version 3,,No,All others,29472.0,1.16154253482819
84587.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,,,,,,,,,,Not complete,,Call 3,7.0,No,,,,,,,,,,,4.0,,,Government should do more to solve problems,,,,,,,,,,,No,,,,,,,,,,,,,,,,,71.0,,,Black,Black,State questionnaire,Black,Black,,,South,,Female,Black women,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,,,,Election day exit poll,Generally going in the right direction,Version 1,,,,29577.0,1.19693267345428
84523.0,Brad Hutto,Joyce Dickerson,Vincent Sheheen,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Yes,Call 3,6.0,,,,,,,,,,,,5.0,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,,Yes,,,,,,,,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Men,Non-White Democrats,Moderate,15.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Black,National questionnaire,Hispanic/Latino,Hispanic/Latino,,,South,,Male,Latino men,,Suburbs,Suburbs,South Carolina,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,,Version 5,,,All others,29472.0,0.999687433242798
