ID,GOVPA14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CORBETTPSU,CORBETTPSU2,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FRACKING,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,LATINO,MARIJUANALAW,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,REGION,REL5,RELIGN10,RELWHITE,SAMESEXM12,SANTORUMPRES,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TRACK,UNIONHH12,VERSION,WEIGHT,WHITEREL,WHNCLINC
60655.0,Tom Wolf,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,10.0,,,No high school diploma,No college degree,High school graduate or less,White no college degree,Favorable,Favorable,,3.0,Government should do more to solve problems,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",No,Illegal,,,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,145.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,East,,,,No,,Female,White women,,Rural,Small Cities/Rural,Pennsylvania,Election day exit poll,Seriously off on the wrong track,,Version 4,1.06659841537476,,Yes
88990.0,Tom Wolf,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,6.0,Not too important,Not too importan or not at all important,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Omit,Favorable,Favor,2.0,Government is doing too many things better left to businesses and individuals,Went too far,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",No,Legal,,Worried,Somewhat worried,Disapprove,Somewhat disapprove,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,43.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,East,,,,No,No,Male,White men,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,Omit,No,Version 1,0.887190043926239,,No
72787.0,Tom Wolf,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 2,11.0,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,4.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,,,Worried,Somewhat worried,Disapprove,Somewhat disapprove,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,56.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,East,,,,,,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,Pennsylvania,Election day exit poll,,,Version 1,1.48972547054291,,No
88817.0,Tom Wolf,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 3,14.0,Not too important,Not too importan or not at all important,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,Oppose,5.0,Government should do more to solve problems,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,Illegal,Yes,Worried,Somewhat worried,Approve,Somewhat approve,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,4.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,East,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Yes,No,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Election day exit poll,Seriously off on the wrong track,Yes,Version 1,1.21885406970978,White Protestants,No
90206.0,Tom Wolf,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,6.0,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,2.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",No,,Yes,,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Conservative,47.0,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,East,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,,,Male,White men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,No,Version 3,0.817148685455322,White Protestants,No
91595.0,Tom Wolf,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 3,9.0,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable,,4.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,Illegal,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Conservative,24.0,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,East,,,,No,,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,Pennsylvania,Election day exit poll,Seriously off on the wrong track,,Version 4,0.825204133987427,,No
76814.0,Tom Wolf,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,2.0,,,College graduate,College graduate,More than High school graduate,White college degree,,,,1.0,,Was about right,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",No,,No,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,141.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,East,,,,,,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,,Version 2,3.56448674201965,,No
60616.0,Tom Wolf,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 1,12.0,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,5.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",No,,,Worried,Somewhat worried,Approve,Somewhat approve,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,12.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,East,,,,,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,,Version 1,0.985845327377319,,Yes
90325.0,Tom Wolf,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 3,3.0,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,5.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",No,,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,67.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,East,Protestant/Other Non-Catholic Christian,Other christian,,,,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,,Version 5,0.79550176858902,Non-white,No
90444.0,Tom Wolf,65+,60+,65 or over,45+,60+,65+,,,,Complete,Call 3,6.0,,,College graduate,College graduate,More than High school graduate,,Favorable,Unfavorable,,2.0,Government is doing too many things better left to businesses and individuals,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999",,No,Illegal,,,,,,45+,65+,Democrat,,,Democrat,Democratic Women,,Moderate,111.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,National questionnaire,,,East,,,,No,,Female,,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,Generally going in the right direction,,Version 4,0.716770648956299,,No
88922.0,Tom Wolf,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,14.0,Not at all important,Not too importan or not at all important,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable,Favor,5.0,Government should do more to solve problems,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,Legal,Yes,Worried,Very worried,Approve,Strongly approve,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,4.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,East,Catholic,Catholic,Catholic,Yes,No,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Election day exit poll,Seriously off on the wrong track,No,Version 1,1.11513650417328,White Catholics,No
76355.0,Tom Wolf,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Call 2,2.0,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,1.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",No,,No,,,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,129.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,East,Protestant/Other Non-Catholic Christian,Protestant,,,,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,No,Version 3,0.400836408138275,Non-white,No
88917.0,Tom Wolf,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,11.0,Not at all important,Not too importan or not at all important,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,Favor,4.0,Government is doing too many things better left to businesses and individuals,Was about right,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",No,Legal,Yes,Worried,Somewhat worried,Disapprove,Somewhat disapprove,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Moderate,119.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,East,Protestant/Other Non-Catholic Christian,Other christian,Protestant/Other Non-Catholic Christian,Yes,No,Male,White men,Married men,Rural,Small Cities/Rural,Pennsylvania,Election day exit poll,Seriously off on the wrong track,No,Version 1,1.06650745868683,White Protestants,No
88902.0,Tom Wolf,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,6.0,Not at all important,Not too importan or not at all important,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,Favor,2.0,Government should do more to solve problems,Was about right,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",No,Legal,Yes,Not worried,Not at all worried,Approve,Somewhat approve,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Moderate,43.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,East,Protestant/Other Non-Catholic Christian,Other christian,Protestant/Other Non-Catholic Christian,Yes,No,Male,White men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,Generally going in the right direction,No,Version 1,0.887190043926239,White Protestants,No
76751.0,Tom Wolf,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Call 2,2.0,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,1.0,,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",No,,No,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Moderate,129.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,East,,,,,,Male,Black men,Non married men,"Cities over 500,000","Cities over 50,000",Pennsylvania,Election day exit poll,,,Version 2,0.444854348897934,,No
76749.0,Tom Wolf,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,13.0,,,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,,,Worried,Somewhat worried,Approve,Somewhat approve,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,114.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,East,,,,,,Male,White men,,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,Version 1,0.796196162700653,,No
58734.0,Tom Wolf,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,18.0,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,5.0,,Was about right,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",No,,Yes,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,148.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,East,,,,,,Male,White men,Married men,Suburbs,Suburbs,Pennsylvania,Election day exit poll,,,Version 2,0.738977551460266,,No
60545.0,Tom Wolf,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,2.0,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable,,1.0,Government should do more to solve problems,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",No,Illegal,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,129.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,East,,,,No,,Male,Black men,,"Cities over 500,000","Cities over 50,000",Pennsylvania,Election day exit poll,Generally going in the right direction,,Version 4,0.424633473157883,,No
88078.0,Tom Wolf,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,11.0,Very important,Very important or somewhat important,No high school diploma,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,Favor,4.0,Government should do more to solve problems,Was about right,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",No,Illegal,Yes,Not worried,Not too worried,Approve,Strongly approve,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,119.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,East,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Yes,No,Female,White women,Married women,Rural,Small Cities/Rural,Pennsylvania,Election day exit poll,Seriously off on the wrong track,No,Version 1,0.960977494716644,White Protestants,Yes
