ID,SENAK14,GOVAK14,MEAS2AK14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEGICHTOOCLOSE,CALL,CDNUM,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PTYIMPT14,PTYIMPT14B,QRACE3,QRACEAK,QTYPE,RACE,RACEAI,RACEAK,RCONGANG,RCONGANG2,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SULLIVANCARPET,TELEPOLL,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,UNFAIRAK14,UNFAIRBEGICH,UNFAIRSULLIVAN,VERSION,VETVOTER,WHNCLINC,ZIPCODE,WEIGHT
84977.0,Mark Begich,Bill Walker,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Omit,Call 2,1.0,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,1.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,,No,,Worried,Somewhat worried,Disapprove,Somewhat disapprove,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,42.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,White,,,West,,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural,Alaska,Omit,Election day exit poll,,,,,Omit,Only Dan Sullivan,Mark Begich did not,Dan Sullivan did,Version 1,No,No,99801.0,0.707676589488983
102341.0,Mark Begich,Bill Walker,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,All others,All others,Complete,About the right amount,Call 3,1.0,College graduate,College graduate,More than High school graduate,Non white college degree,Omit,Omit,,1.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Approve,,,,Not worried,Not too worried,Approve,Strongly approve,,,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Something else,Independent Men,All others,,19.0,,,,,Other,Other,State questionnaire,Other,Other,Other,,,West,,Male,All other races,,"Cities 50,000-500,000","Cities over 50,000",Alaska,No,Election day exit poll,,,,,Omit,Only Dan Sullivan,Mark Begich did not,Dan Sullivan did,Version 1,Yes,No,99504.0,0.904699981212616
101909.0,Mark Begich,Bill Walker,,,,,,,,,,,Complete,About the right amount,Call 3,1.0,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,1.0,Omit,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,,No,,Not worried,Not too worried,Approve,Somewhat approve,,,,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,41.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,White,,,West,,Male,White men,,Rural,Small Cities/Rural,Alaska,No,Election day exit poll,,,,,Omit,Omit,Omit,Omit,Version 1,Yes,Yes,99826.0,0.994570434093475
212.0,Mark Begich,Bill Walker,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,,1.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,Barack Obama was not a factor,1.0,,Went too far,,,,,,,,,The economy,No,Yes,,,,,Angry,"Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Somewhat important,Important,White,White,State questionnaire,White,White,White,Angry,"Dissatisfied, but not angry or angry",West,Yes,Female,White women,Married women,Suburbs,Suburbs,Alaska,,Telephone survey,Before that,Before that,Before that,Before that,,,,,Version 2,,No,99645.0,1.77261233329773
131.0,Mark Begich,Bill Walker,,18-29,18-29,18-24,18-44,18-29,18-24,,,,Complete,About the right amount,,1.0,College graduate,College graduate,More than High school graduate,,Favorable,Unfavorable,,1.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999",,Approve,,No,,Worried,Somewhat worried,Approve,Strongly approve,,,18-44,18-64,Independent/Something else,,,Independent,Independent Women,,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,,,State questionnaire,,,,,,West,,Female,,,"Cities 50,000-500,000","Cities over 50,000",Alaska,Yes,Telephone survey,,,,,Generally going in the right direction,Both of them,Mark Begich did,Dan Sullivan did,Version 1,No,,99507.0,0.829698383808136
129.0,Mark Begich,Bill Walker,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,About the right amount,,1.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable,,1.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Approve,,No,,Worried,Somewhat worried,Approve,Somewhat approve,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,White,White,State questionnaire,White,White,White,,,West,,Male,White men,,Rural,Small Cities/Rural,Alaska,No,Telephone survey,,,,,Seriously off on the wrong track,Both of them,Mark Begich did,Dan Sullivan did,Version 1,No,No,99567.0,0.743438124656677
101870.0,Dan Sullivan,Bill Walker,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,All others,All others,Complete,Too often,Call 3,1.0,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Unfavorable,Unfavorable,,1.0,Government should do more to solve problems,,,,,,,,,Disapprove,,No,,Omit,Omit,Omit,Omit,,,18-44,18-64,,,,,,,,37.0,,,,,Other,Other,State questionnaire,Other,Other,Other,,,West,,Female,All other races,,"Cities 50,000-500,000","Cities over 50,000",Alaska,No,Election day exit poll,,,,,Generally going in the right direction,Only Mark Begich,Mark Begich did,Dan Sullivan did not,Version 1,No,No,99516.0,0.835548400878906
86043.0,Dan Sullivan,Bill Walker,,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Not complete,,Call 2,1.0,,,,,,,,1.0,Government is doing too many things better left to businesses and individuals,,,,,,,,,,,No,,,,,,,,18-44,18-64,,,,,,,,3.0,,,,,Black,Black,State questionnaire,Black,Black,Black,,,West,,Male,Black men,,Suburbs,Suburbs,Alaska,,Election day exit poll,,,,,Seriously off on the wrong track,Both of them,Mark Begich did,Dan Sullivan did,Version 1,,,99705.0,0.823919355869293
86042.0,Dan Sullivan,Bill Walker,,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Not complete,,Call 2,1.0,,,,,,,,1.0,Government is doing too many things better left to businesses and individuals,,,,,,,,,,,No,,,,,,,,18-44,18-64,,,,,,,,3.0,,,,,Black,Black,State questionnaire,Black,Black,Black,,,West,,Male,Black men,,Suburbs,Suburbs,Alaska,,Election day exit poll,,,,,Seriously off on the wrong track,Both of them,Mark Begich did,Dan Sullivan did,Version 1,,,99705.0,0.823919355869293
112.0,Dan Sullivan,Bill Walker,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Too often,,1.0,No high school diploma,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable,,1.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Disapprove,,Yes,,Worried,Very worried,Approve,Somewhat approve,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Hispanic/Latino,Hispanic/Latino,,,West,,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000",Alaska,Omit,Telephone survey,,,,,Seriously off on the wrong track,Both of them,Mark Begich did,Dan Sullivan did,Version 1,No,No,99511.0,1.6285799741745
101836.0,Other,Bill Walker,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Omit,Call 3,1.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Omit,Omit,,1.0,Omit,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Omit,,No,,Omit,Omit,Omit,Omit,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,29.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,White,,,West,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Alaska,Omit,Election day exit poll,,,,,Seriously off on the wrong track,Omit,Omit,Omit,Version 1,,No,99515.0,0.768954813480377
217.0,Other,Other,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,All others,All others,Complete,,,1.0,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,Barack Obama was not a factor,1.0,,Went too far,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,Omit,No,No,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Something else,Independent Men,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Very important,Important,Other,Other,State questionnaire,Other,Other,Other,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",West,No,Male,All other races,Non married men,"Cities 50,000-500,000","Cities over 50,000",Alaska,,Telephone survey,Before that,In the last month,Before that,In the last month,,,,,Version 2,,No,99501.0,2.2069206237793
101859.0,Dan Sullivan,,Did not vote,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,1.0,,,,,,,Barack Obama was not a factor,1.0,,Omit,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Omit,No,Yes,,,,,Omit,Omit,45+,18-64,,,,,,,Conservative,37.0,,,Omit,Omit,White,White,State questionnaire,White,White,White,Omit,Omit,West,Omit,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Alaska,,Election day exit poll,Before that,In the last month,Before that,In the last month,,,,,Version 2,,No,99516.0,0.732918798923492
102328.0,Did not vote,Did not vote,Did not vote,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,About the right amount,Call 3,1.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable,,1.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Disapprove,,No,,Not worried,Not too worried,Approve,Strongly approve,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,19.0,Moderate/Liberal Republicans,Moderate Independents,,,White,White,State questionnaire,White,White,White,,,West,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Alaska,No,Election day exit poll,,,,,Seriously off on the wrong track,Neither of them,Mark Begich did not,Dan Sullivan did not,Version 1,No,Yes,99504.0,0.659713506698608
102039.0,Did not vote,Did not vote,Did not vote,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,All others,All others,Complete,,Call 3,1.0,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,Barack Obama was not a factor,1.0,,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,Foreign policy,No,No,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Something else,Independent Men,All others,Moderate,27.0,Moderate/Liberal Republicans,Moderate Independents,Very important,Important,Other,Alaska Native,State questionnaire,Other,Other,Alaskan Native,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",West,Yes,Male,All other races,Non married men,"Cities 50,000-500,000","Cities over 50,000",Alaska,,Election day exit poll,Before that,Before that,Before that,Before that,,,,,Version 2,,No,99502.0,0.610481142997742
101889.0,Mark Begich,Did not vote,Did not vote,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Not often enough,Call 3,1.0,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Unfavorable,,1.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Disapprove,,Yes,,Worried,Somewhat worried,Approve,Somewhat approve,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Something else,Independent Women,All others,Moderate,48.0,Moderate/Liberal Republicans,Moderate Independents,,,Other,Alaska Native,State questionnaire,Hispanic/Latino,Hispanic/Latino,Hispanic/Latino,,,West,,Female,Latino women,,Rural,Small Cities/Rural,Alaska,No,Election day exit poll,,,,,Seriously off on the wrong track,Only Dan Sullivan,Mark Begich did not,Dan Sullivan did,Version 1,No,No,99901.0,0.781505346298218
119.0,Mark Begich,Did not vote,Did not vote,30-44,30-59,30-39,18-44,30-44,30-39,,,,Complete,Not often enough,,1.0,College graduate,College graduate,More than High school graduate,,Unfavorable,Unfavorable,,1.0,Government is doing too many things better left to businesses and individuals,,,,,,,,,Disapprove,,,,Not worried,Not too worried,Disapprove,Somewhat disapprove,,,18-44,18-64,,,,,,,,,,,,,,,State questionnaire,,,,,,West,,Female,,,Rural,Small Cities/Rural,Alaska,No,Telephone survey,,,,,Generally going in the right direction,Neither of them,Mark Begich did not,Dan Sullivan did not,Version 1,,,99825.0,0.829548835754395
38.0,Did not vote,Sean Parnell,Did not vote,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Not often enough,,1.0,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Unfavorable,,1.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Disapprove,,No,,Not worried,Not too worried,Approve,Strongly approve,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,,Black,Black,State questionnaire,Black,Black,Black,,,West,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000",Alaska,Omit,Telephone survey,,,,,Generally going in the right direction,Omit,Omit,Omit,Version 1,No,No,99508.0,4.29491424560547
102079.0,Mark Begich,Sean Parnell,Did not vote,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Not complete,,Call 3,1.0,,,,,,,To express opposition to Barack Obama,1.0,,,,,,,,,,,,Yes,Yes,,,,,,,18-44,18-64,,,,,,,,30.0,,,,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Hispanic/Latino,Hispanic/Latino,,,West,,Male,Latino men,Married men,"Cities 50,000-500,000","Cities over 50,000",Alaska,,Election day exit poll,Before that,Before that,Before that,Before that,,,,,Version 2,,,99515.0,0.514646887779236
101689.0,Mark Begich,Sean Parnell,Did not vote,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Too often,Call 3,1.0,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable,,1.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,,No,,Worried,Somewhat worried,Disapprove,Strongly disapprove,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,44.0,Moderate/Liberal Republicans,Moderate Independents,,,White,White,State questionnaire,White,White,White,,,West,,Female,White women,,Rural,Small Cities/Rural,Alaska,No,Election day exit poll,,,,,Seriously off on the wrong track,Both of them,Mark Begich did,Dan Sullivan did,Version 1,No,No,99901.0,0.697373688220978
84883.0,Dan Sullivan,Sean Parnell,Did not vote,45-65,30-59,50-59,45+,45-59,50-64,,,,Complete,Too often,Call 2,1.0,College graduate,College graduate,More than High school graduate,,Unfavorable,Favorable,,1.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999",,Approve,,No,,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,18-64,Republican,,,Republican,Republican Men,,Conservative,16.0,Independent/Something else,Conservative Republicans,,,,,State questionnaire,,,,,,West,,Male,,,Rural,Small Cities/Rural,Alaska,Yes,Election day exit poll,,,,,Seriously off on the wrong track,Only Mark Begich,Mark Begich did,Dan Sullivan did not,Version 1,Yes,No,99567.0,0.679681181907654
