ID,SENLA14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,CALL,CASSIDYCNSRV,CDNUM,CONTACTCASSIDY,CONTACTLA14,CONTACTLANDRIEU,ECONBETT,ECONDIR,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,GUNOWNER12,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,JINDALPRES,LANDRIEUTOOCLOSE,LATINO,MARIJUANALAW,MARRIED,MINWAGE14,NEC,NEC2,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PTYIMPT14,PTYIMPT14B,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,REL5,RELIGN10,RELWHITE,RUNOFFLA14,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEAPARTY,TEAPARTY3,TELEPOLL,TERRWORR,TERWORR2,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,VERSION,WEIGHT,WHNCLINC
57065.0,Wayne Albes,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,,Complete,Call 1,,5.0,,,,,,No high school diploma,No college degree,High school graduate or less,White no college degree,Unfavorable,Unfavorable,,4.0,Government is doing too many things better left to businesses and individuals,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,,,No,Legal,,,,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Liberal,98.0,Moderate/Liberal Republicans,Liberal Independents,,,White,White,National questionnaire,White,White,,,South,,,,,No,Male,White men,,Suburbs,Suburbs, Louisiana,,,Election day exit poll,,,,,,,Seriously off on the wrong track,Version 4,1.3033504486084,Yes
73643.0,Wayne Albes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,Call 2,,4.0,,,,Getting better,Getting better,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,1.0,Government is doing too many things better left to businesses and individuals,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Approve,,,,No,,Yes,,Not so good,Not so good or poor,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Moderate,107.0,Conservative Republicans,Mod./Liberal Republicans,,,White,White,State questionnaire,White,White,,,South,,,,Bill Cassidy,,Male,White men,Married men,Rural,Small Cities/Rural, Louisiana,,,Election day exit poll,Somewhat worried,Very or somewhat worried,Before that,Before that,Before that,Before that,Seriously off on the wrong track,Version 1,0.640722751617432,No
97771.0,Wayne Albes,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,,,,Complete,Call 3,,4.0,,,,Getting better,Getting better,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,1.0,Government should do more to solve problems,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Disapprove,,,,No,,No,,Good,Excellent or good,Worried,Somewhat worried,Approve,Strongly approve,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,3.0,Liberal Democrats,Liberal Democrats,,,Black,Black,State questionnaire,Black,Black,,,South,,,,Mary Landrieu,,Male,Black men,Non married men,Rural,Small Cities/Rural, Louisiana,,,Election day exit poll,Very worried,Very or somewhat worried,Before that,Before that,Before that,Before that,Generally going in the right direction,Version 1,1.48463046550751,No
99955.0,Wayne Albes,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Never,Never,All others,Complete,Call 3,Too conservative,1.0,,,,,,No high school diploma,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,4.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,About the right amount,No,Legal,,Favor,,,,,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,99.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,,,South,,,,Would not vote in the U.S. Senate runoff,No,Male,White men,,"Cities 50,000-500,000","Cities over 50,000", Louisiana,Strongly oppose,Oppose,Election day exit poll,,,,,,,,Version 3,0.987386763095856,No
10329.0,Wayne Albes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,6.0,,,,,,No high school diploma,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,4.0,Omit,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,,,No,Omit,,,,,,,,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,,White,White,National questionnaire,White,White,,,South,,,,,No,Female,White women,,Suburbs,Suburbs, Louisiana,,,Telephone survey,,,,,,,Omit,Version 4,0.0,Yes
10238.0,Wayne Albes,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,,,,Complete,,,2.0,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,4.0,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Disapprove,Foreign policy,,,No,,,,,,Worried,Somewhat worried,Approve,Strongly approve,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,,Black,Black,National questionnaire,Black,Black,,,South,,,,,,Female,Black women,,Suburbs,Suburbs, Louisiana,,,Telephone survey,Somewhat worried,Very or somewhat worried,,,,,,Version 1,0.0,No
10237.0,Wayne Albes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,3.0,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,2.0,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,Health care,,,No,,,,,,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,National questionnaire,White,White,,,South,,,,,,Female,White women,,Suburbs,Suburbs, Louisiana,,,Telephone survey,Very worried,Very or somewhat worried,,,,,,Version 1,0.0,Yes
52605.0,Wayne Albes,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,,,,Complete,Call 1,,4.0,No,Neither of them,No,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,Barack Obama was not a factor,1.0,,Yes,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,Illegal immigration,,,No,,No,,,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Something else,Independent Men,All others,Moderate,4.0,Moderate/Liberal Republicans,Moderate Independents,Somewhat important,Important,Black,Black,State questionnaire,Black,Black,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,,,,Mary Landrieu,,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000", Louisiana,,,Election day exit poll,,,,,,,,Version 2,0.509828984737396,No
58392.0,Wayne Albes,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,,Not complete,Call 1,,2.0,,,,,,,,,,,,,2.0,Government is doing too many things better left to businesses and individuals,,,,,,,,,,Approve,,,,No,,,,,,,,,,,,45+,18-64,,,,,,,,85.0,,,,,White,White,State questionnaire,White,White,,,South,,,,,,Male,White men,,Suburbs,Suburbs, Louisiana,,,Election day exit poll,,,Before that,Before that,Before that,Before that,Seriously off on the wrong track,Version 1,1.40305578708649,
9690.0,Wayne Albes,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,All others,All others,A few times a year,Occasionally,All others,Complete,,,2.0,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,3.0,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,,,,No,,,,,,,,,,,,45+,18-64,Democrat,Non-black Democrat,All Other,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,,Other,Other,National questionnaire,Other,Other,,,South,Protestant/Other Non-Catholic Christian,Other christian,,,,Female,All other races,,Suburbs,Suburbs, Louisiana,,,Telephone survey,,,,,,,,Version 3,0.0,No
9689.0,Wayne Albes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Once a week,Weekly,Protestant/Attend weekly,Complete,,,5.0,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,2.0,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,,No,,Yes,,,,,,,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,National questionnaire,White,White,,,South,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,,,Male,White men,Married men,Suburbs,Suburbs, Louisiana,,,Telephone survey,,,,,,,,Version 3,0.0,No
9778.0,Wayne Albes,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,,,,Complete,,,5.0,,,,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,,4.0,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,,,,No,,,,,,,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,Black,Black,National questionnaire,Black,Black,,,South,Protestant/Other Non-Catholic Christian,Other christian,,,,Female,Black women,,Suburbs,Suburbs, Louisiana,Omit,Omit,Telephone survey,,,,,,,,Version 5,0.0,No
57808.0,Wayne Albes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,More than once a week,Weekly,Catholic/Attend weekly,Complete,Call 1,Not conservative enough,3.0,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Favorable,,2.0,,,,,,,,,,,,,No,Too often,No,Illegal,,Favor,,,,,,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,,,South,Catholic,Catholic,Catholic,Bill Cassidy,Yes,Female,White women,,Suburbs,Suburbs, Louisiana,Neutral,Neutral,Election day exit poll,,,,,,,,Version 3,1.23805916309357,
9916.0,Wayne Albes,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,,,,Complete,,,2.0,,,,Staying about the same,Good and staying the same,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,5.0,,,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,Foreign policy,,,No,,No,,Good,Excellent or good,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,Independent Men,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,,Black,Black,National questionnaire,Black,Black,Angry,"Dissatisfied, but not angry or angry",South,,,,,,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000", Louisiana,,,Telephone survey,,,,,,,,Version 2,0.0,No
57606.0,Wayne Albes,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,,,,Complete,Call 1,,2.0,,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable,,5.0,Government should do more to solve problems,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,,,,No,Legal,,,,,,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,70.0,Liberal Democrats,Liberal Democrats,,,Black,Black,National questionnaire,Black,Black,,,South,,,,,No,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000", Louisiana,,,Election day exit poll,,,,,,,Generally going in the right direction,Version 4,0.366398364305496,No
98111.0,Wayne Albes,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,,Complete,Call 3,,5.0,,,,Getting better,Getting better,College graduate,College graduate,More than High school graduate,White college degree,,,,1.0,,,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,,,No,,Yes,,Not so good,Not so good or poor,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Moderate,75.0,Conservative Republicans,Mod./Liberal Republicans,,,White,White,National questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,,,,,,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural, Louisiana,,,Election day exit poll,,,,,,,,Version 2,0.570135295391083,No
76319.0,Wayne Albes,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,,Not complete,Call 2,,1.0,,,,,,,,,,Unfavorable,Favorable,,4.0,,,,,,,,,,,,,,,No,,,Oppose,,,,,,,,,18-44,18-64,,,,,,,,48.0,,,,,White,White,State questionnaire,White,White,,,South,Catholic,Catholic,Catholic,,Yes,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", Louisiana,,,Election day exit poll,,,,,,,,Version 3,0.76726496219635,
56813.0,Wayne Albes,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,A few times a year,Occasionally,Catholic/Do not attend weekly,Complete,Call 1,Too conservative,2.0,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,2.0,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,About the right amount,No,Legal,,Favor,,,,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,85.0,Moderate/Liberal Republicans,Moderate Independents,,,White,White,State questionnaire,White,White,,,South,Catholic,Catholic,Catholic,Mary Landrieu,Yes,Female,White women,,Suburbs,Suburbs, Louisiana,Strongly oppose,Oppose,Election day exit poll,,,,,,,,Version 3,1.17294871807098,No
98457.0,Bill Cassidy,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Never,Never,All others,Complete,Call 3,About right,4.0,,,,,,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Unfavorable,,1.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,Too often,No,Illegal,,Oppose,,,,,,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,19.0,Independent/Something else,Conservative Republicans,,,White,White,State questionnaire,White,White,,,South,Protestant/Other Non-Catholic Christian,Other christian,Protestant/Other Non-Catholic Christian,Bill Cassidy,No,Female,White women,,Rural,Small Cities/Rural, Louisiana,Strongly support,Support,Election day exit poll,,,,,,,,Version 3,1.31722521781921,No
56678.0,Bill Cassidy,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,Call 1,,1.0,Yes,Only Bill Cassidy,No,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,To express opposition to Barack Obama,4.0,,Yes,Went too far,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,The economy,,,No,,Yes,,,,,,,,Angry,"Dissatisfied, but not angry or angry",45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,42.0,Independent/Something else,Conservative Republicans,Very important,Important,White,White,State questionnaire,White,White,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,,,,Bill Cassidy,,Female,White women,Married women,"Cities 10,000-50,000",Small Cities/Rural, Louisiana,,,Election day exit poll,,,,,,,,Version 2,1.01873171329498,No
