ID,GOVNY14,HOUNY14,ABORT2,ABORTION,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK14,BREAK14B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,CHRISTIEPRES,CLIMATECHANGE,CONGRESS,CONGRESS4,EBOLA14,ECONBETT,ECONDIR,ECONFAIR,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FINSIT2,FOLLOW14,FOLLOW14B,FOROBAMAH,GAY,GEOCODE,GOVTDO10,HCLINPRES,HEALTHCARE14,HILLVREP,IMMDEPORT,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,JBUSHPRES,LANDPHONE,LATINO,LIFE,MARCHILD,MARIJUANALAW,MARRIED,NEC,NEC2,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PAULPRES,PERRYPRES,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RACEREL14,RCONGANG,RCONGANG2,REGION,REL5,RELIGN10,RELWHITE,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TERRWORR,TERWORR2,TRACK,TRUSTGOV,TRUSTGOVB,UNIONHH12,VERSION,VETVOTER,WEIGHT,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,WRKWOMEN4
76365.0,Andrew Cuomo,,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,,,,Complete,Omit,Omit,,Call 2,15.0,,,,,,Omit,Omit,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,,,,1.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Omit,Health care,,,Yes,,,,,,,Worried,Very worried,Approve,Somewhat approve,,,45+,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Men,Non-White Democrats,,,Liberal,10.0,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino,,,,East,,,,,Male,Latino men,,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,Very worried,Very or somewhat worried,,,,,Version 1,Yes,0.863417744636536,,No,,,,,,,
74404.0,Andrew Cuomo,,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,Call 2,21.0,,,,,,,,,Staying about the same,Good and staying the same,,No high school diploma,No college degree,High school graduate or less,White no college degree,,,,,,Barack Obama was not a factor,,5.0,,,Was about right,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,Health care,,,No,,,,Yes,Good,Excellent or good,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,,,Moderate,34.0,Conservative Republicans,Mod./Liberal Republicans,White,White,National questionnaire,White,White,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",East,,,,,Female,White women,Married women,Suburbs,Suburbs,English, New York,,,,Election day exit poll,,,,,,,Version 2,,1.85393035411835,,Yes,,No,Non-working women,,,All others,Non-working women
98194.0,Andrew Cuomo,,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,All others,All others,,,,Complete,Extremely closely,Extremely or very closely,,Call 3,6.0,,,,,,Disapprove,Somewhat disapprove,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,,,,1.0,,,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Disapprove,Foreign policy,,,No,,,,,,,Worried,Somewhat worried,Disapprove,Strongly disapprove,,,45+,65+,,Democrat,Non-black Democrat,All Other,Democrat,Democratic Women,Non-White Democrats,,,Conservative,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Other,National questionnaire,Other,Other,,,,East,,,,,Female,All other races,,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,Very worried,Very or somewhat worried,,,,,Version 1,No,0.676632761955261,,No,,,,,,,
74313.0,Andrew Cuomo,,,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,All others,All others,,,,Complete,,,No,Call 2,6.0,Yes,Both regular land-line and cell phone service,,No,,,,Approve,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,Very closely,Extremely or very closely,,No,1.0,,Yes,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,,No,Yes,No,,,,,,,,,,,,,45+,18-64,,Democrat,Non-black Democrat,All Other,Democrat,Democratic Women,Non-White Democrats,No,No,Liberal,104.0,Liberal Democrats,Liberal Democrats,Other,Asian,National questionnaire,Asian,Asian,,,,East,Protestant/Other Non-Catholic Christian,Other christian,,,Female,All other races,,"Cities over 500,000","Cities over 50,000",English, New York,Neither,Somewhat oppose,Oppose,Election day exit poll,,,,,,,Version 5,,0.707018554210663,Non-white,No,All others,,,No,,,
95392.0,Andrew Cuomo,,,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,Call 3,4.0,,,,,Yes,,,,,,Favors the wealthy,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,,,,,2.0,Government should do more to solve problems,,,,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,,No,Worse than life today,,Legal,,,,,,,,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,,,Liberal,69.0,Moderate/Liberal Republicans,Liberal Independents,White,White,National questionnaire,White,White,Stayed about the same,,,East,,,,Yes,Female,White women,,Suburbs,Suburbs,English, New York,,,,Election day exit poll,,,Seriously off on the wrong track,,,,Version 4,,1.43372201919556,,No,,,,,,,
51029.0,Andrew Cuomo,,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,,Complete,Very closely,Extremely or very closely,,Call 1,4.0,,,,,,Approve,Somewhat approve,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,2.0,,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Approve,The economy,,,No,,,,,,,Worried,Very worried,Approve,Somewhat approve,,,45+,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,,,Moderate,69.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,,,,East,,,,,Male,White men,,Suburbs,Suburbs,English, New York,,,,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,Version 1,No,1.3468269109726,,No,,,,,,,
98192.0,Andrew Cuomo,,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,All others,All others,,,,Complete,Extremely closely,Extremely or very closely,,Call 3,6.0,,,,,,Disapprove,Somewhat disapprove,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,,,,1.0,,,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Disapprove,Foreign policy,,,No,,,,,,,Worried,Somewhat worried,Disapprove,Strongly disapprove,,,45+,65+,,Democrat,Non-black Democrat,All Other,Democrat,Democratic Women,Non-White Democrats,,,Conservative,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Other,National questionnaire,Other,Other,,,,East,,,,,Female,All other races,,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,Very worried,Very or somewhat worried,,,,,Version 1,No,0.676632761955261,,No,,,,,,,
95278.0,Andrew Cuomo,,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,Call 3,9.0,,,,,,,,,Staying about the same,Poor and staying the same,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,To express opposition to Barack Obama,,1.0,,,Went too far,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Illegal immigration,,,No,,,,Yes,Poor,Not so good or poor,,,,,Angry,"Dissatisfied, but not angry or angry",45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,,,Conservative,36.0,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",East,,,,,Male,White men,Married men,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,,,,,,,Version 2,,0.724833607673645,,No,,Yes,Working men,,,All others,Working men
97120.0,Andrew Cuomo,,,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,All others,All others,,,,Complete,,,,Call 3,6.0,,,,,Yes,,,,,,Favors the wealthy,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Favorable,Unfavorable,,,,,,1.0,Government should do more to solve problems,,,,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,,,,No,Better than life today,,Legal,,,,,,,,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,All Other,Independent,Independent Women,All others,,,Liberal,104.0,Moderate/Liberal Republicans,Liberal Independents,Other,Asian,National questionnaire,Asian,Asian,Stayed about the same,,,East,,,,Yes,Female,All other races,,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,,,Generally going in the right direction,,,,Version 4,,0.707018554210663,,No,,,,,,,
50766.0,Andrew Cuomo,,,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,All others,All others,,,,Complete,,,,Call 1,6.0,,,,,,,,,Getting better,Getting better,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,,Barack Obama was not a factor,,1.0,,,Omit,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",,The economy,,,No,,,,Yes,Not so good,Not so good or poor,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,,Democrat,Non-black Democrat,All Other,Democrat,Democratic Women,Non-White Democrats,,,Moderate,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Other,National questionnaire,Other,Other,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",East,,,,,Female,All other races,Married women,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,,,,,,,Version 2,,0.707018554210663,,No,,Yes,Working women,,,Working women,Working women
75741.0,Andrew Cuomo,,Omit,Omit,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Never,Never,All others,Complete,,,No,Call 2,15.0,,,No,,,,,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,Better,,,,,1.0,,,,It depends,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,,,,No,,All others,,No,,,,,,,,,45+,18-64,Men without children,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,,,,10.0,,,Black,Black,National questionnaire,Black,Black,,,,East,None,None,,,Male,Black men,Non married men,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,,,,Only some of the time,Only some of the time or never,Yes,Version 3,,1.09320831298828,Non-white,No,All others,,,No,,,
50512.0,Andrew Cuomo,,,,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,,,,Complete,Omit,Omit,,Call 1,8.0,,,,,,Disapprove,Strongly disapprove,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,,1.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Disapprove,Health care,,,,,,,,,,Worried,Somewhat worried,Approve,Strongly approve,,,45+,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,,,,50.0,,,Black,Black,National questionnaire,Black,Black,,,,East,,,,,Male,Black men,,"Cities over 500,000","Cities over 50,000",, New York,,,,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,Version 1,,0.232859745621681,,No,,,,,,,
50425.0,Andrew Cuomo,,,,,,,,,,,,,,,,Complete,Extremely closely,Extremely or very closely,,Call 1,23.0,,,,,,Omit,Omit,,,,,Postgraduate study,College graduate,More than High school graduate,,,,,,,,,5.0,,,,,,,,,,,,,Omit,Omit,,,,,,,,,,Worried,Very worried,Omit,Omit,,,,,,Independent/Something else,,,Something else,Independent Women,,,,Moderate,15.0,Moderate/Liberal Republicans,Moderate Independents,,,National questionnaire,,,,,,East,,,,,Female,,,Rural,Small Cities/Rural,, New York,,,,Election day exit poll,Omit,Omit,,,,,Version 1,,1.42837560176849,,,,,,,,,
75275.0,Rob Astorino,,Legal,Legal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,Catholic/Do not attend weekly,Complete,,,Yes,Call 2,20.0,,,No,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Worse,,,,,3.0,,,,It depends,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,,No,,All others,,Yes,,,,,,,,,45+,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,,,Conservative,127.0,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,,,,East,Catholic,Catholic,Catholic,,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",English, New York,,,,Election day exit poll,,,,Only some of the time,Only some of the time or never,Yes,Version 3,,1.49635779857636,White Catholics,Yes,White Born-again/Evangelical Christians,,,No,All others,,
95573.0,Rob Astorino,,,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,Call 3,24.0,,,,,,,,,Getting worse,Worse,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,Barack Obama was not a factor,,4.0,,,Was about right,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,,,No,,,,Yes,Not so good,Not so good or poor,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,,,Moderate,13.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",East,,,,,Female,White women,Married women,Rural,Small Cities/Rural,English, New York,,,,Election day exit poll,,,,,,,Version 2,,0.935446441173553,,No,,Yes,Working women,,,Working women,Working women
74393.0,Rob Astorino,,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,Somewhat closely,Somewhat or not too closely,,Call 2,6.0,,,,,,Disapprove,Strongly disapprove,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,1.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,Foreign policy,,,No,,,,,,,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,,,Conservative,104.0,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,,,,East,,,,,Female,White women,,"Cities over 500,000","Cities over 50,000",English, New York,,,,Election day exit poll,Very worried,Very or somewhat worried,,,,,Version 1,No,0.62947404384613,,No,,,,,,,
