ID,GOVOH14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,ECON4YEAROH,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVPUBLICUNION,FAVREP2,GEOCODE,GOVTDO10,HEALTHCARE14,HILLVREP,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,KASICHHEALTH,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TRACK,UNIONHH12,VERSION,WEIGHT,WHNCLINC
88966.0,Edward FitzGerald,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 3,3.0,Better today,College graduate,College graduate,More than High school graduate,Non white college degree,Favorable,Favorable,Unfavorable,4.0,Government should do more to solve problems,Was about right,Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Disapprove,No,No,Worried,Very worried,Approve,Strongly approve,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Something else,Independent Women,All others,Moderate,52.0,Moderate/Liberal Republicans,Moderate Independents,Black,Black,State questionnaire,Black,Black,Midwest,Yes,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,0.917632877826691,No
72765.0,Edward FitzGerald,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,7.0,Better today,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Favorable,Favorable,2.0,Government is doing too many things better left to businesses and individuals,Was about right,Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Disapprove,No,Yes,Not worried,Not too worried,Approve,Somewhat approve,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,109.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,Midwest,Yes,Male,White men,Married men,Suburbs,Suburbs,Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,0.580803155899048,No
72740.0,Edward FitzGerald,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,10.0,Worse today,No high school diploma,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,Unfavorable,5.0,Government should do more to solve problems,Did not go far enough,Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,No,Yes,Worried,Very worried,Approve,Somewhat approve,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,117.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Midwest,No,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Seriously off on the wrong track,No,Version 1,0.512048840522766,Yes
52484.0,Edward FitzGerald,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,3.0,About the same,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Favorable,Unfavorable,4.0,Government is doing too many things better left to businesses and individuals,Was about right,Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Disapprove,No,Yes,Worried,Somewhat worried,Approve,Somewhat approve,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,61.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Married women,Suburbs,Suburbs,Ohio,Election day exit poll,Seriously off on the wrong track,Yes,Version 1,0.619178771972656,No
52482.0,Edward FitzGerald,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,10.0,Worse today,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable,Favorable,5.0,Government should do more to solve problems,Went too far,The Republican candidate,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,No,No,Not worried,Not too worried,Disapprove,Strongly disapprove,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Conservative,117.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,Midwest,No,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Seriously off on the wrong track,No,Version 1,0.512048840522766,No
52471.0,Edward FitzGerald,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,9.0,,College graduate,College graduate,More than High school graduate,White college degree,,,,1.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,No,,Worried,Somewhat worried,Approve,Somewhat approve,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,89.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,Midwest,,Male,White men,,Suburbs,Suburbs,Ohio,Election day exit poll,,,Version 1,0.784936666488647,No
88911.0,Edward FitzGerald,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 3,2.0,Better today,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Favorable,Unfavorable,5.0,Government should do more to solve problems,Did not go far enough,It depends,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,No,No,Worried,Somewhat worried,Approve,Somewhat approve,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,69.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,0.186802387237549,No
52455.0,Edward FitzGerald,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,16.0,About the same,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Favorable,Unfavorable,2.0,Government is doing too many things better left to businesses and individuals,Was about right,It depends,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,No,Yes,Worried,Very worried,Disapprove,Somewhat disapprove,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,158.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Midwest,No,Male,White men,Married men,Rural,Small Cities/Rural,Ohio,Election day exit poll,Seriously off on the wrong track,No,Version 1,0.593565940856934,Yes
88893.0,Edward FitzGerald,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,Call 3,3.0,Better today,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Favorable,Unfavorable,4.0,Government should do more to solve problems,Was about right,Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Approve,No,No,Not worried,Not too worried,Approve,Somewhat approve,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,Independent Women,All others,Liberal,52.0,Moderate/Liberal Republicans,Liberal Independents,Black,Black,State questionnaire,Black,Black,Midwest,Yes,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,1.14121043682098,No
88888.0,Edward FitzGerald,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 3,10.0,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,5.0,,,,,,,,,,,,No,,Worried,Very worried,Approve,Strongly approve,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,121.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,Midwest,,Female,Black women,,Suburbs,Suburbs,Ohio,Election day exit poll,,,Version 1,1.13466477394104,No
72684.0,Edward FitzGerald,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 2,3.0,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,4.0,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,Yes,,Worried,Somewhat worried,Disapprove,Somewhat disapprove,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,Independent Women,All others,Liberal,57.0,Moderate/Liberal Republicans,Liberal Independents,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino,Midwest,,Female,Latino women,,Suburbs,Suburbs,Ohio,Election day exit poll,,,Version 1,0.644624471664429,No
72683.0,Edward FitzGerald,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Call 2,9.0,Better today,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Favorable,Unfavorable,2.0,Omit,Was about right,Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Approve,No,No,Not worried,Not too worried,Approve,Strongly approve,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,93.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Black,Midwest,No,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Generally going in the right direction,Yes,Version 1,1.12421607971191,No
52437.0,Edward FitzGerald,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 1,10.0,Better today,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Favorable,Unfavorable,5.0,Government should do more to solve problems,Did not go far enough,It depends,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Approve,No,No,Worried,Somewhat worried,Approve,Strongly approve,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,117.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Midwest,No,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Seriously off on the wrong track,No,Version 1,0.512048840522766,Yes
72544.0,Edward FitzGerald,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,7.0,About the same,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Favorable,Unfavorable,3.0,Government should do more to solve problems,Did not go far enough,Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Disapprove,No,Yes,Worried,Somewhat worried,Approve,Strongly approve,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,27.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Midwest,Yes,Male,White men,Married men,Rural,Small Cities/Rural,Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,1.31590688228607,Yes
72668.0,Edward FitzGerald,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,10.0,About the same,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Favorable,Unfavorable,5.0,Government is doing too many things better left to businesses and individuals,Was about right,Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,No,No,Not worried,Not too worried,Approve,Strongly approve,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,117.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,Midwest,Yes,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Seriously off on the wrong track,Yes,Version 1,0.563648164272308,Yes
88377.0,Edward FitzGerald,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Call 3,3.0,Better today,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Favorable,Unfavorable,4.0,Government should do more to solve problems,Was about right,Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Disapprove,No,Yes,Not worried,Not too worried,Approve,Strongly approve,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,Independent Women,All others,Moderate,52.0,Moderate/Liberal Republicans,Moderate Independents,Black,Black,State questionnaire,Black,Black,Midwest,No,Female,Black women,Married women,"Cities over 500,000","Cities over 50,000",Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,0.917632877826691,No
88419.0,Edward FitzGerald,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 3,3.0,Better today,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Favorable,Unfavorable,4.0,Government is doing too many things better left to businesses and individuals,Was about right,Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Approve,No,Yes,Not worried,Not too worried,Approve,Somewhat approve,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,61.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Midwest,Yes,Male,White men,Married men,Suburbs,Suburbs,Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,0.681573569774628,No
72653.0,Edward FitzGerald,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 2,7.0,Worse today,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,Favorable,2.0,Government should do more to solve problems,Went too far,The Republican candidate,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Disapprove,No,Yes,Worried,Very worried,Disapprove,Somewhat disapprove,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate,109.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Married women,Suburbs,Suburbs,Ohio,Election day exit poll,Seriously off on the wrong track,Yes,Version 1,0.527633368968964,No
52401.0,Edward FitzGerald,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,10.0,Better today,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Omit,Omit,5.0,Government should do more to solve problems,Was about right,Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Approve,No,No,Not worried,Not too worried,Approve,Strongly approve,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,117.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,0.434233635663986,Yes
72645.0,Edward FitzGerald,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 2,8.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,3.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,No,,Not worried,Not too worried,Approve,Somewhat approve,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,18.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,Midwest,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,,,Version 1,1.2607741355896,No
88837.0,Edward FitzGerald,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 3,8.0,,College graduate,College graduate,More than High school graduate,White college degree,,,,3.0,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,No,,Not worried,Not too worried,Approve,Somewhat approve,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,18.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,Midwest,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,,,Version 1,1.2607741355896,No
88836.0,Edward FitzGerald,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Call 3,11.0,Better today,College graduate,College graduate,More than High school graduate,Non white college degree,Favorable,Favorable,Unfavorable,1.0,Government should do more to solve problems,Was about right,Hillary Clinton,,,,,,,,Omit,No,No,Worried,Very worried,Approve,Strongly approve,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Conservative,33.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Black,Midwest,No,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,0.780614018440247,No
