ID,SENMS14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CONTACTCHILDERS,CONTACTCOCHRAN,CONTACTMS14,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,LATINO,MARRIED,MCDANCHILDERS,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TRACK,VERSION,WEIGHT,WHNCLINC,WHTEVANG,ZIPCODE
90580.0,Travis Childers,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,Call 3,3.0,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,2.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",No,,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,97.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,,Suburbs,Suburbs, Mississippi,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,,Version 5,1.13204121589661,No,All others,39047.0
79223.0,Travis Childers,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Yes,Call 2,4.0,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,Yes,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,Married women,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 3,0.286323815584183,No,All others,39577.0
90541.0,Travis Childers,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,Call 3,4.0,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",No,Yes,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,104.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,Married women,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 3,0.286323815584183,No,All others,39577.0
63459.0,Travis Childers,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,Call 1,1.0,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,3.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",No,,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Moderate,113.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Male,Black men,,Rural,Small Cities/Rural, Mississippi,Born-again but not Tea Party supporter,Somewhat oppose,Oppose,Election day exit poll,,Version 5,0.74795526266098,No,All others,39339.0
90490.0,Travis Childers,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,Call 3,3.0,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,2.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",No,,,,,,,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,Independent Men,All others,Conservative,97.0,Moderate/Liberal Republicans,Conservative Independents,Black,Black,National questionnaire,Black,Black,South,Male,Black men,,Suburbs,Suburbs, Mississippi,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,,Version 5,1.18411648273468,No,All others,39047.0
77500.0,Travis Childers,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,,Call 2,4.0,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,2.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",No,,,Worried,Very worried,Approve,Strongly approve,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,104.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 1,0.298267930746078,No,,39577.0
9319.0,Travis Childers,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,,,1.0,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,3.0,,,,,,,,,,Yes,,,Worried,Very worried,Approve,Strongly approve,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Other,Black,National questionnaire,Hispanic/Latino,Hispanic/Latino,South,Female,Latino women,,Suburbs,Suburbs, Mississippi,,,,Telephone survey,,Version 1,0.0,No,,38654.0
92341.0,Travis Childers,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Not complete,,Call 3,3.0,Yes,Omit,Omit,,,,,,,3.0,Government should do more to solve problems,,,,,,,,,,,,,,,,45+,18-64,,,,,,,,74.0,,,Black,Black,State questionnaire,Black,Black,South,Female,Black women,,Rural,Small Cities/Rural, Mississippi,,Strongly oppose,Oppose,Election day exit poll,Generally going in the right direction,Version 1,0.850676655769348,,,39759.0
63370.0,Travis Childers,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,,Call 1,4.0,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,2.0,,Was about right,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",No,Yes,,,,,,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Something else,Independent Men,All others,Moderate,104.0,Moderate/Liberal Republicans,Moderate Independents,Black,Black,National questionnaire,Black,Black,South,Male,Black men,Married men,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 2,0.299495041370392,No,,39577.0
78789.0,Travis Childers,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,,Call 2,4.0,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",No,,,Worried,Somewhat worried,Approve,Strongly approve,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 1,0.286323815584183,No,,39577.0
63334.0,Travis Childers,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,Call 1,1.0,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,3.0,,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",No,No,,,,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,113.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,Non married women,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 2,0.723601996898651,No,,39339.0
88549.0,Travis Childers,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Not complete,,Call 3,3.0,No,Yes,Only Cochran,,,,,,,2.0,Government is doing too many things better left to businesses and individuals,,,,,,,,,Yes,,,,,,,45+,18-64,,,,,,,,94.0,,,Other,White,State questionnaire,Hispanic/Latino,Hispanic/Latino,South,Female,Latino women,,Suburbs,Suburbs, Mississippi,,Strongly support,Support,Election day exit poll,Seriously off on the wrong track,Version 1,1.14037156105042,,,39047.0
65184.0,Travis Childers,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Not complete,,Call 1,3.0,No,No,Neither of them,,,,,,,3.0,Government is doing too many things better left to businesses and individuals,,,,,,,,,No,,,,,,,45+,18-64,,,,,,,,74.0,,,Black,Black,State questionnaire,Black,Black,South,Male,Black men,,Rural,Small Cities/Rural, Mississippi,,Somewhat oppose,Oppose,Election day exit poll,Generally going in the right direction,Version 1,0.900436401367188,,,39759.0
65136.0,Travis Childers,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,Call 1,2.0,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,1.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",No,No,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,38.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,Non married women,Suburbs,Suburbs, Mississippi,,,,Election day exit poll,,Version 3,1.08780097961426,No,All others,39056.0
99857.0,Travis Childers,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 3,2.0,,,,College graduate,College graduate,More than High school graduate,White college degree,,,1.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,,,,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,38.0,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,South,Female,White women,,Suburbs,Suburbs, Mississippi,Born-again but not Tea Party supporter,Neutral,Neutral,Election day exit poll,,Version 5,1.34271621704102,No,White Born-again/Evangelical Christians,39056.0
65064.0,Travis Childers,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Yes,Call 1,2.0,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,1.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",No,Yes,,,,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,38.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,Married women,Suburbs,Suburbs, Mississippi,,,,Election day exit poll,,Version 3,1.10079336166382,No,All others,39056.0
65027.0,Travis Childers,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 1,2.0,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,1.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,Yes,,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,38.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,South,Male,White men,Married men,Suburbs,Suburbs, Mississippi,,,,Election day exit poll,,Version 3,1.40448272228241,No,White Born-again/Evangelical Christians,39056.0
76557.0,Travis Childers,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Not complete,,Call 2,4.0,No,No,Neither of them,,,,,,,2.0,Government should do more to solve problems,,,,,,,,,No,,,,,,,45+,18-64,,,,,,,,47.0,,,Black,Black,State questionnaire,Black,Black,South,Female,Black women,,"Cities 10,000-50,000",Small Cities/Rural, Mississippi,,Strongly oppose,Oppose,Election day exit poll,Seriously off on the wrong track,Version 1,0.93490594625473,,,39532.0
8954.0,Travis Childers,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Yes,,3.0,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,2.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",No,No,,,,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,Non married women,Rural,Small Cities/Rural, Mississippi,,,,Telephone survey,,Version 3,0.0,No,All others,39437.0
92300.0,Travis Childers,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 3,1.0,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,3.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,Yes,,,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,,113.0,,,White,White,National questionnaire,White,White,South,Female,White women,Married women,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 3,0.872211635112762,No,White Born-again/Evangelical Christians,39339.0
91960.0,Travis Childers,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Not complete,,Call 3,4.0,,,,,,,,,,2.0,,,,,,,,,,No,,,,,,,18-44,18-64,,,,,,,,104.0,,,Black,Black,National questionnaire,Black,Black,South,Female,Black women,,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 1,0.286323815584183,,,39577.0
91923.0,Travis Childers,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Not complete,,Call 3,4.0,No,No,Neither of them,,,,,,,2.0,Government should do more to solve problems,,,,,,,,,No,,,,,,,45+,18-64,,,,,,,,47.0,,,Black,Black,State questionnaire,Black,Black,South,Female,Black women,,"Cities 10,000-50,000",Small Cities/Rural, Mississippi,,Neutral,Neutral,Election day exit poll,Seriously off on the wrong track,Version 1,0.946072161197662,,,39532.0
64861.0,Travis Childers,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,Yes,Call 1,1.0,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,3.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",No,No,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,113.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,Non married women,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 3,0.744890630245209,No,All others,39339.0
62921.0,Travis Childers,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Not complete,,Call 1,4.0,,,,,,,,,,2.0,,,,,,,,,,No,,,,,,,18-44,18-64,,,,,,,,104.0,,,Black,Black,National questionnaire,Black,Black,South,Male,Black men,,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 2,0.299495041370392,,,39577.0
91883.0,Travis Childers,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Yes,Call 3,1.0,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,3.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",No,,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,113.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,,Rural,Small Cities/Rural, Mississippi,Born-again but not Tea Party supporter,Somewhat oppose,Oppose,Election day exit poll,,Version 5,0.715061545372009,No,All others,39339.0
91862.0,Travis Childers,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,Call 3,4.0,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",No,,,Worried,Somewhat worried,Approve,Strongly approve,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 1,0.286323815584183,No,,39577.0
63417.0,Travis Childers,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 1,4.0,,,,College graduate,College graduate,More than High school graduate,White college degree,,,2.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,,,Worried,Somewhat worried,Disapprove,Strongly disapprove,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate,104.0,Conservative Republicans,Mod./Liberal Republicans,White,White,National questionnaire,White,White,South,Female,White women,,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 1,0.349249601364136,No,,39577.0
64098.0,Travis Childers,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,Call 1,3.0,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,2.0,,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",No,Yes,,,,,,45+,18-64,,,,,,,Moderate,97.0,,,Black,Black,National questionnaire,Black,Black,South,Female,Black women,Married women,Suburbs,Suburbs, Mississippi,,,,Election day exit poll,,Version 2,1.13204121589661,No,,39047.0
91796.0,Travis Childers,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Yes,Call 3,4.0,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,2.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",No,,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Conservative,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Male,Black men,,Rural,Small Cities/Rural, Mississippi,Born-again but not Tea Party supporter,Neutral,Neutral,Election day exit poll,,Version 5,0.299495041370392,No,All others,39577.0
78265.0,Travis Childers,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,Call 2,4.0,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,2.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",No,No,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,Non married women,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 3,0.286323815584183,No,All others,39577.0
