ID,SENCO14,GOVCO14,AMD67CO14,ABORT2,ABORTION,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BORNINCO14,BRNAGAIN,CALL,CDNUM,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,HEALTHCARE14,IMMDEPORT,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,MOVETOCO14,MOVETOCO10YR,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PTYIMPT14,PTYIMPT14B,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TRACK,VERSION,WEIGHT,WHNCLINC,WHTEVANG,ZIPCODE
11527.0,Cory Gardner,Bob Beauprez,,Illegal,Illegal in most cases,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,No,,3.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,1.0,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,No,Yes,,,,,,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,,,White,White,National questionnaire,White,White,,,West,,Female,White women,Married women,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 3,0.469967424869537,Yes,All others,81069.0
11526.0,Mark Udall,Bob Beauprez,,Legal,Legal in all cases,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Yes,,3.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,1.0,,,,,,,,,,,,,No,No,,,,,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,,,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,0.393508702516556,,White Born-again/Evangelical Christians,81007.0
11525.0,Cory Gardner,Bob Beauprez,No,Illegal,Illegal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,No,,3.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,1.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,0.766688823699951,No,All others,81001.0
11524.0,Other,Bob Beauprez,No,Legal,Legal in all cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,No,,5.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,4.0,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,No,Yes,,,,,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,White,White,National questionnaire,White,White,,,West,,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,1.546431183815,Yes,All others,80916.0
11523.0,Cory Gardner,Bob Beauprez,Yes,Illegal,Illegal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Yes,,5.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,4.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,0.84079909324646,No,White Born-again/Evangelical Christians,80915.0
9025.0,Mark Udall,John Hickenlooper,Yes,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,,,3.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,1.0,,Omit,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Omit,No,No,,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,National questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",West,,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 2,1.05436074733734,No,,81005.0
11521.0,Mark Udall,John Hickenlooper,No,Illegal,Illegal in all cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,4.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,1.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,,White,White,National questionnaire,White,White,,,West,,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,0.461729258298874,No,All others,80634.0
11520.0,Mark Udall,John Hickenlooper,No,Legal,Legal in all cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,No,,7.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,2.0,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,No,,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Non married men,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 3,1.07412052154541,No,All others,80601.0
11519.0,Cory Gardner,John Hickenlooper,Yes,Legal,Legal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,No,,4.0,College graduate,College graduate,More than High school graduate,White college degree,,,,1.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Married men,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 3,0.348432213068008,No,All others,80517.0
11518.0,Mark Udall,Bob Beauprez,Yes,Legal,Legal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,,Yes,,4.0,,,,,,,,3.0,,,,,,,,,,,,,Yes,No,,,,,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,Independent Men,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,Other,White,National questionnaire,Hispanic/Latino,Hispanic/Latino,,,West,,Male,Latino men,Non married men,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 3,1.25479161739349,,All others,80501.0
11517.0,Mark Udall,John Hickenlooper,Did not vote,Legal,Legal in all cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,No,,3.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,5.0,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Married men,Rural,Small Cities/Rural,English,Colorado,Telephone survey,,Version 3,0.118633434176445,No,All others,80487.0
11516.0,Mark Udall,John Hickenlooper,Yes,Legal,Legal in most cases,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,No,,6.0,College graduate,College graduate,More than High school graduate,White college degree,,,,3.0,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,No,No,,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,,White,White,National questionnaire,White,White,,,West,,Female,White women,Non married women,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 3,1.67622220516205,No,All others,80454.0
11515.0,Mark Udall,John Hickenlooper,No,Legal,Legal in most cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,No,,2.0,College graduate,College graduate,More than High school graduate,White college degree,,,,3.0,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Married men,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 3,2.5190737247467,No,All others,80439.0
9006.0,Mark Udall,John Hickenlooper,No,,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,,,7.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,3.0,,Went too far,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Illegal immigration,No,No,,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,National questionnaire,White,White,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",West,,Male,White men,Non married men,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 2,1.86641192436218,No,,80215.0
11513.0,Mark Udall,John Hickenlooper,No,Illegal,Illegal in all cases,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,No,,7.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,2.0,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,No,No,,,,,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,2.22595596313477,Yes,All others,80231.0
11512.0,Cory Gardner,Bob Beauprez,Yes,Illegal,Illegal in all cases,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Yes,,2.0,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,Yes,,,,,,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Married men,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 3,2.17308306694031,No,White Born-again/Evangelical Christians,80229.0
11511.0,Mark Udall,John Hickenlooper,No,Legal,Legal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,No,,1.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,2.0,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Married men,"Cities over 500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,1.20891153812408,No,All others,80222.0
11510.0,Other,John Hickenlooper,Did not vote,Legal,Legal in all cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,No,,1.0,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,No,,,,,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,,White,White,National questionnaire,White,White,,,West,,Female,White women,Non married women,"Cities over 500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,0.160449028015137,No,All others,80220.0
11509.0,Cory Gardner,Bob Beauprez,Yes,Illegal,Illegal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Yes,,1.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,2.0,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,No,No,,,,,,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,0.937612235546112,Yes,White Born-again/Evangelical Christians,80219.0
11508.0,Other,John Hickenlooper,No,Legal,Legal in all cases,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,No,,1.0,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,No,No,,,,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,,White,White,National questionnaire,White,White,,,West,,Female,White women,Non married women,"Cities over 500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,4.18205404281616,No,All others,80218.0
11507.0,Cory Gardner,Bob Beauprez,No,Legal,Legal in most cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Yes,,1.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,2.0,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,No,No,,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,,White,White,National questionnaire,White,White,,,West,,Female,White women,Non married women,"Cities over 500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,2.03753399848938,Yes,White Born-again/Evangelical Christians,80210.0
11506.0,,John Hickenlooper,,Legal,Legal in most cases,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,No,,1.0,College graduate,College graduate,More than High school graduate,White college degree,,,,2.0,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,No,,,,,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",English,Colorado,Telephone survey,,Version 3,0.146091148257256,No,All others,80205.0
11505.0,Cory Gardner,Bob Beauprez,Yes,Illegal,Illegal in all cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Yes,,6.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,4.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,,White,White,National questionnaire,White,White,,,West,,Female,White women,Married women,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 3,3.13528370857239,No,White Born-again/Evangelical Christians,80138.0
11504.0,Mark Udall,John Hickenlooper,No,Omit,Omit,45-65,30-59,50-59,45+,45-59,50-64,,,,Complete,,No,,6.0,College graduate,College graduate,More than High school graduate,,,,,3.0,,,,,,,,,,,,,,No,,,,,,,,,45+,18-64,Independent/Something else,,,Independent,Independent Women,,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,,,,National questionnaire,,,,,West,,Female,,Non married women,Suburbs,Suburbs,,Colorado,Telephone survey,,Version 3,0.558834910392761,,All others,80128.0
11503.0,,,No,Omit,Omit,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,No,,6.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,4.0,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Married men,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 3,0.0558449178934097,No,All others,80126.0
11502.0,Cory Gardner,Bob Beauprez,,Legal,Legal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,No,,6.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,4.0,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,Yes,,,,,,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,,White,White,National questionnaire,White,White,,,West,,Male,White men,Married men,Suburbs,Suburbs,English,Colorado,Telephone survey,,Version 3,0.38007128238678,No,All others,80124.0
