ID,WEIGHT,GOVVA21,LGOVVA21,AGVA21,ABORT2,ABORTION,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BIDENPRES2,BIDENPRES4,BRNAGAIN,CALL,CDNUM,CHILD12,CONMONUMENTS,COUNT2,COUNTACC,DEMLIBERAL,EARLYVELECTION,EDUC18,EDUCATIONVA21,EDUCATIONVA21B,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVGOVVA21,FAVMCAULIFFE,FAVTRUMP,FAVYOUNGKIN,FORBIDENG,FORCANDGOV,GEOCODE,GUNOWNER12,HANDLECOVIDMCAULIFFE,HANDLECOVIDVA21,HANDLECOVIDYOUNGKIN,HANDLECRIMEMCAULIFFE,HANDLECRIMEVA21,HANDLECRIMEYOUNGKIN,HANDLEECONMCAULIFFE,HANDLEECONVA21,HANDLEECONYOUNGKIN,ISSUE21VA,LATINO,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,REPCONSERVATIVE,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,STECVA,STECVA2,SUBURBWHITE,TELEPOLL,VAXMANDATEVA21,VAXSTATUS21,VERSION,VOTE2020,VOTEMETHOD,WHTEVANG,ZIPCODE
277300346.0,1.32525146007538,Terry McAuliffe,Hala Ayala,Mark Herring,,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Strongly or somewhat approve,Somewhat approve,,,5.0,,Removed,,,Not liberal enough,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",,,College graduate,More than high school graduate,White college degree,White women college graduates,Only McAuliffe,Favorable,Unfavorable,Unfavorable,Joe Biden was not a factor,,4.0,Yes,,,,,,,,,,The coronavirus pandemic,No,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,South,Too conservative,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,24522.0
277300347.0,0.359874337911606,Terry McAuliffe,Hala Ayala,Mark Herring,,,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Strongly or somewhat approve,Somewhat approve,,,1.0,,Removed,,,Not liberal enough,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",,,College graduate,More than high school graduate,Non white college degree,Non-whites,Only McAuliffe,Favorable,Unfavorable,Unfavorable,Joe Biden was not a factor,,1.0,Yes,,,,,,,,,,The economy/jobs,Yes,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Something else,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Too conservative,Female,Latino women,Suburbs,Suburbs, Virginia,,,Other,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,22193.0
277300348.0,0.642179250717163,Glenn Youngkin,Winsome Sears,Jason Miyares,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,10.0,,Omit,,,Too liberal,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",,,College graduate,More than high school graduate,Non white college degree,Non-whites,Only Youngkin,Unfavorable,Omit,Favorable,To express opposition to Joe Biden,,1.0,Yes,,,,,,,,,,The economy/jobs,Yes,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,All others,,,,,Other,,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Omit,Male,Latino men,Suburbs,Suburbs, Virginia,,,Other,Telephone survey,,Yes,Version 1,Other,Early in-person,,20112.0
277300349.0,0.642179250717163,Glenn Youngkin,Winsome Sears,Jason Miyares,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,1.0,,Left in place,,,Too liberal,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",,,College graduate,More than high school graduate,White college degree,White women college graduates,Only Youngkin,Unfavorable,Favorable,Favorable,Joe Biden was not a factor,,1.0,No,,,,,,,,,,Education,No,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,South,Not conservative enough,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,Yes,Version 1,Donald Trump,Early in-person,,20110.0
277300350.0,0.346078842878342,Terry McAuliffe,Hala Ayala,Mark Herring,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Strongly or somewhat approve,Strongly approve,,,5.0,,Removed,,,About right,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,White college degree,White women college graduates,Only McAuliffe,Favorable,Unfavorable,Unfavorable,Joe Biden was not a factor,,2.0,No,,,,,,,,,,Education,No,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,South,Too conservative,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,20186.0
277300351.0,0.394700855016708,Terry McAuliffe,Hala Ayala,Mark Herring,,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Strongly or somewhat approve,Somewhat approve,,,11.0,,Removed,,,About right,Absentee or early in-person,Associate's degree (AA or AS),,,No college degree,More than high school graduate,White no college degree,White men non college graduates,Only McAuliffe,Favorable,Unfavorable,Unfavorable,Joe Biden was not a factor,,1.0,Yes,,,,,,,,,,Abortion,No,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,White,South,Too conservative,Male,White men,Suburbs,Suburbs, Virginia,,,White suburban men,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,22030.0
277300352.0,0.346078842878342,Terry McAuliffe,Hala Ayala,Mark Herring,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Strongly or somewhat approve,Strongly approve,,,7.0,,Removed,,,About right,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,White college degree,White women college graduates,Only McAuliffe,Favorable,Unfavorable,Unfavorable,Joe Biden was not a factor,,2.0,Yes,,,,,,,,,,Abortion,No,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,South,Too conservative,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,20186.0
277300353.0,0.383092045783997,Terry McAuliffe,Hala Ayala,Mark Herring,,,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Strongly or somewhat approve,Strongly approve,,,10.0,,Removed,,,Not liberal enough,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,Non white college degree,Non-whites,Only McAuliffe,Favorable,Unfavorable,Unfavorable,Joe Biden was not a factor,,1.0,Yes,,,,,,,,,,Abortion,No,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,Black,Black,State questionnaire,Black,Non-white,Black,South,Not conservative enough,Female,Black women,Suburbs,Suburbs, Virginia,,,Other,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,20112.0
277300354.0,0.642179250717163,Glenn Youngkin,Winsome Sears,Jason Miyares,,,,,,,,,,,,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,10.0,,Removed,,,Too liberal,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",,,College graduate,More than high school graduate,,,Only Youngkin,Unfavorable,Favorable,Favorable,To express opposition to Joe Biden,,1.0,,,,,,,,,,,Education,No,,Republican,,,Republican women,Republican,,Conservative,,Independent/Something else,Conservative Republicans,,,State questionnaire,,,,South,Not conservative enough,Female,,Suburbs,Suburbs, Virginia,,,,Telephone survey,,Yes,Version 1,Donald Trump,Early in-person,,20112.0
277300355.0,0.437855154275894,Glenn Youngkin,Winsome Sears,Jason Miyares,,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,5.0,,Left in place,,,About right,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,White college degree,White women college graduates,Omit,Omit,Favorable,Omit,To express opposition to Joe Biden,,2.0,Yes,,,,,,,,,,The economy/jobs,No,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,White,South,About right,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,Yes,Version 1,Donald Trump,Early in-person,,20186.0
277300356.0,0.409526586532593,Terry McAuliffe,Hala Ayala,Mark Herring,,,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Strongly or somewhat approve,Strongly approve,,,1.0,,Removed,,,About right,Absentee or early in-person,Attended college but received no degree,,,No college degree,More than high school graduate,Non white no college degree,Non-whites,Only McAuliffe,Favorable,Unfavorable,Unfavorable,To express support for Joe Biden,,2.0,Yes,,,,,,,,,,The economy/jobs,No,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,South,Too conservative,Female,Black women,Suburbs,Suburbs, Virginia,,,Other,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,22712.0
277300357.0,0.328774869441986,Terry McAuliffe,Hala Ayala,Mark Herring,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Strongly or somewhat approve,Strongly approve,,,1.0,,Removed,,,About right,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",,,College graduate,More than high school graduate,White college degree,White women college graduates,Only McAuliffe,Favorable,Unfavorable,Unfavorable,Joe Biden was not a factor,,2.0,No,,,,,,,,,,The coronavirus pandemic,No,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,South,Too conservative,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,20119.0
277300358.0,0.383092045783997,Terry McAuliffe,Hala Ayala,Mark Herring,,,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Strongly or somewhat approve,Somewhat approve,,,10.0,,Removed,,,About right,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,Non white college degree,Non-whites,Only McAuliffe,Favorable,Unfavorable,Unfavorable,To express support for Joe Biden,,1.0,Yes,,,,,,,,,,The coronavirus pandemic,No,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Black,Black,State questionnaire,Black,Non-white,Black,South,Too conservative,Male,Black men,Suburbs,Suburbs, Virginia,,,Other,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,20112.0
277300359.0,0.429527401924133,Terry McAuliffe,Hala Ayala,Mark Herring,,,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Strongly or somewhat approve,Somewhat approve,,,10.0,,Removed,,,About right,Absentee or early in-person,Associate's degree (AA or AS),,,No college degree,More than high school graduate,Non white no college degree,Non-whites,Only McAuliffe,Favorable,Unfavorable,Unfavorable,Joe Biden was not a factor,,1.0,Yes,,,,,,,,,,The economy/jobs,No,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Black,Black,State questionnaire,Black,Non-white,Black,South,Too conservative,Male,Black men,Suburbs,Suburbs, Virginia,,,Other,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,20111.0
277300360.0,0.452745079994202,Terry McAuliffe,Hala Ayala,Mark Herring,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Strongly or somewhat approve,Strongly approve,,,1.0,,Left in place,,,Not liberal enough,Absentee or early in-person,Attended college but received no degree,,,No college degree,More than high school graduate,White no college degree,White men non college graduates,Only McAuliffe,Favorable,Unfavorable,Unfavorable,To express opposition to Joe Biden,,1.0,No,,,,,,,,,,Education,No,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,South,Too conservative,Male,White men,Suburbs,Suburbs, Virginia,,,White suburban men,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,20112.0
277300361.0,0.437855154275894,Glenn Youngkin,Winsome Sears,Jason Miyares,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,5.0,,Left in place,,,Too liberal,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,White college degree,White men college graduates,Only Youngkin,Unfavorable,Favorable,Favorable,Joe Biden was not a factor,,2.0,Yes,,,,,,,,,,The economy/jobs,No,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,White,South,Too conservative,Male,White men,Suburbs,Suburbs, Virginia,,,White suburban men,Telephone survey,,No,Version 1,Donald Trump,Early in-person,,20186.0
277300362.0,0.346078842878342,Terry McAuliffe,Hala Ayala,Mark Herring,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Strongly or somewhat approve,Strongly approve,,,7.0,,Left in place,,,About right,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,White college degree,White women college graduates,Only McAuliffe,Favorable,Unfavorable,Unfavorable,To express support for Joe Biden,,2.0,Yes,,,,,,,,,,The coronavirus pandemic,No,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,South,Too conservative,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,20186.0
277300363.0,0.499524891376495,Glenn Youngkin,Winsome Sears,Jason Miyares,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,7.0,,Left in place,,,Too liberal,Absentee or early in-person,Never attended college,,,No college degree,High school graduate or less,White no college degree,White women non college graduates,Only Youngkin,Unfavorable,Favorable,Favorable,To express opposition to Joe Biden,,2.0,Yes,,,,,,,,,,Education,No,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,South,About right,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,Yes,Version 1,Donald Trump,Early in-person,,22553.0
277300364.0,0.499524891376495,Glenn Youngkin,Winsome Sears,Jason Miyares,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,7.0,,Left in place,,,Too liberal,Absentee or early in-person,Never attended college,,,No college degree,High school graduate or less,White no college degree,White men non college graduates,Only Youngkin,Unfavorable,Favorable,Favorable,To express opposition to Joe Biden,,2.0,Yes,,,,,,,,,,The coronavirus pandemic,No,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,South,About right,Male,White men,Suburbs,Suburbs, Virginia,,,White suburban men,Telephone survey,,Yes,Version 1,Donald Trump,Early in-person,,22551.0
277300365.0,0.690262317657471,Glenn Youngkin,Winsome Sears,Jason Miyares,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,4.0,,Left in place,,,Too liberal,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",,,College graduate,More than high school graduate,White college degree,White men college graduates,Only Youngkin,Unfavorable,Favorable,Favorable,To express opposition to Joe Biden,,4.0,Yes,,,,,,,,,,The economy/jobs,No,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,South,About right,Male,White men,Suburbs,Suburbs, Virginia,,,White suburban men,Telephone survey,,Yes,Version 1,Donald Trump,Early in-person,,23832.0
